,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-06,0.1492,0.1568,0.1429,0.1555,279953.0,43964014.0,282726778.0
1,2021-12-05,0.15,0.1517,0.1408,0.1492,224229.0,42164128.0,282601394.0
2,2021-12-04,0.1633,0.1642,0.1308,0.1499,217166.0,42371456.0,282664816.0
3,2021-12-03,0.1717,0.1749,0.1598,0.1633,235060.0,46147104.0,282590961.0
4,2021-12-02,0.1719,0.1766,0.1679,0.1719,255286.0,48555438.0,282463280.0
5,2021-12-01,0.1739,0.1776,0.1699,0.1719,249806.0,48573408.0,282567818.0
6,2021-11-30,0.1738,0.1783,0.169,0.1739,347057.0,49124392.0,282486440.0
7,2021-11-29,0.1758,0.1774,0.1706,0.1739,434383.0,49105963.0,282380465.0
8,2021-11-28,0.1686,0.177,0.1506,0.1757,68852.0,49608907.0,282350068.0
9,2021-11-27,0.1653,0.1707,0.1653,0.1682,257185.0,47485339.0,282314738.0
10,2021-11-26,0.1825,0.1833,0.1653,0.1653,473254.0,46688058.0,282444392.0
11,2021-11-25,0.1762,0.1837,0.176,0.177,376123.0,49974891.0,282344016.0
12,2021-11-24,0.1719,0.177,0.1669,0.1681,363102.0,47463480.0,282352647.0
13,2021-11-23,0.1704,0.1781,0.1684,0.172,378956.0,48537919.0,282197203.0
14,2021-11-22,0.175,0.1768,0.1662,0.1706,308710.0,48149301.0,282235058.0
15,2021-11-21,0.1784,0.1793,0.1748,0.1748,171672.0,49330583.0,282211573.0
16,2021-11-20,0.1738,0.1789,0.1717,0.1784,295038.0,50354933.0,282258593.0
17,2021-11-19,0.1705,0.1748,0.1669,0.1739,309584.0,49065204.0,282146083.0
18,2021-11-18,0.1804,0.1821,0.168,0.1704,278380.0,48088396.0,282208896.0
19,2021-11-17,0.1799,0.1826,0.1749,0.1803,495087.0,50873682.0,282161297.0
20,2021-11-16,0.1773,0.1824,0.1637,0.1801,453879.0,50792068.0,282021476.0
21,2021-11-15,0.181,0.1832,0.1775,0.1776,212234.0,50082237.0,281994577.0
22,2021-11-14,0.18,0.1822,0.1754,0.181,297615.0,51027985.0,281922569.0
23,2021-11-13,0.1799,0.1822,0.178,0.18,324819.0,50752036.0,281955755.0
24,2021-11-12,0.185,0.185,0.1758,0.1802,348845.0,50809156.0,281959800.0
25,2021-11-11,0.1916,0.1932,0.1847,0.1847,257285.0,52061601.0,281871147.0
26,2021-11-10,0.1876,0.1922,0.1733,0.1914,181964.0,53949538.0,281868014.0
27,2021-11-09,0.1883,0.1901,0.1783,0.1877,409429.0,52895599.0,281809264.0
28,2021-11-08,0.1655,0.1943,0.1655,0.1884,302102.0,53086132.0,281773524.0
29,2021-11-07,0.1767,0.1786,0.1624,0.1654,256.0,46590163.0,281681759.0
30,2021-11-06,0.18,0.1812,0.1754,0.1767,204130.0,49768003.0,281652535.0
31,2021-11-05,0.1861,0.19,0.1711,0.18,387211.0,50702957.0,281683094.0
32,2021-11-04,0.1869,0.1892,0.1746,0.1862,386856.0,52460347.0,281741928.0
33,2021-11-03,0.1926,0.1929,0.1805,0.1869,395390.0,52657840.0,281743392.0
34,2021-11-02,0.1854,0.1982,0.1844,0.1926,424681.0,54238285.0,281611033.0
35,2021-11-01,0.1895,0.1907,0.1794,0.1854,431837.0,52207309.0,281592820.0
36,2021-10-31,0.1876,0.1914,0.1773,0.1895,107859.0,53374581.0,281660058.0
37,2021-10-30,0.1935,0.1938,0.1862,0.1872,371984.0,52718566.0,281616271.0
38,2021-10-29,0.1826,0.1994,0.1785,0.1936,355606.0,54502342.0,281520361.0
39,2021-10-28,0.1813,0.1915,0.1748,0.1826,363829.0,51403108.0,281506615.0
40,2021-10-27,0.1783,0.1844,0.1668,0.1814,297851.0,51071583.0,281541251.0
41,2021-10-26,0.1966,0.1972,0.1765,0.1782,297624.0,50167272.0,281522289.0
42,2021-10-25,0.161,0.2025,0.1522,0.1966,264655.0,55320602.0,281386581.0
43,2021-10-24,0.1658,0.1661,0.1583,0.1611,371156.0,45338036.0,281427908.0
44,2021-10-23,0.1632,0.1667,0.1596,0.1657,360994.0,46629606.0,281409812.0
45,2021-10-22,0.1727,0.1767,0.1546,0.1632,363496.0,45913139.0,281330508.0
46,2021-10-21,0.1738,0.1869,0.1622,0.1727,343774.0,48584142.0,281321030.0
47,2021-10-20,0.1855,0.1859,0.1721,0.1738,406115.0,48889953.0,281300074.0
48,2021-10-19,0.1793,0.186,0.178,0.1854,379230.0,52160198.0,281338716.0
49,2021-10-18,0.1773,0.181,0.1735,0.1793,272949.0,50431570.0,281269213.0
50,2021-10-17,0.1767,0.1783,0.1658,0.1774,267260.0,49874311.0,281140422.0
51,2021-10-16,0.1827,0.1873,0.1758,0.1767,188626.0,49682547.0,281168913.0
52,2021-10-15,0.1952,0.2046,0.1802,0.1828,314755.0,51387234.0,281111783.0
53,2021-10-14,0.1956,0.1998,0.1923,0.1952,209656.0,54882281.0,281159226.0
54,2021-10-13,0.1908,0.1972,0.1848,0.1956,275601.0,54994466.0,281157801.0
55,2021-10-12,0.1991,0.1992,0.1859,0.1909,406107.0,53644282.0,281007239.0
56,2021-10-11,0.1917,0.2042,0.1908,0.199,349126.0,55924682.0,281028552.0
57,2021-10-10,0.1894,0.1974,0.1858,0.1918,311568.0,53910141.0,281074770.0
58,2021-10-09,0.1864,0.191,0.1847,0.1894,403078.0,53209074.0,280934920.0
59,2021-10-08,0.1891,0.1963,0.1859,0.1864,395612.0,52365058.0,280928422.0
60,2021-10-07,0.2104,0.2286,0.1878,0.1891,338514.0,53120741.0,280913490.0
61,2021-10-06,0.1986,0.2124,0.1909,0.2106,392799.0,59150700.0,280867521.0
62,2021-10-05,0.1897,0.1999,0.1883,0.1985,430583.0,55755145.0,280882342.0
63,2021-10-04,0.1878,0.1918,0.1803,0.1897,327785.0,53269488.0,280809109.0
64,2021-10-03,0.1839,0.1887,0.1817,0.1878,118990.0,52739320.0,280827050.0
65,2021-10-02,0.1844,0.1865,0.182,0.184,308745.0,51670852.0,280819847.0
66,2021-10-01,0.1669,0.193,0.1648,0.1845,339732.0,51800064.0,280759154.0
67,2021-09-30,0.1741,0.1836,0.1629,0.1669,189656.0,46845071.0,280677477.0
68,2021-09-29,0.1727,0.1788,0.1718,0.174,317756.0,48830812.0,280636850.0
