,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-06,0.1398,0.142,0.1278,0.1404,6178135.0,48816648.0,347696923.0
1,2021-12-05,0.1369,0.1418,0.1332,0.1397,5473800.0,48565153.0,347638890.0
2,2021-12-04,0.1513,0.1513,0.1222,0.1398,7756797.0,48594743.0,347601881.0
3,2021-12-03,0.1719,0.1732,0.1512,0.1512,8610311.0,52546896.0,347532380.0
4,2021-12-02,0.1967,0.1967,0.1689,0.1717,6711529.0,59656315.0,347445049.0
5,2021-12-01,0.2006,0.2103,0.1836,0.1967,6576650.0,68318203.0,347321825.0
6,2021-11-30,0.2181,0.2242,0.1811,0.2098,6782367.0,72866474.0,347313984.0
7,2021-11-29,0.1967,0.2262,0.1672,0.204,7732826.0,70856014.0,347333401.0
8,2021-11-28,0.2244,0.237,0.1904,0.197,11877950.0,68407675.0,347247081.0
9,2021-11-27,0.1734,0.2677,0.1462,0.224,13034147.0,77777038.0,347218919.0
10,2021-11-26,0.1658,0.1876,0.1518,0.1647,6438944.0,57154477.0,347021718.0
11,2021-11-25,0.1682,0.1722,0.1637,0.1663,5844056.0,57727353.0,347127799.0
12,2021-11-24,0.1639,0.1705,0.1566,0.1597,5424651.0,55413964.0,346987877.0
13,2021-11-23,0.1646,0.1699,0.1625,0.1672,5756738.0,58016082.0,346986136.0
14,2021-11-22,0.1672,0.1813,0.1563,0.1655,6218796.0,57407639.0,346873951.0
15,2021-11-21,0.1646,0.1784,0.1628,0.1671,5229202.0,57957731.0,346844590.0
16,2021-11-20,0.1676,0.1721,0.1581,0.1646,5616762.0,57095970.0,346877095.0
17,2021-11-19,0.1454,0.1676,0.142,0.1676,5863706.0,58112286.0,346732016.0
18,2021-11-18,0.1651,0.1678,0.1452,0.1454,5141132.0,50419794.0,346766121.0
19,2021-11-17,0.1588,0.1682,0.1497,0.165,5975546.0,57199020.0,346660727.0
20,2021-11-16,0.1628,0.1662,0.1485,0.1589,5909978.0,55075380.0,346604027.0
21,2021-11-15,0.1807,0.1909,0.1628,0.1628,6207899.0,56426864.0,346602358.0
22,2021-11-14,0.157,0.191,0.1561,0.1806,8261191.0,62581545.0,346520182.0
23,2021-11-13,0.1555,0.1665,0.1491,0.1571,5784776.0,54436454.0,346508300.0
24,2021-11-12,0.1599,0.1672,0.1516,0.1555,5783234.0,53867313.0,346413588.0
25,2021-11-11,0.1619,0.1647,0.1589,0.1598,6432630.0,55357444.0,346417046.0
26,2021-11-10,0.1636,0.188,0.1594,0.1619,8233431.0,56055520.0,346235453.0
27,2021-11-09,0.1613,0.1661,0.1579,0.1634,6856591.0,56583967.0,346291107.0
28,2021-11-08,0.1583,0.1717,0.155,0.1613,8438956.0,55857808.0,346297631.0
29,2021-11-07,0.1467,0.1629,0.1394,0.1583,6735148.0,54788690.0,346106696.0
30,2021-11-06,0.1486,0.1514,0.1403,0.1467,5881829.0,50783477.0,346172304.0
31,2021-11-05,0.1532,0.1622,0.1432,0.1486,7754367.0,51434215.0,346125269.0
32,2021-11-04,0.1363,0.171,0.1335,0.1536,12320258.0,53155259.0,346062884.0
33,2021-11-03,0.1259,0.1544,0.1249,0.1362,7299777.0,47140706.0,346113847.0
34,2021-11-02,0.127,0.1308,0.1243,0.1258,7239573.0,43535109.0,346066049.0
35,2021-11-01,0.1276,0.1287,0.1235,0.127,7355293.0,43934598.0,345941716.0
36,2021-10-31,0.1271,0.1298,0.1242,0.1275,7314639.0,44110991.0,345968556.0
37,2021-10-30,0.135,0.1378,0.1262,0.1269,7100613.0,43873618.0,345733790.0
38,2021-10-29,0.1315,0.1383,0.1288,0.135,8311742.0,46680636.0,345782488.0
39,2021-10-28,0.1192,0.1338,0.1132,0.1314,8649872.0,45434000.0,345768645.0
40,2021-10-27,0.1387,0.1394,0.1192,0.1192,7790854.0,41200870.0,345644882.0
41,2021-10-26,0.144,0.1486,0.1367,0.1387,7244072.0,47932507.0,345584044.0
42,2021-10-25,0.1393,0.1497,0.1382,0.144,8708545.0,49750095.0,345486770.0
43,2021-10-24,0.136,0.1496,0.1305,0.1393,8059215.0,48134429.0,345545075.0
44,2021-10-23,0.1301,0.1389,0.1291,0.136,7044326.0,46980334.0,345443632.0
45,2021-10-22,0.141,0.1429,0.1237,0.1302,8256054.0,44956176.0,345285529.0
46,2021-10-21,0.1236,0.1497,0.1214,0.1413,11636654.0,48785064.0,345258768.0
47,2021-10-20,0.122,0.1265,0.1203,0.1236,7387638.0,42689703.0,345385946.0
48,2021-10-19,0.1226,0.1242,0.1195,0.122,6829264.0,42113804.0,345195114.0
49,2021-10-18,0.1179,0.1297,0.1169,0.1226,7825551.0,42323979.0,345220057.0
50,2021-10-17,0.1268,0.1275,0.1145,0.1179,6869185.0,40707109.0,345268100.0
51,2021-10-16,0.1176,0.1312,0.116,0.1268,9438179.0,43750867.0,345038383.0
52,2021-10-15,0.1081,0.1247,0.1047,0.1176,9002709.0,40588489.0,345140212.0
53,2021-10-14,0.1021,0.1133,0.102,0.1081,6651700.0,37283179.0,344895272.0
54,2021-10-13,0.09765,0.1128,0.09047,0.1021,10705205.0,35210669.0,344864534.0
55,2021-10-12,0.102,0.1207,0.08523,0.09767,6710343.0,33687775.0,344914252.0
56,2021-10-11,0.09232,0.1205,0.08835,0.1019,6002081.0,35154712.0,344992266.0
57,2021-10-10,0.09746,0.1077,0.09147,0.09706,5085586.0,33467365.0,344811096.0
58,2021-10-09,0.09705,0.1118,0.09606,0.1067,5587143.0,36784520.0,344747141.0
59,2021-10-08,0.09873,0.1081,0.09575,0.09702,5833753.0,33443392.0,344706163.0
60,2021-10-07,0.102,0.1085,0.09591,0.1034,5994294.0,35632294.0,344606324.0
61,2021-10-06,0.1043,0.1115,0.09712,0.1021,6207928.0,35172593.0,344491606.0
62,2021-10-05,0.09713,0.1048,0.09713,0.1043,5661891.0,35922682.0,344416893.0
63,2021-10-04,0.09869,0.101,0.09385,0.0971,5374073.0,33452708.0,344518105.0
64,2021-10-03,0.09839,0.1009,0.0953,0.09867,4967934.0,33988667.0,344468095.0
65,2021-10-02,0.09498,0.1027,0.09352,0.09841,5342263.0,33891924.0,344395122.0
66,2021-10-01,0.08904,0.0966,0.08656,0.095,4974541.0,32714581.0,344364010.0
67,2021-09-30,0.0859,0.09036,0.08549,0.08907,4954020.0,30665365.0,344283877.0
68,2021-09-29,0.08683,0.09348,0.08454,0.0859,5178332.0,29572886.0,344271082.0
69,2021-09-28,0.0893,0.09025,0.08658,0.08682,5769163.0,29882631.0,344190635.0
70,2021-09-27,0.08895,0.09494,0.08804,0.08923,5252965.0,30707023.0,344133396.0
71,2021-09-26,0.1028,0.1028,0.08507,0.08892,6296008.0,30596715.0,344092611.0
72,2021-09-25,0.111,0.1127,0.1021,0.1027,4716531.0,35349174.0,344198383.0
73,2021-09-24,0.1201,0.1209,0.1061,0.1109,5401807.0,38154382.0,344043119.0
74,2021-09-23,0.1141,0.1219,0.1134,0.1201,4460560.0,41319703.0,344044154.0
75,2021-09-22,0.1077,0.1151,0.107,0.1141,4140891.0,39249604.0,343993023.0
76,2021-09-21,0.1143,0.1207,0.1077,0.1079,5183586.0,37116027.0,343985421.0
77,2021-09-20,0.1311,0.1312,0.1138,0.1144,6505851.0,39343027.0,343907578.0
78,2021-09-19,0.13,0.1327,0.1279,0.1311,4912854.0,45068769.0,343773981.0
79,2021-09-18,0.1278,0.1315,0.1262,0.13,4835819.0,44673272.0,343640553.0
80,2021-09-17,0.1302,0.136,0.1272,0.1278,5193992.0,43903940.0,343536306.0
81,2021-09-16,0.1307,0.1321,0.1257,0.1303,5533171.0,44760553.0,343519209.0
82,2021-09-15,0.1264,0.1307,0.1247,0.1307,5546072.0,44887784.0,343441346.0
83,2021-09-14,0.1234,0.1266,0.1227,0.1263,4278515.0,43384661.0,343504837.0
84,2021-09-13,0.129,0.129,0.1204,0.1234,5192091.0,42385097.0,343477285.0
85,2021-09-12,0.1272,0.1301,0.1244,0.129,4384487.0,44285535.0,343298720.0
86,2021-09-11,0.1268,0.1306,0.1267,0.1271,3724579.0,43648010.0,343414712.0
87,2021-09-10,0.1312,0.1344,0.1258,0.1268,4080677.0,43520394.0,343220772.0
88,2021-09-09,0.1343,0.1355,0.1281,0.1312,4116922.0,45027788.0,343199603.0
89,2021-09-08,0.1297,0.1364,0.1192,0.1348,5071199.0,46252074.0,343116275.0
90,2021-09-07,0.1546,0.1551,0.1238,0.1297,5897392.0,44511833.0,343190693.0
91,2021-09-06,0.1484,0.1571,0.1477,0.1546,6640740.0,53023960.0,342975161.0
92,2021-09-05,0.1407,0.1492,0.1397,0.1485,6327881.0,50921731.0,342907279.0
93,2021-09-04,0.1386,0.1427,0.1372,0.1407,5508623.0,48239106.0,342850788.0
94,2021-09-03,0.1378,0.1403,0.1276,0.1386,4882043.0,47515951.0,342827929.0
95,2021-09-02,0.1381,0.1401,0.1362,0.1379,4546484.0,47285298.0,342895562.0
96,2021-09-01,0.1357,0.1415,0.133,0.138,5046197.0,47322424.0,342916115.0
97,2021-08-31,0.1357,0.1384,0.1298,0.1356,5078591.0,46493149.0,342869830.0
98,2021-08-30,0.1409,0.1413,0.1319,0.1355,4793748.0,46439630.0,342727896.0
99,2021-08-29,0.1425,0.1448,0.1398,0.1409,4595468.0,48285717.0,342694939.0
100,2021-08-28,0.1425,0.1433,0.141,0.1423,4455672.0,48767688.0,342710386.0
101,2021-08-27,0.144,0.1446,0.1274,0.1425,6051824.0,48802074.0,342470694.0
102,2021-08-26,0.1483,0.1496,0.1349,0.1439,6733224.0,49282622.0,342478262.0
103,2021-08-25,0.1449,0.1486,0.1436,0.1482,6482104.0,50754887.0,342475620.0
104,2021-08-24,0.152,0.1548,0.1405,0.145,7279126.0,49640192.0,342346151.0
105,2021-08-23,0.1507,0.1547,0.1485,0.1519,7068958.0,51983785.0,342223732.0
106,2021-08-22,0.1509,0.1519,0.1456,0.1507,6507749.0,51577002.0,342249515.0
107,2021-08-21,0.1509,0.1536,0.1484,0.151,6858058.0,51692500.0,342334437.0
108,2021-08-20,0.1489,0.152,0.1469,0.1508,6808299.0,51591871.0,342121160.0
109,2021-08-19,0.1464,0.1506,0.1404,0.1487,7139709.0,50880342.0,342167733.0
110,2021-08-18,0.1435,0.1511,0.1344,0.1466,8357652.0,50154089.0,342115204.0
111,2021-08-17,0.1428,0.1491,0.1332,0.1435,6975066.0,49077132.0,342000919.0
112,2021-08-16,0.1452,0.1496,0.1424,0.1428,8759165.0,48843959.0,342044530.0
113,2021-08-15,0.1403,0.146,0.1369,0.1452,7114481.0,49658670.0,342001859.0
114,2021-08-14,0.1416,0.1466,0.1337,0.1403,10064811.0,47964483.0,341870869.0
115,2021-08-13,0.1312,0.1417,0.1309,0.1417,9219618.0,48417957.0,341693415.0
116,2021-08-12,0.1374,0.1424,0.1222,0.1314,7485751.0,44888620.0,341618112.0
117,2021-08-11,0.1375,0.146,0.1285,0.1375,7135736.0,46973027.0,341622014.0
118,2021-08-10,0.1369,0.142,0.1292,0.1375,7230643.0,46974208.0,341630603.0
119,2021-08-09,0.124,0.1527,0.1137,0.1368,10854658.0,46744595.0,341700255.0
120,2021-08-08,0.1277,0.1291,0.123,0.124,6270213.0,42333160.0,341396451.0
121,2021-08-07,0.1189,0.1285,0.1174,0.1279,7957128.0,43658536.0,341348991.0
122,2021-08-06,0.1147,0.12,0.1107,0.119,7371354.0,40625477.0,341390563.0
123,2021-08-05,0.1117,0.117,0.1054,0.1147,7473213.0,39152233.0,341344664.0
124,2021-08-04,0.1026,0.1122,0.1016,0.1117,6162337.0,38136281.0,341417018.0
125,2021-08-03,0.1106,0.1108,0.0952,0.1026,5138035.0,35011124.0,341239025.0
126,2021-08-02,0.1029,0.1107,0.09668,0.1107,5684243.0,37785857.0,341335654.0
127,2021-08-01,0.1043,0.1106,0.102,0.1031,5804863.0,35185460.0,341275072.0
128,2021-07-31,0.1016,0.1049,0.09978,0.1044,5362001.0,35609534.0,341087490.0
129,2021-07-30,0.09961,0.1058,0.0969,0.1015,5972099.0,34622159.0,341105014.0
130,2021-07-29,0.09946,0.1015,0.09704,0.09952,4855711.0,33933966.0,340976346.0
131,2021-07-28,0.1004,0.1029,0.09803,0.09955,4991842.0,33939025.0,340924409.0
132,2021-07-27,0.09465,0.1009,0.09299,0.1004,5810180.0,34227343.0,340909790.0
133,2021-07-26,0.09242,0.09772,0.09236,0.09467,9113907.0,32267008.0,340836674.0
134,2021-07-25,0.09145,0.1017,0.09062,0.09239,5682029.0,31484952.0,340783115.0
135,2021-07-24,0.09097,0.1043,0.08991,0.09143,6331277.0,31152608.0,340726326.0
136,2021-07-23,0.09007,0.09483,0.08871,0.09092,5466456.0,30972470.0,340656291.0
137,2021-07-22,0.101,0.1013,0.08567,0.09003,5541274.0,30665629.0,340615672.0
138,2021-07-21,0.08229,0.1023,0.08141,0.1007,7385928.0,34306219.0,340677447.0
139,2021-07-20,0.08639,0.08724,0.0814,0.08236,6250182.0,28044154.0,340506969.0
140,2021-07-19,0.08992,0.09062,0.08595,0.08639,5948930.0,29409731.0,340429806.0
141,2021-07-18,0.09217,0.09522,0.08941,0.08991,5321614.0,30604791.0,340393626.0
142,2021-07-17,0.0913,0.09389,0.08995,0.09208,5518983.0,31337565.0,340329767.0
143,2021-07-16,0.09597,0.0966,0.0913,0.0913,5757580.0,31068514.0,340290405.0
144,2021-07-15,0.09799,0.09904,0.09514,0.09588,5722973.0,32618699.0,340203368.0
145,2021-07-14,0.1012,0.1013,0.09607,0.09794,6313953.0,33315267.0,340159965.0
146,2021-07-13,0.09885,0.1061,0.09788,0.1012,5637606.0,34405462.0,339974920.0
147,2021-07-12,0.1019,0.1062,0.09787,0.09886,6557117.0,33617637.0,340052973.0
148,2021-07-11,0.1015,0.104,0.1001,0.1018,6205527.0,34624078.0,340118644.0
149,2021-07-10,0.1046,0.1052,0.101,0.1014,5945698.0,34484780.0,340086587.0
150,2021-07-09,0.09645,0.107,0.09374,0.1048,6465554.0,35621625.0,339901001.0
151,2021-07-08,0.0973,0.1065,0.09248,0.09641,6804572.0,32762998.0,339829872.0
152,2021-07-07,0.1077,0.1115,0.09729,0.09729,6532091.0,33056860.0,339776544.0
153,2021-07-06,0.09632,0.1156,0.09632,0.1077,6149516.0,36571068.0,339564233.0
154,2021-07-05,0.1017,0.1075,0.0947,0.09644,7223432.0,32755453.0,339645924.0
155,2021-07-04,0.1035,0.1119,0.1009,0.1016,6656161.0,34513660.0,339701377.0
156,2021-07-03,0.11,0.112,0.1024,0.1031,6174170.0,34992186.0,339400446.0
157,2021-07-02,0.109,0.1117,0.1028,0.11,6931628.0,37342891.0,339480827.0
158,2021-07-01,0.1113,0.1131,0.106,0.1089,6367938.0,36954751.0,339345739.0
159,2021-06-30,0.1169,0.1193,0.1086,0.1113,7434417.0,37774556.0,339394034.0
160,2021-06-29,0.1064,0.1198,0.105,0.1169,8153356.0,39679229.0,339428819.0
161,2021-06-28,0.1055,0.1098,0.1037,0.1064,7220549.0,36104796.0,339330789.0
162,2021-06-27,0.1042,0.1063,0.1026,0.1055,6729879.0,35786229.0,339205962.0
163,2021-06-26,0.1024,0.1059,0.09732,0.104,8661576.0,35286873.0,339296855.0
164,2021-06-25,0.1164,0.1168,0.1018,0.1024,9673543.0,34738234.0,339240566.0
165,2021-06-24,0.1128,0.1185,0.1066,0.1164,8305804.0,39477688.0,339155395.0
166,2021-06-23,0.09284,0.1162,0.09126,0.1109,8925021.0,37589494.0,338949449.0
167,2021-06-22,0.1023,0.1023,0.0876,0.09281,13360700.0,31455751.0,338926311.0
168,2021-06-21,0.142,0.142,0.102,0.1021,12802377.0,34587507.0,338761087.0
169,2021-06-20,0.1413,0.1439,0.1322,0.1421,9337763.0,48144858.0,338809697.0
170,2021-06-19,0.1426,0.1439,0.1261,0.1414,8729678.0,47887795.0,338668988.0
171,2021-06-18,0.147,0.1494,0.1396,0.1426,9565075.0,48292087.0,338654186.0
172,2021-06-17,0.1465,0.1505,0.1395,0.1472,8807105.0,49850635.0,338659205.0
173,2021-06-16,0.1523,0.1713,0.1437,0.1466,8963872.0,49621527.0,338482448.0
174,2021-06-15,0.1581,0.1593,0.148,0.1569,8558421.0,53123775.0,338583652.0
175,2021-06-14,0.1541,0.1606,0.1534,0.1575,9578435.0,53303507.0,338434965.0
176,2021-06-13,0.1492,0.1558,0.1429,0.1541,9389096.0,52154770.0,338447566.0
177,2021-06-12,0.1533,0.1541,0.1479,0.1491,9063405.0,50460936.0,338436861.0
178,2021-06-11,0.1625,0.1625,0.1527,0.1532,8328849.0,51810998.0,338191892.0
179,2021-06-10,0.1695,0.1722,0.1579,0.1625,8576884.0,54967737.0,338262996.0
180,2021-06-09,0.1596,0.1717,0.1556,0.1689,11455277.0,57116493.0,338167513.0
181,2021-06-08,0.17,0.1733,0.1499,0.1598,13103526.0,54039278.0,338168197.0
182,2021-06-07,0.1841,0.1879,0.1699,0.1699,9747250.0,57441415.0,338089552.0
183,2021-06-06,0.1788,0.1879,0.1784,0.1841,10309835.0,62227026.0,338006659.0
184,2021-06-05,0.1881,0.1925,0.177,0.1787,10918162.0,60400544.0,337999686.0
185,2021-06-04,0.2008,0.2012,0.179,0.1885,12160436.0,63704160.0,337953103.0
186,2021-06-03,0.1919,0.2009,0.1882,0.2009,11035538.0,67858559.0,337772817.0
187,2021-06-02,0.1849,0.1987,0.1739,0.1919,9660572.0,64822080.0,337790932.0
188,2021-06-01,0.1863,0.1891,0.1751,0.185,7052576.0,62484670.0,337754972.0
189,2021-05-31,0.184,0.1906,0.1753,0.1862,7751139.0,62868593.0,337640134.0
190,2021-05-30,0.1834,0.1896,0.1747,0.1838,7968705.0,62043337.0,337558960.0
191,2021-05-29,0.1831,0.1948,0.179,0.184,9860374.0,62102495.0,337513559.0
192,2021-05-28,0.2023,0.2038,0.1762,0.183,15767918.0,61767415.0,337526857.0
193,2021-05-27,0.206,0.2107,0.1825,0.2023,19092792.0,68267714.0,337457805.0
194,2021-05-26,0.1644,0.2225,0.1644,0.2063,20907800.0,69593824.0,337342821.0
195,2021-05-25,0.1672,0.1753,0.1483,0.1645,14707416.0,55476190.0,337241276.0
196,2021-05-24,0.1324,0.1681,0.1284,0.167,15203961.0,56314618.0,337213281.0
197,2021-05-23,0.162,0.1672,0.1108,0.1329,16770004.0,44825039.0,337283965.0
198,2021-05-22,0.1713,0.1778,0.1508,0.1621,13695434.0,54634606.0,337042603.0
199,2021-05-21,0.2084,0.2182,0.1541,0.1711,19610980.0,57680819.0,337117586.0
200,2021-05-20,0.1778,0.2129,0.1482,0.2084,23365994.0,70233236.0,337011689.0
201,2021-05-19,0.2821,0.288,0.1294,0.1786,26320936.0,60169337.0,336894384.0
202,2021-05-18,0.2799,0.2957,0.271,0.2824,18233433.0,95129860.0,336862110.0
203,2021-05-17,0.316,0.3173,0.2646,0.2799,23516050.0,94266214.0,336785330.0
204,2021-05-16,0.326,0.3423,0.3005,0.3155,20606063.0,106257567.0,336791020.0
205,2021-05-15,0.3399,0.3591,0.2882,0.327,26249438.0,110093782.0,336678232.0
