,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-06,0.1602,0.1856,0.1498,0.1791,24064812.0,89363544.0,498958927.0
1,2021-12-05,0.1804,0.1875,0.159,0.16,14495695.0,79834921.0,498968256.0
2,2021-12-04,0.2003,0.2003,0.1451,0.1808,32963555.0,90222165.0,499016399.0
3,2021-12-03,0.2053,0.2338,0.1949,0.1995,32236064.0,99548271.0,498988827.0
4,2021-12-02,0.2238,0.2243,0.2025,0.2057,27808941.0,102624411.0,498903310.0
5,2021-12-01,0.2006,0.2563,0.2004,0.224,66964228.0,111721677.0,498757486.0
6,2021-11-30,0.2127,0.22,0.2005,0.2008,20440480.0,100182483.0,498916748.0
7,2021-11-29,0.2135,0.2497,0.2123,0.2128,47143772.0,106122943.0,498698040.0
8,2021-11-28,0.2255,0.2286,0.1981,0.2134,34156341.0,106407367.0,498628711.0
9,2021-11-27,0.2442,0.2532,0.2225,0.2255,68127915.0,112460892.0,498717924.0
10,2021-11-26,0.3117,0.342,0.2303,0.2439,342152149.0,121639189.0,498725662.0
11,2021-11-25,0.1665,0.3483,0.1658,0.1669,7577176.0,83225181.0,498652971.0
12,2021-11-24,0.1739,0.1747,0.1607,0.1676,7208104.0,83562773.0,498584564.0
13,2021-11-23,0.1729,0.1786,0.1689,0.1737,6840985.0,86615596.0,498650523.0
14,2021-11-22,0.1786,0.1792,0.1682,0.1732,6966470.0,86332432.0,498455150.0
15,2021-11-21,0.1706,0.1907,0.1696,0.1779,12852663.0,88691085.0,498544603.0
16,2021-11-20,0.1633,0.174,0.1606,0.1706,10068189.0,85008827.0,498293241.0
17,2021-11-19,0.1557,0.1893,0.1545,0.1634,20215264.0,81412666.0,498241529.0
18,2021-11-18,0.1645,0.1881,0.149,0.156,16721971.0,77747397.0,498380750.0
19,2021-11-17,0.1641,0.1672,0.1579,0.1645,6287616.0,81985825.0,498394072.0
20,2021-11-16,0.1802,0.1803,0.1564,0.1641,6873145.0,81787505.0,498400396.0
21,2021-11-15,0.1834,0.1901,0.1792,0.18,9564071.0,89684576.0,498247644.0
22,2021-11-14,0.1731,0.1887,0.172,0.1833,12951290.0,91329664.0,498252394.0
23,2021-11-13,0.1744,0.1791,0.1722,0.1731,6085397.0,86251697.0,498276701.0
24,2021-11-12,0.1768,0.1791,0.1679,0.1742,7090993.0,86775488.0,498137129.0
25,2021-11-11,0.1712,0.1776,0.1697,0.177,5596795.0,88178676.0,498184610.0
26,2021-11-10,0.1833,0.1856,0.1664,0.1712,8109369.0,85271239.0,498079667.0
27,2021-11-09,0.1824,0.1902,0.1809,0.1835,9576255.0,91391835.0,498048147.0
28,2021-11-08,0.1824,0.1842,0.1792,0.1826,7073715.0,90921237.0,497925722.0
29,2021-11-07,0.1813,0.1875,0.18,0.1824,6866841.0,90811562.0,497870405.0
30,2021-11-06,0.183,0.1832,0.1757,0.1812,5431079.0,90231568.0,497966710.0
31,2021-11-05,0.1871,0.1885,0.1799,0.183,7514770.0,91092922.0,497775530.0
32,2021-11-04,0.1918,0.1958,0.1825,0.1869,10457525.0,93033428.0,497771150.0
33,2021-11-03,0.1859,0.1978,0.1763,0.1917,15931191.0,95436591.0,497843458.0
34,2021-11-02,0.1811,0.1905,0.1794,0.186,9827236.0,92600437.0,497851811.0
35,2021-11-01,0.1885,0.1914,0.1786,0.1811,8048197.0,90114792.0,497596863.0
36,2021-10-31,0.1768,0.2135,0.1722,0.1882,25722952.0,93647861.0,497597561.0
37,2021-10-30,0.1717,0.1811,0.1662,0.1761,7403480.0,87619690.0,497556445.0
38,2021-10-29,0.1727,0.1739,0.1679,0.1717,5703333.0,85433330.0,497573267.0
39,2021-10-28,0.1623,0.1728,0.1588,0.1728,5972778.0,85989634.0,497625196.0
40,2021-10-27,0.1795,0.1804,0.1607,0.1626,6973472.0,80906409.0,497579391.0
41,2021-10-26,0.1858,0.1866,0.1783,0.1795,5810055.0,89310440.0,497551197.0
42,2021-10-25,0.1849,0.1874,0.1817,0.1858,6585509.0,92418681.0,497409477.0
43,2021-10-24,0.1769,0.1895,0.1726,0.185,14225217.0,91991660.0,497252216.0
44,2021-10-23,0.1765,0.1785,0.1719,0.1769,4870105.0,87998744.0,497449089.0
45,2021-10-22,0.1786,0.1862,0.1732,0.1765,6186486.0,87760544.0,497226878.0
46,2021-10-21,0.1822,0.1881,0.1753,0.1786,11275786.0,88812818.0,497272217.0
47,2021-10-20,0.1745,0.1858,0.171,0.1822,7437266.0,90580338.0,497147848.0
48,2021-10-19,0.176,0.1774,0.1728,0.1745,5106080.0,86770445.0,497251833.0
49,2021-10-18,0.1798,0.1832,0.173,0.176,6979784.0,87499919.0,497158630.0
50,2021-10-17,0.1922,0.1931,0.1733,0.1798,10866972.0,89356738.0,496978520.0
51,2021-10-16,0.174,0.1947,0.1735,0.192,14402261.0,95440554.0,497086218.0
52,2021-10-15,0.1715,0.1778,0.1669,0.1738,6815478.0,86356429.0,496872433.0
53,2021-10-14,0.1659,0.1776,0.1654,0.1712,6696921.0,85089923.0,497020578.0
54,2021-10-13,0.1637,0.1712,0.1593,0.166,6736667.0,82507447.0,497032813.0
55,2021-10-12,0.1647,0.1656,0.1543,0.164,5126572.0,81488155.0,496878993.0
56,2021-10-11,0.1684,0.1768,0.1609,0.1645,9656941.0,81734060.0,496863586.0
57,2021-10-10,0.1853,0.1861,0.1677,0.1683,9336323.0,83591865.0,496683689.0
58,2021-10-09,0.1687,0.1885,0.1678,0.1856,13777662.0,92214297.0,496844272.0
59,2021-10-08,0.168,0.1765,0.1664,0.169,7285051.0,83951303.0,496753272.0
60,2021-10-07,0.1621,0.1767,0.1583,0.1672,10646929.0,83024677.0,496559072.0
61,2021-10-06,0.1623,0.1674,0.149,0.1622,10044001.0,80541492.0,496556670.0
62,2021-10-05,0.161,0.1695,0.1599,0.1623,7745594.0,80591139.0,496556617.0
63,2021-10-04,0.164,0.164,0.1517,0.1602,8095786.0,79542963.0,496522865.0
64,2021-10-03,0.1654,0.1699,0.1612,0.1639,8510539.0,81402346.0,496658608.0
65,2021-10-02,0.1543,0.172,0.1515,0.1657,21065860.0,82256745.0,496419704.0
66,2021-10-01,0.141,0.155,0.1389,0.154,6834351.0,76462730.0,496511233.0
67,2021-09-30,0.1381,0.1471,0.1363,0.1406,6613431.0,69808639.0,496505256.0
68,2021-09-29,0.1362,0.1471,0.1344,0.1381,6092719.0,68570545.0,496528204.0
69,2021-09-28,0.1428,0.1487,0.1359,0.1363,9612809.0,67629461.0,496180931.0
