,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-03,1.89,1.94,1.71,1.74,479972708.0,10965084743.0,6301772840.0
1,2021-12-02,1.96,2.04,1.85,1.88,636253482.0,11842120117.0,6299000062.0
2,2021-12-01,1.81,2.02,1.8,1.97,786558602.0,12372006583.0,6280206387.0
3,2021-11-30,1.77,1.87,1.74,1.81,511222408.0,11400945923.0,6298865150.0
4,2021-11-29,1.71,1.83,1.7,1.78,454280625.0,11165520246.0,6272764183.0
5,2021-11-28,1.68,1.71,1.58,1.71,339904708.0,10727728300.0,6273525321.0
6,2021-11-27,1.6,1.73,1.6,1.68,392327404.0,10515162939.0,6259025558.0
7,2021-11-26,1.82,1.82,1.59,1.6,572227584.0,10003099336.0,6251937085.0
8,2021-11-25,1.74,1.84,1.72,1.75,424162726.0,10976085009.0,6272048576.0
9,2021-11-24,1.84,1.87,1.72,1.79,481534594.0,11201974850.0,6258086508.0
10,2021-11-23,1.74,1.85,1.7,1.83,467341509.0,11471896138.0,6268795703.0
11,2021-11-22,1.83,1.84,1.72,1.74,453625871.0,10858840943.0,6240713185.0
12,2021-11-21,1.84,1.89,1.78,1.83,441289829.0,11471801719.0,6268744108.0
13,2021-11-20,1.88,1.9,1.76,1.84,458989518.0,11485067347.0,6241884427.0
14,2021-11-19,1.85,1.91,1.75,1.88,977648884.0,11758772537.0,6254666243.0
15,2021-11-18,1.66,2.83,1.65,1.85,4203183528.0,11541141193.0,6238454698.0
16,2021-11-17,1.73,1.76,1.6,1.66,579988526.0,10382974367.0,6254803835.0
17,2021-11-16,1.89,1.89,1.57,1.73,787276524.0,10803503322.0,6244799608.0
18,2021-11-15,1.98,2.01,1.86,1.89,469597579.0,11810397843.0,6248887747.0
19,2021-11-14,2.08,2.11,1.92,1.98,466084928.0,12393145880.0,6259164585.0
20,2021-11-13,2.15,2.16,2.04,2.08,684136646.0,13012804046.0,6256155791.0
21,2021-11-12,2.02,2.34,2.0,2.15,1695116317.0,13427832344.0,6245503415.0
22,2021-11-11,1.94,2.06,1.88,2.03,726397489.0,12681941071.0,6247261611.0
23,2021-11-10,1.95,2.29,1.84,1.93,1096601258.0,12076496777.0,6257252216.0
24,2021-11-09,2.05,2.06,1.93,1.94,430282326.0,12134933699.0,6255120463.0
25,2021-11-08,1.87,2.08,1.84,2.05,598547948.0,12798827748.0,6243330608.0
26,2021-11-07,1.84,1.87,1.82,1.87,189001016.0,11623383271.0,6215712979.0
27,2021-11-06,1.85,1.87,1.78,1.84,215086025.0,11443973077.0,6219550585.0
28,2021-11-05,1.86,1.91,1.83,1.85,257097471.0,11494485779.0,6213235556.0
29,2021-11-04,1.93,1.96,1.82,1.86,360452517.0,11559504015.0,6214787104.0
30,2021-11-03,1.86,1.97,1.83,1.93,466342620.0,11964835569.0,6199396667.0
31,2021-11-02,1.83,1.91,1.83,1.86,310956867.0,11553837842.0,6211740775.0
32,2021-11-01,1.83,1.87,1.78,1.83,285592980.0,11377624521.0,6217281159.0
33,2021-10-31,1.82,1.86,1.76,1.83,291738506.0,11326966160.0,6189598994.0
34,2021-10-30,1.88,1.88,1.79,1.82,258239743.0,11269488695.0,6192026755.0
35,2021-10-29,1.85,1.91,1.84,1.87,392802835.0,11582825905.0,6194024548.0
36,2021-10-28,1.79,1.88,1.76,1.85,504296756.0,11426150540.0,6176297589.0
37,2021-10-27,2.04,2.09,1.71,1.79,726406070.0,11049278472.0,6172781269.0
38,2021-10-26,2.05,2.1,1.95,2.04,632762093.0,12586640619.0,6169921872.0
39,2021-10-25,1.82,2.07,1.81,2.04,549366780.0,12583727577.0,6168493910.0
40,2021-10-24,1.91,1.92,1.78,1.82,265679600.0,11182821502.0,6144407418.0
41,2021-10-23,1.86,1.94,1.85,1.91,343212664.0,11757311279.0,6155660355.0
42,2021-10-22,1.78,1.94,1.77,1.86,534119389.0,11436654370.0,6148738908.0
43,2021-10-21,1.79,1.88,1.76,1.78,438671617.0,10961464886.0,6158126340.0
44,2021-10-20,1.71,1.82,1.69,1.79,274389721.0,10997689539.0,6143960636.0
45,2021-10-19,1.74,1.77,1.69,1.71,221010508.0,10520507888.0,6152343794.0
46,2021-10-18,1.77,1.79,1.72,1.74,212462805.0,10676455876.0,6135894181.0
47,2021-10-17,1.8,1.89,1.73,1.77,363795236.0,10867962013.0,6140091532.0
48,2021-10-16,1.75,1.85,1.74,1.8,353041362.0,11042524272.0,6134735706.0
49,2021-10-15,1.81,1.81,1.73,1.75,327662647.0,10771854179.0,6155345245.0
50,2021-10-14,1.84,1.88,1.78,1.8,337223002.0,11085107958.0,6158393310.0
51,2021-10-13,1.75,1.84,1.69,1.84,356995291.0,11295782814.0,6139012398.0
52,2021-10-12,1.72,1.75,1.61,1.74,411949621.0,10718231380.0,6159903091.0
53,2021-10-11,1.77,1.83,1.68,1.72,307108559.0,10548707234.0,6132969322.0
54,2021-10-10,1.89,1.89,1.76,1.77,276716327.0,10878525011.0,6146059328.0
55,2021-10-09,1.9,1.95,1.87,1.89,327236003.0,11608159536.0,6141883352.0
56,2021-10-08,1.89,2.0,1.88,1.9,596084288.0,11660005320.0,6136844905.0
57,2021-10-07,1.82,1.93,1.75,1.89,641358610.0,11589759866.0,6132148077.0
58,2021-10-06,1.95,1.99,1.79,1.82,686265672.0,11166215861.0,6135283440.0
59,2021-10-05,1.94,2.06,1.92,1.95,633197149.0,11986371629.0,6146857245.0
60,2021-10-04,1.98,2.09,1.89,1.93,1167834065.0,11853017238.0,6141459708.0
61,2021-10-03,1.77,2.0,1.73,1.99,827903086.0,12128198714.0,6094572218.0
62,2021-10-02,1.77,1.88,1.71,1.78,602938373.0,10792861252.0,6063405197.0
63,2021-10-01,1.63,1.81,1.6,1.77,624507474.0,10722163284.0,6057719369.0
64,2021-09-30,1.61,1.66,1.57,1.63,490314234.0,9801705834.0,6013316462.0
65,2021-09-29,1.57,1.75,1.55,1.61,535584347.0,9607090051.0,5967136677.0
66,2021-09-28,1.68,1.72,1.55,1.56,535757746.0,9308076878.0,5966715947.0
67,2021-09-27,1.78,1.85,1.67,1.67,667754720.0,9926989624.0,5944305164.0
68,2021-09-26,1.73,1.78,1.57,1.77,565724981.0,10457738363.0,5908326758.0
69,2021-09-25,1.79,1.81,1.7,1.73,502973449.0,10123376203.0,5851662545.0
70,2021-09-24,2.0,2.01,1.7,1.79,883429431.0,10353556236.0,5784109629.0
71,2021-09-23,1.85,2.05,1.79,2.01,904383367.0,11468319100.0,5705631393.0
72,2021-09-22,1.57,1.89,1.55,1.84,794461325.0,10439917419.0,5673868162.0
73,2021-09-21,1.67,1.82,1.53,1.57,837282638.0,8876192737.0,5653625947.0
74,2021-09-20,1.97,1.98,1.55,1.65,1094994134.0,9112459588.0,5522702780.0
75,2021-09-19,2.07,2.15,1.94,1.97,745020454.0,10775638051.0,5469867030.0
76,2021-09-18,1.92,2.13,1.9,2.07,811391354.0,11160887286.0,5391732988.0
77,2021-09-17,2.04,2.16,1.9,1.92,893672200.0,10205741871.0,5315490557.0
78,2021-09-16,2.01,2.22,1.87,2.04,1313291453.0,10695525767.0,5242904787.0
79,2021-09-15,2.04,2.09,2.0,2.02,727448265.0,10570261960.0,5232802950.0
80,2021-09-14,2.16,2.25,1.99,2.04,1149444799.0,10665872972.0,5228369103.0
81,2021-09-13,2.38,2.54,1.98,2.16,2298346470.0,11290785001.0,5227215278.0
82,2021-09-12,1.99,2.47,1.91,2.38,2164056922.0,12451347220.0,5231658495.0
83,2021-09-11,2.01,2.28,1.97,1.98,1798923049.0,10378486017.0,5241659604.0
84,2021-09-10,2.3,2.43,1.85,2.0,2596891056.0,10477526502.0,5238763251.0
85,2021-09-09,1.95,2.48,1.68,2.31,4812069645.0,12081997051.0,5230301753.0
86,2021-09-08,1.27,1.96,1.23,1.92,3367355549.0,10049576591.0,5234154474.0
87,2021-09-07,1.46,1.52,1.04,1.27,751895689.0,4463463711.0,3514538355.0
88,2021-09-06,1.31,1.49,1.3,1.47,563500077.0,5172563512.0,3518750688.0
89,2021-09-05,1.21,1.35,1.18,1.32,347343446.0,4637942690.0,3513592946.0
90,2021-09-04,1.22,1.24,1.19,1.21,259993218.0,4252364413.0,3514350754.0
91,2021-09-03,1.15,1.27,1.11,1.22,385617547.0,4297564358.0,3522593736.0
92,2021-09-02,1.16,1.18,1.13,1.15,184582918.0,4026912873.0,3501663367.0
93,2021-09-01,1.12,1.18,1.08,1.16,304393969.0,4067568847.0,3506524868.0
94,2021-08-31,1.02,1.17,1.0,1.12,374694037.0,3864884111.0,3450789384.0
95,2021-08-30,1.02,1.09,0.9788,1.02,203189086.0,3524562576.0,3455453505.0
96,2021-08-29,1.04,1.07,1.0,1.02,138083109.0,3527928806.0,3458753731.0
97,2021-08-28,1.07,1.07,1.02,1.04,139083948.0,3579621041.0,3441943308.0
98,2021-08-27,0.9906,1.07,0.9617,1.07,171164127.0,3676287251.0,3435782477.0
99,2021-08-26,1.07,1.08,0.9753,0.99,170261170.0,3415696871.0,3450198859.0
