,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-06,811.0,890.32,730.22,772.78,25439253.0,40959250.0,53002.0
1,2021-12-05,752.52,822.12,740.38,812.62,10515327.0,43070742.0,53002.0
2,2021-12-04,909.84,911.01,649.98,752.0,8665434.0,39857920.0,53002.0
3,2021-12-03,931.21,983.47,890.84,907.44,10172790.0,48096443.0,53002.0
4,2021-12-02,950.86,959.49,913.93,930.49,5536296.0,49318274.0,53002.0
5,2021-12-01,935.45,989.93,934.75,951.08,5123751.0,50409849.0,53002.0
6,2021-11-30,969.76,986.62,933.5,937.93,5557730.0,49712750.0,53002.0
7,2021-11-29,957.41,993.87,932.78,969.53,5507331.0,51387322.0,53002.0
8,2021-11-28,973.78,973.78,892.33,957.56,6515740.0,50752892.0,53002.0
9,2021-11-27,895.54,1037.22,891.4,972.21,9766030.0,51529610.0,53002.0
10,2021-11-26,1002.08,1009.76,890.67,896.75,6337253.0,47530082.0,53002.0
11,2021-11-25,960.85,1011.31,955.43,975.46,6003212.0,51701695.0,53002.0
12,2021-11-24,1002.93,1009.95,955.28,989.62,7025386.0,52452295.0,53002.0
13,2021-11-23,1017.46,1031.36,985.08,1003.02,7686910.0,53162822.0,53002.0
14,2021-11-22,1013.0,1054.7,1009.76,1019.08,9598794.0,54013847.0,53002.0
15,2021-11-21,1026.41,1050.45,1002.52,1012.89,7772559.0,53685996.0,53002.0
16,2021-11-20,1019.09,1034.35,969.98,1026.75,8078893.0,54420474.0,53002.0
17,2021-11-19,955.69,1036.69,927.85,1019.18,6479511.0,54018970.0,53002.0
18,2021-11-18,1034.23,1045.38,922.26,952.26,8242367.0,50472076.0,53002.0
19,2021-11-17,1052.24,1064.48,999.09,1034.35,7193498.0,54823140.0,53002.0
20,2021-11-16,1109.28,1109.53,1000.38,1052.41,10382408.0,55780331.0,53002.0
21,2021-11-15,1180.51,1185.18,1107.11,1107.11,6773251.0,58679776.0,53002.0
22,2021-11-14,1203.45,1270.06,1143.67,1177.53,12045214.0,62412118.0,53002.0
23,2021-11-13,1108.02,1240.79,1097.66,1203.55,15513346.0,63791028.0,53002.0
24,2021-11-12,1146.78,1162.74,1086.33,1109.72,7083877.0,58817763.0,53002.0
25,2021-11-11,1059.95,1190.58,1046.39,1149.28,11492614.0,60914638.0,53002.0
26,2021-11-10,1111.03,1169.24,997.04,1060.0,11985625.0,56182661.0,53002.0
27,2021-11-09,1115.08,1145.31,1084.92,1114.12,7198967.0,59050933.0,53002.0
28,2021-11-08,1111.15,1123.02,1090.55,1115.11,7254211.0,59103576.0,53002.0
29,2021-11-07,1105.38,1144.19,1095.22,1111.13,6618054.0,58892796.0,53002.0
30,2021-11-06,1069.46,1112.71,1047.54,1105.58,7530113.0,58598312.0,53002.0
31,2021-11-05,1085.77,1108.25,1064.89,1069.45,6114383.0,56683435.0,53002.0
32,2021-11-04,1127.46,1131.07,1064.76,1085.87,8551280.0,57554055.0,53002.0
33,2021-11-03,1169.92,1181.44,1096.42,1128.07,14254261.0,59790395.0,53002.0
34,2021-11-02,1029.5,1169.59,1015.6,1169.59,16283282.0,61991277.0,53002.0
35,2021-11-01,1036.41,1056.39,1009.64,1029.7,6458521.0,54576928.0,53002.0
36,2021-10-31,1037.68,1060.79,1007.06,1036.46,9380626.0,54934819.0,53002.0
37,2021-10-30,1077.8,1092.75,1010.79,1038.49,7615773.0,55042692.0,53002.0
38,2021-10-29,1044.11,1115.8,1037.59,1077.79,7047624.0,57125514.0,53002.0
39,2021-10-28,1021.64,1085.88,989.2,1044.05,8724734.0,55337341.0,53002.0
40,2021-10-27,1081.79,1097.18,986.08,1023.56,10530414.0,54251038.0,53002.0
41,2021-10-26,1114.27,1140.35,1076.54,1081.81,8880047.0,57338649.0,53002.0
42,2021-10-25,1095.89,1140.04,1092.1,1114.36,7654515.0,59063770.0,53002.0
43,2021-10-24,1165.96,1170.96,1077.89,1098.14,8441617.0,58204352.0,53002.0
44,2021-10-23,1178.89,1184.49,1153.14,1165.91,7383705.0,61796312.0,53002.0
45,2021-10-22,1227.34,1276.9,1158.65,1178.19,12942560.0,62447003.0,53002.0
46,2021-10-21,1342.72,1360.76,1220.22,1227.45,15164247.0,65058070.0,53002.0
47,2021-10-20,1263.79,1389.41,1223.67,1340.64,16483735.0,71057136.0,53002.0
48,2021-10-19,1313.3,1344.78,1247.17,1263.77,16384971.0,66982833.0,53002.0
49,2021-10-18,1229.21,1493.62,1229.21,1308.2,53258450.0,69337808.0,53002.0
50,2021-10-17,1192.6,1233.34,1173.02,1231.19,10406246.0,65256013.0,53002.0
51,2021-10-16,1224.44,1325.46,1183.65,1192.73,14471239.0,63217757.0,53002.0
52,2021-10-15,1184.35,1244.58,1132.17,1224.14,13159667.0,64882528.0,53002.0
53,2021-10-14,1227.65,1267.8,1175.85,1183.77,22096866.0,62742782.0,53002.0
54,2021-10-13,1081.28,1347.37,1081.28,1227.69,68714495.0,65070731.0,53002.0
55,2021-10-12,953.7,1181.73,901.84,1080.77,23165494.0,57283802.0,53002.0
56,2021-10-11,979.22,1013.76,940.64,953.64,5004175.0,50545565.0,53002.0
57,2021-10-10,1008.6,1037.6,976.98,979.14,6618404.0,51896890.0,53002.0
58,2021-10-09,983.66,1017.95,976.43,1005.78,6533463.0,53308741.0,53002.0
59,2021-10-08,1027.82,1106.3,976.21,983.6,11813746.0,52133233.0,53002.0
60,2021-10-07,940.35,1065.8,912.71,1027.8,13050928.0,54475954.0,53002.0
61,2021-10-06,943.85,952.28,893.05,938.47,6396750.0,49741546.0,53002.0
62,2021-10-05,927.52,960.55,919.45,942.61,4846268.0,49960740.0,53002.0
