,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-03,107.87,113.17,100.8,108.14,1379333420.0,24218637933.0,223956333.0
1,2021-12-02,119.68,119.71,107.23,107.87,1117942461.0,24157894736.0,223953784.0
2,2021-12-01,120.25,127.33,117.5,119.75,1437422167.0,26819275073.0,223960543.0
3,2021-11-30,120.44,124.56,114.49,120.34,1734884533.0,26938334989.0,223851877.0
4,2021-11-29,110.5,120.26,109.42,120.26,1227497076.0,26918031628.0,223831960.0
5,2021-11-28,113.75,114.0,101.44,110.59,1422129303.0,24753981282.0,223835620.0
6,2021-11-27,104.3,118.08,103.34,113.28,1211028703.0,25355180306.0,223827509.0
7,2021-11-26,119.16,119.83,102.03,103.83,1712875693.0,23240701779.0,223834169.0
8,2021-11-25,115.09,130.04,114.35,122.65,2233964558.0,27454574162.0,223844876.0
9,2021-11-24,123.88,124.51,113.0,120.23,1902624284.0,26913361827.0,223848971.0
10,2021-11-23,134.87,136.54,122.11,123.83,1959122592.0,27719516853.0,223851383.0
11,2021-11-22,128.78,144.88,126.19,134.53,3211306704.0,30114621585.0,223850602.0
12,2021-11-21,125.83,146.22,123.55,128.6,3379295976.0,28328813993.0,220286267.0
13,2021-11-20,112.08,129.93,111.91,125.77,2291581571.0,27705581117.0,220287676.0
14,2021-11-19,100.46,112.11,96.07,112.02,1562347126.0,24677286671.0,220293578.0
15,2021-11-18,107.58,110.31,92.36,100.25,1920193319.0,22084338772.0,220292656.0
16,2021-11-17,98.03,110.03,94.12,107.8,2393292480.0,23747350981.0,220290825.0
17,2021-11-16,94.03,101.86,84.0,97.98,1843490926.0,21582702422.0,220276611.0
18,2021-11-15,95.42,101.59,92.25,93.55,1202984508.0,20607860765.0,220287127.0
19,2021-11-14,97.56,99.88,91.81,95.4,1142384672.0,21016118864.0,220294747.0
20,2021-11-13,84.8,98.44,84.8,97.26,1144798693.0,21425175664.0,220287637.0
21,2021-11-12,87.88,89.97,81.32,84.72,676532796.0,18663761156.0,220299352.0
22,2021-11-11,85.38,89.54,83.84,88.06,661012573.0,19398729593.0,220289911.0
23,2021-11-10,88.3,94.02,78.65,85.3,1297653103.0,18789403838.0,220274370.0
24,2021-11-09,91.07,91.54,87.08,88.45,780284087.0,19485420030.0,220298700.0
25,2021-11-08,87.71,96.91,83.73,91.18,1954611681.0,20086784070.0,220298136.0
26,2021-11-07,78.81,88.84,78.14,87.71,1321363546.0,19320327632.0,220275084.0
27,2021-11-06,74.3,78.69,72.52,78.69,487295739.0,17333294515.0,220273154.0
28,2021-11-05,79.05,81.07,72.46,74.36,593374945.0,16381553546.0,220300612.0
29,2021-11-04,75.58,80.97,74.13,79.29,1139576690.0,17467232891.0,220295534.0
30,2021-11-03,67.77,75.54,67.15,75.43,1110753061.0,16616308365.0,220287794.0
31,2021-11-02,64.97,68.05,64.34,67.58,437288365.0,14887970005.0,220301420.0
32,2021-11-01,64.5,66.69,62.36,65.07,553398869.0,14334601728.0,220295093.0
33,2021-10-31,62.31,64.44,60.34,64.29,385833917.0,14161740162.0,220279050.0
34,2021-10-30,64.73,64.78,61.1,62.42,340551397.0,13749245777.0,220269877.0
35,2021-10-29,64.38,66.13,63.54,64.77,390478927.0,14268504811.0,220294963.0
36,2021-10-28,61.53,64.93,61.53,64.43,593781415.0,14193080385.0,220286828.0
37,2021-10-27,68.67,69.55,57.86,61.52,947198473.0,13551289110.0,220274530.0
38,2021-10-26,69.71,72.88,67.82,68.87,913850539.0,15171386689.0,220290208.0
39,2021-10-25,64.55,69.82,64.38,69.82,559909250.0,15381442493.0,220301382.0
40,2021-10-24,65.44,67.59,61.97,64.52,512814089.0,14212535569.0,220281084.0
41,2021-10-23,65.53,69.1,64.57,65.46,675884810.0,14419776112.0,220283778.0
42,2021-10-22,61.45,68.64,61.42,65.46,1235036359.0,14418921084.0,220270716.0
43,2021-10-21,59.63,64.31,58.9,61.31,834466444.0,13505728605.0,220285901.0
44,2021-10-20,56.81,61.55,56.73,59.56,557808885.0,13120233526.0,220285989.0
45,2021-10-19,55.53,58.03,55.13,56.82,369199133.0,12516017012.0,220274850.0
46,2021-10-18,56.04,56.43,54.25,55.47,301848293.0,12220283753.0,220304376.0
47,2021-10-17,57.57,58.53,53.55,56.08,388579198.0,12353091320.0,220276236.0
48,2021-10-16,56.31,61.84,55.71,57.48,730039645.0,12662754038.0,220298434.0
49,2021-10-15,56.18,57.09,54.6,56.25,559567841.0,12391359720.0,220290839.0
50,2021-10-14,54.99,58.43,54.95,56.08,521698717.0,12353914642.0,220290917.0
51,2021-10-13,54.35,57.05,53.33,55.15,655950094.0,12149353103.0,220296520.0
52,2021-10-12,55.34,55.34,51.23,54.36,692864342.0,11974331874.0,220278364.0
53,2021-10-11,56.59,59.19,53.96,55.3,590939451.0,12182863608.0,220304947.0
54,2021-10-10,60.57,60.88,55.54,56.59,450502943.0,12466804950.0,220300493.0
55,2021-10-09,60.4,61.95,59.86,60.57,368977448.0,13341933155.0,220272959.0
56,2021-10-08,61.52,64.92,60.07,60.52,812757714.0,13331793001.0,220287392.0
57,2021-10-07,60.03,62.27,57.56,61.49,906896093.0,13545058991.0,220280679.0
58,2021-10-06,64.6,65.7,58.68,60.11,963971611.0,13242323657.0,220301508.0
59,2021-10-05,65.25,66.72,62.94,64.65,813159957.0,14241553493.0,220286983.0
60,2021-10-04,68.68,68.68,64.0,65.16,949626760.0,14353839761.0,220286061.0
61,2021-10-03,69.13,71.54,67.65,68.72,1003680421.0,15137441435.0,220277087.0
62,2021-10-02,67.63,73.36,65.88,69.22,1391263335.0,15248344678.0,220288134.0
63,2021-10-01,66.63,69.44,63.31,67.57,1441796222.0,14884850536.0,220287857.0
64,2021-09-30,65.51,68.72,64.36,66.77,1122979274.0,14707628658.0,220273006.0
65,2021-09-29,61.6,69.24,61.39,65.52,1366679673.0,14433178042.0,220286600.0
66,2021-09-28,66.37,69.44,61.25,61.52,989963988.0,13551528223.0,220278417.0
67,2021-09-27,66.88,72.47,65.47,66.51,1210911405.0,14650986466.0,220282460.0
68,2021-09-26,68.35,71.48,61.88,66.86,1282520288.0,14728794674.0,220293070.0
69,2021-09-25,72.39,72.64,67.7,68.38,1022340249.0,15063561402.0,220291918.0
70,2021-09-24,76.46,78.35,67.14,72.4,2238592113.0,15949166713.0,220292357.0
71,2021-09-23,74.09,79.52,73.03,76.42,2336551605.0,16834092690.0,220283861.0
72,2021-09-22,58.98,74.47,57.96,74.19,2640281903.0,16342408141.0,220277775.0
