,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-03,1.12,1.21,1.04,1.07,182402687.0,919315741.0,859173589.0
1,2021-12-02,1.19,1.19,1.07,1.11,162382116.0,958739163.0,863728975.0
2,2021-12-01,1.21,1.23,1.14,1.19,138992891.0,1027574909.0,863508326.0
3,2021-11-30,1.31,1.32,1.2,1.21,114811446.0,1039708885.0,859263541.0
4,2021-11-29,1.33,1.37,1.26,1.31,174492438.0,1124609364.0,858480430.0
5,2021-11-28,1.31,1.35,1.14,1.35,233279850.0,1166263981.0,863899245.0
6,2021-11-27,1.21,1.32,1.21,1.31,210877725.0,1129901147.0,862519959.0
7,2021-11-26,1.39,1.45,1.16,1.21,444326789.0,1042902942.0,861903257.0
8,2021-11-25,1.48,1.66,1.27,1.55,1602842997.0,1331344481.0,858931923.0
9,2021-11-24,1.19,1.54,1.14,1.15,447491299.0,987354897.0,858569475.0
10,2021-11-23,1.14,1.21,1.07,1.19,527069461.0,1027197911.0,863191521.0
11,2021-11-22,1.08,1.15,1.01,1.14,386942685.0,984216755.0,863348030.0
12,2021-11-21,1.11,1.14,1.05,1.08,281789723.0,930318370.0,861405898.0
13,2021-11-20,1.01,1.24,0.9933,1.12,799699300.0,963306902.0,860095448.0
14,2021-11-19,0.9095,1.02,0.8647,0.9959,464666202.0,857694331.0,861225354.0
15,2021-11-18,1.19,1.19,0.8639,0.9106,633227245.0,809006887.0,888432777.0
16,2021-11-17,1.17,1.53,0.9889,1.18,2575236871.0,1046785021.0,887105950.0
17,2021-11-16,0.5536,1.19,0.5388,1.15,4930815331.0,1021453459.0,888220399.0
18,2021-11-15,0.4383,0.6327,0.4067,0.5543,1250747651.0,492436596.0,888393642.0
19,2021-11-14,0.3644,0.4505,0.3632,0.4398,206832809.0,390773667.0,888525845.0
20,2021-11-13,0.3583,0.3842,0.3561,0.3645,74999603.0,323841862.0,888455039.0
