,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-06,21.17,23.36,17.89,19.87,33262890.0,101063299.0,5086225.0
1,2021-12-05,22.88,23.6,20.59,21.17,12966460.0,107247196.0,5065998.0
2,2021-12-04,24.47,24.54,20.08,22.88,22692406.0,115875388.0,5064483.0
3,2021-12-03,26.06,26.95,24.02,24.52,28232644.0,124087405.0,5060660.0
4,2021-12-02,25.33,30.12,24.63,26.04,48118477.0,131660677.0,5056093.0
5,2021-12-01,24.35,25.72,24.29,25.33,16440884.0,127998053.0,5053219.0
6,2021-11-30,24.94,26.07,24.24,24.34,19817040.0,122852590.0,5047353.0
7,2021-11-29,25.65,25.87,24.43,24.93,16415059.0,125788542.0,5045669.0
8,2021-11-28,25.94,26.24,24.18,25.61,14895416.0,127990761.0,4997686.0
9,2021-11-27,24.81,26.76,24.74,25.95,18010117.0,129687597.0,4997595.0
10,2021-11-26,26.89,27.08,24.73,24.82,18681545.0,124035850.0,4997415.0
11,2021-11-25,25.8,28.21,25.61,26.01,16470289.0,129988574.0,4997638.0
12,2021-11-24,27.59,27.67,25.6,27.03,16229253.0,135080796.0,4997439.0
13,2021-11-23,27.38,28.36,27.2,27.6,16923004.0,137933952.0,4997606.0
14,2021-11-22,28.69,28.69,27.07,27.46,19524977.0,137153969.0,4994682.0
15,2021-11-21,29.62,30.46,28.54,28.59,19707285.0,141839285.0,4961150.0
16,2021-11-20,29.09,30.3,28.49,29.6,15631022.0,146876427.0,4962041.0
17,2021-11-19,28.31,29.88,27.26,29.1,17904619.0,144237530.0,4956616.0
18,2021-11-18,29.82,30.33,28.14,28.38,14230442.0,140655079.0,4956133.0
19,2021-11-17,29.89,30.59,28.51,29.76,16202839.0,147475745.0,4955502.0
20,2021-11-16,31.55,33.28,28.99,29.92,11423391.0,148132251.0,4950944.0
21,2021-11-15,32.7,33.06,31.4,31.58,9347236.0,155222063.0,4915201.0
22,2021-11-14,32.92,33.21,31.83,32.7,15903375.0,160700044.0,4914374.0
23,2021-11-13,33.19,33.56,32.36,32.93,13808995.0,160242609.0,4866158.0
24,2021-11-12,35.11,35.6,32.74,33.16,24970808.0,161384831.0,4866852.0
25,2021-11-11,35.82,37.47,34.83,35.22,30557029.0,171393390.0,4866365.0
26,2021-11-10,37.18,53.17,34.45,35.82,122573985.0,174330635.0,4866851.0
27,2021-11-09,34.85,38.73,33.77,37.19,33448567.0,180990602.0,4866647.0
28,2021-11-08,33.71,37.24,32.68,34.78,42531653.0,169202006.0,4864922.0
29,2021-11-07,29.63,35.9,29.15,33.8,52031720.0,163136078.0,4826511.0
30,2021-11-06,28.69,29.71,28.52,29.63,16751479.0,143018127.0,4826801.0
