,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-03,56509.17,57482.17,52496.59,53598.25,39789134215.0,1012490599979.0,18890366.0
1,2021-12-02,57217.37,57349.23,55895.13,56477.82,32379968686.0,1066829261574.0,18889349.0
2,2021-12-01,56907.97,59041.69,56553.08,57229.83,36858195307.0,1080977744339.0,18888361.0
3,2021-11-30,57830.11,59113.4,56057.28,57005.43,36708594618.0,1076689232562.0,18887485.0
4,2021-11-29,57291.9,58872.88,56792.53,57806.57,32370840356.0,1091773828974.0,18886673.0
5,2021-11-28,54813.02,57393.84,53576.74,57248.46,28116886357.0,1081180416262.0,18885755.0
6,2021-11-27,53736.43,55329.26,53668.36,54815.08,30560857714.0,1035176249679.0,18884880.0
7,2021-11-26,58960.29,59183.48,53569.76,53569.76,41810748221.0,1011613083342.0,18884032.0
8,2021-11-25,57165.42,59367.97,57146.69,57274.68,34284016248.0,1081500188674.0,18882692.0
9,2021-11-24,57565.85,57803.07,55964.22,56280.43,36635566789.0,1062661698465.0,18881549.0
10,2021-11-23,56304.56,57875.52,55632.76,57569.07,37485803899.0,1086985075773.0,18881407.0
11,2021-11-22,58706.85,59266.36,55679.84,56289.29,35036121783.0,1062772703759.0,18880549.0
12,2021-11-21,59730.51,60004.43,58618.93,58730.48,26123447605.0,1108812311533.0,18879673.0
13,2021-11-20,58115.08,59859.88,57469.73,59697.2,30624264863.0,1127014430118.0,18878849.0
14,2021-11-19,56896.13,58351.11,55705.18,58119.58,38702407772.0,1097177697853.0,18877935.0
15,2021-11-18,60360.14,60948.5,56550.79,56942.14,41388338699.0,1074900976539.0,18877073.0
16,2021-11-17,60139.62,60823.61,58515.41,60368.01,39178392930.0,1139519389072.0,18876212.0
17,2021-11-16,63721.2,63721.2,59016.34,60161.25,46844335592.0,1135559300073.0,18875261.0
18,2021-11-15,65521.29,66281.57,63548.14,63557.87,30558763548.0,1199611097094.0,18874312.0
19,2021-11-14,64455.37,65495.18,63647.81,65466.84,25122092191.0,1235578996842.0,18873356.0
20,2021-11-13,64158.12,64915.67,63303.73,64469.53,30474228777.0,1216695126358.0,18872405.0
21,2021-11-12,64863.98,65460.81,62333.91,64155.94,36084893887.0,1210715199478.0,18871443.0
22,2021-11-11,64978.89,65579.01,64180.49,64949.96,35880633236.0,1225643127560.0,18870575.0
23,2021-11-10,66953.34,68789.63,63208.11,64995.23,48730828378.0,1226431510693.0,18869561.0
24,2021-11-09,67549.74,68530.34,66382.06,66971.83,42357991721.0,1263667113597.0,18868636.0
25,2021-11-08,63344.07,67673.74,63344.07,67566.83,41125608330.0,1274831490851.0,18867712.0
26,2021-11-07,61554.92,63326.99,61432.49,63326.99,24726754302.0,1194778776481.0,18866817.0
27,2021-11-06,61068.87,61590.68,60163.78,61527.48,29094934221.0,1160769349887.0,18865868.0
28,2021-11-05,61460.08,62541.47,60844.61,61125.67,30605102446.0,1153128571128.0,18864882.0
29,2021-11-04,62941.8,63123.29,60799.66,61452.23,32615846901.0,1159231375022.0,18863943.0
30,2021-11-03,63254.33,63516.94,61184.24,62970.05,36124731509.0,1187808286560.0,18863067.0
31,2021-11-02,60963.25,64242.79,60673.06,63226.4,37746665647.0,1192577136210.0,18862012.0
32,2021-11-01,61320.45,62419.0,59695.18,61004.41,36150572843.0,1150606762880.0,18861042.0
33,2021-10-31,61850.49,62406.17,60074.33,61318.96,32241199927.0,1156485845063.0,18860167.0
34,2021-10-30,62239.36,62330.15,60918.39,61888.83,32157938616.0,1167178054167.0,18859268.0
35,2021-10-29,60624.87,62927.61,60329.97,62227.96,36856881767.0,1173512442368.0,18858282.0
36,2021-10-28,58470.73,62128.63,58206.92,60622.14,45257083247.0,1143165999365.0,18857235.0
37,2021-10-27,60352.0,61435.18,58208.19,58482.39,43657076893.0,1102757767323.0,18856236.0
38,2021-10-26,63032.76,63229.03,59991.16,60363.79,34878965587.0,1138177770430.0,18855306.0
39,2021-10-25,60893.93,63729.33,60691.8,63039.83,31064911614.0,1188575312422.0,18854354.0
40,2021-10-24,61368.34,61505.8,59643.35,60930.84,27316183882.0,1148743134468.0,18853229.0
41,2021-10-23,60694.63,61743.88,59826.52,61393.62,26882546034.0,1157410091263.0,18852286.0
42,2021-10-22,62237.89,63715.02,60122.8,60692.26,38434082775.0,1144131483274.0,18851357.0
43,2021-10-21,66002.23,66600.55,62117.41,62210.17,45908121370.0,1172684282558.0,18850362.0
44,2021-10-20,64284.59,66930.39,63610.67,65992.84,40788955582.0,1243927428207.0,18849430.0
45,2021-10-19,62043.17,64434.53,61622.93,64261.99,40471196346.0,1211242526571.0,18848506.0
46,2021-10-18,61548.8,62614.66,60012.76,62026.08,38055562075.0,1169039169043.0,18847542.0
47,2021-10-17,60887.65,61645.52,59164.47,61553.62,29032367511.0,1160077513368.0,18846617.0
