,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-06,1.46,1.48,1.23,1.46,2403776.0,41913693.0,28708008.0
1,2021-12-05,1.51,1.59,1.39,1.46,1841917.0,41688810.0,28553979.0
2,2021-12-04,1.86,1.88,1.48,1.51,2166349.0,43362852.0,28717120.0
3,2021-12-03,1.98,2.02,1.8,1.86,2857038.0,53377855.0,28697771.0
4,2021-12-02,2.03,2.26,1.78,1.98,2961369.0,56628462.0,28600233.0
5,2021-12-01,2.06,2.17,1.94,2.03,3172962.0,58236823.0,28688090.0
6,2021-11-30,2.14,2.24,2.03,2.07,2778312.0,59106032.0,28553638.0
7,2021-11-29,2.06,2.31,1.97,2.14,3451663.0,61344082.0,28665458.0
8,2021-11-28,2.0,2.39,1.87,2.06,4326737.0,58939741.0,28611524.0
9,2021-11-27,1.78,2.15,1.78,2.0,3102042.0,57263886.0,28631943.0
10,2021-11-26,2.12,2.14,1.77,1.79,3092233.0,51138064.0,28568750.0
11,2021-11-25,1.86,2.23,1.84,1.99,2478922.0,57018965.0,28652746.0
12,2021-11-24,2.36,2.37,1.77,2.23,2986043.0,64002877.0,28700841.0
13,2021-11-23,2.07,2.36,1.95,2.36,3548079.0,67643058.0,28662312.0
14,2021-11-22,2.3,2.3,1.99,2.07,3319990.0,59245108.0,28620825.0
15,2021-11-21,2.22,2.5,1.95,2.3,3678135.0,65792297.0,28605346.0
16,2021-11-20,2.26,2.39,2.0,2.22,3793631.0,63562784.0,28631884.0
17,2021-11-19,1.81,2.31,1.8,2.26,3979400.0,57650947.0,25509268.0
18,2021-11-18,2.45,2.6,1.75,1.81,3865933.0,46111809.0,25476137.0
19,2021-11-17,2.65,3.36,2.28,2.45,4006281.0,62302454.0,25429573.0
20,2021-11-16,2.8,13.19,2.44,2.65,4527353.0,67401409.0,25434493.0
21,2021-11-15,3.05,3.34,2.66,2.8,5516327.0,71310954.0,25468197.0
22,2021-11-14,2.34,3.41,2.31,3.05,9551832.0,77690471.0,25472285.0
23,2021-11-13,2.06,2.86,1.79,2.34,7051714.0,59616389.0,25477089.0
24,2021-11-12,2.21,2.38,1.89,2.06,5627022.0,52420706.0,25446944.0
