,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-06,2.62,2.62,2.36,2.49,2231035.0,27935670.0,11219144.0
1,2021-12-05,2.71,2.85,2.59,2.62,1243808.0,29446475.0,11239112.0
2,2021-12-04,2.83,2.85,2.54,2.71,3207528.0,30445596.0,11234537.0
3,2021-12-03,3.0,3.09,2.82,2.83,1887721.0,31861938.0,11258635.0
4,2021-12-02,3.02,3.07,2.91,3.0,1870473.0,33671877.0,11223959.0
5,2021-12-01,3.09,3.15,2.94,3.03,2533101.0,33999930.0,11221099.0
6,2021-11-30,3.29,3.3,3.09,3.09,2192607.0,34771938.0,11253054.0
7,2021-11-29,3.15,3.3,3.12,3.29,1865383.0,36921172.0,11222240.0
8,2021-11-28,3.32,3.32,3.04,3.15,1773288.0,35387650.0,11234174.0
9,2021-11-27,3.36,3.4,3.22,3.32,2333195.0,37352943.0,11250886.0
10,2021-11-26,3.59,3.6,3.24,3.36,2477477.0,37809998.0,11252975.0
11,2021-11-25,3.31,3.73,3.27,3.33,2986329.0,37469399.0,11252071.0
12,2021-11-24,3.41,3.48,3.25,3.35,3154946.0,37633736.0,11233951.0
13,2021-11-23,3.37,3.48,3.26,3.41,3217528.0,38343677.0,11244480.0
14,2021-11-22,3.55,3.65,3.37,3.38,3351884.0,37987465.0,11238894.0
15,2021-11-21,3.67,3.86,3.52,3.55,3807553.0,39907803.0,11241634.0
16,2021-11-20,3.79,3.79,3.58,3.67,3411366.0,41260669.0,11242689.0
17,2021-11-19,3.49,3.9,3.49,3.79,3631285.0,42592288.0,11238070.0
18,2021-11-18,3.99,4.01,3.28,3.49,2296630.0,39279276.0,11254806.0
19,2021-11-17,4.02,4.15,3.91,3.98,1729087.0,44756575.0,11245370.0
20,2021-11-16,4.51,4.51,3.94,4.02,3263052.0,45141938.0,11229337.0
21,2021-11-15,4.52,4.58,4.4,4.51,2066157.0,50635296.0,11227338.0
22,2021-11-14,4.56,4.59,4.36,4.52,772814.0,50785816.0,11235800.0
23,2021-11-13,4.25,4.83,4.21,4.6,889641.0,51676253.0,11233968.0
24,2021-11-12,4.17,4.68,4.13,4.25,2569627.0,47747931.0,11234807.0
25,2021-11-11,3.94,4.32,3.94,4.17,1977906.0,46864017.0,11238373.0
26,2021-11-10,4.15,5.23,3.46,3.94,2573903.0,44296111.0,11242667.0
27,2021-11-09,4.13,4.19,4.06,4.15,2266622.0,46659760.0,11243315.0
28,2021-11-08,4.25,4.28,4.06,4.13,2876809.0,46459685.0,11249318.0
29,2021-11-07,4.08,4.35,4.04,4.24,1922597.0,47704643.0,11251095.0
30,2021-11-06,4.14,4.25,4.06,4.08,1686003.0,45820519.0,11230519.0
31,2021-11-05,4.43,4.44,4.1,4.14,1275233.0,46524597.0,11237825.0
32,2021-11-04,4.59,4.6,4.35,4.43,1377241.0,49799597.0,11241444.0
33,2021-11-03,4.84,4.85,4.57,4.59,1243773.0,51553457.0,11231689.0
34,2021-11-02,5.19,5.22,4.79,4.84,1619202.0,54381869.0,11235923.0
35,2021-11-01,5.35,5.41,4.85,5.18,2135436.0,58181624.0,11231973.0
36,2021-10-31,4.89,5.44,4.28,5.35,3214823.0,60114900.0,11236429.0
37,2021-10-30,4.9,5.17,4.61,4.9,2423372.0,55094177.0,11243709.0
38,2021-10-29,4.46,4.92,4.21,4.9,3381546.0,55020847.0,11228744.0
39,2021-10-28,4.38,4.59,4.2,4.46,2662038.0,50115107.0,11236571.0
40,2021-10-27,4.7,4.99,4.34,4.38,2284374.0,49187218.0,11229958.0
41,2021-10-26,4.22,5.19,4.22,4.69,2695495.0,52708588.0,11238504.0
42,2021-10-25,4.09,4.25,4.08,4.22,1375142.0,47449348.0,11243921.0
43,2021-10-24,4.22,4.3,4.07,4.09,1544882.0,45990801.0,11244694.0
44,2021-10-23,4.08,4.28,4.06,4.22,1351061.0,47466935.0,11248088.0
45,2021-10-22,4.2,4.22,4.01,4.08,1373822.0,45811889.0,11228404.0
46,2021-10-21,4.39,4.44,4.08,4.2,1447654.0,47238372.0,11247231.0
47,2021-10-20,4.18,4.49,4.17,4.39,1381686.0,49364226.0,11244698.0
48,2021-10-19,4.04,4.24,4.02,4.18,1142192.0,46963486.0,11235283.0
49,2021-10-18,4.25,4.3,4.01,4.04,1658320.0,45437607.0,11246932.0
50,2021-10-17,4.38,4.39,4.07,4.25,1975825.0,47810669.0,11249569.0
51,2021-10-16,4.28,4.57,4.26,4.38,1611446.0,49206851.0,11234440.0
52,2021-10-15,4.35,4.35,4.24,4.28,1763283.0,48129247.0,11245151.0
53,2021-10-14,4.58,4.81,4.32,4.35,1876144.0,48885948.0,11238148.0
54,2021-10-13,4.07,4.8,3.97,4.58,2396559.0,51461589.0,11236154.0
55,2021-10-12,4.19,4.22,3.98,4.07,1563419.0,45766390.0,11244813.0
56,2021-10-11,4.48,4.55,4.14,4.18,1555138.0,47031771.0,11251619.0
57,2021-10-10,4.63,4.7,4.44,4.48,2022508.0,50342585.0,11237184.0
58,2021-10-09,4.43,4.72,4.34,4.63,1554780.0,52024239.0,11236336.0
59,2021-10-08,4.5,4.58,4.34,4.43,1446864.0,49817685.0,11245527.0
60,2021-10-07,5.01,5.01,4.47,4.5,1514980.0,50552612.0,11233913.0
61,2021-10-06,4.41,5.45,4.29,5.0,2917479.0,56218863.0,11243772.0
62,2021-10-05,4.21,4.48,4.19,4.41,1776363.0,49588951.0,11244660.0
63,2021-10-04,4.8,4.8,4.2,4.21,1803656.0,47301845.0,11235592.0
64,2021-10-03,4.65,4.97,4.44,4.8,1703011.0,53938525.0,11237192.0
65,2021-10-02,4.83,4.9,4.64,4.65,1511801.0,52247359.0,11235991.0
66,2021-10-01,4.44,4.94,4.32,4.83,1994071.0,54326990.0,11247824.0
67,2021-09-30,4.09,4.45,4.02,4.44,2831009.0,49907767.0,11240488.0
68,2021-09-29,4.01,4.37,3.95,4.09,1713717.0,46011673.0,11249797.0
69,2021-09-28,4.31,4.46,3.99,4.0,1969520.0,44965429.0,11241357.0
70,2021-09-27,5.1,5.15,4.18,4.3,2597258.0,48367198.0,11248185.0
71,2021-09-26,5.64,5.68,5.06,5.1,1909893.0,57345152.0,11244147.0
72,2021-09-25,5.91,5.94,5.54,5.65,1234506.0,63448534.0,11229829.0
73,2021-09-24,6.67,6.67,5.38,5.91,2228827.0,66440473.0,11242042.0
74,2021-09-23,6.07,6.76,5.94,6.67,2602039.0,74984485.0,11242051.0
75,2021-09-22,5.09,6.11,4.86,6.07,2653526.0,68246662.0,11243272.0
76,2021-09-21,6.1,6.12,4.96,5.09,2301856.0,57187509.0,11235266.0
77,2021-09-20,6.76,6.76,5.58,6.1,3033069.0,68508184.0,11230849.0
78,2021-09-19,7.21,7.32,6.57,6.76,2529803.0,75933541.0,11232772.0
79,2021-09-18,6.2,7.24,5.67,7.21,2812254.0,81069599.0,11244049.0
80,2021-09-17,6.34,6.37,5.52,6.21,2615104.0,69705624.0,11224738.0
81,2021-09-16,5.2,6.74,5.02,6.35,3234605.0,71273586.0,11224186.0
82,2021-09-15,5.34,5.41,5.14,5.2,2143006.0,58293019.0,11210195.0
83,2021-09-14,4.94,5.47,4.76,5.34,2664224.0,59909658.0,11219037.0
84,2021-09-13,4.34,5.12,3.98,4.93,4308592.0,55282127.0,11213413.0
85,2021-09-12,4.15,4.62,4.01,4.34,2921767.0,48579443.0,11193420.0
86,2021-09-11,3.97,4.35,3.85,4.15,1384718.0,46381447.0,11176252.0
87,2021-09-10,4.0,4.52,3.83,3.98,2432611.0,44525468.0,11187303.0
88,2021-09-09,4.07,4.16,3.95,3.97,1383063.0,44407316.0,11185721.0
89,2021-09-08,4.19,4.24,3.91,4.09,1674287.0,45715243.0,11177321.0
