,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-04,0.4759,0.4759,0.3106,0.4015,133111830.0,268982404.0,669943721.0
1,2021-12-03,0.5375,0.5381,0.4635,0.4744,58817744.0,317819552.0,669940033.0
2,2021-12-02,0.571,0.579,0.5235,0.5376,63281161.0,360183983.0,669985087.0
3,2021-12-01,0.5363,0.5759,0.5363,0.5718,75811659.0,383079298.0,669953301.0
4,2021-11-30,0.5725,0.5725,0.5349,0.5369,65326335.0,359716802.0,669988455.0
5,2021-11-29,0.5791,0.5953,0.5594,0.572,97645703.0,383252149.0,670021239.0
6,2021-11-28,0.6203,0.6486,0.5359,0.5785,227386386.0,387573153.0,669962235.0
7,2021-11-27,0.5799,0.6299,0.5446,0.6159,420564759.0,412621135.0,669948262.0
8,2021-11-26,0.5129,0.6104,0.5007,0.5787,646784293.0,387697892.0,669946245.0
9,2021-11-25,0.5055,0.5201,0.4914,0.4981,72654697.0,333719526.0,669984994.0
10,2021-11-24,0.5257,0.5257,0.4897,0.5026,92360484.0,336734912.0,669985897.0
11,2021-11-23,0.5452,0.5452,0.5092,0.5246,119953883.0,351458860.0,669955890.0
12,2021-11-22,0.551,0.6405,0.543,0.5435,507442453.0,364127536.0,669967867.0
13,2021-11-21,0.5604,0.5744,0.5198,0.5514,168962116.0,369448453.0,670018957.0
14,2021-11-20,0.4789,0.5758,0.4783,0.5589,396503778.0,374463247.0,670000441.0
15,2021-11-19,0.4566,0.4816,0.4395,0.4804,49553614.0,321879040.0,670022980.0
16,2021-11-18,0.5008,0.5188,0.4447,0.4558,127555342.0,305379711.0,669986202.0
17,2021-11-17,0.4638,0.5295,0.4485,0.5001,184437773.0,335074079.0,670014155.0
18,2021-11-16,0.4944,0.4944,0.4203,0.4621,96113415.0,309576436.0,669933858.0
19,2021-11-15,0.4912,0.5079,0.4793,0.4931,75872055.0,330387371.0,670021032.0
20,2021-11-14,0.47,0.4988,0.4663,0.4889,66268370.0,327567224.0,670008639.0
21,2021-11-13,0.4571,0.4714,0.4571,0.4703,31610370.0,315128742.0,670058987.0
22,2021-11-12,0.4678,0.4686,0.4428,0.4569,32425871.0,306145273.0,670048748.0
23,2021-11-11,0.4613,0.4752,0.454,0.4684,40727015.0,313835355.0,670015702.0
24,2021-11-10,0.4897,0.5035,0.4304,0.462,80652806.0,309523751.0,669964829.0
25,2021-11-09,0.4912,0.5022,0.4816,0.4903,54842423.0,328516648.0,670031915.0
26,2021-11-08,0.4916,0.503,0.4766,0.4903,58319216.0,328488330.0,669974158.0
27,2021-11-07,0.4998,0.5055,0.4874,0.4915,30307037.0,329285338.0,669959995.0
28,2021-11-06,0.5161,0.5161,0.4792,0.5002,45207278.0,335145124.0,670022239.0
29,2021-11-05,0.4934,0.518,0.4907,0.5138,108659247.0,344217218.0,669943982.0
30,2021-11-04,0.4901,0.5371,0.48,0.4918,180747712.0,329538885.0,670066866.0
31,2021-11-03,0.4971,0.5118,0.4555,0.4892,127406483.0,327744185.0,669959495.0
32,2021-11-02,0.4791,0.498,0.4631,0.4974,89626370.0,333284103.0,670052478.0
33,2021-11-01,0.4713,0.491,0.4415,0.4778,154470646.0,320153471.0,670057494.0
34,2021-10-31,0.4772,0.658,0.457,0.4721,540025758.0,316334133.0,670057472.0
35,2021-10-30,0.4631,0.4784,0.4504,0.476,64314664.0,318949303.0,670061560.0
36,2021-10-29,0.4404,0.4661,0.4368,0.4616,60113730.0,309292518.0,670044449.0
37,2021-10-28,0.4187,0.4427,0.4107,0.4385,35866826.0,293815755.0,670047331.0
38,2021-10-27,0.4812,0.4834,0.3912,0.4194,73665659.0,280974411.0,669943755.0
39,2021-10-26,0.4815,0.4964,0.4731,0.4819,39401429.0,322867271.0,669988111.0
40,2021-10-25,0.47,0.483,0.4685,0.4812,20097161.0,322405331.0,670002766.0
41,2021-10-24,0.4823,0.4825,0.4572,0.4702,23755615.0,315044897.0,670023175.0
42,2021-10-23,0.4789,0.4834,0.4696,0.4825,23956317.0,323288597.0,670028180.0
43,2021-10-22,0.468,0.4856,0.4657,0.4791,33681069.0,321024716.0,670057850.0
44,2021-10-21,0.4869,0.4947,0.4631,0.4687,40550963.0,313996572.0,669930812.0
45,2021-10-20,0.4743,0.4887,0.4645,0.4879,34232011.0,326917339.0,670049885.0
46,2021-10-19,0.474,0.4772,0.4642,0.4722,27472464.0,316345107.0,669938811.0
47,2021-10-18,0.4701,0.4763,0.4593,0.4737,36462410.0,317348201.0,669934982.0
48,2021-10-17,0.4821,0.4855,0.4553,0.4691,32646206.0,314289115.0,669983191.0
49,2021-10-16,0.4822,0.4937,0.474,0.4824,55945455.0,323178566.0,669938984.0
50,2021-10-15,0.5111,0.5378,0.47,0.4821,148658624.0,323027149.0,670041794.0
51,2021-10-14,0.5058,0.5141,0.5001,0.5101,38048074.0,341749478.0,669965649.0
52,2021-10-13,0.4889,0.5099,0.4777,0.5059,44840711.0,338927335.0,669949268.0
53,2021-10-12,0.4977,0.4977,0.4543,0.4893,50562811.0,327809277.0,669955603.0
54,2021-10-11,0.502,0.5196,0.4831,0.4977,58774617.0,333460564.0,670003142.0
55,2021-10-10,0.5289,0.5352,0.4987,0.5016,62040575.0,336090090.0,670036064.0
56,2021-10-09,0.569,0.5892,0.5193,0.528,129852233.0,353786120.0,670049469.0
57,2021-10-08,0.5488,0.5722,0.5236,0.5698,135730285.0,381743910.0,669961232.0
58,2021-10-07,0.5561,0.5561,0.5202,0.547,92618352.0,366471100.0,669965447.0
59,2021-10-06,0.5236,0.5861,0.5035,0.5561,239504836.0,372603996.0,670030562.0
60,2021-10-05,0.5123,0.5337,0.4966,0.5212,88401849.0,349179376.0,669952755.0
61,2021-10-04,0.5201,0.5389,0.4895,0.5114,121661428.0,342658216.0,670039530.0
62,2021-10-03,0.4756,0.5498,0.4746,0.5191,186222376.0,347774913.0,669957451.0
63,2021-10-02,0.4783,0.4947,0.4656,0.4779,68685523.0,320198990.0,670012534.0
64,2021-10-01,0.4357,0.4788,0.4353,0.4781,112700580.0,320307160.0,669958502.0
65,2021-09-30,0.397,0.4543,0.3936,0.436,148920466.0,292088197.0,669927057.0
66,2021-09-29,0.3944,0.4146,0.389,0.397,43513494.0,265999894.0,670024921.0
67,2021-09-28,0.4157,0.4264,0.3926,0.3936,41255667.0,263710696.0,669996686.0
68,2021-09-27,0.4367,0.4482,0.4153,0.4161,49736036.0,278754190.0,669921148.0
69,2021-09-26,0.4578,0.4578,0.4075,0.436,59259159.0,292102973.0,669960947.0
70,2021-09-25,0.4816,0.4927,0.4478,0.4582,79802731.0,306986027.0,669982599.0
71,2021-09-24,0.5337,0.5337,0.442,0.4824,190403899.0,323221792.0,670028590.0
72,2021-09-23,0.4308,0.5389,0.4123,0.528,282410288.0,353747576.0,669976469.0
73,2021-09-22,0.3816,0.433,0.3725,0.4309,77613110.0,288705188.0,670005077.0
74,2021-09-21,0.4204,0.4319,0.3748,0.3821,66361582.0,255979802.0,669928819.0
75,2021-09-20,0.5003,0.5044,0.4025,0.4175,124811307.0,279744484.0,670046668.0
76,2021-09-19,0.5371,0.5371,0.4901,0.5001,64048840.0,335038759.0,669943529.0
77,2021-09-18,0.5519,0.5619,0.5291,0.5389,79714154.0,361033357.0,669944993.0
78,2021-09-17,0.5368,0.6035,0.5222,0.5511,289478527.0,369242759.0,670010450.0
79,2021-09-16,0.5315,0.5532,0.5094,0.5389,129235844.0,361078512.0,670028784.0
80,2021-09-15,0.5063,0.5379,0.4978,0.532,80692105.0,356426327.0,669974298.0
81,2021-09-14,0.4936,0.5187,0.4892,0.5062,109468907.0,339121533.0,669935861.0
82,2021-09-13,0.5202,0.5719,0.4639,0.4927,222137918.0,330131183.0,670045023.0
83,2021-09-12,0.527,0.5318,0.4983,0.5196,76760399.0,348124599.0,669985756.0
84,2021-09-11,0.5288,0.5522,0.5194,0.527,95899204.0,353068281.0,669958787.0
85,2021-09-10,0.5831,0.5882,0.5082,0.5271,140449890.0,353141830.0,669971219.0
86,2021-09-09,0.6036,0.6469,0.5099,0.5823,528076647.0,390139575.0,669997552.0
87,2021-09-08,0.5077,0.5462,0.4635,0.5338,275676439.0,357637547.0,669984164.0
88,2021-09-07,0.6371,0.6794,0.4334,0.5069,482914884.0,339624874.0,670003696.0
89,2021-09-06,0.6253,0.6559,0.5967,0.6377,547944892.0,427280290.0,670033385.0
90,2021-09-05,0.9457,0.9567,0.6141,0.6244,1116576825.0,418321380.0,669957367.0
91,2021-09-04,0.3935,0.9594,0.3929,0.9594,3984306813.0,642767222.0,669967919.0
92,2021-09-03,0.3568,0.4012,0.3471,0.3923,150864410.0,262823540.0,669955493.0
93,2021-09-02,0.3524,0.3659,0.3476,0.3551,51103905.0,237890830.0,669926302.0
94,2021-09-01,0.3402,0.3547,0.3333,0.3526,50289741.0,236220149.0,669938028.0
95,2021-08-31,0.3342,0.3633,0.3226,0.3409,87009626.0,228400251.0,669991936.0
