,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-06,0.01942,0.01951,0.01754,0.01921,1145691.0,27415390.0,1427141592.0
1,2021-12-05,0.01895,0.02189,0.01862,0.01941,1502052.0,27693634.0,1426771458.0
2,2021-12-04,0.02174,0.02176,0.01744,0.01895,1990468.0,27010308.0,1425346068.0
3,2021-12-03,0.024,0.02412,0.02168,0.02173,1208477.0,30970859.0,1425258122.0
4,2021-12-02,0.02513,0.02519,0.02376,0.02404,949968.0,34203988.0,1422794841.0
5,2021-12-01,0.02599,0.02676,0.02503,0.02513,1125112.0,35660408.0,1419037325.0
6,2021-11-30,0.02667,0.02705,0.02583,0.02599,1136264.0,36857111.0,1418126625.0
7,2021-11-29,0.027,0.02751,0.02571,0.02668,1383686.0,37796948.0,1416677211.0
8,2021-11-28,0.02696,0.02744,0.02522,0.027,2001531.0,27588081.0,1021780777.0
9,2021-11-27,0.02732,0.03512,0.02624,0.02694,7569408.0,27532356.0,1021987973.0
10,2021-11-26,0.03075,0.03136,0.02662,0.02731,3603767.0,27908932.0,1021930867.0
11,2021-11-25,0.02746,0.03099,0.02728,0.02814,4644974.0,28755758.0,1021881947.0
12,2021-11-24,0.02836,0.03148,0.02734,0.02972,5746600.0,30373316.0,1021982368.0
13,2021-11-23,0.02593,0.02947,0.02585,0.02836,5235231.0,28978492.0,1021808603.0
14,2021-11-22,0.02768,0.02768,0.02547,0.02588,2783617.0,26446182.0,1021877202.0
15,2021-11-21,0.02803,0.02855,0.02756,0.02768,1640423.0,28283264.0,1021794219.0
16,2021-11-20,0.03062,0.03088,0.0278,0.02804,2383246.0,28649627.0,1021741333.0
17,2021-11-19,0.02825,0.03095,0.02816,0.03063,2753111.0,31297296.0,1021785700.0
18,2021-11-18,0.02795,0.03285,0.02781,0.02826,3066565.0,28880798.0,1021967374.0
19,2021-11-17,0.02689,0.02862,0.02603,0.02796,2674089.0,28568376.0,1021758798.0
20,2021-11-16,0.03043,0.03122,0.02666,0.02688,2971220.0,27469099.0,1021915885.0
21,2021-11-15,0.03192,0.03368,0.03004,0.0304,2472020.0,31061038.0,1021744671.0
22,2021-11-14,0.03256,0.03331,0.03087,0.03191,1972972.0,32606056.0,1021813099.0
23,2021-11-13,0.03184,0.0333,0.03181,0.03257,2202741.0,33281155.0,1021834663.0
24,2021-11-12,0.03389,0.03623,0.03125,0.03181,2797357.0,32505553.0,1021865859.0
25,2021-11-11,0.03555,0.03677,0.0335,0.03392,3966856.0,34664813.0,1021957930.0
26,2021-11-10,0.04359,0.0436,0.03324,0.03558,6008988.0,36356582.0,1021826363.0
27,2021-11-09,0.04965,0.05006,0.04215,0.04369,6708700.0,44643007.0,1021812932.0
28,2021-11-08,0.03786,0.05111,0.03717,0.0496,5977378.0,50684825.0,1021871471.0
29,2021-11-07,0.03382,0.03979,0.03371,0.03786,2885245.0,38691573.0,1021964421.0
30,2021-11-06,0.03435,0.03541,0.03283,0.03381,2447307.0,34550259.0,1021894676.0
31,2021-11-05,0.03693,0.03786,0.03332,0.03436,3591908.0,35109879.0,1021824185.0
32,2021-11-04,0.03718,0.03953,0.0341,0.03693,2990482.0,37743038.0,1022015651.0
33,2021-11-03,0.03912,0.03985,0.03619,0.03717,2041844.0,37988240.0,1022013451.0
34,2021-11-02,0.03046,0.0395,0.03043,0.03916,3243522.0,40019801.0,1021956103.0
35,2021-11-01,0.03,0.03116,0.02982,0.03046,1723860.0,31128989.0,1021962869.0
36,2021-10-31,0.03151,0.03246,0.02851,0.02999,1575037.0,30650465.0,1022022840.0
37,2021-10-30,0.03107,0.03224,0.03048,0.03151,1057660.0,32202643.0,1021981688.0
38,2021-10-29,0.02997,0.03158,0.02864,0.03108,1377506.0,31759075.0,1021849259.0
39,2021-10-28,0.02787,0.03065,0.02774,0.02998,1791395.0,30635016.0,1021848432.0
40,2021-10-27,0.03155,0.03183,0.02699,0.02789,2369477.0,28496906.0,1021760702.0
41,2021-10-26,0.03429,0.0347,0.03118,0.03155,1636008.0,32239211.0,1021845039.0
42,2021-10-25,0.03428,0.03448,0.03345,0.03428,1270395.0,35033405.0,1021977975.0
43,2021-10-24,0.03651,0.0366,0.03406,0.03428,1083889.0,35031182.0,1021913127.0
44,2021-10-23,0.03552,0.03654,0.0349,0.03651,895726.0,37304879.0,1021771542.0
45,2021-10-22,0.0374,0.03791,0.03538,0.03552,1189336.0,36292773.0,1021755996.0
46,2021-10-21,0.03909,0.04077,0.0369,0.03739,1584962.0,38211876.0,1021981171.0
47,2021-10-20,0.03656,0.03921,0.03656,0.0391,1115475.0,39955744.0,1021886035.0
48,2021-10-19,0.03681,0.03684,0.03601,0.03657,1255657.0,37366627.0,1021783620.0
49,2021-10-18,0.03871,0.03919,0.03574,0.0368,1643360.0,37603746.0,1021840923.0
50,2021-10-17,0.03928,0.04032,0.03735,0.03872,1436800.0,39562910.0,1021769369.0
51,2021-10-16,0.04162,0.04167,0.03913,0.03929,1757351.0,40146022.0,1021787274.0
52,2021-10-15,0.03715,0.04169,0.03625,0.04161,2801798.0,42517023.0,1021798197.0
53,2021-10-14,0.03435,0.03732,0.03435,0.03715,1547436.0,37964785.0,1021932301.0
54,2021-10-13,0.0335,0.03438,0.03242,0.03434,1791193.0,35088674.0,1021801805.0
55,2021-10-12,0.03385,0.03424,0.033,0.0335,1403742.0,34234442.0,1021923641.0
56,2021-10-11,0.03567,0.03613,0.03365,0.03384,1771880.0,34577624.0,1021797399.0
57,2021-10-10,0.03635,0.03791,0.03557,0.03565,1788798.0,36430939.0,1021905722.0
58,2021-10-09,0.03302,0.03649,0.03285,0.03638,1615399.0,37175283.0,1021860445.0
59,2021-10-08,0.03359,0.03452,0.03273,0.03306,1403161.0,33784412.0,1021912038.0
60,2021-10-07,0.03276,0.03435,0.03265,0.0336,1660620.0,34332005.0,1021785863.0
61,2021-10-06,0.03426,0.03473,0.03216,0.03276,1842266.0,33479539.0,1021963949.0
62,2021-10-05,0.02981,0.03463,0.02968,0.03426,3135306.0,35011603.0,1021938207.0
63,2021-10-04,0.03215,0.03227,0.02894,0.02981,2453661.0,30460243.0,1021812915.0
64,2021-10-03,0.02932,0.03259,0.02861,0.03211,2501514.0,32809123.0,1021772749.0
65,2021-10-02,0.02878,0.02987,0.02803,0.02934,1073174.0,29981356.0,1021859441.0
66,2021-10-01,0.02666,0.02935,0.02653,0.02877,1171534.0,29402902.0,1021998679.0
67,2021-09-30,0.02604,0.02753,0.02604,0.02664,1332766.0,27223170.0,1021890765.0
68,2021-09-29,0.0265,0.02731,0.02569,0.02603,2140618.0,26601164.0,1021942527.0
69,2021-09-28,0.02785,0.02827,0.0265,0.0265,1869646.0,27079969.0,1021885622.0
70,2021-09-27,0.02891,0.02976,0.02781,0.02781,1514002.0,28415804.0,1021783674.0
71,2021-09-26,0.02916,0.02968,0.02632,0.02891,1628216.0,29541725.0,1021851435.0
72,2021-09-25,0.02953,0.0301,0.02848,0.02916,1585686.0,29794103.0,1021745644.0
73,2021-09-24,0.03159,0.03165,0.02794,0.02951,1656280.0,30158913.0,1021989596.0
74,2021-09-23,0.03098,0.03313,0.03085,0.03157,2290212.0,32264385.0,1021995090.0
75,2021-09-22,0.02447,0.03103,0.02443,0.03098,3477480.0,31656889.0,1021849225.0
76,2021-09-21,0.02288,0.02666,0.0222,0.02445,2781408.0,24984614.0,1021865603.0
77,2021-09-20,0.02649,0.02652,0.02271,0.02288,1427694.0,23384208.0,1022037062.0
78,2021-09-19,0.02747,0.02754,0.02637,0.02648,758511.0,27060630.0,1021927114.0
79,2021-09-18,0.02706,0.02803,0.02702,0.02749,780724.0,28091738.0,1021889341.0
80,2021-09-17,0.02911,0.02913,0.02698,0.02705,893799.0,27637163.0,1021706580.0
81,2021-09-16,0.02907,0.03011,0.02847,0.02911,991312.0,29743920.0,1021776709.0
82,2021-09-15,0.02947,0.02992,0.02871,0.02907,1058015.0,29705040.0,1021845201.0
83,2021-09-14,0.02657,0.02951,0.02627,0.02951,1505677.0,30151935.0,1021753134.0
84,2021-09-13,0.0288,0.029,0.02595,0.02655,1784106.0,27127739.0,1021760414.0
85,2021-09-12,0.02758,0.02885,0.02715,0.0288,1360863.0,29434196.0,1022020694.0
86,2021-09-11,0.02745,0.02798,0.02709,0.02758,916588.0,28185864.0,1021967512.0
87,2021-09-10,0.02907,0.02997,0.02712,0.02744,1293500.0,28042449.0,1021955138.0
88,2021-09-09,0.03037,0.03114,0.02908,0.02912,1260125.0,29753093.0,1021740831.0
89,2021-09-08,0.03165,0.03285,0.02946,0.03042,1605093.0,31084697.0,1021850657.0
90,2021-09-07,0.03675,0.0382,0.02919,0.03165,3894500.0,32347403.0,1022034849.0
91,2021-09-06,0.0371,0.03748,0.036,0.03675,4180127.0,37554247.0,1021884272.0
92,2021-09-05,0.03682,0.0375,0.03638,0.0371,3880102.0,37908981.0,1021805417.0
93,2021-09-04,0.0359,0.03725,0.03589,0.03683,5056921.0,37634809.0,1021851995.0
94,2021-09-03,0.0354,0.03654,0.03467,0.03591,2823469.0,36696644.0,1021905987.0
