,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-06,0.4711,0.5728,0.4053,0.4703,139800255.0,88104323.0,187336429.0
1,2021-12-05,0.5353,0.6192,0.4337,0.4696,122527536.0,87946889.0,187280428.0
2,2021-12-04,0.8647,0.9047,0.4939,0.535,372678325.0,100184556.0,187260852.0
3,2021-12-03,0.2964,1.36,0.2748,0.8532,1997992902.0,159728881.0,187211534.0
4,2021-12-02,0.2104,0.3693,0.2027,0.2949,146262944.0,55194173.0,187162336.0
5,2021-12-01,0.2067,0.2156,0.2052,0.2104,3366720.0,39370873.0,187123921.0
6,2021-11-30,0.2158,0.2171,0.2068,0.2075,2670924.0,38808109.0,187027031.0
7,2021-11-29,0.2181,0.2207,0.2116,0.2159,3535074.0,40364978.0,186961454.0
8,2021-11-28,0.224,0.2324,0.2048,0.2182,5326742.0,40787444.0,186926874.0
9,2021-11-27,0.2061,0.2476,0.2057,0.2239,14422986.0,41845035.0,186891625.0
10,2021-11-26,0.2265,0.2358,0.2002,0.2059,7225770.0,38471685.0,186846454.0
11,2021-11-25,0.2248,0.2377,0.2224,0.2255,13071017.0,42121810.0,186792949.0
12,2021-11-24,0.2129,0.2381,0.2094,0.2094,7714899.0,39104916.0,186747449.0
13,2021-11-23,0.215,0.2233,0.2085,0.2123,8547582.0,39629325.0,186666627.0
14,2021-11-22,0.2084,0.2886,0.2052,0.2156,37230607.0,40244712.0,186663784.0
15,2021-11-21,0.2101,0.2278,0.1989,0.2077,9470389.0,38751503.0,186574400.0
16,2021-11-20,0.195,0.2196,0.1915,0.2103,8469002.0,39242020.0,186600190.0
17,2021-11-19,0.1757,0.1991,0.1707,0.195,8383576.0,36364591.0,186485082.0
18,2021-11-18,0.1917,0.1953,0.1705,0.1757,4233501.0,32763423.0,186473665.0
19,2021-11-17,0.1814,0.1947,0.1805,0.191,3556212.0,35613989.0,186460675.0
20,2021-11-16,0.1991,0.1998,0.1774,0.1818,4923968.0,33874524.0,186328514.0
21,2021-11-15,0.206,0.209,0.1988,0.1988,3626167.0,37041502.0,186325462.0
22,2021-11-14,0.2066,0.2085,0.2007,0.2059,2720525.0,38360727.0,186307561.0
23,2021-11-13,0.2062,0.2091,0.2042,0.2066,2882355.0,38470560.0,186207938.0
24,2021-11-12,0.2092,0.2097,0.1986,0.2062,3983434.0,38396607.0,186210509.0
25,2021-11-11,0.2057,0.2128,0.2037,0.2098,3637572.0,39046880.0,186114775.0
26,2021-11-10,0.2185,0.23,0.2044,0.2055,6666093.0,38245810.0,186110997.0
27,2021-11-09,0.2171,0.2245,0.2162,0.2188,4355604.0,40711407.0,186066759.0
28,2021-11-08,0.2178,0.2202,0.2147,0.2171,3702853.0,40380432.0,185999226.0
29,2021-11-07,0.2125,0.2201,0.212,0.2178,3384096.0,40501687.0,185958158.0
30,2021-11-06,0.2135,0.219,0.209,0.2125,3020233.0,39502951.0,185896240.0
31,2021-11-05,0.2198,0.2232,0.2124,0.2137,3533480.0,39722277.0,185878694.0
32,2021-11-04,0.2296,0.2296,0.2122,0.2198,6222289.0,40839851.0,185804599.0
33,2021-11-03,0.2234,0.2301,0.2159,0.2297,4888678.0,42658186.0,185712607.0
34,2021-11-02,0.2141,0.2309,0.208,0.2234,5847650.0,41482009.0,185684910.0
35,2021-11-01,0.2104,0.2158,0.2035,0.2145,5055757.0,39820258.0,185642228.0
36,2021-10-31,0.203,0.2335,0.2008,0.2105,12226545.0,39066979.0,185591349.0
37,2021-10-30,0.2033,0.2075,0.1985,0.2021,4009872.0,37499452.0,185548995.0
38,2021-10-29,0.1969,0.2065,0.1957,0.204,4315438.0,37846113.0,185520161.0
39,2021-10-28,0.1877,0.2014,0.1865,0.1965,4654733.0,36446772.0,185479755.0
40,2021-10-27,0.2215,0.2231,0.1878,0.1881,6500906.0,34870030.0,185380276.0
41,2021-10-26,0.2261,0.2281,0.22,0.2214,4189613.0,41050349.0,185412597.0
42,2021-10-25,0.2211,0.2283,0.22,0.2268,3607448.0,42030470.0,185319532.0
43,2021-10-24,0.229,0.2293,0.217,0.2212,4073833.0,40985281.0,185286080.0
44,2021-10-23,0.2292,0.2344,0.2263,0.229,3698540.0,42419155.0,185236484.0
45,2021-10-22,0.2229,0.2326,0.2229,0.2292,4409065.0,42447330.0,185197774.0
46,2021-10-21,0.2262,0.2363,0.2192,0.2235,9608801.0,41383552.0,185161306.0
47,2021-10-20,0.2169,0.2294,0.2161,0.2262,5796017.0,41862263.0,185067475.0
48,2021-10-19,0.2268,0.2279,0.2157,0.217,5406452.0,40149001.0,185018437.0
49,2021-10-18,0.2389,0.2399,0.2244,0.2269,5883768.0,41979876.0,185014878.0
50,2021-10-17,0.2352,0.254,0.2296,0.239,8358716.0,44201810.0,184944811.0
51,2021-10-16,0.2333,0.2491,0.2298,0.2353,10546184.0,43496499.0,184855499.0
52,2021-10-15,0.2166,0.2392,0.2129,0.2325,10345895.0,42979448.0,184857840.0
53,2021-10-14,0.2123,0.2276,0.2113,0.2166,5889015.0,40028713.0,184804769.0
54,2021-10-13,0.2064,0.2535,0.2018,0.2128,18276327.0,39319635.0,184772720.0
55,2021-10-12,0.2182,0.2185,0.2016,0.2064,3473673.0,38121201.0,184695741.0
56,2021-10-11,0.214,0.2301,0.2137,0.2181,5149124.0,40281220.0,184691517.0
57,2021-10-10,0.2121,0.2277,0.2057,0.2139,8602786.0,39487821.0,184608793.0
58,2021-10-09,0.2086,0.2384,0.2077,0.2121,7733562.0,39150829.0,184586652.0
59,2021-10-08,0.2092,0.2131,0.2034,0.2086,4227173.0,38492475.0,184527684.0
60,2021-10-07,0.2094,0.2148,0.2018,0.2092,5726390.0,38585014.0,184440793.0
61,2021-10-06,0.2182,0.2204,0.2009,0.2096,6945757.0,38650962.0,184403444.0
62,2021-10-05,0.2039,0.2193,0.2023,0.2174,6237331.0,40085777.0,184387198.0
63,2021-10-04,0.2137,0.2141,0.2013,0.2033,5751996.0,37468157.0,184299837.0
64,2021-10-03,0.2226,0.23,0.2105,0.2131,9362541.0,39260048.0,184232979.0
65,2021-10-02,0.2019,0.2444,0.1969,0.223,17416323.0,41082148.0,184224878.0
66,2021-10-01,0.1901,0.2067,0.1877,0.2015,10395655.0,37116150.0,184199255.0
67,2021-09-30,0.1854,0.1945,0.1835,0.1899,5526694.0,34967895.0,184138467.0
68,2021-09-29,0.1778,0.2033,0.1765,0.1858,7157515.0,34193934.0,184036243.0
69,2021-09-28,0.1854,0.1937,0.1773,0.1775,5113663.0,32660756.0,184004259.0
70,2021-09-27,0.1986,0.2096,0.1861,0.1864,9556877.0,34293494.0,183977972.0
71,2021-09-26,0.2161,0.2161,0.1854,0.1989,10023195.0,36594435.0,183984087.0
