,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-06,0.2103,0.2103,0.1675,0.1827,13850253.0,86975130.0,476054351.0
1,2021-12-05,0.238,0.3085,0.1964,0.2093,60696958.0,99679526.0,476251915.0
2,2021-12-04,0.2101,0.3969,0.2101,0.2416,188787952.0,115058740.0,476236506.0
3,2021-12-03,0.2188,0.2961,0.2032,0.2106,36395660.0,100260935.0,476072815.0
4,2021-12-02,0.187,0.2907,0.1812,0.2201,48575587.0,104780584.0,476058991.0
5,2021-12-01,0.1827,0.1897,0.1806,0.1869,339632.0,89013180.0,476260995.0
6,2021-11-30,0.1904,0.1922,0.1807,0.1828,864667.0,82551622.0,451595306.0
7,2021-11-29,0.1889,0.1928,0.1883,0.1904,1034986.0,85983548.0,451594264.0
8,2021-11-28,0.1933,0.1937,0.1784,0.1889,1271630.0,85311403.0,451622038.0
9,2021-11-27,0.1888,0.1982,0.1888,0.193,649306.0,87172197.0,451669414.0
10,2021-11-26,0.212,0.212,0.1875,0.1919,2948190.0,86645376.0,451513163.0
11,2021-11-25,0.2059,0.2154,0.196,0.1985,2162445.0,89659808.0,451686690.0
12,2021-11-24,0.2148,0.2176,0.2036,0.2103,2391475.0,94971202.0,451598678.0
13,2021-11-23,0.1947,0.2154,0.1947,0.2144,2321765.0,96802733.0,451505284.0
14,2021-11-22,0.1993,0.2054,0.1892,0.1947,1296780.0,87905762.0,451493384.0
15,2021-11-21,0.1983,0.2109,0.1934,0.1991,1293263.0,89928822.0,451676654.0
16,2021-11-20,0.1967,0.2,0.1905,0.1982,782385.0,89479740.0,451461856.0
17,2021-11-19,0.1855,0.2006,0.1839,0.1967,1043799.0,71696867.0,364498561.0
18,2021-11-18,0.1952,0.2021,0.1842,0.1855,1729622.0,67615050.0,364501617.0
19,2021-11-17,0.1969,0.1991,0.1876,0.1945,1432789.0,70884654.0,364445521.0
20,2021-11-16,0.2144,0.2152,0.1925,0.1975,2516558.0,71995224.0,364532779.0
21,2021-11-15,0.2167,0.2251,0.2108,0.2144,1553284.0,78142044.0,364468488.0
22,2021-11-14,0.2123,0.2238,0.2076,0.2166,1763632.0,78949773.0,364495720.0
23,2021-11-13,0.2058,0.2139,0.2052,0.2128,999586.0,77557152.0,364460300.0
24,2021-11-12,0.2078,0.2126,0.2036,0.206,1699165.0,75097383.0,364550402.0
25,2021-11-11,0.2057,0.2121,0.1986,0.2081,2708676.0,75845853.0,364468298.0
26,2021-11-10,0.206,0.2395,0.2,0.2067,9866460.0,75339058.0,364485041.0
27,2021-11-09,0.2035,0.214,0.1989,0.2061,3839304.0,75144492.0,364602096.0
28,2021-11-08,0.202,0.2172,0.1997,0.2035,2694377.0,74191653.0,364578147.0
29,2021-11-07,0.1988,0.238,0.1975,0.202,3948695.0,73634089.0,364525193.0
30,2021-11-06,0.1947,0.2099,0.1909,0.1987,1390196.0,72450803.0,364624071.0
31,2021-11-05,0.1984,0.2181,0.1917,0.1947,4716781.0,70990079.0,364612629.0
32,2021-11-04,0.1954,0.2,0.1907,0.1989,1021288.0,72494965.0,364479462.0
33,2021-11-03,0.1904,0.2051,0.1875,0.1955,1777240.0,71249700.0,364448593.0
34,2021-11-02,0.1813,0.1926,0.1788,0.1904,1702097.0,69397676.0,364483592.0
35,2021-11-01,0.1844,0.1871,0.1791,0.1813,1052861.0,66072927.0,364439751.0
36,2021-10-31,0.1857,0.1935,0.1806,0.1844,1563811.0,67220126.0,364534305.0
37,2021-10-30,0.1881,0.2234,0.1823,0.1853,3911656.0,67534786.0,364461878.0
38,2021-10-29,0.1826,0.1893,0.1807,0.1889,942218.0,68860854.0,364536019.0
39,2021-10-28,0.1766,0.1869,0.1729,0.1826,1073308.0,66575686.0,364598499.0
40,2021-10-27,0.1959,0.2024,0.1715,0.1766,2936055.0,64387730.0,364596432.0
41,2021-10-26,0.201,0.2138,0.1929,0.1959,3294766.0,71401388.0,364478754.0
42,2021-10-25,0.2006,0.2043,0.1973,0.201,1178972.0,73278055.0,364567437.0
43,2021-10-24,0.1987,0.2042,0.1961,0.2005,1214821.0,73071752.0,364447640.0
44,2021-10-23,0.1994,0.2063,0.1943,0.1987,1421972.0,72419595.0,364467010.0
45,2021-10-22,0.2007,0.2072,0.1932,0.1982,2996510.0,72238573.0,364473123.0
46,2021-10-21,0.2036,0.2128,0.195,0.2008,7004653.0,73180967.0,364447046.0
47,2021-10-20,0.192,0.2485,0.1853,0.2037,11137494.0,74239160.0,364453411.0
48,2021-10-19,0.1797,0.1925,0.1797,0.1925,1593174.0,70190895.0,364628025.0
49,2021-10-18,0.1914,0.1941,0.1757,0.1809,1703132.0,65947997.0,364554986.0
50,2021-10-17,0.1919,0.1994,0.1853,0.1913,3054069.0,69738422.0,364550036.0
51,2021-10-16,0.1908,0.2013,0.1849,0.192,4305422.0,69977364.0,364465437.0
52,2021-10-15,0.1889,0.3455,0.1816,0.1875,21095157.0,68333164.0,364443541.0
53,2021-10-14,0.194,0.1967,0.1882,0.1889,875916.0,68869024.0,364579269.0
54,2021-10-13,0.1963,0.1986,0.1879,0.1939,857279.0,70698041.0,364610835.0
55,2021-10-12,0.1987,0.2034,0.1872,0.1964,917910.0,71586910.0,364495468.0
56,2021-10-11,0.197,0.2178,0.1963,0.1984,1362503.0,72333908.0,364586229.0
57,2021-10-10,0.2056,0.2124,0.1954,0.1972,937913.0,71898576.0,364597241.0
58,2021-10-09,0.2117,0.2227,0.1978,0.2056,1599340.0,74965463.0,364618010.0
59,2021-10-08,0.203,0.2599,0.1905,0.2158,6654938.0,78669479.0,364548095.0
60,2021-10-07,0.1959,0.2238,0.1917,0.203,2082037.0,74008063.0,364571738.0
61,2021-10-06,0.1914,0.2078,0.1817,0.1961,1792311.0,71468642.0,364449984.0
62,2021-10-05,0.1908,0.2063,0.1864,0.1886,1307259.0,68746005.0,364506919.0
63,2021-10-04,0.1891,0.1907,0.1824,0.1907,996646.0,69529916.0,364603649.0
64,2021-10-03,0.1921,0.2148,0.1873,0.1891,567855.0,68921476.0,364471052.0
65,2021-10-02,0.1968,0.1999,0.1885,0.1921,677682.0,70025745.0,364527563.0
66,2021-10-01,0.173,0.2241,0.1697,0.1968,2474128.0,71735616.0,364510243.0
67,2021-09-30,0.1638,0.1767,0.1613,0.173,550407.0,63065991.0,364543300.0
68,2021-09-29,0.1585,0.17,0.1568,0.1638,464265.0,59702109.0,364481739.0
69,2021-09-28,0.1738,0.1774,0.158,0.1582,539413.0,57684559.0,364630587.0
70,2021-09-27,0.1772,0.196,0.1735,0.1738,1286870.0,63364315.0,364581789.0
71,2021-09-26,0.1794,0.1836,0.1665,0.177,794142.0,64506076.0,364441107.0
72,2021-09-25,0.183,0.1831,0.1754,0.1788,548600.0,65186739.0,364579077.0
73,2021-09-24,0.1996,0.2186,0.1662,0.183,2161772.0,66711022.0,364541103.0
74,2021-09-23,0.194,0.2073,0.1935,0.1997,648953.0,72798896.0,364541291.0
75,2021-09-22,0.1792,0.1943,0.1724,0.1935,739052.0,70530505.0,364498733.0
76,2021-09-21,0.1976,0.2029,0.1735,0.1788,1069962.0,65171994.0,364496610.0
77,2021-09-20,0.2343,0.2349,0.1964,0.1969,1502394.0,71769174.0,364495551.0
78,2021-09-19,0.2383,0.2392,0.2188,0.2342,945472.0,85375592.0,364541383.0
79,2021-09-18,0.2367,0.244,0.2334,0.2381,895936.0,86793755.0,364526480.0
80,2021-09-17,0.2303,0.2421,0.2279,0.2365,1820275.0,86222342.0,364576498.0
81,2021-09-16,0.2382,0.2384,0.2249,0.2303,756003.0,83943168.0,364494867.0
82,2021-09-15,0.2295,0.2393,0.2239,0.2382,644267.0,86838515.0,364561356.0
83,2021-09-14,0.2157,0.2303,0.2152,0.2294,788891.0,83631116.0,364564585.0
84,2021-09-13,0.2276,0.2277,0.2109,0.2157,1374335.0,78631793.0,364542387.0
85,2021-09-12,0.2236,0.2324,0.2205,0.2278,624235.0,83023880.0,364459525.0
86,2021-09-11,0.2227,0.2288,0.218,0.2236,527135.0,81507273.0,364522687.0
87,2021-09-10,0.2237,0.2487,0.2175,0.2189,2474338.0,79797144.0,364536975.0
88,2021-09-09,0.2191,0.2347,0.2161,0.2237,996896.0,81562538.0,364606785.0
89,2021-09-08,0.2205,0.2336,0.1978,0.22,2229935.0,80188870.0,364494863.0
90,2021-09-07,0.2534,0.2609,0.2064,0.2206,4851617.0,80399473.0,364458173.0
91,2021-09-06,0.2528,0.2589,0.2494,0.2535,2541408.0,92419435.0,364573708.0
92,2021-09-05,0.2518,0.2602,0.2453,0.2528,2422109.0,92138100.0,364470332.0
93,2021-09-04,0.2556,0.2571,0.2464,0.2521,2436809.0,91907077.0,364565953.0
94,2021-09-03,0.2583,0.2599,0.252,0.2555,3145908.0,93124795.0,364480606.0
95,2021-09-02,0.255,0.2692,0.2541,0.2589,3004338.0,94362437.0,364474457.0
96,2021-09-01,0.2405,0.2816,0.2322,0.2551,8387508.0,92988445.0,364517620.0
97,2021-08-31,0.2536,0.2713,0.2379,0.2416,5435993.0,88068237.0,364520848.0
98,2021-08-30,0.2444,0.3297,0.2395,0.2529,33017756.0,92205704.0,364593531.0
99,2021-08-29,0.2378,0.3281,0.2296,0.2467,20293134.0,89932345.0,364541325.0
100,2021-08-28,0.2368,0.2458,0.2337,0.2378,1070887.0,86689530.0,364548065.0
101,2021-08-27,0.2238,0.2366,0.2162,0.2366,421748.0,86249409.0,364536808.0
102,2021-08-26,0.2391,0.2428,0.222,0.2238,628009.0,81593436.0,364581930.0
103,2021-08-25,0.2352,0.2484,0.2318,0.2391,1016439.0,87173581.0,364590468.0
104,2021-08-24,0.2512,0.2571,0.232,0.2354,1912515.0,85809477.0,364526240.0
105,2021-08-23,0.2437,0.2572,0.2382,0.2512,1835829.0,91568318.0,364523558.0
106,2021-08-22,0.2599,0.2622,0.2396,0.2446,1393216.0,89162510.0,364523753.0
107,2021-08-21,0.2681,0.2779,0.2508,0.26,3525458.0,94762798.0,364472300.0
108,2021-08-20,0.2731,0.341,0.2555,0.2695,22765452.0,98236867.0,364515276.0
109,2021-08-19,0.2139,0.3324,0.2138,0.2706,31123727.0,98632004.0,364493732.0
110,2021-08-18,0.2207,0.2345,0.1978,0.2139,3826848.0,77982735.0,364575666.0
111,2021-08-17,0.2426,0.244,0.2178,0.2209,1337084.0,80530442.0,364556097.0
112,2021-08-16,0.2518,0.2578,0.2424,0.2431,1713924.0,88602447.0,364469136.0
113,2021-08-15,0.2534,0.2546,0.2411,0.2518,2030617.0,91797906.0,364566743.0
114,2021-08-14,0.2398,0.2682,0.234,0.2532,3301251.0,92315158.0,364593830.0
