,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-03,176.01,180.07,162.08,167.47,241838069.0,1752228921.0,10462942.0
1,2021-12-02,178.58,178.58,172.84,175.88,228159898.0,1839927746.0,10461267.0
2,2021-12-01,179.43,185.54,176.85,178.57,250475555.0,1867847497.0,10460029.0
3,2021-11-30,182.11,186.12,175.45,179.65,301570941.0,1878832195.0,10458292.0
4,2021-11-29,178.99,184.46,176.34,182.1,268803884.0,1904172079.0,10456738.0
5,2021-11-28,182.82,183.15,165.72,178.67,385196149.0,1868023017.0,10455157.0
6,2021-11-27,183.27,189.54,180.9,182.75,277545572.0,1910446043.0,10453877.0
7,2021-11-26,214.48,215.27,180.7,182.51,386887673.0,1906766234.0,10447461.0
8,2021-11-25,204.12,215.21,202.26,205.82,483594793.0,2149837154.0,10445229.0
9,2021-11-24,187.65,204.78,184.99,189.79,379220106.0,1982023722.0,10443246.0
10,2021-11-23,197.81,201.04,185.25,187.5,363527858.0,1958129723.0,10443358.0
11,2021-11-22,207.58,208.59,189.47,197.04,453079490.0,2057414943.0,10441610.0
12,2021-11-21,193.61,208.02,187.45,207.74,356796878.0,2168834231.0,10440137.0
13,2021-11-20,189.47,198.01,186.67,193.73,331099450.0,2022344617.0,10438985.0
14,2021-11-19,175.55,189.59,174.4,189.42,344578051.0,1977055301.0,10437415.0
15,2021-11-18,189.5,190.75,170.63,175.64,396506323.0,1832989059.0,10436057.0
16,2021-11-17,198.78,200.63,184.9,189.35,416301676.0,1975721564.0,10434230.0
17,2021-11-16,224.76,224.76,190.44,198.82,463892709.0,2074284399.0,10432976.0
18,2021-11-15,228.91,239.86,223.93,223.93,332157118.0,2335944611.0,10431584.0
19,2021-11-14,228.98,231.93,220.23,228.87,254714865.0,2387075613.0,10429831.0
20,2021-11-13,221.42,230.33,217.46,229.17,312545605.0,2389912711.0,10428558.0
21,2021-11-12,232.63,235.8,212.42,221.61,359359130.0,2310731558.0,10427018.0
22,2021-11-11,217.92,235.01,213.61,233.68,466020593.0,2436265533.0,10425648.0
23,2021-11-10,234.44,247.34,209.49,217.75,648066962.0,2269877200.0,10424235.0
24,2021-11-09,211.92,238.61,211.4,234.65,776640035.0,2445705993.0,10422782.0
25,2021-11-08,194.19,213.04,193.83,212.02,362787707.0,2209459209.0,10420994.0
26,2021-11-07,191.38,194.09,189.94,194.09,190641077.0,2022400964.0,10419913.0
27,2021-11-06,194.75,197.37,185.65,191.31,227936863.0,1993150162.0,10418431.0
28,2021-11-05,199.16,199.83,191.96,195.0,218909220.0,2031304375.0,10416945.0
29,2021-11-04,201.34,204.42,193.98,199.17,293185643.0,2074467565.0,10415562.0
30,2021-11-03,200.1,204.8,193.5,201.43,340689230.0,2097679547.0,10413938.0
31,2021-11-02,189.6,202.45,187.53,200.01,274621635.0,2082589113.0,10412424.0
32,2021-11-01,192.76,195.05,184.41,189.62,268557218.0,1974081434.0,10410723.0
33,2021-10-31,184.1,199.68,183.63,192.59,353268063.0,2004743893.0,10409387.0
34,2021-10-30,187.82,189.35,180.05,183.89,241120566.0,1913967264.0,10408218.0
35,2021-10-29,182.76,188.92,181.99,187.74,245579577.0,1953706621.0,10406448.0
36,2021-10-28,174.62,186.48,173.63,182.92,349382183.0,1903248544.0,10404813.0
37,2021-10-27,198.55,201.9,172.81,174.72,388948357.0,1817696609.0,10403483.0
38,2021-10-26,208.24,208.24,196.24,198.63,264223843.0,2065229131.0,10397367.0
39,2021-10-25,202.78,209.75,201.46,208.06,309729813.0,2162974170.0,10395915.0
40,2021-10-24,197.81,214.0,197.02,202.89,467595452.0,2108951502.0,10394556.0
