,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-03,0.2095,0.212,0.1933,0.2,1260948451.0,26473530912.0,132367654560.0
1,2021-12-02,0.2095,0.223,0.2022,0.2097,1879305770.0,27759160914.0,132375588526.0
2,2021-12-01,0.2145,0.2185,0.2063,0.2095,988030934.0,27724626415.0,132337118926.0
3,2021-11-30,0.2151,0.2269,0.2133,0.2147,1897635999.0,28413505414.0,132340500298.0
4,2021-11-29,0.2074,0.2237,0.2033,0.2152,1869737827.0,28471528062.0,132302639693.0
5,2021-11-28,0.2053,0.2075,0.1931,0.2075,1027555437.0,27449446664.0,132286489946.0
6,2021-11-27,0.2014,0.2096,0.2009,0.2053,917785649.0,27165443265.0,132320717316.0
7,2021-11-26,0.221,0.2218,0.1903,0.2009,2231733479.0,26572754941.0,132268566157.0
8,2021-11-25,0.2171,0.2288,0.2143,0.2163,1344826632.0,28609064079.0,132265668418.0
9,2021-11-24,0.2267,0.2302,0.2118,0.2218,1957665360.0,29333301178.0,132251132452.0
10,2021-11-23,0.2197,0.2362,0.2146,0.2265,1907278849.0,29953124652.0,132243375947.0
11,2021-11-22,0.2262,0.2275,0.2169,0.2197,921753721.0,29046082288.0,132207930304.0
12,2021-11-21,0.2333,0.2333,0.2257,0.2263,751789838.0,29922574810.0,132225253247.0
13,2021-11-20,0.2332,0.236,0.2255,0.233,805305660.0,30804609035.0,132208622467.0
14,2021-11-19,0.221,0.2368,0.2165,0.2331,1296123511.0,30812818409.0,132187123161.0
15,2021-11-18,0.2376,0.2411,0.2161,0.2214,1860661769.0,29259708950.0,132157673667.0
16,2021-11-17,0.237,0.2409,0.2329,0.2375,1543405154.0,31384994445.0,132147345031.0
17,2021-11-16,0.2571,0.2571,0.2264,0.2372,2248804980.0,31350283911.0,132168144650.0
18,2021-11-15,0.2629,0.2652,0.2564,0.2565,1028469310.0,33894398677.0,132141905173.0
19,2021-11-14,0.2616,0.2713,0.2603,0.2629,1264556615.0,34734180476.0,132119362784.0
20,2021-11-13,0.2596,0.2623,0.2545,0.2617,923837904.0,34571355008.0,132102999648.0
21,2021-11-12,0.2609,0.2684,0.2495,0.2594,1563007446.0,34265081095.0,132093604838.0
22,2021-11-11,0.2557,0.27,0.2533,0.2612,1628781435.0,34493067258.0,132056153361.0
23,2021-11-10,0.2736,0.277,0.238,0.2557,2820521435.0,33768684076.0,132063684301.0
24,2021-11-09,0.2825,0.2897,0.2718,0.2735,2353452396.0,36119765787.0,132064957173.0
25,2021-11-08,0.2667,0.2965,0.2649,0.2824,4093381450.0,37282199615.0,132019120449.0
26,2021-11-07,0.262,0.2698,0.259,0.2663,1155873526.0,35160145471.0,132032089639.0
27,2021-11-06,0.2613,0.2677,0.2505,0.2619,1353526462.0,34573523025.0,132010397193.0
28,2021-11-05,0.2637,0.2708,0.2579,0.2615,1559898586.0,34512857268.0,131980333720.0
29,2021-11-04,0.2691,0.2709,0.2547,0.2633,1902957818.0,34748832408.0,131974297030.0
30,2021-11-03,0.2735,0.2771,0.264,0.2694,2091380862.0,35553771397.0,131973910159.0
31,2021-11-02,0.2719,0.2807,0.2676,0.2731,2336414476.0,36040264986.0,131967282995.0
32,2021-11-01,0.2801,0.2856,0.2641,0.2717,2784956027.0,35852731431.0,131957053481.0
33,2021-10-31,0.2692,0.2847,0.2526,0.2802,4224104205.0,36972572650.0,131950651855.0
34,2021-10-30,0.2878,0.2946,0.2599,0.2683,3637334331.0,35399026232.0,131938226731.0
35,2021-10-29,0.3,0.3063,0.2798,0.2879,5866664030.0,37968488518.0,131880821528.0
36,2021-10-28,0.2374,0.3388,0.2333,0.3004,20359592492.0,39625626101.0,131909540948.0
37,2021-10-27,0.2558,0.2633,0.2203,0.2377,5022822846.0,31345412555.0,131869636327.0
38,2021-10-26,0.2648,0.2743,0.2537,0.2557,2513384162.0,33721240629.0,131878140903.0
39,2021-10-25,0.2757,0.2795,0.2602,0.2647,3364560707.0,34901100603.0,131851532312.0
40,2021-10-24,0.2514,0.2819,0.246,0.277,5278760541.0,36522677816.0,131850822440.0
41,2021-10-23,0.2445,0.2531,0.2416,0.2517,1502684867.0,33181970119.0,131831426773.0
42,2021-10-22,0.2425,0.2528,0.2365,0.2442,1829875043.0,32188474500.0,131811934889.0
43,2021-10-21,0.2548,0.2583,0.2423,0.2424,1742570934.0,31943997846.0,131782169331.0
44,2021-10-20,0.2455,0.2616,0.2424,0.2541,1853058770.0,33482738012.0,131769925273.0
45,2021-10-19,0.2474,0.2546,0.2407,0.2458,1675967829.0,32385126269.0,131753971802.0
46,2021-10-18,0.2378,0.2714,0.2375,0.2473,5003365533.0,32578462312.0,131736604577.0
47,2021-10-17,0.2372,0.242,0.2264,0.2379,1397143121.0,31338963692.0,131731667473.0
48,2021-10-16,0.2339,0.2444,0.2337,0.2373,1541850812.0,31255918528.0,131714785200.0
49,2021-10-15,0.2326,0.2435,0.2257,0.2338,1837803539.0,30790379743.0,131695379568.0
50,2021-10-14,0.2326,0.2399,0.2315,0.2323,1337117776.0,30588468217.0,131676574330.0
51,2021-10-13,0.2262,0.2339,0.2211,0.2326,1457486924.0,30624714119.0,131662571448.0
