,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-06,3.13,3.25,3.04,3.24,351755.0,90409741.0,27904241.0
1,2021-12-05,2.92,3.14,2.9,3.13,293711.0,87307167.0,27893663.0
2,2021-12-04,3.21,3.22,2.72,2.92,390403.0,81563291.0,27932633.0
3,2021-12-03,3.26,3.33,3.16,3.21,375383.0,89456526.0,27868076.0
4,2021-12-02,3.37,3.38,3.25,3.26,485832.0,90965367.0,27903486.0
5,2021-12-01,3.36,3.44,3.34,3.37,254742.0,94017439.0,27898349.0
6,2021-11-30,3.18,3.38,3.14,3.36,495506.0,93786165.0,27912549.0
7,2021-11-29,3.17,3.2,3.1,3.18,363707.0,88659443.0,27880327.0
8,2021-11-28,3.06,3.17,3.01,3.16,327944.0,88278810.0,27936332.0
9,2021-11-27,3.06,3.14,3.04,3.06,404471.0,85312716.0,27879972.0
10,2021-11-26,3.41,3.42,3.07,3.07,564580.0,85528185.0,27859343.0
11,2021-11-25,3.28,3.44,3.26,3.27,322190.0,91172699.0,27881559.0
12,2021-11-24,3.25,3.28,3.18,3.2,513721.0,89355274.0,27923523.0
13,2021-11-23,3.18,3.29,3.15,3.25,535246.0,90558608.0,27864187.0
14,2021-11-22,3.35,3.35,3.12,3.18,432441.0,88677680.0,27886062.0
15,2021-11-21,3.41,3.41,3.34,3.34,629883.0,93297564.0,27933402.0
16,2021-11-20,3.35,3.42,3.32,3.41,107301.0,95182347.0,27912711.0
17,2021-11-19,3.24,3.36,3.21,3.35,560170.0,93447705.0,27894837.0
18,2021-11-18,3.39,3.43,3.2,3.24,392132.0,90373781.0,27893142.0
19,2021-11-17,3.33,3.39,3.18,3.39,597017.0,94485651.0,27871873.0
20,2021-11-16,3.51,3.51,3.3,3.33,407186.0,93011732.0,27931451.0
21,2021-11-15,3.69,3.72,3.5,3.51,497830.0,97826897.0,27870910.0
22,2021-11-14,3.66,3.69,3.3,3.69,494353.0,102851406.0,27873009.0
23,2021-11-13,3.72,3.76,3.55,3.66,617682.0,102126583.0,27903437.0
24,2021-11-12,3.82,3.86,3.66,3.72,635588.0,103885903.0,27926318.0
25,2021-11-11,3.82,3.86,3.48,3.82,451294.0,106670775.0,27924286.0
26,2021-11-10,4.0,4.08,3.73,3.82,696962.0,106606216.0,27907386.0
27,2021-11-09,3.96,4.03,3.93,4.0,765682.0,111588798.0,27897199.0
28,2021-11-08,3.85,3.97,3.81,3.96,564438.0,110509267.0,27906380.0
29,2021-11-07,3.74,3.85,3.69,3.85,419501.0,107462926.0,27912448.0
30,2021-11-06,3.72,3.77,3.63,3.74,683133.0,104328481.0,27895315.0
31,2021-11-05,3.76,3.8,3.69,3.72,477794.0,103786076.0,27899482.0
32,2021-11-04,3.75,3.8,3.63,3.76,825927.0,105032963.0,27934298.0
