,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-03,47.05,47.72,44.03,44.88,633498396.0,5897425628.0,131404314.0
1,2021-12-02,47.89,47.92,46.45,47.06,553325937.0,6182977671.0,131384990.0
2,2021-12-01,48.31,49.66,47.14,47.89,686936042.0,6290673358.0,131356720.0
3,2021-11-30,48.27,50.13,46.98,48.38,717579056.0,6353274946.0,131320275.0
4,2021-11-29,47.58,48.73,47.17,48.28,549362716.0,6340123688.0,131319877.0
5,2021-11-28,46.91,47.58,44.84,47.52,620209619.0,6239289109.0,131298171.0
6,2021-11-27,46.66,47.75,46.44,46.86,521616621.0,6150741166.0,131257814.0
7,2021-11-26,50.57,50.74,45.42,46.5,1036513627.0,6102983087.0,131246948.0
8,2021-11-25,48.26,53.32,47.9,48.19,638443919.0,6323416612.0,131218439.0
9,2021-11-24,49.57,49.77,47.31,48.37,665976319.0,6344904343.0,131174371.0
10,2021-11-23,48.65,49.81,48.01,49.57,668364172.0,6503205825.0,131192370.0
11,2021-11-22,50.51,50.54,47.85,48.62,709670738.0,6376503570.0,131149806.0
12,2021-11-21,51.07,51.82,49.99,50.57,604389352.0,6631497806.0,131135016.0
13,2021-11-20,50.74,51.43,49.21,51.05,637556443.0,6693183228.0,131110347.0
14,2021-11-19,48.48,50.88,48.0,50.75,750752371.0,6653452938.0,131102520.0
15,2021-11-18,51.28,51.77,47.09,48.45,872872153.0,6350291906.0,131068976.0
16,2021-11-17,50.89,51.5,49.46,51.25,804716668.0,6716679008.0,131057151.0
17,2021-11-16,54.92,54.92,48.01,50.92,1359081930.0,6672261400.0,131034198.0
18,2021-11-15,56.18,56.71,54.46,54.79,704618852.0,7178019826.0,131009670.0
19,2021-11-14,56.39,56.89,54.83,56.16,625698360.0,7356574975.0,130993144.0
20,2021-11-13,55.57,56.59,55.0,56.36,767419015.0,7382105307.0,130981286.0
21,2021-11-12,56.83,57.7,53.83,55.55,1045363354.0,7274312331.0,130950717.0
22,2021-11-11,56.74,58.04,55.44,56.88,1026168853.0,7447482986.0,130933245.0
23,2021-11-10,60.9,64.49,52.79,56.77,2620037522.0,7431299085.0,130901868.0
24,2021-11-09,56.64,64.94,55.93,60.83,3497997259.0,7961981698.0,130889062.0
25,2021-11-08,54.12,56.47,53.9,56.43,1015816115.0,7385063414.0,130871228.0
26,2021-11-07,52.93,54.48,52.61,53.9,669308587.0,7052049761.0,130835802.0
27,2021-11-06,53.22,53.57,50.99,52.86,642382625.0,6915166966.0,130820411.0
28,2021-11-05,53.73,54.09,52.7,53.25,720552953.0,6965302676.0,130803806.0
29,2021-11-04,55.52,56.2,52.82,53.77,770146060.0,7032190035.0,130782779.0
30,2021-11-03,55.15,56.79,53.41,55.53,1112673647.0,7260716178.0,130753037.0
31,2021-11-02,53.85,55.42,53.26,55.14,816460547.0,7202380901.0,130619893.0
32,2021-11-01,54.35,55.07,52.44,53.8,842372552.0,7025947955.0,130593828.0
33,2021-10-31,52.92,58.49,52.45,54.33,1780458503.0,7093849244.0,130569652.0
34,2021-10-30,53.7,53.93,51.72,52.82,678236117.0,6895860754.0,130553971.0
35,2021-10-29,52.27,54.07,51.87,53.67,830906889.0,7006369416.0,130545358.0
36,2021-10-28,48.7,52.68,48.52,52.28,1198301419.0,6822591878.0,130500992.0
37,2021-10-27,54.18,55.22,43.73,48.75,1711007599.0,6361499308.0,130492293.0
38,2021-10-26,55.38,56.14,53.74,54.16,948005899.0,7066655852.0,130477397.0
39,2021-10-25,54.99,56.29,54.71,55.37,834387362.0,7223002943.0,130449755.0
40,2021-10-24,55.95,56.09,53.69,55.04,700531000.0,7179792342.0,130446808.0
41,2021-10-23,54.58,56.12,53.96,55.95,762721355.0,7296682271.0,130414339.0
42,2021-10-22,55.47,57.05,53.77,54.56,1110296793.0,7113787922.0,130384675.0
43,2021-10-21,55.55,59.97,55.4,55.43,1599836761.0,7225445767.0,130352620.0
44,2021-10-20,52.9,55.75,52.33,55.52,979419241.0,7236142601.0,130333980.0
45,2021-10-19,52.5,53.45,52.04,52.93,697069823.0,6897559886.0,130314753.0
46,2021-10-18,53.1,53.73,51.85,52.49,728366989.0,6839139328.0,130294138.0
47,2021-10-17,54.11,54.71,50.75,53.07,699413872.0,6913696160.0,130275035.0
48,2021-10-16,54.34,55.55,53.67,54.09,764926594.0,7045863125.0,130261843.0
49,2021-10-15,54.52,56.66,52.74,54.33,1300005715.0,7075126487.0,130225041.0
50,2021-10-14,53.38,55.0,53.07,54.44,780543507.0,7088804126.0,130213154.0
51,2021-10-13,52.76,53.56,51.44,53.39,776812976.0,6951137347.0,130195492.0
52,2021-10-12,54.03,54.03,51.05,52.78,989565578.0,6870691194.0,130176036.0
53,2021-10-11,52.99,55.32,52.39,54.02,848864949.0,7031050490.0,130156432.0
54,2021-10-10,55.65,56.38,52.8,53.04,810816148.0,6909077781.0,130261647.0
55,2021-10-09,53.59,57.33,53.34,55.59,1120407508.0,7240071978.0,130240546.0
56,2021-10-08,54.29,55.1,53.17,53.67,824433818.0,7000638221.0,130438573.0
57,2021-10-07,54.87,55.78,53.24,54.31,1026319168.0,7083528486.0,130427701.0
58,2021-10-06,54.39,55.96,51.22,54.9,1255412246.0,7159234433.0,130404998.0
59,2021-10-05,52.58,54.84,52.35,54.41,970419398.0,7094084067.0,130381989.0
60,2021-10-04,53.72,53.84,50.81,52.51,939355459.0,6846014315.0,130375439.0
61,2021-10-03,53.31,54.89,52.19,53.72,992987917.0,7001577692.0,130334655.0
62,2021-10-02,51.94,55.04,51.21,53.39,1268800373.0,6957892215.0,130322011.0
63,2021-10-01,47.04,52.52,46.7,51.92,1202916057.0,6765681236.0,130309731.0
64,2021-09-30,45.55,47.25,45.35,46.98,709962936.0,6119989601.0,130267977.0
65,2021-09-29,45.06,46.82,44.66,45.6,788760882.0,5943896075.0,130348598.0
66,2021-09-28,45.41,48.62,44.87,45.04,911252123.0,5870005364.0,130328715.0
67,2021-09-27,47.31,48.42,45.4,45.47,713423818.0,5924982272.0,130305306.0
68,2021-09-26,47.44,48.26,44.07,47.2,953120465.0,6149353063.0,130282903.0
69,2021-09-25,47.71,49.48,46.29,47.43,780572060.0,6178744103.0,130270801.0
70,2021-09-24,51.38,51.83,44.32,47.71,1056241355.0,6214131392.0,130247985.0
71,2021-09-23,51.31,51.55,49.54,51.38,671676601.0,6691738854.0,130240148.0
72,2021-09-22,45.77,51.34,45.01,51.32,886130730.0,6682272068.0,130207951.0
73,2021-09-21,49.16,50.42,44.81,45.77,1046475847.0,5959074846.0,130196085.0
74,2021-09-20,55.37,55.42,47.57,48.93,1467013886.0,6368666729.0,130158731.0
75,2021-09-19,57.21,57.21,54.89,55.34,638130825.0,7188606951.0,129898932.0
76,2021-09-18,56.68,58.39,55.85,57.29,705744421.0,7440449546.0,129873442.0
77,2021-09-17,58.04,59.02,56.17,56.66,792091717.0,7358250230.0,129866753.0
78,2021-09-16,59.19,60.1,56.89,58.06,891237786.0,7536046895.0,129797569.0
79,2021-09-15,57.14,59.36,56.38,59.19,874155278.0,7681674732.0,129779941.0
80,2021-09-14,55.82,57.33,55.33,57.11,807095294.0,7403877728.0,129642404.0
81,2021-09-13,58.17,58.33,53.79,55.79,1127501424.0,7219242784.0,129400300.0
82,2021-09-12,57.16,58.88,56.19,58.18,820616061.0,7533347900.0,129483463.0
83,2021-09-11,56.37,58.31,55.73,57.14,815837444.0,7411879439.0,129714375.0
84,2021-09-10,58.91,60.37,55.22,56.38,1174476720.0,7304975402.0,129566786.0
85,2021-09-09,58.04,60.36,57.6,58.93,1268434463.0,7667619738.0,130114029.0
86,2021-09-08,59.21,61.31,53.62,58.62,7398220382.0,7622488139.0,130032209.0
87,2021-09-07,73.5,73.75,49.37,59.19,7526787177.0,7677100206.0,129702655.0
88,2021-09-06,73.56,77.07,71.49,73.58,7759668523.0,9542953653.0,129694939.0
89,2021-09-05,68.84,73.89,68.21,73.6,7808675999.0,9543367328.0,129665316.0
90,2021-09-04,69.94,71.09,68.24,68.86,5970471763.0,8927924744.0,129653278.0
91,2021-09-03,67.69,72.3,66.18,69.96,6738399616.0,9068827978.0,129628758.0
92,2021-09-02,68.79,70.06,66.68,67.74,5747579836.0,8779946535.0,129612437.0
93,2021-09-01,63.98,69.0,62.34,68.97,5866856734.0,8937203258.0,129581024.0
94,2021-08-31,61.87,65.02,60.91,63.93,4245939530.0,8281468789.0,129539633.0
95,2021-08-30,63.45,64.8,61.27,61.77,4154592979.0,8001483900.0,129536731.0
96,2021-08-29,64.24,65.94,63.11,63.44,4469112045.0,8215940598.0,129507260.0
97,2021-08-28,64.11,66.46,62.98,64.24,4961854196.0,8317295332.0,129472218.0
98,2021-08-27,59.85,64.12,58.72,64.12,4271041609.0,8299508070.0,129437118.0
99,2021-08-26,63.79,64.34,59.22,59.79,3233221421.0,7725043339.0,129202932.0
100,2021-08-25,62.96,64.75,61.03,63.65,2840666334.0,8222342898.0,129180563.0
101,2021-08-24,68.32,68.6,61.28,62.91,2825985421.0,8126081395.0,129169947.0
102,2021-08-23,67.46,69.52,66.88,68.24,3239426516.0,8813036012.0,129147655.0
103,2021-08-22,67.58,68.6,65.01,67.52,2667284711.0,8718198927.0,129120244.0
104,2021-08-21,70.14,70.15,67.25,67.54,3139529064.0,8719694883.0,129104158.0
105,2021-08-20,66.98,70.2,66.17,70.03,3467031776.0,9040276248.0,129091478.0
106,2021-08-19,64.03,67.0,60.78,67.0,2983367131.0,8646961534.0,129059127.0
107,2021-08-18,62.93,66.11,60.33,64.05,3329266114.0,8265842217.0,129052962.0
108,2021-08-17,69.15,71.61,61.65,62.95,3748229988.0,8121410564.0,129013670.0
109,2021-08-16,74.95,75.74,66.04,69.39,4156604958.0,8949710003.0,128976941.0
110,2021-08-15,67.29,76.94,67.17,74.9,6630629514.0,9658992135.0,128958506.0
111,2021-08-14,64.27,67.42,62.11,67.08,4127859988.0,8649450648.0,128942317.0
112,2021-08-13,60.15,64.32,59.43,64.24,3603599501.0,8280779958.0,128903797.0
113,2021-08-12,60.83,65.74,57.67,59.98,3754280016.0,7730466907.0,128884076.0
114,2021-08-11,58.87,63.84,58.64,60.9,3526560000.0,7849749179.0,128895717.0
115,2021-08-10,59.07,60.26,57.15,58.87,2726719327.0,7587312168.0,128882489.0
116,2021-08-09,57.14,60.32,55.12,59.16,2985335853.0,7622941761.0,128852970.0
117,2021-08-08,60.62,63.07,56.08,57.16,3664544589.0,7364345049.0,128837387.0
118,2021-08-07,53.07,61.07,52.7,60.54,4164501388.0,7798137661.0,128809673.0
119,2021-08-06,52.45,53.67,51.37,53.0,2036092733.0,6825726028.0,128787283.0
120,2021-08-05,51.61,53.44,49.03,52.46,2298437228.0,6756120583.0,128786133.0
121,2021-08-04,49.45,52.23,48.62,51.61,2136513800.0,6645301763.0,128759964.0
122,2021-08-03,51.37,52.2,48.54,49.37,2044483663.0,6355690133.0,128735874.0
123,2021-08-02,50.34,52.3,49.41,51.37,2186652120.0,6612327783.0,128719637.0
124,2021-08-01,51.37,53.97,49.49,50.42,2396071059.0,6488271711.0,128684484.0
125,2021-07-31,50.95,52.27,49.82,51.42,2215637166.0,6615956803.0,128665048.0
126,2021-07-30,49.33,51.33,47.61,51.09,2340116831.0,6571616798.0,128628240.0
127,2021-07-29,49.25,49.95,48.41,49.25,1722137225.0,6345153753.0,128835609.0
128,2021-07-28,49.53,51.02,48.02,49.17,2222871049.0,6334103182.0,128820483.0
129,2021-07-27,48.46,50.32,46.22,49.45,2657227035.0,6369656179.0,128810033.0
130,2021-07-26,48.45,55.73,47.64,48.53,3989649716.0,6249076065.0,128767279.0
131,2021-07-25,49.48,49.77,46.0,48.46,2049032675.0,6239852922.0,128762957.0
132,2021-07-24,45.78,51.43,45.01,49.48,2499607035.0,6370203113.0,128742989.0
133,2021-07-23,43.42,46.58,43.1,45.79,2202023616.0,5893504470.0,128707238.0
134,2021-07-22,42.93,44.13,41.99,43.41,1769937892.0,5586112143.0,128682610.0
135,2021-07-21,39.38,43.76,38.69,42.86,2046744526.0,5514836510.0,128670940.0
136,2021-07-20,41.6,42.04,37.95,39.39,1850974248.0,5068212374.0,128667488.0
137,2021-07-19,41.94,43.83,40.72,41.51,1936295534.0,5339291957.0,128626643.0
138,2021-07-18,41.49,43.24,41.25,41.99,1363112045.0,5400358691.0,128610590.0
139,2021-07-17,41.19,43.18,40.36,41.45,1548467310.0,5330398671.0,128598279.0
140,2021-07-16,43.2,43.84,40.69,41.26,1707455111.0,5305250894.0,128580971.0
141,2021-07-15,45.65,47.1,42.45,43.16,1743714198.0,5548735359.0,128561987.0
142,2021-07-14,45.57,47.72,42.71,45.66,2176650881.0,5310980910.0,116315832.0
143,2021-07-13,47.77,48.21,45.2,45.57,1820339496.0,5300051613.0,116305718.0
144,2021-07-12,49.7,50.57,46.82,47.81,2037499132.0,5561498187.0,116324998.0
145,2021-07-11,49.15,50.48,48.33,49.69,1712977479.0,5779657381.0,116314296.0
146,2021-07-10,50.18,51.32,48.35,49.17,1994248806.0,5719235085.0,116315539.0
147,2021-07-09,49.54,51.3,46.68,50.12,2565416588.0,5829433387.0,116309524.0
148,2021-07-08,52.87,52.98,48.8,49.62,2700936105.0,5771965228.0,116323362.0
149,2021-07-07,54.71,55.52,52.75,52.81,2720318046.0,6142555067.0,116314240.0
150,2021-07-06,53.71,56.83,53.66,54.71,2587432849.0,6364030161.0,116322978.0
151,2021-07-05,56.28,56.85,53.18,53.68,2590824643.0,6244004144.0,116319004.0
152,2021-07-04,56.82,58.79,55.94,56.25,2864592305.0,6542118089.0,116304321.0
153,2021-07-03,53.73,58.32,52.56,56.83,3073360923.0,6610289374.0,116316899.0
154,2021-07-02,53.12,55.11,50.91,53.77,2881211051.0,6254108971.0,116312236.0
155,2021-07-01,57.53,58.29,52.52,53.24,3707356637.0,6192257747.0,116308372.0
156,2021-06-30,56.64,62.01,51.84,57.63,5960519765.0,6702822474.0,116307868.0
157,2021-06-29,43.36,58.32,43.24,56.3,4689117273.0,6548630865.0,116316711.0
158,2021-06-28,42.35,44.47,41.17,43.33,1965963965.0,5039814313.0,116312354.0
159,2021-06-27,40.54,42.44,39.52,42.33,1782621295.0,4923668235.0,116316282.0
160,2021-06-26,39.51,40.91,37.65,40.52,2088072905.0,4712508083.0,116300791.0
161,2021-06-25,43.13,45.3,39.07,39.63,2177915889.0,4608997753.0,116300725.0
162,2021-06-24,40.79,43.48,38.83,43.09,1858527477.0,5012277481.0,116321129.0
163,2021-06-23,36.57,42.38,34.78,40.57,2409661134.0,4718367835.0,116301893.0
164,2021-06-22,39.47,42.65,32.51,36.53,2749863356.0,4248525672.0,116302372.0
165,2021-06-21,51.03,51.36,38.64,39.43,2361396365.0,4586020696.0,116307905.0
166,2021-06-20,51.05,51.45,47.12,51.11,1774866299.0,5945034612.0,116318423.0
167,2021-06-19,52.56,53.24,50.99,51.15,1634610713.0,5949230456.0,116309490.0
168,2021-06-18,55.56,55.56,50.67,52.55,1876860732.0,6111740522.0,116303340.0
169,2021-06-17,55.33,57.22,54.41,55.54,1772611691.0,6459493671.0,116303451.0
170,2021-06-16,58.24,58.31,54.92,55.27,2071407832.0,6428896250.0,116318007.0
171,2021-06-15,59.04,60.14,57.47,59.38,2398590865.0,6906360057.0,116307848.0
172,2021-06-14,59.04,60.53,56.76,59.16,2789936710.0,6880715689.0,116306891.0
173,2021-06-13,55.24,60.26,53.84,59.06,2644959954.0,6869070967.0,116306653.0
174,2021-06-12,56.92,56.92,53.3,55.27,2621237907.0,6428116548.0,116303899.0
175,2021-06-11,57.97,60.43,56.2,56.96,2907275844.0,6624759831.0,116305474.0
176,2021-06-10,62.3,63.38,57.24,57.94,3163850050.0,6739535874.0,116319224.0
177,2021-06-09,56.79,62.58,53.73,61.98,4113067210.0,7209300287.0,116316558.0
178,2021-06-08,58.02,59.15,49.8,56.91,3791046087.0,6619070790.0,116307692.0
179,2021-06-07,64.1,65.1,57.64,57.86,2868782848.0,6730095617.0,116316896.0
180,2021-06-06,63.14,65.5,62.83,64.11,2618835050.0,7456461632.0,116307309.0
181,2021-06-05,64.86,67.37,61.79,63.14,3137036325.0,7344056074.0,116313843.0
182,2021-06-04,69.87,69.87,61.56,64.88,3607554276.0,7546533191.0,116315246.0
183,2021-06-03,68.44,72.46,67.3,69.8,2913129860.0,8118834117.0,116315675.0
184,2021-06-02,67.77,70.33,65.9,68.39,2843370083.0,7955085272.0,116319422.0
185,2021-06-01,70.09,71.64,65.86,67.79,3205445345.0,7884751116.0,116311419.0
186,2021-05-31,66.21,70.52,62.07,70.22,3476431785.0,8167311407.0,116310330.0
187,2021-05-30,64.32,68.18,60.13,66.37,3798698595.0,7719247656.0,116306277.0
188,2021-05-29,68.31,70.79,61.18,64.28,4719305772.0,7476726753.0,116314977.0
189,2021-05-28,74.55,79.0,63.72,68.36,7253044146.0,7950866723.0,116308758.0
190,2021-05-27,79.91,79.91,71.45,74.31,4931141867.0,8643005423.0,116310125.0
191,2021-05-26,78.39,83.25,74.37,79.93,6584747586.0,9296894256.0,116312952.0
192,2021-05-25,73.53,82.59,70.49,78.24,11026112416.0,9100762681.0,116318541.0
193,2021-05-24,51.67,73.97,49.05,73.42,8536319378.0,8539856956.0,116315131.0
194,2021-05-23,58.68,62.45,40.24,51.96,6820065999.0,6044196831.0,116324034.0
195,2021-05-22,64.32,64.83,54.65,58.54,5398882569.0,6808717722.0,116308809.0
196,2021-05-21,73.88,78.29,54.71,64.05,8127575426.0,7449332559.0,116304957.0
197,2021-05-20,59.63,79.25,54.9,74.06,9733835035.0,8613669767.0,116306640.0
198,2021-05-19,88.81,90.2,40.97,60.12,10670122121.0,6992963475.0,116316757.0
199,2021-05-18,89.56,95.25,86.27,88.68,6764331594.0,10314324649.0,116309479.0
200,2021-05-17,93.73,94.41,81.23,89.94,8050265428.0,10460989244.0,116310754.0
201,2021-05-16,95.18,103.17,87.05,93.79,7457832416.0,10909010440.0,116313151.0
202,2021-05-15,103.55,114.12,94.89,95.17,10228314533.0,11069246105.0,116310245.0
203,2021-05-14,88.03,109.44,86.77,104.12,12253450514.0,12110910459.0,116316850.0
204,2021-05-13,84.91,94.53,78.79,87.77,11340588570.0,10209264973.0,116318388.0
205,2021-05-12,111.3,114.03,82.58,82.76,9277358255.0,9625991404.0,116312124.0
206,2021-05-11,105.2,116.44,102.49,111.14,11373003544.0,12927092575.0,116313591.0
207,2021-05-10,118.0,129.29,92.64,105.03,14313956067.0,12215834594.0,116308050.0
208,2021-05-09,127.33,129.27,114.15,117.38,13429218382.0,13652427949.0,116309660.0
209,2021-05-08,119.62,133.47,110.46,126.49,19606452022.0,14712276388.0,116311774.0
210,2021-05-07,133.68,144.48,109.4,120.13,31255577303.0,13972685439.0,116313039.0
211,2021-05-06,94.15,176.16,87.64,134.1,42721411413.0,15597820852.0,116314846.0
212,2021-05-05,69.24,100.03,68.12,94.27,23543754709.0,10964440429.0,116308904.0
213,2021-05-04,52.12,71.93,49.61,69.49,13630779722.0,8082716601.0,116314816.0
214,2021-05-03,44.9,52.28,44.28,52.06,5107814937.0,6055257136.0,116313045.0
215,2021-05-02,44.67,46.57,42.16,44.9,4473424689.0,5222903247.0,116323012.0
216,2021-05-01,36.33,46.33,36.29,44.61,4173185417.0,5188649522.0,116311354.0
217,2021-04-30,34.46,36.69,33.79,36.37,1769693902.0,4230132151.0,116308280.0
218,2021-04-29,35.06,35.27,33.64,34.46,1644247877.0,4007924342.0,116306568.0
219,2021-04-28,33.75,36.27,32.39,35.02,2635029772.0,4072714383.0,116296812.0
220,2021-04-27,32.8,34.25,32.0,33.71,2039178894.0,3921171082.0,116320708.0
221,2021-04-26,29.22,32.84,28.94,32.81,1890402741.0,3816361057.0,116317008.0
222,2021-04-25,29.62,31.73,27.9,29.11,1960770020.0,3386029672.0,116318436.0
223,2021-04-24,32.64,32.72,29.34,29.57,1855281855.0,3439364676.0,116312636.0
224,2021-04-23,33.66,34.48,25.81,32.56,4530870972.0,3786972595.0,116307512.0
225,2021-04-22,32.02,39.28,31.66,33.51,4988827208.0,3897908366.0,116320750.0
226,2021-04-21,33.69,35.3,31.63,32.16,2464254899.0,3740195512.0,116299611.0
227,2021-04-20,33.43,35.18,30.27,33.63,3696862219.0,3912061736.0,116326545.0
228,2021-04-19,37.09,38.27,32.25,33.5,4391182156.0,3896142251.0,116302753.0
229,2021-04-18,38.22,39.51,31.8,37.01,6861788500.0,4304535953.0,116307375.0
230,2021-04-17,38.41,49.67,37.78,38.32,9132671645.0,4457315821.0,116318262.0
231,2021-04-16,28.63,46.07,28.63,38.54,10635029251.0,4482413983.0,116305500.0
232,2021-04-15,21.95,29.81,21.52,28.65,3896283267.0,3332631613.0,116322220.0
233,2021-04-14,21.21,22.72,20.24,21.98,2105367284.0,2556316386.0,116301928.0
234,2021-04-13,19.52,21.99,19.4,21.22,1841866798.0,2468524206.0,116330075.0
235,2021-04-12,20.41,20.51,19.04,19.53,1333744032.0,2271904934.0,116328977.0
236,2021-04-11,20.42,21.5,19.87,20.43,1686351598.0,2376708956.0,116334261.0
237,2021-04-10,18.78,21.17,18.37,20.39,1800282748.0,2372021137.0,116332571.0
238,2021-04-09,19.51,20.01,18.64,18.77,1331482647.0,2183185507.0,116312493.0
239,2021-04-08,19.23,19.83,18.07,19.5,2265440249.0,2268537950.0,116335279.0
240,2021-04-07,17.85,20.81,17.19,19.19,4946490947.0,2232267136.0,116324499.0
241,2021-04-06,16.12,18.6,16.08,17.86,2841602885.0,2077536059.0,116323407.0
242,2021-04-05,14.62,16.13,14.49,16.13,1785209149.0,1875894108.0,116298456.0
243,2021-04-04,13.67,14.64,13.57,14.62,1073143924.0,1700176278.0,116291127.0
244,2021-04-03,15.29,15.35,13.66,13.67,1249465436.0,1589480235.0,116275072.0
245,2021-04-02,14.41,15.61,14.18,15.29,1423061752.0,1778267425.0,116302643.0
246,2021-04-01,14.08,14.51,13.69,14.41,1318418510.0,1676177761.0,116320455.0
247,2021-03-31,13.02,14.33,12.72,14.08,1414616249.0,1637662605.0,116311264.0
248,2021-03-30,12.58,13.04,12.35,13.01,871468963.0,1513653763.0,116345408.0
249,2021-03-29,11.88,12.62,11.78,12.57,793403663.0,1462612112.0,116357367.0
250,2021-03-28,11.79,12.05,11.74,11.88,626362299.0,1381879979.0,116319863.0
251,2021-03-27,11.77,11.97,11.49,11.79,657272572.0,1371218130.0,116303488.0
252,2021-03-26,11.14,11.77,11.11,11.77,756466306.0,1368895314.0,116303764.0
253,2021-03-25,11.4,11.51,10.85,11.14,915262697.0,1295950888.0,116333113.0
254,2021-03-24,12.32,12.64,11.3,11.41,955942125.0,1327110009.0,116311131.0
255,2021-03-23,11.75,12.65,11.7,12.33,1355496005.0,1433654818.0,116273707.0
256,2021-03-22,12.0,12.43,11.68,11.75,909034193.0,1366644938.0,116310207.0
257,2021-03-21,12.33,12.48,11.96,12.0,772462921.0,1395691245.0,116307603.0
258,2021-03-20,12.29,12.87,12.27,12.33,765654172.0,1434017515.0,116303123.0
259,2021-03-19,12.21,12.43,12.0,12.29,653393039.0,1429383379.0,116304587.0
260,2021-03-18,12.49,12.62,12.18,12.21,753948208.0,1420727405.0,116357690.0
261,2021-03-17,12.42,12.5,11.83,12.48,959502545.0,1451959466.0,116342905.0
262,2021-03-16,12.17,12.55,11.63,12.42,1120201396.0,1444619902.0,116314001.0
263,2021-03-15,12.78,13.08,11.89,12.17,1301008665.0,1415471701.0,116308274.0
264,2021-03-14,13.82,14.08,12.78,12.78,1134554617.0,1486968560.0,116351217.0
265,2021-03-13,11.94,14.22,11.58,13.83,1481862952.0,1608318172.0,116291986.0
266,2021-03-12,12.24,12.48,11.62,11.94,1047735920.0,1388708806.0,116307270.0
267,2021-03-11,11.98,12.56,11.76,12.24,1147959108.0,1423258588.0,116279296.0
268,2021-03-10,12.4,12.67,11.73,11.99,1184671771.0,1394676605.0,116319983.0
269,2021-03-09,11.69,12.64,11.53,12.4,1198339180.0,1442536801.0,116333612.0
270,2021-03-08,11.53,11.96,11.08,11.69,1029331064.0,1359542798.0,116299640.0
271,2021-03-07,11.15,11.76,11.11,11.53,894072080.0,1340694500.0,116278794.0
272,2021-03-06,10.95,11.22,10.66,11.15,752329048.0,1296521019.0,116279912.0
273,2021-03-05,11.02,11.07,10.38,10.95,913522947.0,1273312111.0,116284211.0
274,2021-03-04,11.28,11.69,10.71,11.02,1066962092.0,1281573993.0,116295280.0
275,2021-03-03,10.91,11.73,10.85,11.29,1066025293.0,1312911341.0,116289755.0
