,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-06,0.2881,0.3107,0.253,0.3104,278030.0,36225380.0,116705476.0
1,2021-12-05,0.2834,0.2986,0.2739,0.288,324295.0,33605122.0,116684451.0
2,2021-12-04,0.3152,0.3152,0.2304,0.2835,588961.0,33089269.0,116716998.0
3,2021-12-03,0.3721,0.3782,0.2976,0.3152,982800.0,36781179.0,116691557.0
4,2021-12-02,0.38,0.3852,0.3693,0.372,241912.0,43415717.0,116708916.0
5,2021-12-01,0.3647,0.3864,0.3621,0.38,272851.0,44347024.0,116702694.0
6,2021-11-30,0.408,0.4107,0.3617,0.3648,496366.0,42572647.0,116701334.0
7,2021-11-29,0.3598,0.4205,0.3598,0.408,362707.0,47612165.0,116696482.0
8,2021-11-28,0.322,0.3616,0.3171,0.3598,202723.0,41988360.0,116699166.0
9,2021-11-27,0.3667,0.3737,0.3177,0.3219,189766.0,37566973.0,116703861.0
10,2021-11-26,0.3978,0.3988,0.3289,0.367,376021.0,42828087.0,116697784.0
11,2021-11-25,0.4081,0.4176,0.3906,0.4099,340514.0,47829921.0,116686804.0
12,2021-11-24,0.4011,0.417,0.3935,0.3974,646214.0,46372898.0,116690734.0
13,2021-11-23,0.3694,0.4031,0.356,0.401,655859.0,46795459.0,116696905.0
14,2021-11-22,0.375,0.375,0.3465,0.3696,278739.0,43130544.0,116695194.0
15,2021-11-21,0.386,0.3907,0.3662,0.3751,422132.0,43774720.0,116701466.0
16,2021-11-20,0.4013,0.4049,0.3729,0.386,148543.0,45049442.0,116708398.0
17,2021-11-19,0.3551,0.415,0.3501,0.4012,477266.0,46817968.0,116694835.0
18,2021-11-18,0.3726,0.3841,0.3524,0.3547,259278.0,41392335.0,116696743.0
19,2021-11-17,0.3474,0.5456,0.343,0.3725,411893.0,43474854.0,116711017.0
20,2021-11-16,0.3994,2.37,0.3462,0.3475,237624.0,40552589.0,116698097.0
21,2021-11-15,0.3213,0.4424,0.3213,0.3996,1193743.0,46628215.0,116687224.0
22,2021-11-14,0.2957,0.3317,0.2951,0.3216,846215.0,37528972.0,116694564.0
23,2021-11-13,0.296,0.3002,0.2895,0.2952,149724.0,34450267.0,116701446.0
24,2021-11-12,0.2851,0.2987,0.2749,0.296,180866.0,34541960.0,116695810.0
25,2021-11-11,0.2937,0.2947,0.2719,0.2849,287393.0,33244537.0,116688441.0
26,2021-11-10,0.3083,0.311,0.2919,0.2935,211047.0,34251774.0,116701103.0
27,2021-11-09,0.3198,0.3353,0.308,0.3084,338426.0,35985672.0,116685058.0
28,2021-11-08,0.2734,0.3268,0.2667,0.3193,525561.0,37263828.0,116704754.0
29,2021-11-07,0.2724,0.2814,0.2569,0.2737,207681.0,31940155.0,116697679.0
30,2021-11-06,0.2559,0.2817,0.2471,0.2722,139260.0,31763486.0,116691719.0
31,2021-11-05,0.29,0.292,0.2514,0.2556,167822.0,29833873.0,116720942.0
32,2021-11-04,0.2845,0.2947,0.2632,0.2904,208827.0,33887765.0,116693405.0
33,2021-11-03,0.2786,0.2935,0.2706,0.2846,393491.0,33217533.0,116716560.0
34,2021-11-02,0.2664,0.2844,0.2652,0.2784,138376.0,32493633.0,116715635.0
35,2021-11-01,0.3038,0.3041,0.2655,0.2661,242267.0,31057404.0,116713280.0
36,2021-10-31,0.311,0.3138,0.3011,0.3038,176787.0,35453603.0,116700470.0
37,2021-10-30,0.307,0.3177,0.3004,0.3106,501513.0,36244963.0,116693377.0
38,2021-10-29,0.3238,0.3278,0.3059,0.3068,688583.0,35804761.0,116703914.0
39,2021-10-28,0.2942,0.3248,0.2902,0.3236,250718.0,37761324.0,116691359.0
40,2021-10-27,0.3219,0.3282,0.294,0.294,246014.0,34311548.0,116705945.0
41,2021-10-26,0.3203,0.3415,0.3132,0.322,268467.0,37572980.0,116686273.0
42,2021-10-25,0.3233,0.3316,0.313,0.32,182816.0,37347638.0,116711368.0
43,2021-10-24,0.3079,0.33,0.2835,0.3238,559757.0,37784816.0,116691834.0
44,2021-10-23,0.3272,0.3372,0.2984,0.3076,334709.0,35896898.0,116699928.0
45,2021-10-22,0.344,0.3479,0.3226,0.327,103071.0,38163951.0,116709330.0
46,2021-10-21,0.369,0.374,0.3345,0.3442,480597.0,40168046.0,116699726.0
47,2021-10-20,0.3143,0.3773,0.307,0.3693,732536.0,43099187.0,116705082.0
48,2021-10-19,0.3288,0.3297,0.3097,0.3155,258910.0,36817233.0,116694874.0
49,2021-10-18,0.3321,0.3389,0.3256,0.3288,134168.0,38365811.0,116684340.0
50,2021-10-17,0.3442,0.3457,0.3252,0.3322,188099.0,38762042.0,116682847.0
51,2021-10-16,0.3709,0.3711,0.3427,0.3442,288714.0,40170757.0,116707603.0
52,2021-10-15,0.3455,0.3858,0.345,0.37,270042.0,43176365.0,116692878.0
53,2021-10-14,0.3385,0.3559,0.3354,0.3457,455407.0,40348341.0,116714900.0
54,2021-10-13,0.3018,0.3386,0.2852,0.3382,543554.0,39473310.0,116715878.0
55,2021-10-12,0.3414,0.3417,0.2907,0.3017,513767.0,35212892.0,116714922.0
56,2021-10-11,0.3618,0.3708,0.3211,0.3418,450400.0,39889962.0,116705564.0
57,2021-10-10,0.3909,0.4067,0.3613,0.3614,440606.0,42169683.0,116684236.0
58,2021-10-09,0.4007,0.4031,0.3845,0.3912,271362.0,45652225.0,116697916.0
59,2021-10-08,0.4084,0.4311,0.4005,0.4008,371801.0,46774217.0,116702138.0
60,2021-10-07,0.4396,0.4396,0.3666,0.4088,1054623.0,47710085.0,116707644.0
