,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-06,0.6327,0.6754,0.5836,0.6086,2864083.0,39176719.0,64371868.0
1,2021-12-05,0.6319,0.6918,0.6027,0.6322,2882726.0,40695839.0,64371779.0
2,2021-12-04,0.6607,0.6842,0.5838,0.631,2878645.0,40617784.0,64370497.0
3,2021-12-03,0.5803,0.753,0.5803,0.6608,5587504.0,42532438.0,64365069.0
4,2021-12-02,0.6209,0.6337,0.5716,0.5776,1722942.0,37176098.0,64363050.0
5,2021-12-01,0.6163,0.6647,0.6139,0.6209,2086506.0,39967743.0,64370660.0
6,2021-11-30,0.5822,0.6181,0.5543,0.6171,1730552.0,39719499.0,64364769.0
7,2021-11-29,0.5798,0.5866,0.5438,0.5822,1343100.0,37474689.0,64367380.0
8,2021-11-28,0.6079,0.6284,0.5397,0.5795,1423955.0,37301913.0,64369133.0
9,2021-11-27,0.6159,0.636,0.5988,0.6065,1734299.0,39041391.0,64371625.0
10,2021-11-26,0.6753,0.7001,0.5685,0.6162,3033625.0,39661095.0,64363997.0
11,2021-11-25,0.5502,0.7116,0.5461,0.5609,1332727.0,36105727.0,64371059.0
12,2021-11-24,0.5526,0.5619,0.5217,0.5384,1081454.0,34653069.0,64363055.0
13,2021-11-23,0.5689,0.5846,0.55,0.5525,1293525.0,35563228.0,64367833.0
14,2021-11-22,0.5613,0.6065,0.5488,0.572,1645075.0,36820706.0,64371863.0
15,2021-11-21,0.615,0.6178,0.5502,0.5602,1352701.0,36056060.0,64362834.0
16,2021-11-20,0.5564,0.6177,0.5556,0.6147,1342580.0,39569659.0,64372310.0
17,2021-11-19,0.5416,0.5668,0.5216,0.5564,1067741.0,35814255.0,64367819.0
18,2021-11-18,0.5917,0.6065,0.5145,0.5416,1716409.0,34859927.0,64364710.0
19,2021-11-17,0.5966,0.6095,0.5557,0.5916,1759881.0,38083322.0,64373431.0
20,2021-11-16,0.6866,0.7907,0.5799,0.5956,2261279.0,38335184.0,64363975.0
21,2021-11-15,0.7533,0.7787,0.6815,0.6862,2289371.0,44170807.0,64370164.0
22,2021-11-14,0.7155,0.7847,0.6935,0.7517,2603102.0,48388567.0,64372179.0
23,2021-11-13,0.6863,0.7529,0.6711,0.7156,2453491.0,46058537.0,64363522.0
24,2021-11-12,0.7594,0.7777,0.6713,0.6856,2966099.0,44131890.0,64369734.0
25,2021-11-11,0.7344,0.801,0.7288,0.7594,3157135.0,48883505.0,64371220.0
26,2021-11-10,0.7452,0.8369,0.6791,0.7342,4076814.0,47261258.0,64371095.0
