,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-06,0.07452,0.07878,0.06362,0.07174,26427743.0,45877546.0,639497435.0
1,2021-12-05,0.07085,0.08378,0.06852,0.07446,52543166.0,47619288.0,639528444.0
2,2021-12-04,0.0793,0.08786,0.06424,0.07062,42233787.0,45161929.0,639506216.0
3,2021-12-03,0.08009,0.09288,0.07783,0.07941,60069155.0,50782560.0,639498299.0
4,2021-12-02,0.0756,0.0936,0.07389,0.07984,78169241.0,51058552.0,639510921.0
5,2021-12-01,0.07565,0.07815,0.07505,0.07557,7370248.0,48330975.0,639552401.0
6,2021-11-30,0.07873,0.07873,0.0747,0.07567,7754687.0,48393594.0,639534742.0
7,2021-11-29,0.07621,0.08001,0.07563,0.07875,8030610.0,50364014.0,639543034.0
8,2021-11-28,0.07595,0.07635,0.07168,0.07621,7358744.0,48735521.0,639489843.0
9,2021-11-27,0.07316,0.07734,0.07301,0.07556,9713710.0,48322821.0,639529129.0
10,2021-11-26,0.08145,0.08244,0.07246,0.07321,11925288.0,46818162.0,639505012.0
11,2021-11-25,0.07759,0.08458,0.07708,0.0771,8433997.0,49307806.0,639530557.0
12,2021-11-24,0.08115,0.08138,0.07684,0.07891,10099380.0,50462015.0,639488214.0
13,2021-11-23,0.07921,0.0817,0.07828,0.08123,10910945.0,51948576.0,639524510.0
14,2021-11-22,0.08524,0.08797,0.07919,0.07928,17070782.0,50699035.0,639493377.0
15,2021-11-21,0.08095,0.09337,0.0802,0.0852,43242689.0,54486783.0,639516232.0
16,2021-11-20,0.0793,0.08397,0.07697,0.08083,25228761.0,51690528.0,639496820.0
17,2021-11-19,0.07438,0.08019,0.07369,0.0792,12403826.0,50651097.0,639534053.0
18,2021-11-18,0.08044,0.08272,0.07327,0.0744,15340212.0,47580469.0,639522432.0
19,2021-11-17,0.08083,0.08201,0.07723,0.08045,15420484.0,51448521.0,639509272.0
20,2021-11-16,0.08751,0.09643,0.0792,0.08083,26796382.0,51695111.0,639553519.0
21,2021-11-15,0.08823,0.09196,0.08553,0.08736,16656618.0,55867744.0,639511721.0
22,2021-11-14,0.08694,0.08992,0.08512,0.08807,11759571.0,56324931.0,639547303.0
23,2021-11-13,0.08731,0.08777,0.0854,0.08696,7588092.0,55610402.0,639494043.0
24,2021-11-12,0.09152,0.0916,0.08458,0.08719,12583632.0,55762055.0,639546450.0
25,2021-11-11,0.08941,0.09362,0.08723,0.09159,16715857.0,58571186.0,639493241.0
26,2021-11-10,0.09287,0.09882,0.08669,0.08939,41435268.0,57169875.0,639555599.0
27,2021-11-09,0.08701,0.0956,0.08608,0.09296,43644537.0,59452873.0,639553280.0
28,2021-11-08,0.0883,0.08975,0.08551,0.08693,18291600.0,55594356.0,639530150.0
29,2021-11-07,0.08538,0.09059,0.08476,0.08837,20995149.0,56514895.0,639525800.0
30,2021-11-06,0.0859,0.08798,0.08239,0.08531,9108231.0,54557391.0,639519294.0
31,2021-11-05,0.08982,0.09092,0.08511,0.08593,14879942.0,54951720.0,639494006.0
32,2021-11-04,0.08739,0.09505,0.08739,0.08982,40584382.0,57439412.0,639494678.0
33,2021-11-03,0.08502,0.08905,0.08318,0.08739,22592499.0,55889471.0,639540805.0
34,2021-11-02,0.08315,0.08807,0.08195,0.08485,18582139.0,54260343.0,639485480.0
35,2021-11-01,0.08032,0.08583,0.08005,0.08327,18072917.0,53251853.0,639508262.0
36,2021-10-31,0.0821,0.0824,0.0787,0.08058,17523023.0,51532142.0,639515289.0
37,2021-10-30,0.08568,0.08618,0.08155,0.08181,14154941.0,52318471.0,639511930.0
38,2021-10-29,0.08574,0.08783,0.08413,0.08577,14131635.0,54851877.0,639522875.0
39,2021-10-28,0.0814,0.0896,0.08092,0.08584,21799903.0,54894629.0,639499405.0
40,2021-10-27,0.09274,0.0945,0.08091,0.08138,24301387.0,52042121.0,639495219.0
41,2021-10-26,0.09602,0.09666,0.09204,0.09274,15614528.0,59307059.0,639498156.0
42,2021-10-25,0.09783,0.09988,0.09443,0.09607,18173396.0,61440956.0,639543624.0
43,2021-10-24,0.09394,0.1014,0.09303,0.09784,48958723.0,62570505.0,639518652.0
44,2021-10-23,0.08955,0.09833,0.08891,0.09388,39878294.0,60040745.0,639547773.0
45,2021-10-22,0.09182,0.09374,0.0876,0.08958,19667169.0,57285395.0,639488669.0
46,2021-10-21,0.09195,0.09547,0.08822,0.092,30544691.0,58837880.0,639542173.0
