,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-06,0.7864,0.7946,0.7058,0.7945,14627720.0,59102320.0,74389326.0
1,2021-12-05,0.8079,0.8571,0.7433,0.7861,21454531.0,58475432.0,74386759.0
2,2021-12-04,0.9712,0.9712,0.674,0.8079,26791140.0,60100608.0,74391147.0
3,2021-12-03,0.9898,1.04,0.9551,0.9712,23437961.0,72248377.0,74390832.0
4,2021-12-02,0.9999,1.03,0.944,0.9898,19351519.0,73628459.0,74387208.0
5,2021-12-01,1.04,1.07,0.9786,0.9999,19446450.0,74376694.0,74384132.0
6,2021-11-30,1.08,1.19,1.01,1.04,58120326.0,77415743.0,74438214.0
7,2021-11-29,0.9409,1.25,0.9255,1.08,66724570.0,74726501.0,69191204.0
8,2021-11-28,0.9943,0.9943,0.8784,0.9448,14809864.0,65557730.0,69387944.0
9,2021-11-27,0.9076,1.03,0.9022,0.9933,22943388.0,68919986.0,69384864.0
10,2021-11-26,1.01,1.01,0.8888,0.9079,13441299.0,62994840.0,69385218.0
11,2021-11-25,0.9886,1.04,0.9858,0.9905,15375720.0,68727895.0,69387072.0
12,2021-11-24,1.06,1.07,0.9592,1.04,23893829.0,72222978.0,69445171.0
13,2021-11-23,1.09,1.15,1.05,1.06,25552453.0,73683835.0,69513051.0
14,2021-11-22,1.13,1.4,1.02,1.08,128586604.0,74739203.0,69202965.0
15,2021-11-21,0.9772,1.48,0.9494,1.14,88399738.0,79095970.0,69382429.0
16,2021-11-20,0.9273,0.9849,0.8998,0.9779,10925250.0,67855100.0,69388587.0
17,2021-11-19,0.8711,0.9436,0.8436,0.9271,9532774.0,64328228.0,69386504.0
18,2021-11-18,0.9676,0.9738,0.8587,0.8712,10278068.0,60449536.0,69386519.0
19,2021-11-17,0.9724,0.9837,0.9442,0.9676,9976839.0,67137201.0,69385284.0
20,2021-11-16,1.09,1.09,0.9349,0.9728,16329096.0,67503372.0,69390801.0
21,2021-11-15,1.08,1.14,1.07,1.09,16062936.0,75610973.0,69367865.0
22,2021-11-14,1.09,1.13,1.06,1.08,13362515.0,74962945.0,69410134.0
23,2021-11-13,1.06,1.15,1.04,1.09,12694215.0,75715372.0,69463644.0
24,2021-11-12,1.1,1.11,1.03,1.06,17700590.0,73620749.0,69453536.0
25,2021-11-11,1.07,1.11,1.06,1.1,8674782.0,76346283.0,69405711.0
26,2021-11-10,1.17,1.17,1.05,1.07,13374816.0,74590933.0,69711152.0
27,2021-11-09,1.25,1.26,1.14,1.16,15324387.0,80836425.0,69686573.0
28,2021-11-08,1.13,1.32,1.1,1.25,35378639.0,86453262.0,69162609.0
29,2021-11-07,1.11,1.15,1.1,1.13,9903504.0,78086710.0,69103283.0
30,2021-11-06,1.13,1.15,1.09,1.11,8881540.0,76787920.0,69178306.0
31,2021-11-05,1.15,1.16,1.11,1.13,11055050.0,78669078.0,69618653.0
32,2021-11-04,1.13,1.16,1.1,1.16,14603401.0,80155967.0,69099971.0
33,2021-11-03,1.14,1.17,1.1,1.13,14318073.0,78458025.0,69431880.0
34,2021-11-02,1.13,1.19,1.11,1.14,12757006.0,78914375.0,69223135.0
35,2021-11-01,1.14,1.23,1.12,1.13,16170802.0,78177602.0,69183718.0
36,2021-10-31,1.1,1.19,1.07,1.14,18887700.0,79423080.0,69669368.0
37,2021-10-30,1.16,1.16,1.07,1.1,23095811.0,76566985.0,69606350.0
38,2021-10-29,1.14,1.18,1.12,1.16,12598191.0,80205865.0,69142987.0
39,2021-10-28,1.04,1.26,1.03,1.15,34463672.0,76770040.0,66756556.0
40,2021-10-27,1.24,1.26,1.04,1.04,18982249.0,69877293.0,67189704.0
41,2021-10-26,1.27,1.27,1.23,1.24,10367819.0,82760417.0,66742271.0
42,2021-10-25,1.24,1.3,1.22,1.27,11818269.0,84859091.0,66818181.0
43,2021-10-24,1.27,1.28,1.23,1.24,9628706.0,82624204.0,66632422.0
44,2021-10-23,1.28,1.31,1.26,1.27,9162533.0,85084862.0,66995954.0
45,2021-10-22,1.26,1.34,1.26,1.28,16419052.0,85616709.0,66888053.0
46,2021-10-21,1.3,1.34,1.24,1.26,16846084.0,84409004.0,66991273.0
47,2021-10-20,1.26,1.3,1.23,1.3,12407784.0,86674287.0,66672528.0
48,2021-10-19,1.3,1.36,1.24,1.26,16605398.0,84196191.0,66822373.0
49,2021-10-18,1.23,1.37,1.23,1.29,25100571.0,86225132.0,66841187.0
50,2021-10-17,1.27,1.34,1.2,1.24,18003858.0,82751791.0,66735315.0
51,2021-10-16,1.26,1.4,1.24,1.27,30914028.0,85063610.0,66979220.0
52,2021-10-15,1.23,1.29,1.19,1.26,19959735.0,84366184.0,66957288.0
53,2021-10-14,1.23,1.28,1.21,1.23,14189332.0,82450679.0,67033072.0
54,2021-10-13,1.21,1.28,1.17,1.23,18201358.0,81970915.0,66643020.0
55,2021-10-12,1.2,1.33,1.15,1.21,26134584.0,80627363.0,66634184.0
56,2021-10-11,1.22,1.24,1.18,1.2,12008941.0,80113063.0,66760885.0
57,2021-10-10,1.26,1.28,1.21,1.22,12645968.0,81467505.0,66776643.0
58,2021-10-09,1.27,1.3,1.25,1.27,12205165.0,84813694.0,66782436.0
59,2021-10-08,1.27,1.33,1.25,1.27,19451729.0,85038233.0,66959238.0
60,2021-10-07,1.24,1.31,1.2,1.28,23762343.0,85435151.0,66746211.0
61,2021-10-06,1.31,1.32,1.18,1.24,22445384.0,82951775.0,66896592.0
62,2021-10-05,1.31,1.39,1.25,1.31,33915537.0,87498292.0,66792589.0
63,2021-10-04,1.21,1.53,1.14,1.31,94700407.0,87832516.0,67047722.0
64,2021-10-03,1.2,1.24,1.18,1.2,15455193.0,77586018.0,64655015.0
65,2021-10-02,1.21,1.27,1.17,1.2,20942296.0,77248448.0,64373706.0
66,2021-10-01,1.12,1.24,1.1,1.21,19648194.0,77934624.0,64408780.0
67,2021-09-30,1.12,1.14,1.09,1.12,16260472.0,72149261.0,64418983.0
68,2021-09-29,1.08,1.15,1.06,1.11,27646077.0,71606379.0,64510251.0
69,2021-09-28,1.14,1.15,1.07,1.07,17397584.0,69095514.0,64575246.0
70,2021-09-27,1.19,1.23,1.14,1.14,25344168.0,73296186.0,64294900.0
71,2021-09-26,1.16,1.26,1.01,1.19,40945235.0,76477507.0,64266812.0
72,2021-09-25,1.2,1.22,1.13,1.15,20815607.0,74346681.0,64649287.0
73,2021-09-24,1.31,1.38,1.1,1.2,39785299.0,77314852.0,64429043.0
74,2021-09-23,1.3,1.34,1.24,1.3,23211669.0,83908885.0,64545296.0
75,2021-09-22,1.14,1.31,1.14,1.3,27823711.0,83591184.0,64300910.0
76,2021-09-21,1.19,1.39,1.11,1.14,56286759.0,73452626.0,64432128.0
77,2021-09-20,1.49,1.49,1.17,1.18,38787721.0,75793680.0,64231932.0
78,2021-09-19,1.56,1.57,1.47,1.49,23150651.0,95726814.0,64246183.0
79,2021-09-18,1.52,1.76,1.51,1.57,39965104.0,72153716.0,45957780.0
80,2021-09-17,1.63,1.65,1.46,1.52,28746343.0,69955485.0,46023345.0
81,2021-09-16,1.73,1.84,1.58,1.63,51601394.0,74968932.0,45993209.0
82,2021-09-15,1.47,2.01,1.47,1.73,143494047.0,79714371.0,46077671.0
83,2021-09-14,1.35,1.6,1.35,1.47,57904507.0,67419428.0,45863556.0
84,2021-09-13,1.48,1.5,1.28,1.35,41358801.0,62106858.0,46005080.0
85,2021-09-12,1.64,1.64,1.44,1.48,40388943.0,68140792.0,46041075.0
86,2021-09-11,1.6,1.77,1.56,1.64,66860599.0,75291654.0,45909545.0
87,2021-09-10,1.93,2.1,1.54,1.6,113026817.0,73602738.0,46001711.0
88,2021-09-09,1.57,2.22,1.44,1.93,196853619.0,88606764.0,45910240.0
89,2021-09-08,1.71,1.94,1.4,1.47,94552280.0,67858616.0,46162323.0
90,2021-09-07,1.56,2.24,1.19,1.7,291181256.0,78037090.0,45904170.0
91,2021-09-06,1.31,1.57,1.29,1.57,38144083.0,72085463.0,45914307.0
92,2021-09-05,1.31,1.35,1.29,1.31,14303963.0,60266462.0,46004932.0
93,2021-09-04,1.34,1.35,1.28,1.31,18074273.0,60301111.0,46031382.0
94,2021-09-03,1.28,1.4,1.28,1.34,24586551.0,61873932.0,46174576.0
95,2021-09-02,1.3,1.35,1.25,1.28,22691385.0,58857953.0,45982775.0
96,2021-09-01,1.15,1.37,1.14,1.3,40272023.0,59985082.0,46142370.0
97,2021-08-31,1.14,1.23,1.12,1.15,17725959.0,53041872.0,46123366.0
98,2021-08-30,1.2,1.2,1.13,1.14,15843679.0,52270568.0,45851375.0
99,2021-08-29,1.24,1.24,1.18,1.2,15346254.0,55429241.0,46191034.0
100,2021-08-28,1.24,1.3,1.2,1.24,18444476.0,57124818.0,46068401.0
101,2021-08-27,1.19,1.25,1.16,1.24,15705020.0,57107736.0,46054625.0
102,2021-08-26,1.3,1.34,1.16,1.19,19976660.0,54723289.0,45985957.0
103,2021-08-25,1.26,1.29,1.18,1.29,21209197.0,59546839.0,46160340.0
104,2021-08-24,1.42,1.43,1.22,1.27,20244003.0,58280065.0,45889814.0
105,2021-08-23,1.41,1.46,1.35,1.42,26279599.0,65295634.0,45982840.0
106,2021-08-22,1.42,1.43,1.33,1.41,21761227.0,64938787.0,46055877.0
107,2021-08-21,1.43,1.51,1.38,1.41,29387933.0,65087403.0,46161278.0
108,2021-08-20,1.39,1.47,1.35,1.43,30254036.0,65661043.0,45916813.0
109,2021-08-19,1.3,1.38,1.26,1.38,24937139.0,63621390.0,46102456.0
110,2021-08-18,1.26,1.41,1.25,1.31,31966229.0,60093257.0,45872715.0
111,2021-08-17,1.35,1.67,1.26,1.26,56829583.0,58001463.0,46032907.0
112,2021-08-16,1.22,1.5,1.22,1.35,47271007.0,62130489.0,46022584.0
113,2021-08-15,1.21,1.3,1.15,1.22,23159954.0,56306545.0,46152905.0
114,2021-08-14,1.24,1.26,1.15,1.21,22550693.0,55602137.0,45952179.0
115,2021-08-13,1.19,1.39,1.17,1.25,47709464.0,57287328.0,45829862.0
116,2021-08-12,1.0,1.25,0.9565,1.18,50796006.0,54492868.0,46180396.0
117,2021-08-11,1.01,1.09,1.0,1.0,19986934.0,46084777.0,46084777.0
118,2021-08-10,0.9995,1.05,0.9594,1.01,19624256.0,46263983.0,45805923.0
119,2021-08-09,0.9632,1.05,0.9181,0.9997,27470586.0,45990207.0,46004008.0
120,2021-08-08,1.07,1.11,0.9474,0.9632,24309883.0,44314340.0,46007412.0
121,2021-08-07,0.989,1.37,0.989,1.06,78682636.0,48977194.0,46204900.0
122,2021-08-06,0.8492,1.18,0.8031,0.9911,79644031.0,44723135.0,45124745.0
123,2021-08-05,0.7391,0.8499,0.7259,0.8497,33135701.0,38343099.0,45125454.0
124,2021-08-04,0.713,0.7561,0.7081,0.7392,11188261.0,33355196.0,45123371.0
125,2021-08-03,0.722,0.7333,0.6907,0.7129,10929558.0,32171591.0,45127775.0
126,2021-08-02,0.7067,0.8089,0.6886,0.7226,17725692.0,32607729.0,45125559.0
127,2021-08-01,0.7234,0.7399,0.7033,0.707,10297929.0,31903369.0,45124991.0
128,2021-07-31,0.715,0.738,0.6917,0.7251,10614605.0,32719369.0,45123940.0
129,2021-07-30,0.701,0.7275,0.6694,0.7153,10340055.0,32276691.0,45123292.0
130,2021-07-29,0.6958,0.7185,0.6765,0.7015,10122727.0,31653996.0,45123301.0
131,2021-07-28,0.6983,0.732,0.6843,0.6962,11103304.0,31417924.0,45127727.0
132,2021-07-27,0.6934,0.7108,0.6553,0.6976,11383105.0,31478022.0,45123311.0
133,2021-07-26,0.75,0.8307,0.6807,0.6929,24561407.0,31268612.0,45127164.0
134,2021-07-25,0.5975,0.8263,0.585,0.7489,48828797.0,33794315.0,45125270.0
135,2021-07-24,0.5953,0.6233,0.5799,0.5975,9142522.0,26961882.0,45124488.0
136,2021-07-23,0.5353,0.609,0.5332,0.5953,15277542.0,26864394.0,45127488.0
137,2021-07-22,0.5278,0.5452,0.52,0.5353,6235767.0,24157326.0,45128574.0
138,2021-07-21,0.5081,0.5535,0.4963,0.5277,7163129.0,23813050.0,45126113.0
139,2021-07-20,0.5118,0.5219,0.4767,0.5081,6613349.0,22926886.0,45122782.0
140,2021-07-19,0.5664,0.5664,0.5116,0.5117,5932201.0,23090433.0,45124942.0
141,2021-07-18,0.5735,0.5931,0.5574,0.5664,3717167.0,25558463.0,45124405.0
142,2021-07-17,0.5616,0.5811,0.5471,0.5735,4925537.0,25877846.0,45122660.0
143,2021-07-16,0.6199,0.6345,0.5619,0.5622,6910073.0,25369816.0,45125962.0
144,2021-07-15,0.6687,0.7068,0.6154,0.6189,9016782.0,27930045.0,45128526.0
145,2021-07-14,0.7207,0.7236,0.6518,0.669,9915435.0,30190782.0,45128224.0
146,2021-07-13,0.7222,0.7915,0.7023,0.7214,14128770.0,32551298.0,45122398.0
147,2021-07-12,0.749,0.8306,0.6884,0.7226,18866497.0,32606810.0,45124287.0
148,2021-07-11,0.6211,0.7798,0.6201,0.7491,23746494.0,33803161.0,45125031.0
149,2021-07-10,0.6378,0.6484,0.6059,0.6209,8632266.0,28019201.0,45126753.0
150,2021-07-09,0.6,0.6605,0.5822,0.6382,13869930.0,28797703.0,45123320.0
151,2021-07-08,0.6484,0.6489,0.5956,0.6005,21384485.0,26570295.0,44246952.0
152,2021-07-07,0.608,0.7497,0.6023,0.6484,22390021.0,28688992.0,44245823.0
153,2021-07-06,0.5587,0.6069,0.5579,0.6069,7665339.0,26852765.0,44245781.0
154,2021-07-05,0.583,0.5891,0.5446,0.5591,5779671.0,24736241.0,44242963.0
155,2021-07-04,0.583,0.5864,0.5647,0.5831,6182285.0,25796967.0,44241068.0
156,2021-07-03,0.5423,0.5933,0.5339,0.5829,6755494.0,25790511.0,44245172.0
157,2021-07-02,0.5314,0.5541,0.5119,0.5424,4691214.0,23996654.0,44241618.0
158,2021-07-01,0.5528,0.5528,0.5194,0.5316,4765077.0,23518663.0,44241277.0
