,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-06,0.3082,0.3103,0.2756,0.3096,3264594.0,38281053.0,123646812.0
1,2021-12-05,0.3209,0.3288,0.3046,0.3081,2546841.0,38097953.0,123654505.0
2,2021-12-04,0.3692,0.3706,0.2991,0.3206,3446852.0,39647165.0,123665517.0
3,2021-12-03,0.3835,0.3986,0.3582,0.3692,3227077.0,45656062.0,123662139.0
4,2021-12-02,0.3685,0.3865,0.3567,0.3834,4813351.0,47407841.0,123651124.0
5,2021-12-01,0.4488,0.4626,0.3561,0.3685,6065547.0,45568020.0,123658127.0
6,2021-11-30,0.4477,0.46,0.437,0.4488,3641438.0,55495996.0,123654180.0
7,2021-11-29,0.433,0.4581,0.4179,0.4478,4314030.0,55365025.0,123637840.0
8,2021-11-28,0.4369,0.4375,0.3977,0.4334,2750009.0,53587907.0,123645378.0
9,2021-11-27,0.429,0.4488,0.4234,0.4373,3263440.0,54070502.0,123646242.0
10,2021-11-26,0.4674,0.4705,0.3843,0.4297,5266489.0,53132810.0,123650942.0
11,2021-11-25,0.4619,0.5317,0.453,0.491,8926612.0,60715820.0,123657474.0
12,2021-11-24,0.3601,0.465,0.3589,0.3639,6492952.0,44999787.0,123659760.0
13,2021-11-23,0.3553,0.3818,0.3174,0.36,6558755.0,44509777.0,123638269.0
14,2021-11-22,0.3928,0.3928,0.3372,0.3553,3308973.0,43933163.0,123650895.0
15,2021-11-21,0.3862,0.4144,0.3555,0.3938,5188574.0,48696436.0,123657785.0
16,2021-11-20,0.411,0.4297,0.3756,0.3861,5614346.0,47737287.0,123639696.0
17,2021-11-19,0.3459,0.4108,0.3444,0.4108,3307050.0,50801573.0,123664978.0
18,2021-11-18,0.334,0.3697,0.3271,0.3446,3772256.0,42613085.0,123659561.0
19,2021-11-17,0.3071,0.3515,0.2956,0.334,3108841.0,41293289.0,123632601.0
20,2021-11-16,0.3189,0.3196,0.286,0.307,2381604.0,37959794.0,123647537.0
21,2021-11-15,0.3307,0.3357,0.3155,0.3186,2325529.0,39392068.0,123641142.0
22,2021-11-14,0.2909,0.3376,0.2904,0.3307,3077394.0,40885234.0,123632397.0
23,2021-11-13,0.2732,0.2973,0.272,0.2907,2409079.0,35947713.0,123659143.0
24,2021-11-12,0.2838,0.2931,0.27,0.2731,2402762.0,33766958.0,123643200.0
25,2021-11-11,0.2869,0.3161,0.2747,0.2838,3760761.0,35089915.0,123643111.0
26,2021-11-10,0.3293,0.3415,0.2821,0.2871,3412604.0,35494117.0,123629804.0
27,2021-11-09,0.4008,0.4008,0.326,0.3296,3884724.0,18578687.0,56367375.0
28,2021-11-08,0.463,0.4642,0.4007,0.4007,3148614.0,22587911.0,56371128.0
29,2021-11-07,0.4347,0.4645,0.423,0.4631,3389242.0,26105518.0,56371232.0
30,2021-11-06,0.453,0.4674,0.4089,0.4348,3270616.0,24512336.0,56376117.0
