,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-03,0.5937,0.5974,0.4804,0.5064,949152999.0,3533225751.0,6977144058.0
1,2021-12-02,0.6465,0.6777,0.5754,0.5938,937618362.0,4142718138.0,6976621990.0
2,2021-12-01,0.6203,0.6619,0.6163,0.6456,1090826748.0,4504257880.0,6976855452.0
3,2021-11-30,0.6509,0.6691,0.6144,0.6207,1085997511.0,4331096187.0,6977760894.0
4,2021-11-29,0.7116,0.7484,0.6459,0.6515,1542492764.0,4545590711.0,6977115442.0
5,2021-11-28,0.6627,0.7189,0.5727,0.7121,2427013049.0,4968390185.0,6977096173.0
6,2021-11-27,0.7111,0.723,0.6321,0.6644,2061314129.0,4635526199.0,6977011136.0
7,2021-11-26,0.7432,0.8367,0.6237,0.7088,4704688932.0,4945502979.0,6977289755.0
8,2021-11-25,0.5822,0.7765,0.5257,0.6733,4535487735.0,4697867913.0,6977376968.0
9,2021-11-24,0.3771,0.59,0.3752,0.4287,1321950226.0,2991050763.0,6977025339.0
10,2021-11-23,0.3924,0.4078,0.3606,0.3769,1010686560.0,2629995698.0,6977966829.0
11,2021-11-22,0.3709,0.4362,0.3594,0.3911,1825406303.0,2729046249.0,6977873303.0
12,2021-11-21,0.354,0.4852,0.3473,0.3704,3063216364.0,2584329778.0,6977132230.0
13,2021-11-20,0.2344,0.3906,0.2311,0.3529,3436270955.0,2462283960.0,6977285236.0
14,2021-11-19,0.2298,0.2579,0.2184,0.2345,1376405182.0,1635891254.0,6976082106.0
15,2021-11-18,0.2299,0.2852,0.2043,0.2322,2583711566.0,1620403995.0,6978484043.0
16,2021-11-17,0.115,0.2778,0.113,0.2305,3561997374.0,1608332802.0,6977582655.0
17,2021-11-16,0.1257,0.1425,0.1127,0.1151,1056312562.0,802744812.0,6974325039.0
18,2021-11-15,0.09339,0.1268,0.09328,0.1268,511112317.0,884600839.0,6976347310.0
19,2021-11-14,0.09416,0.0974,0.08997,0.09337,113419927.0,651432149.0,6976889247.0
20,2021-11-13,0.08419,0.1037,0.0841,0.09408,231253438.0,656442640.0,6977494047.0
21,2021-11-12,0.08608,0.09078,0.08139,0.08409,76862958.0,586739993.0,6977523998.0
22,2021-11-11,0.08212,0.0884,0.08122,0.08625,66363490.0,601771454.0,6977060336.0
23,2021-11-10,0.08922,0.09197,0.07452,0.08207,100115989.0,572588830.0,6976834775.0
24,2021-11-09,0.09297,0.09374,0.08768,0.08898,62617534.0,620836897.0,6977263396.0
25,2021-11-08,0.09063,0.09293,0.08908,0.0928,56960876.0,647457375.0,6976911368.0
26,2021-11-07,0.09067,0.09276,0.08982,0.09066,48494090.0,632529117.0,6976937094.0
