,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-06,11.42,12.52,10.16,11.19,75350270.0,158870744.0,14197564.0
1,2021-12-05,12.09,12.26,10.38,11.31,49028102.0,160647939.0,14204061.0
2,2021-12-04,13.67,13.7,10.44,12.09,66291216.0,171587032.0,14192475.0
3,2021-12-03,15.46,17.18,13.27,13.64,80702649.0,193650310.0,14197236.0
4,2021-12-02,16.48,16.53,14.85,15.43,61346180.0,219015280.0,14194120.0
5,2021-12-01,17.24,18.11,15.51,16.48,118271394.0,233939652.0,14195367.0
6,2021-11-30,17.86,18.59,15.85,17.16,114229802.0,243640217.0,14198147.0
7,2021-11-29,18.78,21.55,17.54,17.85,134706989.0,253443998.0,14198543.0
8,2021-11-28,20.48,22.28,17.62,18.76,201314122.0,266394257.0,14200120.0
9,2021-11-27,24.49,29.03,19.67,20.49,724117737.0,290920482.0,14198168.0
10,2021-11-26,9.56,23.56,9.36,23.56,851604343.0,334549414.0,14199890.0
11,2021-11-25,8.98,10.44,8.82,9.2,20752996.0,130638093.0,14199792.0
12,2021-11-24,9.02,9.25,8.45,9.12,38973379.0,129428482.0,14191719.0
13,2021-11-23,8.0,9.45,7.9,8.99,38527635.0,127641202.0,14198131.0
14,2021-11-22,7.78,8.45,7.52,7.95,22012268.0,112916417.0,14203322.0
15,2021-11-21,7.87,8.3,7.65,7.79,18005107.0,110630112.0,14201554.0
16,2021-11-20,7.87,8.21,7.58,7.86,18514708.0,111640778.0,14203661.0
17,2021-11-19,7.29,7.9,7.14,7.87,16204340.0,111753752.0,14199968.0
18,2021-11-18,8.29,8.37,7.16,7.27,17877316.0,103261601.0,14203796.0
19,2021-11-17,8.02,8.31,7.88,8.29,14718596.0,117737650.0,14202370.0
20,2021-11-16,8.94,10.03,7.68,8.03,13585566.0,113997199.0,14196413.0
21,2021-11-15,9.34,9.73,8.89,8.93,13076858.0,126782929.0,14197416.0
22,2021-11-14,9.2,9.75,9.13,9.33,16506180.0,132421660.0,14193103.0
23,2021-11-13,9.21,9.52,9.06,9.2,10666043.0,130689393.0,14205368.0
24,2021-11-12,9.46,9.79,8.84,9.19,13040707.0,130503822.0,14200633.0
25,2021-11-11,9.07,9.52,8.81,9.47,17415574.0,134474596.0,14200062.0
26,2021-11-10,9.97,10.55,8.49,9.08,24555127.0,128906635.0,14196765.0
27,2021-11-09,9.71,10.95,9.62,9.98,30541898.0,141641707.0,14192555.0
28,2021-11-08,9.41,9.72,9.11,9.71,14827786.0,137858670.0,14197597.0
29,2021-11-07,8.86,9.41,8.84,9.41,15793910.0,133636456.0,14201536.0
30,2021-11-06,8.65,9.31,8.56,8.86,18833940.0,125751641.0,14193187.0
31,2021-11-05,9.17,9.17,8.58,8.66,16446801.0,123002213.0,14203488.0
32,2021-11-04,9.78,10.22,9.11,9.17,18705600.0,130133833.0,14191257.0
33,2021-11-03,9.83,9.84,9.03,9.76,16478738.0,138543193.0,14194999.0
34,2021-11-02,9.24,9.85,9.12,9.83,19417985.0,139533863.0,14194696.0
35,2021-11-01,8.52,9.92,8.31,9.23,36590452.0,131088999.0,14202491.0
36,2021-10-31,8.55,8.65,8.05,8.52,14137796.0,120919281.0,14192403.0
