,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-06,1.24,1.25,0.8851,1.2,11391219.0,95061772.0,79218143.0
1,2021-12-05,1.31,1.4,1.17,1.24,4634426.0,98558383.0,79482566.0
2,2021-12-04,1.55,1.56,1.05,1.31,5482899.0,103972058.0,79367983.0
3,2021-12-03,1.56,1.71,1.47,1.55,3673903.0,122963576.0,79331339.0
4,2021-12-02,1.64,1.65,1.55,1.56,2386995.0,123391268.0,79096966.0
5,2021-12-01,1.76,1.81,1.63,1.64,5070469.0,129923976.0,79221936.0
6,2021-11-30,1.72,1.83,1.66,1.76,5567596.0,139553980.0,79292034.0
7,2021-11-29,1.55,1.73,1.53,1.71,4389846.0,135632108.0,79317022.0
8,2021-11-28,1.4,1.64,1.3,1.55,6404568.0,123221242.0,79497575.0
9,2021-11-27,1.55,1.61,1.33,1.4,4701966.0,110824098.0,79160070.0
10,2021-11-26,1.77,1.81,1.52,1.56,4250442.0,123339307.0,79063658.0
11,2021-11-25,1.73,1.86,1.71,1.78,4682094.0,141006203.0,79216967.0
12,2021-11-24,1.86,1.95,1.71,1.79,4873544.0,141901049.0,79274329.0
13,2021-11-23,1.71,1.95,1.64,1.86,5618601.0,147629673.0,79370791.0
14,2021-11-22,1.83,1.83,1.61,1.71,5593079.0,135541507.0,79264039.0
15,2021-11-21,2.0,2.02,1.79,1.83,6345267.0,145240568.0,79366430.0
16,2021-11-20,2.01,2.1,1.91,1.99,5677129.0,158161242.0,79478011.0
17,2021-11-19,1.69,2.13,1.62,2.01,7145372.0,159055581.0,79132129.0
18,2021-11-18,2.15,2.24,1.67,1.68,8866440.0,133466548.0,79444373.0
19,2021-11-17,2.1,2.32,1.89,2.15,10007187.0,170321210.0,79219167.0
20,2021-11-16,2.51,5.74,1.86,2.1,13373481.0,166827294.0,79441568.0
21,2021-11-15,2.67,2.91,2.44,2.52,8586339.0,199826004.0,79296033.0
22,2021-11-14,2.73,3.02,2.29,2.7,21938606.0,214039356.0,79273835.0
23,2021-11-13,2.01,2.81,1.93,2.73,19090497.0,216084086.0,79151679.0
24,2021-11-12,1.85,2.0,1.77,2.0,8006579.0,158846819.0,79423409.0
25,2021-11-11,1.7,1.94,1.64,1.84,6266930.0,145949585.0,79320426.0
26,2021-11-10,1.67,1.78,1.57,1.7,4825583.0,135119519.0,79482070.0
27,2021-11-09,1.78,1.81,1.64,1.67,5570882.0,132714946.0,79470027.0
28,2021-11-08,1.6,1.78,1.6,1.77,5390183.0,140464644.0,79358555.0
29,2021-11-07,1.45,1.61,1.4,1.6,3518694.0,126688159.0,79180099.0
30,2021-11-06,1.45,1.48,1.36,1.45,2215550.0,115140227.0,79407053.0
31,2021-11-05,1.49,1.52,1.4,1.45,2249411.0,114666011.0,79080007.0
32,2021-11-04,1.45,1.51,1.35,1.49,2844825.0,118392078.0,79457770.0
33,2021-11-03,1.5,1.54,1.37,1.45,3794187.0,114600034.0,79034506.0
34,2021-11-02,1.49,1.55,1.4,1.49,5294428.0,118472381.0,79511665.0
35,2021-11-01,1.29,1.51,1.21,1.49,4328783.0,117928665.0,79146755.0
36,2021-10-31,1.19,1.32,1.14,1.29,2349145.0,102383015.0,79366678.0
37,2021-10-30,1.26,1.27,1.13,1.19,2851160.0,94359462.0,79293665.0
38,2021-10-29,1.28,1.32,1.18,1.25,3195921.0,99420200.0,79536160.0
39,2021-10-28,1.08,1.31,1.0,1.27,4996616.0,101039749.0,79558857.0
40,2021-10-27,1.18,1.21,1.05,1.08,4076282.0,85937622.0,79571872.0
41,2021-10-26,1.22,1.31,1.16,1.2,5280056.0,94760179.0,78966815.0
42,2021-10-25,0.9409,1.26,0.9168,1.22,7495311.0,96566746.0,79153070.0
43,2021-10-24,0.9247,0.9614,0.8519,0.9414,2159821.0,74638187.0,79284243.0
44,2021-10-23,0.9019,0.9732,0.8956,0.9244,2481605.0,73289075.0,79282859.0
45,2021-10-22,0.7951,0.9275,0.7937,0.9017,2976685.0,71489936.0,79283504.0
46,2021-10-21,0.8486,0.8533,0.7341,0.7955,1615084.0,63066451.0,79279008.0
47,2021-10-20,0.782,0.9104,0.7383,0.8468,2774987.0,67135809.0,79281777.0
48,2021-10-19,0.6983,0.8288,0.6671,0.7841,3000559.0,62167201.0,79284786.0
49,2021-10-18,0.712,0.7165,0.659,0.698,1131198.0,55342922.0,79287853.0
50,2021-10-17,0.7244,0.7457,0.7005,0.7117,1521144.0,56427856.0,79286013.0
51,2021-10-16,0.6686,0.7923,0.66,0.7245,2125936.0,57439653.0,79281784.0
52,2021-10-15,0.6414,0.673,0.6161,0.6682,1268329.0,52980041.0,79287699.0
53,2021-10-14,0.6218,0.65,0.616,0.6416,1098404.0,50867276.0,79281913.0
54,2021-10-13,0.6559,0.6642,0.6056,0.6216,1531527.0,49285265.0,79287749.0
55,2021-10-12,0.7009,0.7025,0.6254,0.6557,1779901.0,51982476.0,79277834.0
56,2021-10-11,0.7735,0.7785,0.6803,0.7008,1932964.0,55564129.0,79286713.0
57,2021-10-10,0.7725,0.7876,0.7442,0.7697,1041539.0,61026229.0,79285733.0
58,2021-10-09,0.7599,0.8069,0.7544,0.7729,955547.0,61274325.0,79278464.0
59,2021-10-08,0.7729,0.7823,0.7362,0.7615,904102.0,60376737.0,79286588.0
60,2021-10-07,0.8407,0.8407,0.757,0.7674,1186948.0,60842511.0,79283960.0
61,2021-10-06,0.8952,0.8952,0.8123,0.8405,1859115.0,66635242.0,79280478.0
62,2021-10-05,0.8482,0.9369,0.8359,0.896,2295417.0,71036488.0,79281794.0
