,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-06,0.8667,0.8849,0.7388,0.8765,41560517.0,96722984.0,110351379.0
1,2021-12-05,0.9832,0.9917,0.8088,0.8625,39728002.0,95179094.0,110352572.0
2,2021-12-04,1.14,1.21,0.7752,0.9706,106970659.0,107114870.0,110359437.0
3,2021-12-03,1.12,1.18,1.05,1.15,29370590.0,127115614.0,110535316.0
4,2021-12-02,1.18,1.18,1.11,1.12,16338722.0,123282919.0,110074034.0
5,2021-12-01,1.23,1.25,1.11,1.18,44912323.0,129799944.0,109999952.0
6,2021-11-30,1.38,1.38,1.22,1.23,38961992.0,135713603.0,110336262.0
7,2021-11-29,1.36,1.42,1.27,1.38,77168160.0,152372428.0,110414802.0
8,2021-11-28,1.31,1.48,1.21,1.35,226846298.0,149491205.0,110734225.0
9,2021-11-27,1.03,1.46,1.03,1.31,356391040.0,144388864.0,110220506.0
10,2021-11-26,1.23,1.4,1.02,1.03,145443504.0,113475588.0,110170473.0
11,2021-11-25,1.03,1.29,0.9485,1.13,79388668.0,124253391.0,109958753.0
12,2021-11-24,0.9705,1.05,0.9497,0.9833,45520290.0,108517867.0,110360893.0
13,2021-11-23,0.8944,0.9788,0.8837,0.9663,33344841.0,106633865.0,110352752.0
14,2021-11-22,0.9575,0.9575,0.8711,0.8944,20051338.0,98703240.0,110356932.0
15,2021-11-21,0.8851,0.9857,0.8768,0.9617,71048204.0,106127623.0,110354188.0
16,2021-11-20,0.8474,0.8977,0.8382,0.8851,22880761.0,97682100.0,110362783.0
17,2021-11-19,0.7987,0.8994,0.7964,0.8474,43850618.0,93519722.0,110360776.0
18,2021-11-18,0.9476,1.11,0.7924,0.7987,107168162.0,88137300.0,110350945.0
19,2021-11-17,0.9457,0.9736,0.8394,0.9514,72778231.0,104994602.0,110358000.0
20,2021-11-16,0.8575,1.04,0.8339,0.9457,247764645.0,104366220.0,110358697.0
21,2021-11-15,0.8093,0.9213,0.7939,0.8533,75507123.0,94166261.0,110355397.0
22,2021-11-14,0.8026,0.8288,0.7611,0.8059,18120604.0,88939718.0,110360737.0
23,2021-11-13,0.8042,0.8076,0.7873,0.8026,8419168.0,88569376.0,110353072.0
24,2021-11-12,0.7888,0.8077,0.7781,0.8033,15494154.0,88653946.0,110362188.0
25,2021-11-11,0.7788,0.821,0.7788,0.7946,33028276.0,87694239.0,110362747.0
26,2021-11-10,0.8078,0.8103,0.773,0.7796,9623599.0,86034271.0,110356940.0
27,2021-11-09,0.8028,0.8234,0.8028,0.8078,10062172.0,89145693.0,110356143.0
28,2021-11-08,0.8327,0.8327,0.8003,0.8026,11553320.0,88576618.0,110362095.0
29,2021-11-07,0.8261,0.8548,0.8235,0.8318,27531836.0,91800212.0,110363322.0
30,2021-11-06,0.843,0.843,0.8057,0.8278,13157344.0,91348900.0,110351413.0
31,2021-11-05,0.8685,0.8685,0.8274,0.8438,19138896.0,93121090.0,110359196.0
32,2021-11-04,0.827,0.9834,0.8249,0.8643,166721152.0,95382207.0,110357754.0
33,2021-11-03,0.8465,0.8513,0.7876,0.8272,25354880.0,91285487.0,110354795.0
34,2021-11-02,0.8441,0.8688,0.8082,0.8482,32034489.0,93600056.0,110351398.0
35,2021-11-01,0.8241,0.8641,0.774,0.8407,35429765.0,92777892.0,110357906.0
36,2021-10-31,0.8684,0.8769,0.779,0.8241,45996176.0,90945426.0,110357269.0
37,2021-10-30,0.802,0.9237,0.7688,0.8726,55296095.0,96301334.0,110361372.0
38,2021-10-29,0.7557,0.8003,0.747,0.7994,22373551.0,88220754.0,110358711.0
39,2021-10-28,0.7251,0.7557,0.6873,0.7541,12074164.0,83223477.0,110361327.0
40,2021-10-27,0.772,0.7937,0.6416,0.7251,25631850.0,80015615.0,110351144.0
41,2021-10-26,0.7774,0.7775,0.7657,0.7703,7646301.0,85009902.0,110359472.0
42,2021-10-25,0.7694,0.78,0.7541,0.7783,8325927.0,85885942.0,110350689.0
43,2021-10-24,0.7729,0.7729,0.7533,0.7702,6510207.0,85001600.0,110363022.0
44,2021-10-23,0.7753,0.7762,0.7601,0.7737,7344634.0,85387263.0,110362237.0
45,2021-10-22,0.7549,0.7778,0.749,0.7745,22632441.0,85469285.0,110354144.0
