,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-06,0.3068,0.311,0.2768,0.2915,1145898.0,129882499.0,445566034.0
1,2021-12-05,0.358,0.3596,0.3056,0.3068,1073975.0,136596989.0,445231385.0
2,2021-12-04,0.4085,0.4158,0.3414,0.358,1429137.0,159276709.0,444907008.0
3,2021-12-03,0.4576,0.4778,0.3991,0.4086,1719209.0,181693582.0,444673475.0
4,2021-12-02,0.4323,0.4589,0.4298,0.4572,1435884.0,203193011.0,444429157.0
5,2021-12-01,0.4175,0.4489,0.4071,0.4322,1450469.0,191934649.0,444087572.0
6,2021-11-30,0.4149,0.4435,0.4077,0.4176,1877780.0,185330032.0,443797969.0
7,2021-11-29,0.3869,0.418,0.3855,0.4148,1474448.0,183989556.0,443562092.0
8,2021-11-28,0.4057,0.4222,0.3745,0.3866,1558207.0,171360517.0,443250173.0
9,2021-11-27,0.3869,0.4076,0.3782,0.4058,983388.0,179764399.0,442987676.0
10,2021-11-26,0.4081,0.4232,0.3697,0.3868,1280317.0,171212206.0,442637554.0
11,2021-11-25,0.3604,0.4398,0.3575,0.368,1414145.0,162736481.0,442218698.0
12,2021-11-24,0.3251,0.3647,0.3246,0.329,1229682.0,145376600.0,441874164.0
13,2021-11-23,0.3222,0.3337,0.3099,0.3252,1159395.0,143691780.0,441856642.0
14,2021-11-22,0.3383,0.3384,0.3135,0.3222,1441271.0,142270769.0,441560425.0
15,2021-11-21,0.3186,0.3425,0.3031,0.3382,1157529.0,149221857.0,441223704.0
16,2021-11-20,0.3376,0.3402,0.3125,0.3189,943487.0,140621229.0,440957130.0
17,2021-11-19,0.3199,0.339,0.3159,0.3376,1100527.0,148773047.0,440678456.0
18,2021-11-18,0.3552,0.3589,0.3196,0.3199,1144328.0,140885837.0,440405867.0
19,2021-11-17,0.3772,0.383,0.3511,0.3552,923398.0,156305411.0,440049017.0
20,2021-11-16,0.4187,0.4202,0.3565,0.3774,1671533.0,165961275.0,439749006.0
21,2021-11-15,0.4016,0.4353,0.3865,0.4182,2243889.0,183777298.0,439448345.0
22,2021-11-14,0.4088,0.4172,0.3964,0.4014,1112733.0,176284313.0,439173674.0
23,2021-11-13,0.3802,0.42,0.3771,0.4088,1061649.0,179414333.0,438880462.0
24,2021-11-12,0.3649,0.4028,0.361,0.3798,1151216.0,166595975.0,438641324.0
25,2021-11-11,0.3673,0.421,0.3521,0.3652,1796100.0,160050567.0,438254564.0
26,2021-11-10,0.4426,0.4451,0.2842,0.368,1999021.0,161205650.0,438058831.0
27,2021-11-09,0.4988,0.4991,0.4012,0.4426,2689893.0,193710424.0,437664762.0
28,2021-11-08,0.4497,0.5298,0.4369,0.4987,2674047.0,218168257.0,437473946.0
29,2021-11-07,0.4426,0.4645,0.4171,0.4498,1716465.0,196620955.0,437129735.0
30,2021-11-06,0.4247,0.4552,0.4205,0.4428,1702522.0,193422704.0,436817308.0
31,2021-11-05,0.4636,0.4962,0.4111,0.4247,2091195.0,185407927.0,436562107.0
32,2021-11-04,0.3792,0.5105,0.3753,0.4637,4571132.0,202275661.0,436220963.0
33,2021-11-03,0.3458,0.3824,0.3285,0.3791,2083184.0,165257210.0,435919836.0
34,2021-11-02,0.3141,0.3509,0.3031,0.3458,2045195.0,150660268.0,435686142.0
35,2021-11-01,0.3295,0.332,0.2969,0.3142,1284062.0,136783386.0,435338593.0
36,2021-10-31,0.2677,0.34,0.2657,0.3298,2244385.0,143478476.0,435046925.0
37,2021-10-30,0.2812,0.2881,0.2606,0.2676,954346.0,116363855.0,434842507.0
38,2021-10-29,0.2944,0.316,0.2694,0.2812,1679324.0,122169784.0,434458691.0
39,2021-10-28,0.2761,0.3008,0.2761,0.2944,1175018.0,127812547.0,434145879.0
40,2021-10-27,0.3136,0.3137,0.275,0.2761,1061157.0,119779117.0,433825124.0
41,2021-10-26,0.2967,0.3255,0.2928,0.3135,1331230.0,135942448.0,433628223.0
42,2021-10-25,0.223,0.3749,0.223,0.2967,4087458.0,128574532.0,433348608.0
43,2021-10-24,0.221,0.223,0.2164,0.223,776159.0,96562592.0,433016107.0
44,2021-10-23,0.2187,0.2219,0.2157,0.221,581940.0,95613434.0,432639972.0
45,2021-10-22,0.215,0.2325,0.215,0.2187,769692.0,94534404.0,432256076.0
46,2021-10-21,0.2247,0.2265,0.2121,0.2149,715257.0,92851670.0,432069194.0
47,2021-10-20,0.2262,0.2344,0.2203,0.2247,748730.0,97008534.0,431724672.0
48,2021-10-19,0.2489,0.2501,0.2249,0.2262,844204.0,95366252.0,421601467.0
49,2021-10-18,0.2292,0.25,0.2268,0.2489,817893.0,104917966.0,421526580.0
50,2021-10-17,0.2234,0.2403,0.2181,0.2292,788480.0,96628060.0,421588394.0
51,2021-10-16,0.2294,0.2315,0.2215,0.2234,704750.0,94173255.0,421545456.0
52,2021-10-15,0.2119,0.2438,0.2061,0.2295,1086433.0,96726269.0,421465224.0
53,2021-10-14,0.1774,0.2171,0.1766,0.212,732418.0,89347931.0,421452504.0
54,2021-10-13,0.1788,0.1806,0.1734,0.1774,973808.0,74794670.0,421615952.0
55,2021-10-12,0.1907,0.1917,0.175,0.1788,753594.0,75357449.0,421462242.0
56,2021-10-11,0.2006,0.2012,0.1798,0.1906,338088.0,80367139.0,421653405.0
57,2021-10-10,0.202,0.2061,0.1995,0.2006,408650.0,84558399.0,421527412.0
58,2021-10-09,0.2106,0.2114,0.2009,0.202,313408.0,85166601.0,421616836.0
59,2021-10-08,0.2154,0.2177,0.2014,0.2109,469739.0,88893465.0,421495803.0
60,2021-10-07,0.2093,0.2204,0.2057,0.2154,335556.0,90814338.0,421607883.0
