,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-03,38.42,39.18,34.54,35.1,33219371.0,3628088403.0,103364341.0
1,2021-12-02,38.22,40.41,37.65,38.39,28971424.0,3964901430.0,103279537.0
2,2021-12-01,39.13,39.74,37.9,38.14,25977384.0,3936846933.0,103220947.0
3,2021-11-30,40.35,42.38,38.46,39.18,34818678.0,4040708599.0,103131919.0
4,2021-11-29,40.29,41.47,39.73,40.35,30160336.0,4159061045.0,103074623.0
5,2021-11-28,40.09,41.07,36.32,40.14,38047365.0,4133987651.0,102989228.0
6,2021-11-27,40.71,42.75,39.33,40.05,30330151.0,4121885223.0,102918482.0
7,2021-11-26,46.49,46.64,39.91,40.52,51700373.0,4166811778.0,102833459.0
8,2021-11-25,43.76,47.88,43.1,45.23,57621990.0,4644933793.0,102695860.0
9,2021-11-24,45.75,45.84,41.79,44.0,45002858.0,4515321736.0,102620948.0
10,2021-11-23,41.87,45.69,41.58,45.63,43890027.0,4681248104.0,102591455.0
11,2021-11-22,44.3,44.42,41.38,41.88,37013223.0,4293932674.0,102529433.0
12,2021-11-21,46.64,47.96,44.27,44.33,36449371.0,4541045369.0,102437296.0
13,2021-11-20,45.79,47.72,44.04,46.61,43533057.0,4772449734.0,102391112.0
14,2021-11-19,39.44,46.57,38.17,45.81,54161810.0,4687989347.0,102335502.0
15,2021-11-18,45.5,46.53,38.7,39.51,52817820.0,4038729932.0,102220448.0
16,2021-11-17,44.31,47.96,43.1,45.56,62856996.0,4654984075.0,102172609.0
17,2021-11-16,47.37,48.54,42.79,44.36,84736758.0,4529264663.0,102102449.0
18,2021-11-15,52.7,52.97,47.13,47.34,81942119.0,4833787871.0,102107897.0
19,2021-11-14,50.77,54.58,50.67,52.71,74580035.0,5379485446.0,102058156.0
20,2021-11-13,51.15,52.41,49.6,50.74,56177186.0,5174640733.0,101983459.0
21,2021-11-12,48.67,55.22,45.95,51.2,121727956.0,5217479674.0,101903899.0
22,2021-11-11,50.75,54.82,47.8,48.8,140441393.0,4969198416.0,101827836.0
23,2021-11-10,47.0,50.58,41.42,50.19,106152616.0,5107886767.0,101771005.0
24,2021-11-09,42.72,53.11,42.5,47.09,203207091.0,4792179949.0,101766403.0
25,2021-11-08,44.88,44.88,41.32,42.73,105239312.0,4345247463.0,101690790.0
26,2021-11-07,37.49,52.72,37.03,44.87,427207988.0,4559603593.0,101618087.0
27,2021-11-06,33.64,38.85,32.91,37.55,118519111.0,3812911215.0,101542242.0
28,2021-11-05,29.91,34.77,29.11,33.7,69631963.0,3420264568.0,101491530.0
29,2021-11-04,28.77,30.34,28.52,29.92,41611888.0,3034500703.0,101420478.0
30,2021-11-03,28.63,28.86,26.61,28.81,35212499.0,2920118718.0,101357817.0
31,2021-11-02,28.3,29.51,28.05,28.63,30627896.0,2899877101.0,101288058.0
32,2021-11-01,29.01,29.59,27.33,28.26,32149080.0,2860060151.0,101205242.0
33,2021-10-31,30.47,31.17,28.2,29.04,32330065.0,2936875028.0,101132060.0
34,2021-10-30,27.93,32.03,27.82,30.52,59752864.0,3083678010.0,101037942.0
35,2021-10-29,26.71,29.79,26.04,27.83,52189986.0,2810429463.0,100985607.0
36,2021-10-28,25.55,28.1,24.85,26.67,63009019.0,2690444408.0,100879055.0
37,2021-10-27,24.15,26.23,22.25,25.14,74905193.0,2534241075.0,100805134.0
38,2021-10-26,21.37,25.44,21.31,24.35,67933497.0,2454221698.0,100789392.0
39,2021-10-25,20.97,21.68,20.86,21.37,14646373.0,2151931756.0,100698725.0
40,2021-10-24,21.35,21.35,20.52,20.94,13794486.0,2106753756.0,100609061.0
41,2021-10-23,21.41,21.46,20.9,21.35,12435222.0,2146629894.0,100544725.0
42,2021-10-22,21.74,22.11,20.72,21.41,22178569.0,2150967356.0,100465546.0
43,2021-10-21,22.57,22.87,21.47,21.72,29277143.0,2180743243.0,100402543.0
44,2021-10-20,22.12,22.94,22.01,22.53,27116885.0,2260244580.0,100321552.0
45,2021-10-19,21.19,22.18,21.02,22.15,17251206.0,2220880130.0,100265468.0
46,2021-10-18,21.74,22.69,21.0,21.19,26630406.0,2123021321.0,100189774.0
47,2021-10-17,21.8,22.38,21.11,21.73,16357416.0,2174974793.0,100090878.0
48,2021-10-16,21.08,21.95,20.98,21.82,18156634.0,2182875667.0,100040131.0
49,2021-10-15,20.08,22.4,19.99,21.07,37780480.0,2106505509.0,99976531.0
50,2021-10-14,19.41,20.23,19.27,20.06,19629717.0,2004194729.0,99910006.0
51,2021-10-13,19.16,19.46,18.75,19.4,12709947.0,1937083508.0,99849665.0
52,2021-10-12,19.07,19.37,18.04,19.17,16892089.0,1912203133.0,99749772.0
53,2021-10-11,19.12,20.21,18.64,19.05,18790354.0,1899076511.0,99689055.0
54,2021-10-10,20.09,20.09,19.01,19.12,15672041.0,1904378637.0,99601393.0
