,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-03,1.51,1.51,1.35,1.41,119845069.0,3914868500.0,2776502482.0
1,2021-12-02,1.39,1.55,1.34,1.51,230729096.0,4194614879.0,2777890648.0
2,2021-12-01,1.45,1.47,1.37,1.39,82558598.0,3854212315.0,2772814615.0
3,2021-11-30,1.41,1.45,1.36,1.45,95134755.0,4034557869.0,2782453702.0
4,2021-11-29,1.35,1.42,1.32,1.41,94664351.0,3919482701.0,2779774965.0
5,2021-11-28,1.37,1.37,1.25,1.34,80057744.0,3735381632.0,2787598232.0
6,2021-11-27,1.37,1.42,1.35,1.37,59878996.0,3811706258.0,2782267341.0
7,2021-11-26,1.58,1.59,1.36,1.36,153910114.0,3781673833.0,2780642524.0
8,2021-11-25,1.5,1.66,1.48,1.56,214051774.0,4328477057.0,2774664780.0
9,2021-11-24,1.46,1.54,1.38,1.38,159660549.0,3839529329.0,2782267629.0
10,2021-11-23,1.43,1.47,1.36,1.46,184246194.0,4053285928.0,2776223238.0
11,2021-11-22,1.35,1.57,1.29,1.42,538538298.0,3955919113.0,2785858530.0
12,2021-11-21,1.31,1.38,1.28,1.35,94335647.0,3755228910.0,2781651044.0
13,2021-11-20,1.3,1.33,1.25,1.31,68812398.0,3634892628.0,2774727196.0
14,2021-11-19,1.24,1.32,1.21,1.3,87974147.0,3616547859.0,2781959891.0
15,2021-11-18,1.45,1.47,1.23,1.25,163720899.0,3462850307.0,2770280245.0
16,2021-11-17,1.35,1.48,1.29,1.45,417547928.0,4030558102.0,2779695242.0
17,2021-11-16,1.33,1.44,1.13,1.35,334685530.0,3756441085.0,2782548951.0
18,2021-11-15,1.3,1.34,1.28,1.32,57846820.0,3677808902.0,2786218865.0
19,2021-11-14,1.32,1.33,1.28,1.3,30032509.0,3626295595.0,2789458150.0
20,2021-11-13,1.28,1.33,1.27,1.32,55974495.0,3664609730.0,2776219492.0
21,2021-11-12,1.33,1.34,1.25,1.28,61932516.0,3566521937.0,2786345263.0
22,2021-11-11,1.3,1.35,1.28,1.33,72095794.0,3708710115.0,2788503845.0
23,2021-11-10,1.41,1.44,1.21,1.3,160484454.0,3608522400.0,2775786461.0
24,2021-11-09,1.39,1.45,1.37,1.41,143363210.0,3918057623.0,2778764271.0
25,2021-11-08,1.35,1.39,1.33,1.39,82955506.0,3852694263.0,2771722491.0
26,2021-11-07,1.35,1.35,1.33,1.35,37893426.0,3743970771.0,2773311682.0
27,2021-11-06,1.38,1.38,1.29,1.35,61137972.0,3740780486.0,2770948508.0
28,2021-11-05,1.35,1.39,1.33,1.37,71939151.0,3819417067.0,2787895669.0
29,2021-11-04,1.37,1.39,1.32,1.35,74288510.0,3759622268.0,2784905383.0
30,2021-11-03,1.4,1.41,1.32,1.37,93837952.0,3807734197.0,2779368027.0
31,2021-11-02,1.41,1.41,1.37,1.4,89355653.0,3891041436.0,2779315311.0
32,2021-11-01,1.48,1.49,1.37,1.41,97368310.0,3922834974.0,2782152463.0
33,2021-10-31,1.41,1.52,1.33,1.48,234300320.0,4101725775.0,2771436334.0
34,2021-10-30,1.3,1.46,1.24,1.41,208193645.0,3905484271.0,2769847000.0
35,2021-10-29,1.25,1.31,1.25,1.3,60267770.0,3606641271.0,2774339439.0
36,2021-10-28,1.2,1.27,1.19,1.25,76675291.0,3484922520.0,2787938016.0
37,2021-10-27,1.38,1.4,1.14,1.2,133227387.0,3333144254.0,2777620211.0
38,2021-10-26,1.35,1.43,1.34,1.37,118733256.0,3815735339.0,2785208276.0
39,2021-10-25,1.31,1.35,1.29,1.35,50187792.0,3743168692.0,2772717549.0
40,2021-10-24,1.33,1.36,1.27,1.31,60022145.0,3630921748.0,2771695990.0
41,2021-10-23,1.35,1.35,1.3,1.33,57871356.0,3699792959.0,2781799217.0
42,2021-10-22,1.28,1.38,1.28,1.35,116986599.0,3742977288.0,2772575768.0
43,2021-10-21,1.3,1.32,1.25,1.28,89141294.0,3552235136.0,2775183700.0
44,2021-10-20,1.25,1.32,1.23,1.3,87637999.0,3617316547.0,2782551190.0
45,2021-10-19,1.24,1.26,1.22,1.25,42357117.0,3466022615.0,2772818092.0
46,2021-10-18,1.25,1.26,1.21,1.25,57591857.0,3461125101.0,2768900080.0
47,2021-10-17,1.3,1.31,1.21,1.25,69449876.0,3480470023.0,2784376018.0
48,2021-10-16,1.29,1.34,1.28,1.3,72645267.0,3606678160.0,2774367815.0
49,2021-10-15,1.36,1.36,1.26,1.29,106291377.0,3590356355.0,2783221980.0
50,2021-10-14,1.37,1.39,1.34,1.36,76434379.0,3780913479.0,2780083440.0
51,2021-10-13,1.35,1.37,1.3,1.37,88681067.0,3805469168.0,2777714721.0
52,2021-10-12,1.45,1.45,1.28,1.35,157609971.0,3739762099.0,2770194147.0
53,2021-10-11,1.41,1.61,1.41,1.45,575325064.0,4027445462.0,2777548594.0
54,2021-10-10,1.39,1.52,1.37,1.41,277038018.0,3920429439.0,2780446410.0
55,2021-10-09,1.35,1.4,1.31,1.39,112455526.0,3866266878.0,2781486962.0
56,2021-10-08,1.29,1.35,1.28,1.35,122866095.0,3738960430.0,2769600318.0
57,2021-10-07,1.3,1.31,1.25,1.29,113209317.0,3585603061.0,2779537256.0
58,2021-10-06,1.23,1.35,1.2,1.3,194648219.0,3608432474.0,2775717287.0
59,2021-10-05,1.2,1.25,1.18,1.23,81314655.0,3427725323.0,2786768555.0
60,2021-10-04,1.23,1.25,1.17,1.2,114145940.0,3333751066.0,2778125888.0
61,2021-10-03,1.27,1.34,1.22,1.23,170736408.0,3423910129.0,2783666771.0
62,2021-10-02,1.32,1.35,1.2,1.27,272148582.0,3539793568.0,2787239029.0
63,2021-10-01,1.15,1.36,1.14,1.32,161695996.0,3676310497.0,2785083709.0
64,2021-09-30,1.05,1.16,1.04,1.15,106586460.0,3203406473.0,2785570846.0
65,2021-09-29,1.05,1.12,1.02,1.06,97274465.0,2933082412.0,2767058879.0
66,2021-09-28,1.14,1.16,1.05,1.05,63867939.0,2924386852.0,2785130335.0
67,2021-09-27,1.18,1.22,1.14,1.14,65756549.0,3174592154.0,2784729959.0
68,2021-09-26,1.23,1.24,1.12,1.18,87585678.0,3271108176.0,2772125572.0
69,2021-09-25,1.27,1.28,1.22,1.23,63527944.0,3423377471.0,2783233716.0
70,2021-09-24,1.39,1.39,1.19,1.27,110170153.0,3523782022.0,2774631513.0
71,2021-09-23,1.37,1.41,1.33,1.39,94544556.0,3861793995.0,2778269061.0
72,2021-09-22,1.22,1.38,1.2,1.37,167743040.0,3803550376.0,2776314143.0
73,2021-09-21,1.3,1.36,1.19,1.22,130963364.0,3399822036.0,2786739373.0
74,2021-09-20,1.54,1.54,1.28,1.29,165780427.0,3589378785.0,2782464174.0
75,2021-09-19,1.66,1.66,1.51,1.53,87883814.0,4266166033.0,2788343812.0
