,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-06,8.257e-05,9.451e-05,7.042e-05,8.074e-05,15154081.0,134764165.0,1669112769383.0
1,2021-12-05,8.134e-05,9.478e-05,7.097e-05,8.256e-05,13982233.0,137802459.0,1669118931686.0
2,2021-12-04,9.489e-05,9.65e-05,8.066e-05,8.133e-05,15059914.0,135746556.0,1669083437845.0
3,2021-12-03,0.0001005,0.0001056,9.482e-05,9.491e-05,14870757.0,158424587.0,1669208587082.0
4,2021-12-02,0.0001174,0.0001174,9.795e-05,0.0001004,16632531.0,167357997.0,1666912320717.0
5,2021-12-01,0.0001353,0.0001358,0.0001134,0.0001171,28167981.0,195274472.0,1667587292912.0
6,2021-11-30,0.0001041,0.0001396,0.0001027,0.0001354,40667541.0,225849306.0,1668015553914.0
7,2021-11-29,8.195e-05,0.000112,7.852e-05,0.0001043,28505484.0,173757345.0,1665938111217.0
8,2021-11-28,7.774e-05,8.234e-05,7.267e-05,8.188e-05,9042588.0,136460225.0,1666587994626.0
9,2021-11-27,7.787e-05,7.953e-05,7.054e-05,7.772e-05,7819024.0,129534090.0,1666676402470.0
10,2021-11-26,7.823e-05,8.661e-05,7.428e-05,7.788e-05,8091551.0,129792786.0,1666574036979.0
11,2021-11-25,8.32e-05,8.949e-05,7.817e-05,8.66e-05,7847846.0,144203725.0,1665170034642.0
12,2021-11-24,8.26e-05,8.359e-05,7.601e-05,8.218e-05,8441323.0,136837854.0,1665099221221.0
13,2021-11-23,8.056e-05,8.581e-05,6.777e-05,8.252e-05,8263414.0,137400844.0,1665061124575.0
14,2021-11-22,9.032e-05,9.032e-05,7.659e-05,8.058e-05,10242141.0,134167031.0,1665016517746.0
15,2021-11-21,9.288e-05,0.0001105,8.267e-05,9.034e-05,9973118.0,150418807.0,1665029964578.0
16,2021-11-20,8.76e-05,0.0001109,8.518e-05,9.277e-05,10348777.0,154472038.0,1665107664115.0
17,2021-11-19,8.507e-05,8.917e-05,7.712e-05,8.761e-05,10223688.0,145875615.0,1665056671612.0
18,2021-11-18,9.481e-05,9.64e-05,8.393e-05,8.491e-05,5653456.0,141383519.0,1665098563184.0
19,2021-11-17,9.952e-05,0.0001607,9.075e-05,9.483e-05,5448042.0,157114604.0,1656802741748.0
20,2021-11-16,0.0001114,0.0003832,9.56e-05,9.954e-05,6247930.0,164916843.0,1656789662447.0
21,2021-11-15,0.0001138,0.0001163,0.0001084,0.0001113,4107554.0,184442922.0,1657169110512.0
22,2021-11-14,0.0001121,0.0001158,0.0001076,0.0001138,4315066.0,188508043.0,1656485439367.0
23,2021-11-13,0.0001117,0.0001134,0.0001085,0.0001122,4346281.0,185903088.0,1656890267379.0
24,2021-11-12,0.0001219,0.0001228,0.0001104,0.0001121,7008412.0,185710563.0,1656650874219.0
25,2021-11-11,0.0001211,0.0001323,0.0001199,0.000122,8830800.0,201963548.0,1655438918032.0
26,2021-11-10,0.0001042,0.0001441,9.676e-05,0.000121,14731167.0,200276517.0,1655177826446.0
27,2021-11-09,0.0001133,0.0001158,9.948e-05,0.000104,7298584.0,172053651.0,1654362028846.0
28,2021-11-08,0.0001195,0.0001287,0.0001124,0.0001133,9269293.0,187448729.0,1654445975286.0
29,2021-11-07,0.0001112,0.0001333,0.0001088,0.0001195,7957414.0,197268131.0,1650779338912.0
30,2021-11-06,0.0001001,0.0001112,9.952e-05,0.0001112,5378661.0,183566733.0,1650779973021.0
31,2021-11-05,0.0001049,0.000106,9.71e-05,9.971e-05,4181930.0,164520562.0,1649990592718.0
32,2021-11-04,0.0001099,0.0001137,0.0001016,0.0001049,5356156.0,172945013.0,1648665519542.0
33,2021-11-03,9.302e-05,0.0001131,9.258e-05,0.0001096,8652428.0,180642664.0,1648199489051.0
34,2021-11-02,8.695e-05,9.322e-05,8.535e-05,9.304e-05,3737396.0,153369972.0,1648430481513.0
35,2021-11-01,9.076e-05,9.194e-05,8.648e-05,8.695e-05,2833977.0,143328791.0,1648404726854.0
36,2021-10-31,8.812e-05,9.248e-05,8.691e-05,9.078e-05,3075688.0,149639473.0,1648374895351.0
