,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-06,0.8252,0.9642,0.7786,0.8898,12184388.0,114876449.0,129103673.0
1,2021-12-05,0.9046,0.9323,0.8171,0.8248,5336337.0,106479699.0,129097598.0
2,2021-12-04,1.08,1.08,0.8506,0.9038,11129296.0,116668206.0,129086308.0
3,2021-12-03,1.14,1.24,1.01,1.08,42495731.0,139529549.0,129194026.0
4,2021-12-02,0.9846,1.61,0.9423,1.14,84015154.0,146662204.0,128651056.0
5,2021-12-01,0.9533,1.03,0.9469,0.9832,5402092.0,126811472.0,128978307.0
6,2021-11-30,0.9704,0.9865,0.9298,0.9535,4302681.0,122976675.0,128973964.0
7,2021-11-29,0.9985,1.0,0.9586,0.9707,6647570.0,125182862.0,128961431.0
8,2021-11-28,1.06,1.06,0.9326,0.9976,6301668.0,128619753.0,128929183.0
9,2021-11-27,0.9788,1.1,0.9549,1.05,11051199.0,135287511.0,128845248.0
10,2021-11-26,1.01,1.18,0.9308,0.9783,28131615.0,126121338.0,128918877.0
11,2021-11-25,0.9444,1.07,0.9314,0.9318,3391468.0,120103808.0,128894406.0
12,2021-11-24,0.9529,0.9637,0.9061,0.9367,3422788.0,120722445.0,128880586.0
13,2021-11-23,0.9219,0.9912,0.916,0.9536,3410438.0,122903101.0,128883285.0
14,2021-11-22,0.9704,0.9704,0.9008,0.9226,3497660.0,118903418.0,128878623.0
15,2021-11-21,0.9673,1.02,0.9482,0.9698,5042420.0,124981321.0,128873294.0
16,2021-11-20,0.8916,0.9988,0.8876,0.9683,5141410.0,124774892.0,128859745.0
17,2021-11-19,0.8411,0.9007,0.8306,0.8917,2548926.0,114893911.0,128848167.0
18,2021-11-18,0.9266,0.9366,0.8336,0.8407,2972559.0,108263392.0,128777675.0
19,2021-11-17,0.9056,0.9343,0.8911,0.9311,2635966.0,119904271.0,128777006.0
20,2021-11-16,0.9782,0.9782,0.8888,0.9069,3551097.0,116777677.0,128765770.0
21,2021-11-15,0.9876,1.0,0.9708,0.9753,2687986.0,125577048.0,128757354.0
22,2021-11-14,1.02,1.02,0.9636,0.9874,3098050.0,127133466.0,128755788.0
23,2021-11-13,1.01,1.02,0.9934,1.02,2559679.0,131009233.0,128440424.0
24,2021-11-12,1.03,1.04,0.9855,1.01,2932074.0,129582695.0,128299698.0
25,2021-11-11,0.9759,1.03,0.9697,1.03,2618085.0,131988078.0,128143765.0
26,2021-11-10,1.03,1.08,0.9564,0.976,5373788.0,125621004.0,128710045.0
27,2021-11-09,1.03,1.05,1.01,1.03,4281800.0,132646920.0,128783417.0
28,2021-11-08,1.04,1.05,1.02,1.03,3027525.0,132373896.0,128518345.0
29,2021-11-07,1.01,1.06,1.0,1.04,2958966.0,133495351.0,128360914.0
30,2021-11-06,1.02,1.04,0.9825,1.01,2839054.0,130450439.0,129158850.0
31,2021-11-05,1.02,1.04,1.0,1.02,3690420.0,131595601.0,129015295.0
32,2021-11-04,1.08,1.09,1.01,1.02,5983071.0,130694198.0,128131566.0
33,2021-11-03,1.09,1.1,1.03,1.08,3697978.0,139269444.0,128953188.0
34,2021-11-02,1.04,1.16,1.03,1.09,7347300.0,139653332.0,128122322.0
35,2021-11-01,1.08,1.09,1.03,1.05,3501348.0,134404914.0,128004680.0
36,2021-10-31,1.05,1.09,1.02,1.08,4523923.0,138523339.0,128262350.0
37,2021-10-30,1.04,1.08,1.02,1.05,4204665.0,135133824.0,128698880.0
38,2021-10-29,1.01,1.05,1.0,1.04,3097588.0,133672466.0,128531217.0
39,2021-10-28,0.9385,1.04,0.9309,1.01,4204532.0,129211107.0,127931789.0
40,2021-10-27,1.04,1.07,0.9384,0.9384,3415264.0,120454579.0,128361657.0
41,2021-10-26,1.06,1.08,1.03,1.04,3873652.0,133182356.0,128059957.0
42,2021-10-25,1.04,1.08,1.04,1.06,2832062.0,136059424.0,128357947.0
43,2021-10-24,1.09,1.1,1.03,1.04,2829368.0,133991576.0,128838053.0
44,2021-10-23,1.12,1.12,1.07,1.1,2994918.0,140521066.0,127746423.0
45,2021-10-22,1.11,1.18,1.09,1.12,6366740.0,143735586.0,128335344.0
46,2021-10-21,1.08,1.12,1.05,1.11,5322876.0,142573553.0,128444642.0
47,2021-10-20,1.04,1.1,1.02,1.08,3772853.0,139143001.0,128836112.0
48,2021-10-19,1.05,1.06,1.02,1.04,3200688.0,133183829.0,128061374.0
49,2021-10-18,1.05,1.07,1.01,1.05,4029331.0,134772104.0,128354384.0
50,2021-10-17,1.07,1.1,1.02,1.05,5586945.0,135128889.0,128694180.0
51,2021-10-16,1.04,1.27,1.03,1.07,21386187.0,137032364.0,128067629.0
52,2021-10-15,1.02,1.08,0.9969,1.04,6347471.0,133316709.0,128189143.0
53,2021-10-14,0.9891,1.03,0.9825,1.02,2921491.0,130771849.0,128207695.0
54,2021-10-13,0.9913,1.0,0.9592,0.9891,2944425.0,126827420.0,128225073.0
55,2021-10-12,0.992,1.05,0.9252,0.9912,5819363.0,127079991.0,128208223.0
56,2021-10-11,1.01,1.08,0.9735,0.9919,6714070.0,127168328.0,128206803.0
57,2021-10-10,1.06,1.1,1.0,1.01,6284249.0,128824857.0,127549363.0
58,2021-10-09,1.06,1.12,1.05,1.06,6187159.0,136422238.0,128700224.0
59,2021-10-08,1.05,1.11,1.04,1.06,6509820.0,135783275.0,128097429.0
60,2021-10-07,1.04,1.14,1.02,1.05,7261861.0,135096034.0,128662889.0
61,2021-10-06,1.04,1.08,0.9594,1.04,22984748.0,133664336.0,128523400.0
62,2021-10-05,1.02,1.09,1.0,1.04,19979879.0,133534098.0,128398171.0
63,2021-10-04,1.01,1.12,0.9533,1.02,29551628.0,130795816.0,128231192.0
64,2021-10-03,0.9548,1.07,0.9416,1.01,18154377.0,129412640.0,128131326.0
65,2021-10-02,0.9488,0.995,0.9184,0.9584,3737769.0,122753968.0,128082186.0
66,2021-10-01,0.8742,0.9519,0.8642,0.9512,3463508.0,121824913.0,128074971.0
67,2021-09-30,0.8436,0.8982,0.8392,0.8721,2446304.0,111674973.0,128052944.0
68,2021-09-29,0.8389,0.8984,0.8234,0.8443,2675796.0,108099709.0,128034713.0
69,2021-09-28,0.9073,0.9355,0.8346,0.839,5222182.0,107404445.0,128014833.0
70,2021-09-27,0.9232,1.08,0.9039,0.9047,11410702.0,115794630.0,127992295.0
71,2021-09-26,0.9413,1.07,0.844,0.9232,12197829.0,118154062.0,127983169.0
72,2021-09-25,0.8894,0.9539,0.8546,0.9406,5697208.0,120373897.0,127975650.0
73,2021-09-24,0.972,0.975,0.833,0.8894,3919746.0,113817124.0,127970681.0
74,2021-09-23,0.9725,0.9848,0.9351,0.972,13074762.0,124373028.0,127955790.0
75,2021-09-22,0.8469,1.06,0.8373,0.9724,18329445.0,124421105.0,127952596.0
76,2021-09-21,0.8812,0.9665,0.8134,0.8469,4086663.0,108352095.0,127939656.0
77,2021-09-20,1.03,1.03,0.8619,0.8809,4794829.0,112688624.0,127924422.0
78,2021-09-19,1.07,1.08,1.02,1.03,2748338.0,131664539.0,127829649.0
79,2021-09-18,1.04,1.1,1.04,1.07,2500781.0,137058478.0,128092035.0
80,2021-09-17,1.11,1.11,1.03,1.04,3724653.0,133290078.0,128163536.0
81,2021-09-16,1.16,1.16,1.09,1.11,3434338.0,141751270.0,127703846.0
82,2021-09-15,1.11,1.17,1.1,1.16,3944214.0,148419879.0,127948171.0
83,2021-09-14,1.09,1.12,1.08,1.11,4107374.0,142040085.0,127964040.0
84,2021-09-13,1.16,1.17,1.02,1.09,4156384.0,139264208.0,127765328.0
85,2021-09-12,1.17,1.21,1.13,1.16,7432997.0,148339338.0,127878739.0
86,2021-09-11,1.05,1.26,1.05,1.17,15195966.0,149475840.0,127757128.0
87,2021-09-10,1.11,1.17,1.02,1.05,6790201.0,134196307.0,127806006.0
88,2021-09-09,1.11,1.18,1.09,1.11,6570575.0,141704960.0,127662126.0
89,2021-09-08,1.13,1.19,1.01,1.13,8018158.0,144401314.0,127788773.0
90,2021-09-07,1.45,1.47,0.9391,1.13,21332928.0,144670079.0,128026618.0
91,2021-09-06,1.34,1.62,1.34,1.45,40115037.0,185351369.0,127828530.0
92,2021-09-05,1.28,1.35,1.25,1.34,7538835.0,171100707.0,127687094.0
93,2021-09-04,1.23,1.3,1.21,1.28,7366975.0,162959533.0,127312135.0
94,2021-09-03,1.2,1.26,1.17,1.23,5142843.0,157295700.0,127882682.0
95,2021-09-02,1.19,1.27,1.18,1.2,8348995.0,153205788.0,127671490.0
96,2021-09-01,1.08,1.2,1.06,1.19,6284245.0,152144821.0,127852790.0
97,2021-08-31,1.09,1.16,1.07,1.08,8947587.0,138181441.0,127945778.0
98,2021-08-30,1.06,1.16,1.04,1.09,7745061.0,138684559.0,127233540.0
99,2021-08-29,1.05,1.08,1.03,1.06,2913313.0,134853453.0,127220238.0
100,2021-08-28,1.09,1.1,1.04,1.05,5461612.0,133713290.0,127345990.0
101,2021-08-27,1.05,1.09,1.01,1.09,6195050.0,138867447.0,127401327.0
102,2021-08-26,1.14,1.15,1.03,1.05,6405284.0,134074493.0,127689993.0
103,2021-08-25,1.1,1.14,1.04,1.13,12488088.0,144614237.0,127977200.0
104,2021-08-24,1.2,1.23,1.09,1.1,8626836.0,139886421.0,127169473.0
105,2021-08-23,1.17,1.25,1.17,1.2,6728268.0,152948021.0,127456684.0
106,2021-08-22,1.14,1.19,1.13,1.18,5324413.0,149841740.0,126984525.0
107,2021-08-21,1.18,1.18,1.12,1.14,4534885.0,145602407.0,127721409.0
108,2021-08-20,1.14,1.2,1.12,1.18,9131061.0,150360228.0,127423922.0
109,2021-08-19,1.03,1.14,1.01,1.14,6902342.0,144613034.0,126853538.0
110,2021-08-18,1.06,1.08,1.0,1.03,7695819.0,131525901.0,127695049.0
111,2021-08-17,1.18,1.23,1.06,1.06,9716718.0,135067835.0,127422485.0
112,2021-08-16,1.24,1.26,1.17,1.18,6806811.0,150275430.0,127352059.0
113,2021-08-15,1.27,1.28,1.13,1.24,11717391.0,157540446.0,127048746.0
114,2021-08-14,1.14,1.31,1.12,1.27,22512049.0,161744935.0,127358216.0
115,2021-08-13,0.948,1.2,0.942,1.14,22546000.0,144987252.0,127181800.0
116,2021-08-12,1.01,1.04,0.9063,0.9453,14627751.0,120344851.0,127308633.0
117,2021-08-11,0.9877,1.04,0.9653,1.01,10286926.0,128266643.0,126996676.0
118,2021-08-10,0.8797,1.05,0.8654,0.9897,21989929.0,125943936.0,127254658.0
119,2021-08-09,0.8473,0.8983,0.8168,0.8808,6721346.0,112076132.0,127243564.0
120,2021-08-08,0.9115,0.913,0.8257,0.8484,7876818.0,107946484.0,127235365.0
121,2021-08-07,0.9003,0.9397,0.877,0.9078,11693132.0,115362448.0,127079145.0
122,2021-08-06,0.8455,0.9053,0.8304,0.9036,8050928.0,114816207.0,127065302.0
123,2021-08-05,0.8252,0.8536,0.791,0.8455,6253873.0,107424663.0,127054598.0
124,2021-08-04,0.8011,0.8355,0.7706,0.8252,5565494.0,104836566.0,127043826.0
125,2021-08-03,0.8344,0.8542,0.7968,0.801,5118795.0,101763986.0,127046174.0
126,2021-08-02,0.8651,0.8691,0.8233,0.8347,6299958.0,106033271.0,127031593.0
127,2021-08-01,0.8015,0.9529,0.7947,0.866,17362675.0,109996432.0,127016665.0
128,2021-07-31,0.7659,0.8183,0.7447,0.8016,7648411.0,101809463.0,127007813.0
129,2021-07-30,0.741,0.784,0.7144,0.7662,7519203.0,97298870.0,126988867.0
130,2021-07-29,0.7091,0.7529,0.6994,0.741,5688432.0,94101809.0,126992994.0
131,2021-07-28,0.6911,0.7555,0.6802,0.7104,7766650.0,90198726.0,126968927.0
132,2021-07-27,0.6816,0.71,0.662,0.6892,3806311.0,87492778.0,126948313.0
133,2021-07-26,0.6681,0.7269,0.6664,0.6815,7040822.0,86512714.0,126944554.0
134,2021-07-25,0.6607,0.6692,0.6345,0.6674,4005149.0,84704438.0,126917048.0
135,2021-07-24,0.6534,0.6905,0.6459,0.6606,4656903.0,83837151.0,126910613.0
136,2021-07-23,0.6537,0.6658,0.6183,0.6534,3316200.0,82905086.0,126882592.0
137,2021-07-22,0.6359,0.6734,0.6263,0.6538,6015346.0,82943170.0,126863215.0
138,2021-07-21,0.5974,0.6587,0.5874,0.6359,3634758.0,80668665.0,126857469.0
139,2021-07-20,0.6519,0.6602,0.5758,0.5996,4602545.0,76064501.0,126858740.0
140,2021-07-19,0.6816,0.7098,0.63,0.6519,7276631.0,82691073.0,126846254.0
141,2021-07-18,0.636,0.7277,0.6356,0.6837,5098888.0,86727126.0,126849679.0
142,2021-07-17,0.6432,0.6667,0.6275,0.636,3015197.0,80663365.0,126829190.0
143,2021-07-16,0.6901,0.7157,0.6404,0.6432,3425745.0,81582486.0,126838442.0
144,2021-07-15,0.7416,0.7421,0.6709,0.6855,3695771.0,86934105.0,126818533.0
145,2021-07-14,0.7349,0.7501,0.6886,0.7393,4950351.0,93758823.0,126821078.0
146,2021-07-13,0.8343,0.843,0.7304,0.7328,6647719.0,92923956.0,126806708.0
147,2021-07-12,0.7614,0.8937,0.7546,0.836,21242418.0,106008077.0,126803919.0
148,2021-07-11,0.7429,0.7788,0.7334,0.7614,5753597.0,96530461.0,126780221.0
149,2021-07-10,0.8033,0.8368,0.7249,0.7429,7363498.0,94185295.0,126780582.0
150,2021-07-09,0.7349,0.8225,0.6973,0.8014,9775676.0,101592905.0,126769285.0
151,2021-07-08,0.813,0.8618,0.7172,0.735,17047144.0,93173632.0,126766846.0
152,2021-07-07,0.7729,1.03,0.7311,0.8113,58623656.0,102834259.0,126752445.0
153,2021-07-06,0.5949,0.7995,0.5948,0.7765,17911997.0,98417900.0,126745524.0
154,2021-07-05,0.6416,0.6476,0.5749,0.595,4889995.0,75339733.0,126621400.0
155,2021-07-04,0.6258,0.668,0.6066,0.6403,6171627.0,81047433.0,126577280.0
