,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-03,366.14,371.26,335.38,345.82,129571651.0,2929104081.0,8470025.0
1,2021-12-02,391.45,391.45,365.19,365.19,86629597.0,3093176650.0,8470047.0
2,2021-12-01,392.18,405.13,382.75,392.38,138360923.0,3323517507.0,8470150.0
3,2021-11-30,366.83,394.09,358.54,393.53,184603198.0,3333219686.0,8470052.0
4,2021-11-29,351.05,372.58,349.78,367.3,127172652.0,3111098643.0,8470184.0
5,2021-11-28,334.78,354.84,321.45,351.33,163989250.0,2975827528.0,8470177.0
6,2021-11-27,314.33,348.15,313.93,334.49,111421657.0,2833166969.0,8470109.0
7,2021-11-26,338.65,339.68,301.76,312.68,144767587.0,2648390816.0,8469971.0
8,2021-11-25,327.95,350.11,326.38,331.82,107536598.0,2810550509.0,8470105.0
9,2021-11-24,343.36,347.36,323.76,337.88,126265086.0,2861902781.0,8470175.0
10,2021-11-23,337.9,350.74,328.06,343.3,128978671.0,2907764323.0,8470038.0
11,2021-11-22,365.71,366.38,335.47,337.55,116324333.0,2859073685.0,8470074.0
12,2021-11-21,366.94,371.85,359.12,366.03,86177090.0,3100280502.0,8470017.0
13,2021-11-20,354.9,368.13,342.93,366.43,100047288.0,3103706254.0,8470120.0
14,2021-11-19,339.24,365.36,327.87,354.74,122099434.0,3004697622.0,8470140.0
15,2021-11-18,368.03,372.56,333.14,338.32,125202812.0,2865642431.0,8470212.0
16,2021-11-17,367.28,375.94,358.52,367.88,124736711.0,3115947961.0,8470011.0
17,2021-11-16,410.41,410.41,354.42,366.97,180460939.0,3108281163.0,8470123.0
18,2021-11-15,434.12,441.89,408.95,408.95,112358597.0,3463819310.0,8470031.0
19,2021-11-14,429.1,435.22,421.4,434.38,85499892.0,3679213840.0,8470035.0
20,2021-11-13,423.15,434.04,412.9,429.68,98843770.0,3639437362.0,8470111.0
21,2021-11-12,441.42,444.34,408.74,423.3,127318843.0,3585385105.0,8470080.0
