,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-06,0.1464,0.1515,0.1277,0.1412,56142.0,53659086.0,380021855.0
1,2021-12-05,0.1444,0.1571,0.1375,0.1465,37712.0,55671356.0,380009255.0
2,2021-12-04,0.1662,0.1676,0.1346,0.1444,26275.0,54869802.0,379984778.0
3,2021-12-03,0.1577,0.1745,0.1526,0.1663,55109.0,63204659.0,380064095.0
4,2021-12-02,0.1538,0.1609,0.1504,0.1577,47228.0,59958901.0,380208630.0
5,2021-12-01,0.1565,0.1609,0.1515,0.1536,28192.0,58389195.0,380137988.0
6,2021-11-30,0.1728,0.1808,0.1528,0.1593,61531.0,60562261.0,380177407.0
7,2021-11-29,0.1695,0.1846,0.1477,0.1737,41623.0,66042213.0,380208480.0
8,2021-11-28,0.17,0.17,0.1562,0.1695,2863.0,64446069.0,380212796.0
9,2021-11-27,0.153,0.17,0.153,0.1699,5361.0,64585697.0,380139476.0
10,2021-11-26,0.1605,0.1663,0.1436,0.153,7525.0,58166477.0,380173052.0
11,2021-11-25,0.1467,0.1766,0.1464,0.1544,7266.0,58688578.0,380107370.0
12,2021-11-24,0.1565,0.1634,0.1332,0.1406,16172.0,53425505.0,379982254.0
13,2021-11-23,0.1468,0.1569,0.1308,0.1561,24462.0,59334380.0,380104932.0
14,2021-11-22,0.1541,0.1676,0.1331,0.1469,21364.0,55819313.0,379981708.0
15,2021-11-21,0.1487,0.1617,0.1481,0.1541,2222.0,58582033.0,380155957.0
16,2021-11-20,0.149,0.1555,0.1385,0.1486,2134.0,56481578.0,380091372.0
17,2021-11-19,0.1288,0.1565,0.118,0.149,24681.0,56622515.0,380016879.0
18,2021-11-18,0.157,0.161,0.1183,0.1287,23088.0,48911933.0,380046099.0
19,2021-11-17,0.1587,0.1725,0.1455,0.157,27654.0,59662830.0,380018025.0
20,2021-11-16,0.1748,0.1798,0.1445,0.1594,22449.0,60586928.0,380093651.0
21,2021-11-15,0.1634,0.1789,0.1609,0.1748,25674.0,66435207.0,380064113.0
22,2021-11-14,0.1715,0.1728,0.1537,0.1634,87588.0,62096717.0,380028867.0
23,2021-11-13,0.1729,0.1803,0.1483,0.1715,93576.0,65177933.0,380046256.0
24,2021-11-12,0.1779,0.1791,0.1379,0.1731,104178.0,65792536.0,380083974.0
25,2021-11-11,0.1695,0.1791,0.1475,0.1777,24595.0,67556192.0,380169904.0
26,2021-11-10,0.1459,0.1723,0.1458,0.1694,11462.0,64387211.0,380089793.0
27,2021-11-09,0.1728,0.1729,0.1457,0.1459,25362.0,55472820.0,380211240.0
28,2021-11-08,0.1535,0.1791,0.1535,0.1728,36638.0,65686274.0,380128900.0
29,2021-11-07,0.1556,0.1593,0.1522,0.1535,13022.0,58336950.0,380045276.0
30,2021-11-06,0.151,0.1574,0.1455,0.1556,11605.0,59132835.0,380031073.0
31,2021-11-05,0.1518,0.1652,0.1435,0.151,62814.0,57397615.0,380116655.0
32,2021-11-04,0.1586,0.1586,0.1475,0.1519,15343.0,57734684.0,380083502.0
