,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-04,263.09,266.72,180.61,230.43,20642673.0,1377006766.0,5975813.0
1,2021-12-03,277.93,298.59,257.72,265.22,8717000.0,1584894407.0,5975772.0
2,2021-12-02,281.55,285.6,267.27,276.44,5300468.0,1651923872.0,5975704.0
3,2021-12-01,274.96,288.82,273.75,281.61,7289201.0,1682859894.0,5975852.0
4,2021-11-30,265.2,287.55,255.85,274.97,12848055.0,1643187863.0,5975880.0
5,2021-11-29,262.89,273.47,248.23,265.1,6700788.0,1584209760.0,5975894.0
6,2021-11-28,248.54,264.99,227.84,261.02,9295919.0,1559832508.0,5975911.0
7,2021-11-27,236.54,262.58,236.54,247.87,6302747.0,1481236156.0,5975858.0
8,2021-11-26,287.6,316.12,236.22,236.22,21202087.0,1411586050.0,5975726.0
9,2021-11-25,299.98,314.0,259.72,309.49,15830337.0,1849472579.0,5975871.0
10,2021-11-24,300.47,316.31,290.02,294.0,27918246.0,1756909543.0,5975882.0
11,2021-11-23,264.24,316.31,258.29,300.63,31798214.0,1796496309.0,5975771.0
12,2021-11-22,275.23,298.55,263.35,263.35,29623505.0,1573754291.0,5975903.0
13,2021-11-21,241.79,286.7,234.29,274.89,25205563.0,1642710498.0,5975883.0
14,2021-11-20,245.78,246.64,227.3,242.59,8971681.0,1449645407.0,5975701.0
15,2021-11-19,176.42,247.71,166.86,245.89,33304135.0,1469398577.0,5975837.0
16,2021-11-18,201.58,202.59,170.09,175.33,7232482.0,1047736792.0,5975798.0
17,2021-11-17,198.18,203.89,178.43,201.48,13300122.0,1204013852.0,5975847.0
18,2021-11-16,194.57,203.1,166.28,198.37,11309293.0,1185445205.0,5975929.0
19,2021-11-15,206.81,210.33,191.03,194.85,5438137.0,1164385223.0,5975803.0
20,2021-11-14,195.35,207.7,194.89,206.8,6767873.0,1235796106.0,5975803.0
21,2021-11-13,191.09,196.39,183.52,195.38,3128968.0,1167534583.0,5975711.0
22,2021-11-12,199.62,200.51,182.6,191.37,4085047.0,1143562631.0,5975663.0
23,2021-11-11,172.93,208.82,171.33,199.28,16318021.0,1190841854.0,5975721.0
24,2021-11-10,174.59,191.91,169.15,172.72,4408001.0,1032116101.0,5975660.0
25,2021-11-09,185.29,185.86,173.4,176.02,2088444.0,1051855693.0,5975773.0
26,2021-11-08,182.79,187.32,172.31,185.31,4765839.0,1107392916.0,5975893.0
27,2021-11-07,179.2,187.33,175.79,182.69,3438370.0,1091731862.0,5975870.0
28,2021-11-06,180.13,183.96,173.49,179.23,2682872.0,1071045593.0,5975816.0
29,2021-11-05,186.64,190.9,175.47,180.12,4943237.0,1076348455.0,5975729.0
30,2021-11-04,186.76,194.45,177.95,186.71,6501063.0,1115724709.0,5975709.0
31,2021-11-03,181.54,190.25,169.9,185.36,7863179.0,1107702075.0,5975949.0
32,2021-11-02,156.2,184.83,154.91,181.49,8790399.0,1084522408.0,5975659.0
33,2021-11-01,151.19,160.23,141.63,156.2,5074696.0,933390740.0,5975612.0
34,2021-10-31,148.97,151.86,145.74,151.18,2353901.0,903415442.0,5975760.0
35,2021-10-30,151.44,153.51,145.38,148.65,3276562.0,888279721.0,5975645.0
36,2021-10-29,139.95,156.02,135.25,151.49,5479959.0,905266973.0,5975753.0
37,2021-10-28,139.43,146.96,131.73,139.93,3006641.0,836198117.0,5975831.0
38,2021-10-27,149.45,150.69,129.46,139.53,6965490.0,833789697.0,5975701.0
39,2021-10-26,143.86,159.53,143.21,148.75,6361300.0,888917124.0,5975913.0
40,2021-10-25,139.32,146.48,130.36,143.82,4245399.0,859412468.0,5975611.0
41,2021-10-24,118.37,146.81,116.62,140.05,5432838.0,836911469.0,5975804.0
42,2021-10-23,115.9,119.53,114.4,118.33,1149483.0,707131856.0,5975930.0
43,2021-10-22,111.35,122.04,110.47,115.91,2189825.0,692627072.0,5975559.0
44,2021-10-21,110.18,123.74,106.37,111.37,2969731.0,665523669.0,5975789.0
45,2021-10-20,105.79,115.25,102.2,110.19,2445596.0,658463848.0,5975713.0
46,2021-10-19,104.38,109.18,103.12,105.76,1406797.0,632021259.0,5975995.0
47,2021-10-18,106.71,109.5,101.25,104.57,1277980.0,624884698.0,5975754.0
48,2021-10-17,110.74,111.84,102.94,106.74,1016834.0,637841433.0,5975655.0
49,2021-10-16,113.74,113.74,108.08,110.72,1228212.0,661649303.0,5975878.0
50,2021-10-15,114.35,118.76,107.71,113.8,2085674.0,680038479.0,5975733.0
51,2021-10-14,111.5,116.32,108.61,114.37,1043899.0,683474727.0,5975996.0
52,2021-10-13,112.36,115.9,109.34,111.52,1141187.0,666427866.0,5975859.0
53,2021-10-12,115.33,115.55,107.92,112.41,1161520.0,671722280.0,5975645.0
54,2021-10-11,118.54,119.46,114.27,115.29,1351537.0,688930084.0,5975627.0
55,2021-10-10,123.72,123.86,117.5,118.62,717856.0,708857292.0,5975866.0
56,2021-10-09,114.44,127.94,112.43,123.73,2443236.0,739412031.0,5976012.0
57,2021-10-08,112.78,118.21,112.37,114.41,1246643.0,683694245.0,5975825.0
58,2021-10-07,119.47,119.47,110.39,112.77,1526597.0,673906865.0,5975940.0
59,2021-10-06,118.14,121.93,110.7,119.54,2300259.0,714327453.0,5975635.0
60,2021-10-05,107.35,118.36,105.57,118.09,1893120.0,705710486.0,5976039.0
61,2021-10-04,110.43,110.44,103.21,107.34,1465171.0,641467557.0,5976034.0
62,2021-10-03,106.77,113.88,105.05,110.41,961043.0,659798880.0,5975897.0
63,2021-10-02,109.87,110.91,105.01,106.82,1204261.0,638313348.0,5975597.0
