,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-06,0.1074,0.189,0.1074,0.184,890365.0,26170784.0,142232521.0
1,2021-12-05,0.1757,0.1872,0.1046,0.1074,905228.0,15278519.0,142258091.0
2,2021-12-04,0.2175,0.2175,0.1625,0.1757,907663.0,24980725.0,142178286.0
3,2021-12-03,0.2552,0.2552,0.2151,0.2175,1209701.0,30925662.0,142186951.0
4,2021-12-02,0.2417,0.3248,0.2254,0.2553,2570968.0,36303728.0,142200266.0
5,2021-12-01,0.1653,0.3647,0.1653,0.2417,1865915.0,34378415.0,142235891.0
6,2021-11-30,0.1613,0.1698,0.1539,0.1655,960045.0,23535599.0,142209057.0
7,2021-11-29,0.1472,0.1737,0.1383,0.1612,1005209.0,22931728.0,142256377.0
8,2021-11-28,0.1529,0.1544,0.1427,0.1472,943207.0,20927367.0,142169612.0
9,2021-11-27,0.1708,0.1758,0.143,0.1527,1013506.0,21712265.0,142189030.0
10,2021-11-26,0.204,0.204,0.1586,0.1709,915933.0,24304346.0,142213844.0
11,2021-11-25,0.2047,0.2107,0.1747,0.201,850204.0,28589718.0,142237402.0
12,2021-11-24,0.2072,0.2072,0.1859,0.1956,926345.0,27822303.0,142240812.0
13,2021-11-23,0.1973,0.2198,0.1805,0.2072,1122632.0,29468211.0,142221095.0
14,2021-11-22,0.2276,0.2276,0.1967,0.1973,1011424.0,28065618.0,142248443.0
15,2021-11-21,0.2704,0.2704,0.2272,0.2273,926587.0,32321437.0,142197259.0
16,2021-11-20,0.2252,0.2772,0.2138,0.2704,1002699.0,38458693.0,142228894.0
17,2021-11-19,0.2239,0.2377,0.2011,0.2252,937526.0,32028245.0,142221336.0
18,2021-11-18,0.2857,0.2857,0.2003,0.2237,911194.0,31807311.0,142187353.0
19,2021-11-17,0.304,0.304,0.2547,0.2858,1073798.0,40638783.0,142193082.0
20,2021-11-16,0.305,0.3068,0.2306,0.3041,1092825.0,43251614.0,142228260.0
21,2021-11-15,0.323,0.323,0.3034,0.3051,1122116.0,43394848.0,142231556.0
22,2021-11-14,0.3362,0.3362,0.3041,0.3231,1219874.0,45942823.0,142193819.0
23,2021-11-13,0.3227,0.3462,0.2968,0.3362,1313160.0,47818924.0,142233563.0
24,2021-11-12,0.3166,0.3324,0.2927,0.3225,1397151.0,45871629.0,142237609.0
25,2021-11-11,0.3334,0.3447,0.2608,0.3164,1378244.0,44994928.0,142209001.0
26,2021-11-10,0.3594,0.4153,0.2769,0.3332,1556076.0,47389573.0,142225609.0
27,2021-11-09,0.4311,0.4317,0.356,0.3598,1902801.0,51168847.0,142214694.0
28,2021-11-08,0.4684,0.5254,0.4015,0.4311,2463743.0,61302439.0,142200044.0
29,2021-11-07,0.4408,0.5615,0.4243,0.4682,2817629.0,66588417.0,142222163.0
30,2021-11-06,0.4538,0.457,0.3382,0.4408,2715571.0,62688616.0,142215553.0
31,2021-11-05,0.5311,0.5657,0.4238,0.4535,2751105.0,64494833.0,142215728.0
32,2021-11-04,0.6738,0.6738,0.4383,0.5321,3411768.0,75675699.0,142220821.0
33,2021-11-03,0.8121,0.8121,0.5189,0.673,4818366.0,95708934.0,142212383.0
34,2021-11-02,0.8318,1.01,0.7138,0.8109,8697417.0,115329769.0,142224403.0
35,2021-11-01,0.5163,1.18,0.4287,0.8316,7151305.0,118271614.0,142221758.0
36,2021-10-31,0.4994,0.5224,0.4096,0.5162,2620562.0,73404666.0,142201987.0
37,2021-10-30,0.5024,0.5737,0.4601,0.4994,3644827.0,71019152.0,142208954.0
