,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-06,6.46,6.67,5.93,6.67,915412.0,88600459.0,13283427.0
1,2021-12-05,6.87,7.54,6.37,6.46,1066615.0,85699268.0,13266140.0
2,2021-12-04,7.88,7.89,6.31,6.87,932567.0,90978264.0,13242833.0
3,2021-12-03,8.53,8.58,7.45,7.88,987020.0,103527146.0,13137962.0
4,2021-12-02,8.8,8.97,8.09,8.52,649979.0,111751982.0,13116429.0
5,2021-12-01,10.22,10.31,8.74,8.8,1052115.0,115304936.0,13102833.0
6,2021-11-30,9.08,10.55,8.99,10.22,785433.0,133626003.0,13074951.0
7,2021-11-29,8.66,9.33,8.28,9.08,2334620.0,118177308.0,13015122.0
8,2021-11-28,8.56,8.74,8.06,8.66,821103.0,112592808.0,13001478.0
9,2021-11-27,9.57,9.74,8.25,8.56,746493.0,111043735.0,12972398.0
10,2021-11-26,9.86,10.03,8.98,9.57,351268.0,123858214.0,12942342.0
11,2021-11-25,10.68,11.08,9.14,11.06,487122.0,142760691.0,12907838.0
12,2021-11-24,10.8,11.15,10.44,10.8,1453863.0,139134691.0,12882841.0
13,2021-11-23,9.96,11.66,9.79,10.8,1430594.0,139181112.0,12887140.0
14,2021-11-22,12.38,12.48,9.96,9.96,798129.0,128017910.0,12853203.0
15,2021-11-21,13.02,13.71,12.0,12.39,996172.0,156743320.0,12650792.0
16,2021-11-20,12.28,13.12,11.79,13.01,1102580.0,164329244.0,12630994.0
17,2021-11-19,12.57,12.76,12.03,12.28,992841.0,154753893.0,12602108.0
18,2021-11-18,8.71,13.4,8.7,12.57,2036600.0,158223331.0,12587377.0
19,2021-11-17,8.21,14.13,8.14,8.7,1893346.0,109374638.0,12571797.0
20,2021-11-16,12.72,62.97,8.21,8.21,4373791.0,103015852.0,12547606.0
21,2021-11-15,14.81,14.98,9.06,12.71,1701192.0,159237724.0,12528538.0
22,2021-11-14,13.65,15.31,13.05,14.82,9888713.0,185075658.0,12488236.0
23,2021-11-13,9.2,14.32,8.98,13.63,222345.0,169786421.0,12456817.0
24,2021-11-12,11.01,13.58,9.18,9.2,2801521.0,114491054.0,12444679.0
25,2021-11-11,11.85,11.97,9.68,11.02,1767965.0,136837756.0,12417219.0
26,2021-11-10,14.32,15.35,11.31,11.85,6762889.0,146985478.0,12403837.0
27,2021-11-09,13.97,14.99,11.32,14.32,8020761.0,177369077.0,12386108.0
28,2021-11-08,15.38,15.4,13.22,13.97,4038585.0,172652518.0,12358805.0
29,2021-11-07,14.61,15.82,12.66,15.39,6329412.0,189977905.0,12344243.0
30,2021-11-06,10.92,14.81,10.05,14.61,7540562.0,177643728.0,12159050.0
31,2021-11-05,8.19,11.3,7.36,10.91,12732659.0,132031939.0,12101919.0
32,2021-11-04,8.03,8.55,7.33,8.19,3402827.0,98892019.0,12074727.0
33,2021-11-03,8.3,8.89,7.59,8.03,3220965.0,96692199.0,12041369.0
34,2021-11-02,7.44,8.84,6.06,8.3,5139468.0,99849402.0,12030048.0
35,2021-11-01,6.52,9.03,6.05,7.43,3845101.0,88850008.0,11958278.0
36,2021-10-31,5.21,7.49,5.16,6.52,2677042.0,77623111.0,11905385.0
