,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-03,203.57,207.64,182.54,188.1,1805361744.0,12999452639.0,69109264.0
1,2021-12-02,208.9,209.89,200.59,203.49,1523272322.0,14061528505.0,69101815.0
2,2021-12-01,207.64,217.51,205.81,208.97,1739548260.0,14438687100.0,69094545.0
3,2021-11-30,205.73,218.34,198.15,208.01,2122547294.0,14371062922.0,69088327.0
4,2021-11-29,199.59,209.29,195.75,205.87,1784850980.0,14221530819.0,69080151.0
5,2021-11-28,195.41,199.87,184.11,199.35,1712282909.0,13770000646.0,69074495.0
6,2021-11-27,195.56,200.85,191.2,195.17,1406618152.0,13479881415.0,69067384.0
7,2021-11-26,222.91,224.86,190.85,194.87,2690646017.0,13457927338.0,69061052.0
8,2021-11-25,212.23,229.65,210.92,215.63,1953190727.0,14889321612.0,69050325.0
9,2021-11-24,216.36,217.84,206.52,209.81,1884041986.0,14485140973.0,69039325.0
10,2021-11-23,209.31,218.43,205.92,216.39,1944651936.0,14939334346.0,69038931.0
11,2021-11-22,221.72,221.83,205.91,209.16,2030965166.0,14438663294.0,69031666.0
12,2021-11-21,226.94,230.32,220.06,221.77,1787880756.0,15307773831.0,69025449.0
13,2021-11-20,218.12,227.62,213.79,227.08,2134869389.0,15672511289.0,69017576.0
14,2021-11-19,204.15,220.95,200.11,218.14,2357308403.0,15053755921.0,69009608.0
15,2021-11-18,229.75,232.06,200.69,204.42,3104667090.0,14105770501.0,69003867.0
16,2021-11-17,230.64,234.97,221.85,229.5,2863410681.0,15834818019.0,68997028.0
17,2021-11-16,263.31,263.31,224.92,230.6,4031751969.0,15908733710.0,68988437.0
18,2021-11-15,279.24,280.73,259.99,262.76,2797322397.0,18125863846.0,68982584.0
19,2021-11-14,257.99,279.22,249.11,278.01,3230589098.0,19175487237.0,68974091.0
20,2021-11-13,251.19,263.68,245.51,258.09,2964986959.0,17799967208.0,68968062.0
21,2021-11-12,262.61,281.95,244.25,251.56,4974432912.0,17347313091.0,68958948.0
22,2021-11-11,260.89,273.75,251.61,263.09,3957519255.0,18140330756.0,68951046.0
23,2021-11-10,262.16,294.56,254.39,261.26,7776726430.0,18012588742.0,68945069.0
24,2021-11-09,228.88,274.28,227.1,262.91,7006560647.0,18124027080.0,68936240.0
25,2021-11-08,202.3,229.48,202.3,228.7,3069524134.0,15763973323.0,68928610.0
26,2021-11-07,197.9,202.43,197.35,202.05,1368484091.0,13925853207.0,68922807.0
27,2021-11-06,199.3,201.1,191.84,197.87,1562585003.0,13636063217.0,68914252.0
28,2021-11-05,202.95,203.24,197.13,199.54,1691201016.0,13749851030.0,68907742.0
29,2021-11-04,207.28,207.28,197.33,202.97,2297111488.0,13984729037.0,68900473.0
30,2021-11-03,200.72,209.02,197.85,207.11,2526891232.0,14268699440.0,68894304.0
31,2021-11-02,197.63,204.24,195.24,200.72,2197205823.0,13827403711.0,68889018.0
32,2021-11-01,192.05,200.49,188.39,197.55,2301982951.0,13607653391.0,68882072.0
33,2021-10-31,190.44,194.93,187.33,191.82,2072793808.0,13211081241.0,68872282.0
34,2021-10-30,196.42,197.03,188.02,190.48,2152582091.0,13117910599.0,68867653.0
35,2021-10-29,189.91,197.9,188.8,196.34,2323635618.0,13520298151.0,68861659.0
36,2021-10-28,179.33,194.41,178.43,189.98,2629059101.0,13080499930.0,68851984.0
