,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-06,0.02031,0.02035,0.01798,0.01933,3912.0,38660249.0,2000012881.0
1,2021-12-05,0.02025,0.02328,0.01999,0.02031,2188.0,40618178.0,1999910290.0
2,2021-12-04,0.01824,0.02176,0.01756,0.02025,3162.0,40509435.0,2000465925.0
3,2021-12-03,0.02158,0.02161,0.0179,0.01824,17987.0,36482888.0,2000158333.0
4,2021-12-02,0.0207,0.04105,0.01969,0.02157,10527.0,43143315.0,2000153685.0
5,2021-12-01,0.01896,0.02108,0.0185,0.0207,5810.0,41398559.0,1999930386.0
6,2021-11-30,0.01782,0.02168,0.01711,0.01897,9884.0,37930477.0,1999497996.0
7,2021-11-29,0.01956,0.02572,0.01721,0.01782,25850.0,35637040.0,1999833894.0
8,2021-11-28,0.02488,0.02489,0.01904,0.01956,7264.0,39129986.0,2000510531.0
9,2021-11-27,0.01852,0.03393,0.01818,0.02487,3701.0,49749567.0,2000384680.0
10,2021-11-26,0.02312,0.02313,0.01806,0.01852,4945.0,37046285.0,2000339362.0
11,2021-11-25,0.01812,0.02319,0.01811,0.01896,17318.0,37913170.0,1999639767.0
12,2021-11-24,0.0282,0.02824,0.01796,0.02807,5128.0,56146868.0,2000244674.0
13,2021-11-23,0.02423,0.029,0.02261,0.0282,5314.0,56409176.0,2000325390.0
14,2021-11-22,0.02681,0.03341,0.0204,0.02423,6311.0,48469494.0,2000391828.0
15,2021-11-21,0.01895,0.04052,0.01831,0.0268,12595.0,53608219.0,2000306679.0
16,2021-11-20,0.02011,0.07905,0.01869,0.01895,6730.0,37895104.0,1999741635.0
17,2021-11-19,0.01956,0.02085,0.01956,0.0201,8431.0,40208474.0,2000421592.0
18,2021-11-18,0.01767,0.02091,0.01766,0.01955,7453.0,39109718.0,2000497084.0
19,2021-11-17,0.01427,0.01884,0.01424,0.01767,3529.0,35332741.0,1999589190.0
20,2021-11-16,0.02216,0.02292,0.01428,0.01428,2540.0,28553728.0,1999560784.0
21,2021-11-15,0.026,0.02805,0.02145,0.02213,4264.0,44256178.0,1999827293.0
22,2021-11-14,0.02288,0.1091,0.01967,0.02601,19734.0,52014678.0,1999795386.0
23,2021-11-13,0.02444,0.02585,0.02172,0.02285,12096.0,45696858.0,1999862494.0
24,2021-11-12,0.03025,0.03498,0.0221,0.02442,9607.0,48839277.0,1999970393.0
25,2021-11-11,0.04003,0.05503,0.02358,0.03028,4419.0,60560550.0,2000018163.0
26,2021-11-10,0.0293,0.09653,0.02824,0.04003,4864.0,80055862.0,1999896627.0
27,2021-11-09,0.02434,0.03331,0.02434,0.0293,7357.0,58609007.0,2000307406.0
28,2021-11-08,0.0258,0.02761,0.02421,0.02434,5293.0,48673472.0,1999731799.0
29,2021-11-07,0.02368,0.02752,0.02312,0.0258,3566.0,51607802.0,2000302403.0
30,2021-11-06,0.02464,0.02694,0.02228,0.02367,7756.0,47335406.0,1999805914.0
31,2021-11-05,0.04007,0.06096,0.02459,0.02463,6087.0,49268995.0,2000365205.0
32,2021-11-04,0.07493,0.08207,0.02429,0.04008,11666.0,80158402.0,1999960129.0
33,2021-11-03,0.02441,0.0818,0.02432,0.07493,12994.0,149854824.0,1999930922.0
34,2021-11-02,0.03117,0.05281,0.02384,0.0244,4179.0,48809742.0,2000399262.0
35,2021-11-01,0.02271,0.05307,0.01971,0.03117,8105.0,62340760.0,2000024382.0
36,2021-10-31,0.0199,0.02495,0.01921,0.02271,43388.0,45412341.0,1999662747.0
37,2021-10-30,0.01067,0.02002,0.01063,0.01983,19336.0,39658964.0,1999947755.0
38,2021-10-29,0.012,0.01218,0.01006,0.01067,2325.0,21346063.0,2000568228.0
39,2021-10-28,0.01177,0.01209,0.01172,0.01199,3232.0,23982140.0,2000178482.0
40,2021-10-27,0.01261,0.01285,0.01164,0.01177,4766.0,23533885.0,1999480458.0
41,2021-10-26,0.01286,0.01348,0.01259,0.01261,2796.0,25212039.0,1999368675.0
42,2021-10-25,0.01317,0.01492,0.01277,0.01285,5127.0,25698032.0,1999846848.0
43,2021-10-24,0.01476,0.01477,0.01305,0.01318,4866.0,26357867.0,1999838163.0
44,2021-10-23,0.01258,0.01648,0.01256,0.01476,2411.0,29527315.0,2000495596.0
45,2021-10-22,0.01262,0.0127,0.01254,0.01258,3034.0,25164473.0,2000355564.0
46,2021-10-21,0.01216,0.01273,0.0112,0.01262,4018.0,25247535.0,2000597068.0
47,2021-10-20,0.0149,0.01496,0.009566,0.01216,4541.0,24326152.0,2000505921.0
