,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-06,0.7084,0.7124,0.6942,0.7073,809346.0,80882462.0,114353827.0
1,2021-12-05,0.7085,0.7154,0.7054,0.7083,666394.0,80999662.0,114357845.0
2,2021-12-04,0.7915,0.7915,0.7044,0.7085,1161092.0,81020351.0,114354764.0
3,2021-12-03,0.8237,0.8237,0.7915,0.7915,990309.0,90513072.0,114356376.0
4,2021-12-02,0.815,0.8464,0.8116,0.8236,1644743.0,94179196.0,114350650.0
5,2021-12-01,0.8508,0.8523,0.8143,0.8149,1222068.0,93189372.0,114356819.0
6,2021-11-30,0.8772,0.8795,0.8485,0.8509,983804.0,97302378.0,114352306.0
7,2021-11-29,0.8748,0.886,0.8671,0.8773,776604.0,100328786.0,114360864.0
8,2021-11-28,0.8673,0.8751,0.8621,0.875,768207.0,100061201.0,114355658.0
9,2021-11-27,0.8762,0.8804,0.8659,0.8675,828105.0,99198577.0,114349944.0
10,2021-11-26,0.9022,0.9039,0.8612,0.8763,1165827.0,100211157.0,114357134.0
11,2021-11-25,0.8712,0.9078,0.8706,0.8917,1473660.0,101973200.0,114358192.0
12,2021-11-24,0.8905,0.9006,0.8585,0.8926,927369.0,102071430.0,114352935.0
13,2021-11-23,0.8935,0.899,0.8782,0.8906,1035473.0,101847638.0,114358452.0
14,2021-11-22,0.8956,0.8978,0.8817,0.8935,856613.0,102178688.0,114357792.0
15,2021-11-21,0.9031,0.9031,0.8775,0.8959,947387.0,102451071.0,114355476.0
16,2021-11-20,0.8963,0.9063,0.8743,0.9028,947503.0,103245234.0,114361136.0
17,2021-11-19,0.8751,0.9082,0.8652,0.8963,984980.0,102496640.0,114355282.0
18,2021-11-18,0.8896,0.8971,0.8718,0.8747,1215137.0,100025983.0,114354616.0
19,2021-11-17,1.07,1.08,0.8486,0.8895,2641052.0,101723877.0,114360738.0
20,2021-11-16,1.1,1.12,1.01,1.07,1239737.0,122790127.0,114757128.0
21,2021-11-15,1.11,1.11,1.08,1.1,1446601.0,125678911.0,114253555.0
22,2021-11-14,1.08,1.12,1.06,1.11,2008818.0,126456053.0,113924372.0
23,2021-11-13,1.11,1.11,1.06,1.08,1333473.0,123265471.0,114134695.0
24,2021-11-12,1.12,1.12,1.07,1.11,1418484.0,126645234.0,114094805.0
