,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-04,16.81,17.0,14.07,15.38,1120965.0,242842563.0,15789503.0
1,2021-12-03,18.29,18.89,16.16,16.82,1039757.0,265680512.0,15795512.0
2,2021-12-02,18.03,18.76,17.83,18.27,1007986.0,288579116.0,15795244.0
3,2021-12-01,17.85,18.55,17.69,18.02,1132382.0,284538901.0,15790172.0
4,2021-11-30,11.07,18.9,10.38,17.88,1147690.0,282325042.0,15789991.0
5,2021-11-29,17.77,18.05,10.47,11.07,1096731.0,174893443.0,15798865.0
6,2021-11-28,10.13,17.75,9.91,17.75,909455.0,280367837.0,15795371.0
7,2021-11-27,14.65,16.37,10.05,10.13,1079326.0,159992493.0,15793928.0
8,2021-11-26,10.84,17.57,10.16,14.65,1301791.0,231310971.0,15789144.0
9,2021-11-25,11.48,11.53,10.74,10.91,932547.0,172345883.0,15797056.0
10,2021-11-24,11.84,17.87,11.26,11.92,1330446.0,188191204.0,15787852.0
11,2021-11-23,10.77,16.93,10.16,11.84,1350415.0,187039354.0,15797242.0
12,2021-11-22,11.55,12.59,10.53,10.79,1295081.0,170419872.0,15794242.0
13,2021-11-21,18.98,19.02,11.1,11.55,1522835.0,182431225.0,15794911.0
14,2021-11-20,10.59,19.18,10.57,18.99,867374.0,299962438.0,15795810.0
15,2021-11-19,10.28,10.69,10.22,10.59,975263.0,167262040.0,15794338.0
16,2021-11-18,11.62,11.73,10.28,10.28,1116805.0,162428651.0,15800452.0
17,2021-11-17,11.42,13.1,11.07,11.62,1250816.0,183588711.0,15799372.0
18,2021-11-16,18.19,18.24,11.06,11.42,1248035.0,180413318.0,15798013.0
19,2021-11-15,11.94,19.11,11.77,18.21,1156340.0,287551349.0,15790848.0
20,2021-11-14,15.55,16.09,11.74,11.94,1354143.0,188559541.0,15792256.0
21,2021-11-13,14.97,17.77,14.97,15.56,2375923.0,245681356.0,15789290.0
22,2021-11-12,13.9,15.6,12.59,14.96,1973959.0,236240543.0,15791480.0
23,2021-11-11,16.07,18.44,13.16,13.53,4086175.0,213701822.0,15794665.0
24,2021-11-10,9.11,19.96,8.26,16.49,2928459.0,260406460.0,15791780.0
25,2021-11-09,8.86,9.36,8.82,9.12,969118.0,144059134.0,15795957.0
26,2021-11-08,9.21,9.21,8.81,8.88,916821.0,140297867.0,15799309.0
27,2021-11-07,8.76,10.34,8.75,9.21,934675.0,145473299.0,15795146.0
28,2021-11-06,8.71,8.88,8.55,8.77,832419.0,138548083.0,15797957.0
29,2021-11-05,9.26,9.26,8.61,8.71,885074.0,137615108.0,15799667.0
30,2021-11-04,8.92,10.65,8.53,9.26,1157433.0,146289536.0,15798006.0
31,2021-11-03,8.74,11.89,8.61,8.92,1195363.0,140832186.0,15788361.0
32,2021-11-02,8.79,8.99,8.55,8.74,900290.0,138012694.0,15790926.0
33,2021-11-01,8.26,9.02,8.08,8.79,927694.0,138765652.0,15786763.0
34,2021-10-31,8.04,12.01,7.81,8.26,1543472.0,130468707.0,15795242.0
35,2021-10-30,7.78,8.31,7.63,8.04,772383.0,127007293.0,15796926.0
36,2021-10-29,7.95,8.5,7.5,7.78,989451.0,122901579.0,15797118.0
37,2021-10-28,7.99,8.25,7.45,7.94,924633.0,125479159.0,15803420.0
38,2021-10-27,8.25,8.47,7.87,7.98,860771.0,126001141.0,15789616.0
39,2021-10-26,8.6,8.86,8.21,8.25,997321.0,130271343.0,15790465.0
40,2021-10-25,8.92,9.3,8.57,8.59,888277.0,135662656.0,15793091.0
41,2021-10-24,8.87,9.22,8.87,8.93,709696.0,140967569.0,15785841.0
42,2021-10-23,8.85,9.32,8.52,8.87,945166.0,140026889.0,15786571.0
43,2021-10-22,8.14,10.5,8.12,8.85,1254580.0,139721323.0,15787720.0
44,2021-10-21,8.8,11.48,7.53,8.14,1779657.0,128489354.0,15784932.0
45,2021-10-20,7.39,9.54,7.34,8.79,1242328.0,138809811.0,15791787.0
46,2021-10-19,7.65,7.88,7.31,7.4,951780.0,116831556.0,15788048.0
47,2021-10-18,7.51,8.51,7.3,7.64,964803.0,120721855.0,15801289.0
48,2021-10-17,7.96,8.81,7.2,7.53,1081680.0,118983146.0,15801214.0
49,2021-10-16,7.99,8.69,7.61,7.96,1100749.0,125729424.0,15795153.0
50,2021-10-15,8.19,10.2,7.53,7.97,1495581.0,125863538.0,15792162.0
51,2021-10-14,8.61,11.48,7.81,8.19,1585720.0,129275440.0,15784547.0
52,2021-10-13,8.71,8.91,8.53,8.61,909003.0,136035858.0,15799751.0
53,2021-10-12,9.39,9.4,8.4,8.7,867943.0,137430812.0,15796645.0
54,2021-10-11,9.47,9.72,9.18,9.38,835738.0,148127929.0,15791890.0
55,2021-10-10,9.85,9.95,9.3,9.51,971790.0,150137144.0,15787291.0
56,2021-10-09,8.78,9.86,8.76,9.84,925595.0,155434707.0,15796210.0
57,2021-10-08,8.74,8.9,8.58,8.78,868013.0,138657931.0,15792475.0
58,2021-10-07,8.02,9.0,7.74,8.75,997269.0,138228053.0,15797491.0
