,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-06,0.03934,0.04806,0.03274,0.04504,21206539.0,119010755.0,2642334702.0
1,2021-12-05,0.04377,0.04432,0.03912,0.03933,10524418.0,103923702.0,2642351945.0
2,2021-12-04,0.04824,0.04828,0.0404,0.04378,11748716.0,115660463.0,2641856167.0
3,2021-12-03,0.05039,0.0525,0.04801,0.04819,16085860.0,127323714.0,2642118987.0
4,2021-12-02,0.05182,0.05197,0.04891,0.0503,13676587.0,132900719.0,2642161411.0
5,2021-12-01,0.04989,0.05196,0.04973,0.05179,10577145.0,136844411.0,2642294091.0
6,2021-11-30,0.04986,0.05051,0.04778,0.04989,11011154.0,131816949.0,2642151713.0
7,2021-11-29,0.04692,0.04995,0.04659,0.04984,11788376.0,131679761.0,2642049779.0
8,2021-11-28,0.04717,0.04778,0.04514,0.04694,10096920.0,124010874.0,2641901874.0
9,2021-11-27,0.04687,0.04992,0.04652,0.04716,9863778.0,124613466.0,2642355089.0
10,2021-11-26,0.04754,0.05212,0.04398,0.04686,14338711.0,123817243.0,2642280046.0
11,2021-11-25,0.04899,0.04994,0.04747,0.04879,18584323.0,128918933.0,2642322873.0
12,2021-11-24,0.04478,0.05534,0.0447,0.04489,7602735.0,118611675.0,2642273891.0
13,2021-11-23,0.04447,0.04489,0.04376,0.04479,7069584.0,118329848.0,2641880955.0
14,2021-11-22,0.04586,0.04589,0.04432,0.04449,7275277.0,117550143.0,2642169993.0
15,2021-11-21,0.04761,0.04805,0.04576,0.04593,9710915.0,121347101.0,2642000892.0
16,2021-11-20,0.04766,0.04812,0.04615,0.04758,9554401.0,125709086.0,2642057292.0
17,2021-11-19,0.04489,0.04798,0.04482,0.04766,10788956.0,125936809.0,2642400524.0
18,2021-11-18,0.04956,0.04984,0.0448,0.04487,11012050.0,118546153.0,2641991375.0
19,2021-11-17,0.04854,0.04968,0.04724,0.04956,13037648.0,130956152.0,2642375948.0
20,2021-11-16,0.05103,0.05179,0.04781,0.04855,12381436.0,128266722.0,2641951019.0
21,2021-11-15,0.05241,0.05283,0.05093,0.05095,13501017.0,134625032.0,2642296997.0
22,2021-11-14,0.0524,0.05458,0.05219,0.0524,14877287.0,138439636.0,2641977786.0
23,2021-11-13,0.05316,0.05764,0.05142,0.05238,13480356.0,138404173.0,2642309526.0
24,2021-11-12,0.0489,0.05884,0.04762,0.05315,22984672.0,140422241.0,2641998889.0
25,2021-11-11,0.04983,0.0499,0.04803,0.04897,12800662.0,129374356.0,2641910475.0
26,2021-11-10,0.05151,0.05275,0.04769,0.04986,18009787.0,131726370.0,2641924789.0
27,2021-11-09,0.05155,0.05243,0.05,0.05152,21381793.0,136133403.0,2642340896.0
28,2021-11-08,0.05033,0.05683,0.04957,0.05156,18050808.0,136229863.0,2642161811.0
29,2021-11-07,0.05265,0.05279,0.05029,0.05032,14250947.0,132960597.0,2642301212.0
30,2021-11-06,0.05216,0.05327,0.0499,0.05263,13521356.0,139061721.0,2642251966.0
31,2021-11-05,0.05399,0.05517,0.05212,0.05219,16548968.0,137885078.0,2641982716.0
32,2021-11-04,0.05489,0.05677,0.05313,0.05404,15793782.0,142775545.0,2642034511.0
33,2021-11-03,0.05595,0.05681,0.05307,0.05489,13250588.0,145036019.0,2642303133.0
34,2021-11-02,0.05225,0.05905,0.05196,0.05593,12500285.0,147786241.0,2642342946.0
35,2021-11-01,0.05264,0.0541,0.05141,0.05228,18528092.0,138140867.0,2642327218.0
36,2021-10-31,0.05597,0.05628,0.05121,0.05264,13097111.0,139069887.0,2641905148.0
37,2021-10-30,0.05425,0.05899,0.05361,0.05595,13807986.0,147824539.0,2642082913.0
38,2021-10-29,0.04997,0.05791,0.04979,0.05424,22374580.0,143318846.0,2642309107.0
39,2021-10-28,0.04734,0.05275,0.04688,0.04993,15952585.0,131927645.0,2642252052.0
40,2021-10-27,0.04833,0.05175,0.04479,0.04735,19943764.0,125106091.0,2642156092.0
41,2021-10-26,0.04509,0.05027,0.04493,0.04832,17089704.0,127667579.0,2642127048.0
42,2021-10-25,0.04505,0.04534,0.0447,0.04511,13006785.0,119182636.0,2642044690.0
43,2021-10-24,0.04565,0.04592,0.04439,0.04503,14347600.0,118974566.0,2642117832.0
44,2021-10-23,0.04523,0.04614,0.04499,0.04564,10794030.0,120586258.0,2642117835.0
45,2021-10-22,0.04792,0.04904,0.04491,0.04522,12773247.0,119483382.0,2642268509.0
46,2021-10-21,0.04226,0.05526,0.04225,0.04793,19832615.0,126643698.0,2642263676.0
47,2021-10-20,0.04194,0.04565,0.04192,0.04225,9452261.0,111617432.0,2641832710.0
48,2021-10-19,0.04285,0.04334,0.04175,0.04194,9341182.0,110818598.0,2642312780.0
49,2021-10-18,0.0408,0.04438,0.04042,0.04285,12238654.0,113228276.0,2642433512.0
50,2021-10-17,0.04247,0.04383,0.04077,0.04081,13458506.0,107819736.0,2641993040.0
51,2021-10-16,0.04343,0.04442,0.04246,0.04247,13723153.0,112222550.0,2642395808.0
52,2021-10-15,0.04414,0.04539,0.04324,0.04342,14867807.0,114720198.0,2642104974.0
53,2021-10-14,0.04549,0.04576,0.04399,0.04413,20176738.0,116592734.0,2642028869.0
54,2021-10-13,0.04477,0.04652,0.04406,0.04548,18009683.0,120165134.0,2642153342.0
55,2021-10-12,0.04418,0.05068,0.04159,0.04479,21559752.0,118346880.0,2642261219.0
56,2021-10-11,0.04194,0.04747,0.04098,0.04408,14720346.0,116474046.0,2642333166.0
57,2021-10-10,0.0458,0.04598,0.04159,0.04194,13581710.0,110801861.0,2641913710.0
58,2021-10-09,0.0454,0.04752,0.0447,0.04578,17192580.0,120960610.0,2642215159.0
59,2021-10-08,0.04579,0.04832,0.04485,0.0454,17066168.0,119949114.0,2642050969.0
60,2021-10-07,0.04188,0.05265,0.04099,0.04549,25633505.0,120190099.0,2642121323.0
61,2021-10-06,0.04719,0.04934,0.04166,0.04189,18514272.0,110689142.0,2642376271.0
62,2021-10-05,0.03527,0.05618,0.03503,0.04705,34141037.0,124309407.0,2642070286.0
63,2021-10-04,0.03924,0.03946,0.03522,0.03523,15158646.0,93078071.0,2642011666.0
