,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-06,0.08087,0.0841,0.07138,0.07971,34407459.0,58742528.0,736953054.0
1,2021-12-05,0.08586,0.08772,0.07722,0.08096,18139861.0,59659297.0,736898431.0
2,2021-12-04,0.09918,0.1004,0.07765,0.08577,39899024.0,63203953.0,736900466.0
3,2021-12-03,0.09923,0.1062,0.09584,0.09899,44106585.0,72943627.0,736878745.0
4,2021-12-02,0.1045,0.1086,0.09722,0.09908,38013498.0,73010002.0,736879309.0
5,2021-12-01,0.09579,0.106,0.09571,0.1046,49295574.0,77116393.0,737250411.0
6,2021-11-30,0.09849,0.09974,0.09535,0.09591,21709052.0,70674833.0,736887008.0
7,2021-11-29,0.1014,0.1024,0.0968,0.09862,27597820.0,72671497.0,736883968.0
8,2021-11-28,0.1127,0.1142,0.09363,0.1014,55405549.0,74705749.0,736743086.0
9,2021-11-27,0.09362,0.1246,0.09362,0.112,242801885.0,82539856.0,736963000.0
10,2021-11-26,0.09696,0.1063,0.08839,0.09365,58430623.0,69013929.0,736934639.0
11,2021-11-25,0.09478,0.1019,0.09449,0.09601,32421590.0,70747583.0,736877231.0
12,2021-11-24,0.0991,0.09981,0.09206,0.09731,50880366.0,71709517.0,736918271.0
13,2021-11-23,0.09313,0.1034,0.09224,0.09936,53507700.0,73219483.0,736911060.0
14,2021-11-22,0.0953,0.1036,0.09109,0.09306,59774932.0,68575412.0,736894605.0
15,2021-11-21,0.09375,0.1055,0.08989,0.09477,89443358.0,69838448.0,736925693.0
16,2021-11-20,0.08448,0.09511,0.08395,0.09398,46190095.0,69251950.0,736879655.0
17,2021-11-19,0.07978,0.08554,0.07745,0.08447,17646741.0,62245498.0,736894731.0
18,2021-11-18,0.08716,0.08867,0.07742,0.07959,25053608.0,58649650.0,736897223.0
19,2021-11-17,0.08489,0.08758,0.08314,0.08708,22337494.0,64173640.0,736950390.0
20,2021-11-16,0.09531,0.09531,0.08333,0.08508,26484528.0,62698291.0,736933368.0
21,2021-11-15,0.09909,0.09971,0.09499,0.09507,18563072.0,70056342.0,736892205.0
22,2021-11-14,0.09896,0.1065,0.0971,0.09902,29212354.0,72968196.0,736903615.0
23,2021-11-13,0.09741,0.1019,0.09708,0.09911,23108474.0,73034743.0,736905892.0
24,2021-11-12,0.09824,0.1019,0.09575,0.09732,25947027.0,71713078.0,736879140.0
25,2021-11-11,0.09574,0.1077,0.09405,0.0984,43188964.0,72511350.0,736903963.0
26,2021-11-10,0.1,0.1024,0.09227,0.09574,40827577.0,70552993.0,736922843.0
27,2021-11-09,0.1043,0.1067,0.09691,0.1,60693459.0,73701004.0,737010040.0
28,2021-11-08,0.09486,0.1267,0.09122,0.1043,305204490.0,76852533.0,736841160.0
29,2021-11-07,0.09115,0.09664,0.09083,0.09471,26991163.0,69795370.0,736937704.0
30,2021-11-06,0.09253,0.09282,0.08923,0.09105,17341455.0,67092629.0,736876760.0
31,2021-11-05,0.09347,0.09495,0.09036,0.09253,22064111.0,68184746.0,736893396.0
32,2021-11-04,0.09491,0.09675,0.09117,0.09365,39675245.0,69011828.0,736912205.0
33,2021-11-03,0.08974,0.1082,0.08914,0.09506,82416902.0,70047824.0,736880117.0
34,2021-11-02,0.08882,0.09205,0.08756,0.08969,17111125.0,66095240.0,736929869.0
35,2021-11-01,0.08927,0.09192,0.08611,0.08876,15622650.0,65404524.0,736869355.0
36,2021-10-31,0.08858,0.0939,0.08745,0.08931,26099912.0,65811829.0,736892050.0
37,2021-10-30,0.0897,0.09288,0.08684,0.08845,18800619.0,65178814.0,736900101.0
38,2021-10-29,0.08618,0.09069,0.08587,0.0893,11988687.0,65807455.0,736925587.0
39,2021-10-28,0.0868,0.08908,0.08167,0.08618,16960009.0,63504812.0,736885727.0
40,2021-10-27,0.09424,0.09469,0.08388,0.08682,23475200.0,63979618.0,736922575.0
41,2021-10-26,0.09562,0.09634,0.09353,0.09406,13121296.0,69314514.0,736918073.0
42,2021-10-25,0.09387,0.09677,0.09379,0.09554,13123163.0,70401131.0,736875978.0
43,2021-10-24,0.09498,0.09735,0.09195,0.09396,13787797.0,69243537.0,736946966.0
44,2021-10-23,0.09539,0.09708,0.09422,0.09498,9016701.0,69992292.0,736916108.0
45,2021-10-22,0.09719,0.0985,0.09321,0.09539,15887629.0,70291368.0,736884033.0
46,2021-10-21,0.09829,0.09977,0.09472,0.09704,19088391.0,71511092.0,736923866.0
47,2021-10-20,0.09419,0.1011,0.09335,0.09828,23592454.0,72425720.0,736932437.0
48,2021-10-19,0.0941,0.09766,0.09274,0.09436,20210767.0,69533491.0,736895835.0
49,2021-10-18,0.0964,0.0976,0.09211,0.09405,23262641.0,69308644.0,736934013.0
50,2021-10-17,0.09716,0.1038,0.09336,0.0962,40440305.0,70888657.0,736888326.0
51,2021-10-16,0.09498,0.09989,0.09294,0.097,39368373.0,71483200.0,736940206.0
52,2021-10-15,0.09199,0.1139,0.09049,0.09482,96269854.0,69872520.0,736896435.0
53,2021-10-14,0.09064,0.09643,0.09037,0.09199,20329883.0,67790242.0,736930557.0
54,2021-10-13,0.08953,0.09314,0.08729,0.09073,22872021.0,66861368.0,736926793.0
55,2021-10-12,0.09178,0.09276,0.08546,0.08949,19045058.0,65944992.0,736897888.0
56,2021-10-11,0.09147,0.09642,0.09027,0.09188,24779550.0,67704370.0,736878210.0
57,2021-10-10,0.0924,0.1,0.0908,0.09118,36294690.0,67189317.0,736886565.0
58,2021-10-09,0.08809,0.1,0.08798,0.09247,58200365.0,68139701.0,736884405.0
59,2021-10-08,0.08752,0.0918,0.08726,0.08836,26303727.0,65109744.0,736868990.0
60,2021-10-07,0.09069,0.094,0.08703,0.08748,35530310.0,64466557.0,736929092.0
61,2021-10-06,0.08825,0.104,0.08591,0.09068,107689678.0,66821704.0,736895721.0
62,2021-10-05,0.09055,0.09224,0.08661,0.08827,31296530.0,65049125.0,736933556.0
63,2021-10-04,0.09552,0.09573,0.08919,0.09048,43606203.0,66675527.0,736909007.0
64,2021-10-03,0.09745,0.1081,0.09276,0.09576,90369057.0,70566860.0,736913742.0
