,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-06,2.18,2.43,1.95,2.29,80146040.0,152240927.0,66480754.0
1,2021-12-05,2.36,2.42,2.12,2.18,13859385.0,145038150.0,66531261.0
2,2021-12-04,2.85,2.85,1.81,2.36,33777816.0,156960907.0,66508858.0
3,2021-12-03,2.97,3.11,2.76,2.85,27253803.0,189884186.0,66626030.0
4,2021-12-02,2.93,3.01,2.83,2.97,15797252.0,197756324.0,66584620.0
5,2021-12-01,2.92,3.04,2.88,2.93,17286403.0,195093790.0,66584911.0
6,2021-11-30,2.97,3.02,2.87,2.92,15217532.0,194697823.0,66677336.0
7,2021-11-29,2.96,3.02,2.87,2.98,14758309.0,198251968.0,66527506.0
8,2021-11-28,2.99,2.99,2.75,2.96,15388643.0,197105704.0,66589764.0
9,2021-11-27,2.93,3.1,2.9,2.98,22888815.0,198487319.0,66606482.0
10,2021-11-26,3.13,3.24,2.78,2.91,38942029.0,194000641.0,66666886.0
11,2021-11-25,2.95,3.17,2.92,2.93,15736765.0,195152439.0,66604927.0
12,2021-11-24,3.05,3.05,2.9,2.95,13984203.0,196357973.0,66562024.0
13,2021-11-23,3.02,3.06,2.93,3.04,14365800.0,202710226.0,66680995.0
14,2021-11-22,3.13,3.13,2.97,3.02,14765731.0,200903881.0,66524463.0
15,2021-11-21,3.13,3.22,3.07,3.13,16308852.0,208505518.0,66615181.0
16,2021-11-20,3.04,3.15,2.98,3.13,16041012.0,208323799.0,66557124.0
17,2021-11-19,2.93,3.06,2.84,3.04,16250372.0,202125587.0,66488679.0
18,2021-11-18,3.34,3.34,2.85,2.93,38727904.0,195060913.0,66573690.0
19,2021-11-17,3.05,3.53,3.05,3.36,115609070.0,223495758.0,66516594.0
20,2021-11-16,3.25,3.25,2.85,3.04,24965902.0,202189835.0,66509814.0
21,2021-11-15,3.24,3.3,3.15,3.24,18907520.0,215850687.0,66620582.0
22,2021-11-14,3.25,3.27,3.15,3.24,10693028.0,215645813.0,66557349.0
23,2021-11-13,3.21,3.26,3.17,3.25,13165124.0,216131173.0,66501899.0
24,2021-11-12,3.29,3.33,3.08,3.21,21674425.0,213647075.0,66556721.0
25,2021-11-11,3.17,3.31,3.13,3.29,19139472.0,219289875.0,66653457.0
26,2021-11-10,3.46,3.48,2.97,3.17,31477783.0,211115648.0,66597996.0
27,2021-11-09,3.33,3.55,3.32,3.46,36375895.0,230373331.0,66581887.0
28,2021-11-08,3.36,3.38,3.29,3.33,18126310.0,222026579.0,66674648.0
29,2021-11-07,3.37,3.39,3.32,3.36,12196165.0,223547906.0,66532114.0
30,2021-11-06,3.43,3.45,3.23,3.36,16206798.0,224064369.0,66685824.0
31,2021-11-05,3.46,3.55,3.34,3.43,30381610.0,228416364.0,66593692.0
32,2021-11-04,3.38,3.54,3.34,3.47,32248025.0,231001505.0,66571038.0
33,2021-11-03,3.5,3.5,3.27,3.38,24022264.0,224886366.0,66534427.0
34,2021-11-02,3.48,3.59,3.38,3.49,31005785.0,232554862.0,66634630.0
35,2021-11-01,3.45,3.51,3.22,3.48,26535065.0,231683720.0,66575781.0
36,2021-10-31,3.35,3.57,3.19,3.44,42759332.0,229038219.0,66580877.0
37,2021-10-30,3.2,3.41,3.18,3.35,49957089.0,222931386.0,66546682.0
38,2021-10-29,3.08,3.26,3.05,3.2,17860749.0,213225871.0,66633084.0
39,2021-10-28,2.89,3.1,2.86,3.08,16728603.0,204980716.0,66552180.0
