,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2022-01-02,0.09224,0.09881,0.09193,0.0969,2140140.0,5461030.0,56357378.0
1,2022-01-01,0.1003,0.1062,0.08858,0.09226,2239189.0,5199264.0,56354476.0
2,2021-12-31,0.1021,0.1066,0.09835,0.1003,1759184.0,5653789.0,56368783.0
3,2021-12-30,0.1031,0.1077,0.09475,0.1022,1919325.0,5759874.0,56358845.0
4,2021-12-29,0.1054,0.1114,0.09995,0.103,1843128.0,5806940.0,56378058.0
5,2021-12-28,0.1254,0.1268,0.1048,0.1055,2022842.0,5947737.0,56376654.0
6,2021-12-27,0.1221,0.1305,0.1195,0.1254,2515541.0,7068870.0,56370574.0
7,2021-12-26,0.1162,0.1249,0.1142,0.1222,2415044.0,6886109.0,56351137.0
8,2021-12-25,0.1195,0.122,0.1118,0.1161,2322513.0,6542586.0,56353023.0
9,2021-12-24,0.1207,0.1301,0.1171,0.1197,2655697.0,6745636.0,56354519.0
10,2021-12-23,0.1095,0.1255,0.1061,0.1206,2007879.0,6795925.0,56350953.0
11,2021-12-22,0.1096,0.1217,0.108,0.1095,1966506.0,6169187.0,56339607.0
12,2021-12-21,0.1022,0.1132,0.1008,0.1097,2335051.0,6179690.0,56332634.0
13,2021-12-20,0.1085,0.1087,0.09251,0.1022,1804544.0,5760520.0,56365166.0
14,2021-12-19,0.1143,0.1176,0.1069,0.1086,1406903.0,6118688.0,56341510.0
15,2021-12-18,0.1137,0.1247,0.1113,0.1143,1776600.0,6440184.0,56344566.0
16,2021-12-17,0.1189,0.1267,0.1135,0.1137,1799290.0,6407560.0,56354969.0
17,2021-12-16,0.1276,0.1334,0.1189,0.1189,2137372.0,6698925.0,56340832.0
18,2021-12-15,0.104,0.13,0.0972,0.1276,2253569.0,7189836.0,56346677.0
19,2021-12-14,0.09984,0.1068,0.09803,0.09957,1932469.0,5611707.0,56359415.0
20,2021-12-13,0.1156,0.1193,0.09772,0.09986,2626355.0,5628005.0,56358952.0
21,2021-12-12,0.123,0.1282,0.1138,0.1156,2251681.0,6516679.0,56372655.0
22,2021-12-11,0.1141,0.1236,0.1128,0.1231,2264254.0,6936179.0,56345889.0
23,2021-12-10,0.1295,0.1356,0.1123,0.1143,2556870.0,6440199.0,56344698.0
24,2021-12-09,0.1412,0.1467,0.1252,0.1297,2070421.0,7307810.0,56343947.0
25,2021-12-08,0.1538,0.1538,0.1352,0.1413,2385471.0,7964298.0,56364458.0
26,2021-12-07,0.1554,0.1632,0.148,0.1535,3197454.0,8652825.0,56370195.0
27,2021-12-06,0.1448,0.1557,0.1234,0.1553,4393658.0,8752853.0,56360933.0
28,2021-12-05,0.1617,0.168,0.1393,0.1446,4967873.0,8146954.0,56341313.0
29,2021-12-04,0.179,0.179,0.15,0.1617,3916635.0,9111842.0,56350290.0
30,2021-12-03,0.1943,0.2264,0.1704,0.179,5261369.0,10088972.0,56362972.0
31,2021-12-02,0.2004,0.2007,0.1699,0.1943,6943280.0,10949968.0,56355985.0
32,2021-12-01,0.2112,0.2185,0.1936,0.2006,9395728.0,11307340.0,56367597.0
33,2021-11-30,0.2328,0.2477,0.208,0.2115,6940444.0,11921323.0,56365593.0
34,2021-11-29,0.2251,0.2331,0.2023,0.2328,5186566.0,13117630.0,56347207.0
35,2021-11-28,0.2152,0.2288,0.1899,0.2251,5637035.0,12688051.0,56366286.0
36,2021-11-27,0.2328,0.2338,0.2049,0.2153,7590792.0,12131233.0,56345717.0
37,2021-11-26,0.2541,0.2701,0.1989,0.233,12855169.0,13131879.0,56359995.0
38,2021-11-25,0.2079,0.2723,0.207,0.2391,8432272.0,13474713.0,56355972.0
39,2021-11-24,0.1752,0.2168,0.1704,0.1731,2991281.0,9755689.0,56358688.0
40,2021-11-23,0.1626,0.1811,0.1569,0.1753,4596696.0,9877263.0,56344911.0
41,2021-11-22,0.1677,0.1777,0.1561,0.1626,4031076.0,9161860.0,56346002.0
42,2021-11-21,0.1985,0.199,0.1677,0.1678,5063445.0,9456084.0,56353301.0
43,2021-11-20,0.1657,0.2107,0.1657,0.1986,5977230.0,11195212.0,56370654.0
44,2021-11-19,0.1412,0.1696,0.1405,0.1657,4989185.0,9338046.0,56355135.0
45,2021-11-18,0.1714,0.1717,0.1403,0.1409,4960995.0,7940932.0,56358637.0
46,2021-11-17,0.1672,0.1763,0.1491,0.1715,4921661.0,9663783.0,56348588.0
47,2021-11-16,0.1897,0.1897,0.1561,0.1672,4448425.0,9424013.0,56363714.0
48,2021-11-15,0.2082,0.2192,0.1802,0.1899,5442426.0,10701675.0,56354265.0
49,2021-11-14,0.2021,0.2284,0.1986,0.2082,5327911.0,11733341.0,56356104.0
50,2021-11-13,0.1807,0.2056,0.1742,0.2021,7276296.0,11391983.0,56368050.0
51,2021-11-12,0.1864,0.193,0.1596,0.1805,8860908.0,10174622.0,56369096.0
52,2021-11-11,0.2128,0.2295,0.1739,0.1864,9705616.0,10503553.0,56349533.0
53,2021-11-10,0.229,0.2494,0.1826,0.2126,12007903.0,11982298.0,56360761.0
54,2021-11-09,0.2594,0.2719,0.2132,0.2293,18512014.0,12925319.0,56368595.0
55,2021-11-08,0.1909,0.2623,0.1782,0.2594,17717021.0,14619298.0,56358126.0
56,2021-11-07,0.1998,0.2136,0.1807,0.1908,13562917.0,10754837.0,56367070.0
57,2021-11-06,0.1733,0.2208,0.1704,0.1998,15822955.0,11258056.0,56346626.0
58,2021-11-05,0.1341,0.1926,0.129,0.1732,11374028.0,9759121.0,56345964.0
59,2021-11-04,0.138,0.1585,0.1219,0.1343,7133661.0,7569630.0,56363588.0
60,2021-11-03,0.127,0.1447,0.1152,0.1377,6511073.0,7757735.0,56337944.0
61,2021-11-02,0.1454,0.1601,0.1227,0.1268,8597344.0,7147687.0,56369771.0
62,2021-11-01,0.1272,0.1501,0.1173,0.1454,13930006.0,8191671.0,56338865.0
63,2021-10-31,0.129,0.1796,0.1086,0.1272,15404782.0,7167186.0,56345801.0
64,2021-10-30,0.07488,0.1449,0.07337,0.129,7685676.0,7269794.0,56354992.0
65,2021-10-29,0.07104,0.07859,0.0691,0.07489,2071459.0,4220722.0,56358953.0
66,2021-10-28,0.07288,0.08098,0.0691,0.07105,1713393.0,4004110.0,56356228.0
67,2021-10-27,0.0736,0.07722,0.0689,0.07289,1802727.0,4107601.0,56353422.0
68,2021-10-26,0.0813,0.08147,0.06805,0.07366,2231198.0,4151433.0,56359394.0
69,2021-10-25,0.07919,0.08611,0.07644,0.08131,2073524.0,4582234.0,56355110.0
70,2021-10-24,0.09108,0.09252,0.07838,0.07916,2746807.0,4461317.0,56358223.0
71,2021-10-23,0.08535,0.1007,0.07814,0.09112,4713427.0,5135042.0,56354719.0
72,2021-10-22,0.0591,0.08797,0.05868,0.08536,3341857.0,4810900.0,56360121.0
73,2021-10-21,0.06115,0.06198,0.0573,0.05917,1363060.0,3334481.0,56354250.0
74,2021-10-20,0.06114,0.06224,0.05632,0.06111,1286094.0,3443765.0,56353542.0
75,2021-10-19,0.06029,0.06223,0.05922,0.06112,1049636.0,3444353.0,56353943.0
76,2021-10-18,0.06171,0.06551,0.05794,0.06027,1982934.0,3396466.0,56354172.0
77,2021-10-17,0.05947,0.06522,0.0555,0.06172,2084534.0,3478199.0,56354488.0
78,2021-10-16,0.06528,0.06722,0.05952,0.05953,1926614.0,3355185.0,56361246.0
79,2021-10-15,0.06997,0.07067,0.06281,0.06531,1855460.0,3680875.0,56360052.0
80,2021-10-14,0.07214,0.07469,0.06882,0.06997,1800697.0,3943066.0,56353665.0
81,2021-10-13,0.07465,0.07999,0.06903,0.07211,2158713.0,4063710.0,56354319.0
82,2021-10-12,0.07133,0.08706,0.06833,0.07456,1626620.0,4201983.0,56357068.0
83,2021-10-11,0.07201,0.07702,0.07081,0.0714,1344772.0,4023979.0,56358249.0
84,2021-10-10,0.06954,0.07895,0.06866,0.07209,1458004.0,4062855.0,56358094.0
85,2021-10-09,0.06718,0.07254,0.06623,0.06952,1281083.0,3918135.0,56359824.0
86,2021-10-08,0.06853,0.0731,0.06526,0.06717,1287763.0,3785542.0,56357629.0
87,2021-10-07,0.07139,0.07348,0.0674,0.06853,1569053.0,3862047.0,56355566.0
88,2021-10-06,0.07352,0.07646,0.06472,0.07135,1832564.0,4020997.0,56355949.0
89,2021-10-05,0.0778,0.08101,0.07134,0.07353,1585415.0,4144174.0,56360315.0
90,2021-10-04,0.07786,0.08119,0.07438,0.07778,1392736.0,4383724.0,56360555.0
91,2021-10-03,0.07726,0.08351,0.07398,0.07788,1232399.0,4388809.0,56353479.0
92,2021-10-02,0.07899,0.08128,0.07536,0.07722,1166483.0,4352070.0,56359362.0
93,2021-10-01,0.07264,0.0844,0.07152,0.07897,1288797.0,4450729.0,56359744.0
94,2021-09-30,0.07406,0.07791,0.07039,0.07263,1456247.0,4093147.0,56356147.0
95,2021-09-29,0.07919,0.08236,0.07032,0.07409,1918213.0,4175759.0,56360628.0
96,2021-09-28,0.0841,0.09,0.07904,0.07926,2174774.0,4466783.0,56356081.0
97,2021-09-27,0.0832,0.09309,0.08083,0.08409,1830997.0,4739150.0,56358068.0
98,2021-09-26,0.08496,0.091,0.07755,0.08317,1443561.0,4687061.0,56355188.0
99,2021-09-25,0.09044,0.09306,0.0834,0.08499,2108210.0,4789937.0,56358830.0
100,2021-09-24,0.09103,0.09744,0.07874,0.09036,2654892.0,5092624.0,56359274.0
101,2021-09-23,0.08001,0.09534,0.07532,0.09106,2059362.0,5131666.0,56354777.0
102,2021-09-22,0.06868,0.07999,0.06797,0.07998,2183196.0,4507690.0,56360215.0
103,2021-09-21,0.0726,0.07458,0.06292,0.0687,2322525.0,3871671.0,56356200.0
104,2021-09-20,0.08027,0.08071,0.0653,0.07269,1906212.0,4096501.0,56355771.0
105,2021-09-19,0.0832,0.08403,0.07675,0.08047,1934347.0,4535201.0,56358903.0
106,2021-09-18,0.09315,0.09367,0.08194,0.0832,4209027.0,4688682.0,56354350.0
107,2021-09-17,0.09089,0.1129,0.08446,0.09319,7560714.0,5252078.0,56358815.0
108,2021-09-16,0.08827,0.1164,0.07688,0.09084,5239980.0,5119385.0,56356065.0
109,2021-09-15,0.08095,0.0903,0.07797,0.08825,1922795.0,4973321.0,56354912.0
110,2021-09-14,0.06559,0.08109,0.06559,0.081,2534396.0,4565069.0,56358876.0
111,2021-09-13,0.07203,0.07265,0.06144,0.06561,3330404.0,3697311.0,56352857.0
112,2021-09-12,0.07876,0.08503,0.066,0.07203,2397884.0,4059309.0,56355810.0
113,2021-09-11,0.07378,0.08051,0.07351,0.07874,1333196.0,4437518.0,56356591.0
114,2021-09-10,0.08265,0.08606,0.0722,0.07377,1294553.0,4157193.0,56353436.0
115,2021-09-09,0.08279,0.09377,0.07914,0.08266,1922315.0,4658261.0,56354476.0
116,2021-09-08,0.08234,0.08896,0.07072,0.08546,3352360.0,4816145.0,56355546.0
117,2021-09-07,0.0937,0.102,0.07037,0.08232,3432460.0,4639055.0,56353923.0
118,2021-09-06,0.09775,0.1074,0.08972,0.09367,2593728.0,5278825.0,56355556.0
119,2021-09-05,0.1049,0.1049,0.08798,0.09773,3541626.0,5507940.0,56358743.0
120,2021-09-04,0.08953,0.1167,0.08803,0.1049,4183189.0,5911127.0,56350114.0
121,2021-09-03,0.1099,0.112,0.08603,0.08929,2832028.0,5032358.0,56359704.0
122,2021-09-02,0.1138,0.1169,0.107,0.1099,2582614.0,6195488.0,56373867.0
123,2021-09-01,0.1101,0.136,0.1092,0.1138,2970473.0,6415979.0,56379428.0
124,2021-08-31,0.1145,0.1228,0.1069,0.1103,2909721.0,6214864.0,56345095.0
125,2021-08-30,0.1282,0.1317,0.1148,0.1157,3522934.0,6523239.0,56380630.0
126,2021-08-29,0.1221,0.1324,0.1208,0.1284,3913494.0,7237525.0,56367017.0
127,2021-08-28,0.1222,0.131,0.1109,0.1224,3952278.0,6896499.0,56343946.0
128,2021-08-27,0.1196,0.1385,0.1121,0.1238,3982489.0,6974769.0,56339006.0
129,2021-08-26,0.1401,0.1441,0.1098,0.1196,4051546.0,6740042.0,56354866.0
130,2021-08-25,0.1391,0.153,0.1156,0.1408,4739335.0,7934968.0,56356306.0
131,2021-08-24,0.1422,0.1529,0.1378,0.1392,5585897.0,7842871.0,56342464.0
132,2021-08-23,0.1279,0.1693,0.1279,0.1422,5831846.0,8014782.0,56362742.0
133,2021-08-22,0.1325,0.1529,0.102,0.1279,4275767.0,7206276.0,56343049.0
134,2021-08-21,0.1365,0.1434,0.127,0.1325,4372392.0,7465336.0,56342158.0
135,2021-08-20,0.13,0.1504,0.125,0.1365,5761485.0,7693340.0,56361465.0
136,2021-08-19,0.138,0.1426,0.1212,0.13,7362522.0,7328153.0,56370407.0
137,2021-08-18,0.1528,0.1675,0.1316,0.138,8822120.0,7777312.0,56357333.0
138,2021-08-17,0.1635,0.1783,0.1468,0.1528,12298846.0,8608753.0,56340006.0
139,2021-08-16,0.1303,0.1713,0.1269,0.1635,11741138.0,9211774.0,56341125.0
140,2021-08-15,0.1352,0.2049,0.1197,0.1303,8212518.0,7345432.0,56373231.0
141,2021-08-14,0.1337,0.1547,0.1224,0.1352,9041180.0,7621014.0,56368446.0
142,2021-08-13,0.1643,0.1643,0.1337,0.1337,7508850.0,7534907.0,56356821.0
143,2021-08-12,0.1762,0.1858,0.16,0.1643,5721373.0,9256864.0,56341229.0
144,2021-08-11,0.1728,0.1901,0.1646,0.1762,7053940.0,9930466.0,56359057.0
145,2021-08-10,0.1929,0.1981,0.1534,0.1728,8440434.0,9736268.0,56344143.0
146,2021-08-09,0.1514,0.2097,0.1341,0.1929,9196160.0,10872778.0,56364841.0
147,2021-08-08,0.1673,0.1985,0.1354,0.1514,9508138.0,8533517.0,56364048.0
148,2021-08-07,0.2187,0.2425,0.1324,0.1673,16168746.0,9431029.0,56371960.0
149,2021-08-06,0.2173,0.2439,0.1971,0.2187,20188152.0,12322658.0,56345029.0
150,2021-08-05,0.2629,0.2706,0.1944,0.2173,26141065.0,12247437.0,56361882.0
151,2021-08-04,0.2034,0.3083,0.1297,0.2629,27034752.0,14814791.0,56351430.0
152,2021-08-03,0.1803,0.2089,0.1721,0.2034,19728257.0,11462469.0,56354321.0
153,2021-08-02,0.1275,0.1895,0.1049,0.1803,15542911.0,10161340.0,56357958.0
154,2021-08-01,0.1792,0.1921,0.1094,0.1275,10301309.0,7187025.0,56368823.0
155,2021-07-31,0.192,0.1991,0.171,0.1792,10955443.0,10101334.0,56369051.0
156,2021-07-30,0.199,0.2483,0.1665,0.1921,16959647.0,10823892.0,56345091.0
157,2021-07-29,0.1933,0.2286,0.1675,0.199,16800401.0,11213310.0,56348291.0
158,2021-07-28,0.1513,0.1933,0.1468,0.193,185155.0,10876264.0,56353699.0
159,2021-07-27,0.1795,0.1817,0.1322,0.1508,203215.0,8498992.0,56359363.0
160,2021-07-26,0.1811,0.2124,0.1629,0.1795,258942.0,10117570.0,56365292.0
161,2021-07-25,0.2041,0.2153,0.135,0.1807,498652.0,10184339.0,56360481.0
162,2021-07-24,0.1122,0.2532,0.1022,0.2042,425958.0,11505824.0,56345857.0
163,2021-07-23,0.09073,0.133,0.07865,0.112,202197.0,6310479.0,56343562.0
164,2021-07-22,0.06478,0.1317,0.06017,0.09077,188914.0,5115664.0,56358532.0
165,2021-07-21,0.03545,0.06894,0.02713,0.06481,92014.0,3652355.0,56354806.0
166,2021-07-20,0.03305,0.03639,0.02823,0.03547,29971.0,1998821.0,56352438.0
167,2021-07-19,0.0315,0.03754,0.0266,0.03306,32594.0,1863355.0,56362825.0
168,2021-07-18,0.02415,0.03551,0.0225,0.03149,18080.0,1774459.0,56349920.0
169,2021-07-17,0.02472,0.0275,0.02288,0.02421,9503.0,1364138.0,56346055.0
170,2021-07-16,0.02629,0.02982,0.02029,0.02473,21948.0,1393668.0,56355357.0
171,2021-07-15,0.02488,0.03939,0.02488,0.0263,28507.0,1482331.0,56362395.0
172,2021-07-14,0.03036,0.04137,0.02242,0.02483,15214.0,1399360.0,56357631.0
173,2021-07-13,0.02556,0.0305,0.02537,0.03035,4838.0,1710628.0,56363360.0
174,2021-07-12,0.0296,0.0321,0.02522,0.02557,3472.0,1440830.0,56348455.0
175,2021-07-11,0.02663,0.03077,0.02619,0.02963,4716.0,1669816.0,56355585.0
176,2021-07-10,0.02325,0.0277,0.02267,0.02663,3931.0,1500740.0,56355238.0
177,2021-07-09,0.02413,0.02422,0.02155,0.02325,2761.0,1310449.0,56363397.0
178,2021-07-08,0.03057,0.03336,0.02384,0.024,6319.0,1352472.0,56353000.0
179,2021-07-07,0.02874,0.03992,0.02847,0.03068,8657.0,1728813.0,56349837.0
180,2021-07-06,0.02134,0.03109,0.02071,0.02876,4690.0,1621006.0,56363212.0
181,2021-07-05,0.02234,0.0239,0.02045,0.0213,1998.0,1200543.0,56363521.0
182,2021-07-04,0.01897,0.02373,0.01837,0.02234,1264.0,1259035.0,56357878.0
183,2021-07-03,0.01867,0.01936,0.01824,0.01897,640.0,1069026.0,56353505.0
184,2021-07-02,0.01766,0.01963,0.01687,0.01876,2049.0,1057401.0,56364658.0
185,2021-07-01,0.01853,0.02042,0.01677,0.01768,1975.0,996482.0,56362104.0
186,2021-06-30,0.01859,0.01891,0.01751,0.01852,2458.0,1043997.0,56371328.0
187,2021-06-29,0.01776,0.02097,0.01724,0.01858,2621.0,1047280.0,56365984.0
188,2021-06-28,0.01836,0.01917,0.0176,0.01775,1653.0,1000152.0,56346591.0
189,2021-06-27,0.01711,0.01835,0.0149,0.01835,1729.0,1034230.0,56361307.0
190,2021-06-26,0.01799,0.01831,0.0149,0.01709,1018.0,963007.0,56349151.0
191,2021-06-25,0.01877,0.019,0.01671,0.018,1932.0,1014151.0,56341722.0
192,2021-06-24,0.01836,0.02035,0.01716,0.01874,1653.0,1056371.0,56369850.0
193,2021-06-23,0.01732,0.01953,0.0163,0.01726,2939.0,972888.0,56366628.0
194,2021-06-22,0.01978,0.02004,0.01369,0.01732,4349.0,976148.0,56359584.0
195,2021-06-21,0.0271,0.0272,0.01883,0.01979,4202.0,1115387.0,56361141.0
196,2021-06-20,0.02307,0.02874,0.01986,0.02707,3756.0,1525785.0,56364425.0
197,2021-06-19,0.02147,0.02415,0.02051,0.02307,2703.0,1300049.0,56352362.0
198,2021-06-18,0.02226,0.02323,0.01938,0.02146,5082.0,1209161.0,56344874.0
199,2021-06-17,0.02538,0.02753,0.02003,0.02222,9847.0,1252454.0,56366066.0
200,2021-06-16,0.02789,0.02864,0.02282,0.02536,11710.0,1429324.0,56361356.0
201,2021-06-15,0.0347,0.03563,0.02233,0.02962,10618.0,1669121.0,56351147.0
202,2021-06-14,0.04563,0.04649,0.02911,0.04599,1.0,2591821.0,56356186.0
203,2021-06-13,0.04311,0.04591,0.04156,0.04561,0.0,2570525.0,56358802.0
204,2021-06-12,0.04321,0.04362,0.04086,0.04313,0.0,2430872.0,56361511.0
205,2021-06-11,0.04422,0.04548,0.04297,0.04319,0.0,2434106.0,56358092.0
206,2021-06-10,0.04686,0.04694,0.04343,0.04424,0.0,2493065.0,56353187.0
207,2021-06-09,0.04417,0.04699,0.04194,0.04687,0.0,2641621.0,56360593.0
208,2021-06-08,0.04492,0.04574,0.04033,0.04415,0.0,2488312.0,56360407.0
209,2021-06-07,0.0491,0.05156,0.04489,0.04489,384.0,2529850.0,56356649.0
210,2021-06-06,0.04698,0.0509,0.04387,0.04909,1569.0,2766422.0,56354084.0
211,2021-06-05,0.05048,0.05909,0.04662,0.04702,2938.0,2649917.0,56357230.0
212,2021-06-04,0.06594,0.06616,0.04106,0.05038,9704.0,2839292.0,56357522.0
213,2021-06-03,0.04829,0.07017,0.04769,0.06593,27701.0,3715668.0,56357773.0
214,2021-06-02,0.0508,0.05118,0.04599,0.0483,7911.0,2721955.0,56355175.0
215,2021-06-01,0.04771,0.05083,0.04503,0.05074,2637.0,2859689.0,56359657.0
216,2021-05-31,0.0444,0.04809,0.04029,0.04769,2581.0,2687849.0,56360851.0
217,2021-05-30,0.04734,0.05016,0.04307,0.04439,3776.0,2501740.0,56358188.0
218,2021-05-29,0.05103,0.05251,0.04332,0.0473,3530.0,2665810.0,56359619.0
219,2021-05-28,0.05668,0.05971,0.04148,0.05102,13464.0,2875395.0,56358192.0
220,2021-05-27,0.0635,0.06587,0.05106,0.05657,27633.0,3188174.0,56358034.0
221,2021-05-26,0.05868,0.06983,0.05868,0.06357,270492.0,3582383.0,56353358.0
222,2021-05-25,0.0685,0.07026,0.04999,0.05864,260939.0,3304638.0,56354672.0
223,2021-05-24,0.05554,0.0711,0.05554,0.06867,253961.0,3870102.0,56357972.0
224,2021-05-23,0.06941,0.07753,0.04003,0.05581,462396.0,3145324.0,56357713.0
225,2021-05-22,0.06252,0.07337,0.0523,0.06948,340446.0,3915924.0,56360449.0
226,2021-05-21,0.07244,0.07921,0.05093,0.06251,417187.0,3523041.0,56359638.0
227,2021-05-20,0.06802,0.08517,0.05733,0.07238,525244.0,4079369.0,56360444.0
228,2021-05-19,0.09666,0.09924,0.05101,0.06622,787762.0,3731746.0,56353760.0
229,2021-05-18,0.09713,0.11,0.08807,0.09676,724258.0,5452961.0,56355529.0
230,2021-05-17,0.1087,0.1103,0.08058,0.09712,1220281.0,5473396.0,56357042.0
231,2021-05-16,0.1388,0.1647,0.08216,0.1087,2624647.0,6128480.0,56379760.0
232,2021-05-15,0.1679,0.1711,0.1267,0.1394,514955.0,7853954.0,56341133.0
233,2021-05-14,0.1669,0.1812,0.143,0.1679,668361.0,9459815.0,56341959.0
234,2021-05-13,0.1766,0.2044,0.1399,0.1662,991121.0,9369136.0,56372659.0
235,2021-05-12,0.2012,0.2226,0.1767,0.1775,797446.0,10003756.0,56359188.0
236,2021-05-11,0.2622,0.2819,0.1849,0.2002,1943789.0,11281422.0,56350759.0
237,2021-05-10,0.2848,0.3537,0.2138,0.2617,3162812.0,14748430.0,56356247.0
238,2021-05-09,0.3772,0.387,0.26,0.2847,3038377.0,16043599.0,56352648.0
239,2021-05-08,0.1984,0.3795,0.1972,0.3758,6049511.0,21179340.0,56358009.0
240,2021-05-07,0.143,0.2497,0.1292,0.1982,3776552.0,11171434.0,56364450.0
241,2021-05-06,0.1218,0.152,0.1061,0.1413,1430037.0,7965479.0,56372816.0
242,2021-05-05,0.07275,0.1283,0.07237,0.1218,1124890.0,6862981.0,56346313.0
