,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-04,224.11,225.63,179.2,204.63,288521122.0,3691598782.0,18040359.0
1,2021-12-03,239.24,244.13,219.31,223.61,216148521.0,4033864051.0,18039730.0
2,2021-12-02,230.77,241.68,225.69,239.19,207276368.0,4314923900.0,18039733.0
3,2021-12-01,237.92,242.88,227.44,230.86,197370330.0,4164530802.0,18039204.0
4,2021-11-30,235.96,250.2,228.55,238.1,266503040.0,4294896978.0,18038206.0
5,2021-11-29,239.38,240.17,233.61,235.78,206200396.0,4253058277.0,18038248.0
6,2021-11-28,228.33,239.57,220.29,239.05,197104659.0,4311879479.0,18037563.0
7,2021-11-27,226.51,233.9,225.91,228.27,169858636.0,4117193537.0,18036507.0
8,2021-11-26,248.13,249.55,218.71,226.28,230322839.0,4081202082.0,18036070.0
9,2021-11-25,243.84,250.92,241.95,246.84,263792971.0,4451776151.0,18035067.0
10,2021-11-24,237.5,246.85,233.37,235.53,195370540.0,4247635666.0,18034372.0
11,2021-11-23,231.85,239.12,225.95,236.25,196965118.0,4260715257.0,18034773.0
12,2021-11-22,250.74,251.17,229.3,231.94,189430314.0,4182778423.0,18033881.0
13,2021-11-21,247.2,253.95,242.48,250.88,148927420.0,4524201532.0,18033328.0
14,2021-11-20,238.81,251.97,237.36,247.23,183651814.0,4458313046.0,18033058.0
15,2021-11-19,226.23,239.67,224.63,238.85,193439772.0,4302629571.0,18013940.0
16,2021-11-18,241.82,244.04,224.17,226.42,244173036.0,4078744576.0,18014064.0
17,2021-11-17,241.29,244.48,231.88,241.66,229743440.0,4353314554.0,18014212.0
18,2021-11-16,268.5,268.5,232.96,241.26,319630009.0,4346032458.0,18013895.0
19,2021-11-15,275.1,278.8,266.14,267.77,211917154.0,4823669231.0,18014225.0
20,2021-11-14,270.89,281.78,266.7,275.14,212570992.0,4956339140.0,18013880.0
21,2021-11-13,260.73,274.86,258.2,271.0,207041828.0,4881794206.0,18014000.0
22,2021-11-12,264.1,267.01,252.41,260.28,228685208.0,4688714592.0,18014117.0
23,2021-11-11,267.52,271.19,261.32,265.5,289332874.0,4782779410.0,18014235.0
24,2021-11-10,289.39,292.94,260.35,267.9,353063230.0,4825927106.0,18013912.0
25,2021-11-09,275.09,293.96,269.23,288.62,360356162.0,5199173503.0,18013905.0
26,2021-11-08,267.2,275.25,261.96,275.01,284399688.0,4954014103.0,18013941.0
27,2021-11-07,260.38,267.29,259.16,267.1,187571059.0,4811639597.0,18014375.0
28,2021-11-06,256.45,262.81,249.77,260.17,186483671.0,4686715943.0,18014052.0
29,2021-11-05,261.01,263.23,253.7,256.53,221148284.0,4621223493.0,18014358.0
30,2021-11-04,266.2,267.11,256.46,260.77,189206819.0,4697617932.0,18014410.0
31,2021-11-03,275.23,275.54,264.37,266.2,217247549.0,4795434007.0,18014402.0
32,2021-11-02,271.09,277.36,268.02,275.23,178359604.0,4957946945.0,18013831.0
33,2021-11-01,274.16,278.42,267.24,271.11,209433059.0,4883825386.0,18014183.0
34,2021-10-31,263.19,276.28,262.85,273.71,212582197.0,4930586920.0,18013908.0
35,2021-10-30,268.42,269.75,261.43,262.87,173297382.0,4735428668.0,18014336.0
36,2021-10-29,267.25,271.17,265.12,268.42,216037165.0,4835386997.0,18014257.0
37,2021-10-28,255.74,271.09,253.61,267.52,293750043.0,4819113074.0,18014029.0
38,2021-10-27,280.0,283.36,249.1,255.75,350087718.0,4607078306.0,18013991.0
39,2021-10-26,286.56,293.89,279.63,280.0,336588996.0,5044028784.0,18014388.0
40,2021-10-25,289.56,296.74,283.95,286.76,310001978.0,5165704024.0,18014032.0
41,2021-10-24,267.73,294.86,266.79,289.77,279386900.0,5219870915.0,18013841.0
42,2021-10-23,266.31,269.54,261.36,267.73,125376911.0,4822879306.0,18013966.0
43,2021-10-22,271.13,275.22,264.31,266.4,185909828.0,4798939172.0,18014035.0
44,2021-10-21,260.02,274.7,257.93,270.48,263793052.0,4872535991.0,18014403.0
45,2021-10-20,255.05,265.6,253.43,260.13,189011169.0,4686018911.0,18014142.0
46,2021-10-19,256.52,260.43,252.07,254.96,155008232.0,4592904244.0,18014214.0
47,2021-10-18,261.08,264.38,252.96,256.53,154975543.0,4620951108.0,18013297.0
48,2021-10-17,267.75,268.27,253.61,260.8,161631642.0,4697863237.0,18013279.0
49,2021-10-16,273.98,274.11,265.05,268.13,181330395.0,4829737982.0,18012672.0
50,2021-10-15,266.62,278.92,261.05,273.7,239118228.0,4929919987.0,18012130.0
51,2021-10-14,274.56,274.73,264.82,266.44,162259649.0,4798865618.0,18011055.0
52,2021-10-13,277.19,283.15,269.51,274.94,169716936.0,4951925794.0,18010932.0
53,2021-10-12,276.9,280.67,268.77,277.16,213602413.0,4991641952.0,18009965.0
54,2021-10-11,270.35,279.97,266.06,276.79,209535790.0,4984795647.0,18009305.0
55,2021-10-10,278.23,282.57,269.84,270.7,146286900.0,4875005155.0,18008884.0
56,2021-10-09,277.76,282.22,274.0,278.25,181184297.0,5010755080.0,18008104.0
57,2021-10-08,277.96,286.44,276.43,277.92,200018428.0,5004682648.0,18007637.0
58,2021-10-07,286.63,295.78,276.11,277.86,240943637.0,5003481997.0,18007205.0
59,2021-10-06,270.93,294.09,263.03,286.57,290102759.0,5160112003.0,18006462.0
60,2021-10-05,264.51,275.61,261.14,270.75,241679025.0,4875120320.0,18005984.0
61,2021-10-04,259.36,267.14,251.82,264.04,208103132.0,4754172301.0,18005500.0
62,2021-10-03,253.01,263.53,250.33,259.01,200304137.0,4663335659.0,18004461.0
63,2021-10-02,257.57,262.42,251.77,253.23,201448901.0,4559161871.0,18004035.0
64,2021-10-01,251.1,261.39,243.38,257.83,276235800.0,4641745665.0,18003124.0
65,2021-09-30,233.97,254.19,232.93,250.82,230758009.0,4515536762.0,18003096.0
66,2021-09-29,229.78,240.76,228.83,234.15,193353308.0,4215186018.0,18002075.0
67,2021-09-28,234.54,243.64,228.38,229.6,225342820.0,4133165754.0,18001593.0
68,2021-09-27,234.75,248.05,234.22,234.73,221243683.0,4225352360.0,18000904.0
69,2021-09-26,236.19,237.21,222.11,234.11,244160461.0,4214059861.0,18000341.0
70,2021-09-25,233.79,242.5,230.57,235.92,202740884.0,4246520294.0,17999831.0
71,2021-09-24,249.22,254.38,224.25,233.79,252305869.0,4208057110.0,17999303.0
72,2021-09-23,245.1,251.05,243.49,249.05,192441519.0,4482476280.0,17998298.0
73,2021-09-22,217.33,245.46,214.7,245.28,227247812.0,4414493723.0,17997772.0
74,2021-09-21,232.64,237.56,213.11,217.68,247580022.0,3917579481.0,17996965.0
75,2021-09-20,259.95,261.4,227.33,231.29,331425683.0,4162520314.0,17996974.0
76,2021-09-19,271.68,275.77,258.67,259.93,185050652.0,4677645766.0,17995790.0
77,2021-09-18,262.39,271.84,259.93,271.69,163931480.0,4889156178.0,17995348.0
78,2021-09-17,264.13,267.71,257.27,262.47,171606452.0,4723034370.0,17994568.0
79,2021-09-16,269.38,273.32,259.86,263.92,216554161.0,4749085105.0,17994411.0
80,2021-09-15,268.55,274.13,265.47,269.33,231866380.0,4846262003.0,17993769.0
81,2021-09-14,263.41,274.3,256.06,268.75,319973872.0,4835666299.0,17993176.0
82,2021-09-13,256.51,269.75,243.54,262.97,368079864.0,4731476977.0,17992459.0
83,2021-09-12,250.03,258.31,246.54,256.32,177933859.0,4611710011.0,17992002.0
84,2021-09-11,249.27,258.78,247.78,249.76,151933700.0,4493544670.0,17991450.0
85,2021-09-10,261.52,268.26,244.75,248.88,220571901.0,4477536585.0,17990744.0
86,2021-09-09,255.92,266.85,254.61,261.43,267345989.0,4703107175.0,17989929.0
87,2021-09-08,262.13,270.91,246.11,256.75,357775024.0,4618711009.0,17989137.0
88,2021-09-07,314.96,316.06,234.77,262.17,470787907.0,4716102170.0,17988717.0
89,2021-09-06,315.46,321.72,301.33,314.77,284693798.0,5662105497.0,17988072.0
90,2021-09-05,305.22,318.99,300.03,315.2,248288144.0,5669537571.0,17987111.0
91,2021-09-04,303.78,311.35,300.04,305.35,193629163.0,5492332108.0,17987005.0
92,2021-09-03,302.81,309.56,296.86,303.79,228729580.0,5463910398.0,17985813.0
93,2021-09-02,303.11,309.26,298.15,302.76,222441339.0,5445300950.0,17985536.0
94,2021-09-01,286.11,303.31,280.12,303.3,238671149.0,5454823407.0,17984910.0
95,2021-08-31,281.88,292.0,279.58,286.19,200519263.0,5146857315.0,17984057.0
96,2021-08-30,291.85,295.09,281.26,282.03,240246571.0,5071818961.0,17983260.0
97,2021-08-29,300.52,306.76,287.89,291.57,231037558.0,5243303559.0,17983000.0
98,2021-08-28,315.21,316.59,298.56,300.23,183815434.0,5398780342.0,17982148.0
99,2021-08-27,291.95,316.76,286.3,315.0,248871483.0,5664216444.0,17981639.0
100,2021-08-26,314.21,317.56,287.08,291.98,268875500.0,5250110303.0,17981061.0
101,2021-08-25,308.1,324.53,298.53,313.52,305885601.0,5637258138.0,17980537.0
102,2021-08-24,318.69,339.54,303.29,307.54,324926843.0,5529509419.0,17979805.0
103,2021-08-23,306.47,333.78,303.27,318.32,330390588.0,5723162891.0,17979275.0
104,2021-08-22,288.2,306.62,276.33,305.61,248292920.0,5494323768.0,17978219.0
105,2021-08-21,282.23,293.26,273.2,288.17,210367761.0,5180666852.0,17977814.0
106,2021-08-20,264.08,283.34,262.22,281.94,216310555.0,5068545107.0,17977389.0
107,2021-08-19,253.05,264.09,247.41,264.09,193471982.0,4747342499.0,17976229.0
108,2021-08-18,256.42,261.96,247.75,253.5,203452807.0,4556801405.0,17975547.0
109,2021-08-17,267.15,277.95,255.51,256.27,207709212.0,4606533349.0,17975312.0
110,2021-08-16,272.07,284.32,266.37,267.87,227863349.0,4814875038.0,17974670.0
111,2021-08-15,271.48,275.08,262.04,272.24,193048536.0,4893149364.0,17973660.0
112,2021-08-14,272.97,279.5,265.56,271.29,197636594.0,4875880616.0,17972946.0
113,2021-08-13,257.53,273.21,255.23,273.07,227228996.0,4907709964.0,17972351.0
