,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-03,36.59,38.32,34.02,35.04,230801400.0,2471883560.0,70544622.0
1,2021-12-02,37.39,37.39,35.98,36.58,182491326.0,2580083267.0,70532620.0
2,2021-12-01,37.54,38.43,36.91,37.4,207713092.0,2638391665.0,70545231.0
3,2021-11-30,38.46,39.02,37.44,37.59,233083928.0,2651486505.0,70537017.0
4,2021-11-29,38.09,38.65,37.22,38.48,185721961.0,2714404200.0,70540649.0
5,2021-11-28,37.6,38.08,35.48,38.06,189287537.0,2684810315.0,70541521.0
6,2021-11-27,37.12,38.51,37.04,37.58,174727471.0,2650556825.0,70531049.0
7,2021-11-26,41.17,41.29,36.49,36.98,277370877.0,2608763400.0,70545251.0
8,2021-11-25,39.21,41.53,38.88,39.51,210629925.0,2787039421.0,70540101.0
9,2021-11-24,40.29,40.69,38.36,39.54,220286657.0,2789004571.0,70536281.0
10,2021-11-23,40.27,40.77,39.39,40.29,211814244.0,2841926424.0,70536769.0
11,2021-11-22,41.67,41.72,39.68,40.24,222081643.0,2838229211.0,70532535.0
12,2021-11-21,42.1,42.83,41.38,41.68,201645568.0,2940183503.0,70541830.0
13,2021-11-20,41.55,42.34,40.45,42.05,190203024.0,2966216933.0,70540236.0
14,2021-11-19,39.85,41.77,39.37,41.54,206034530.0,2929845099.0,70530695.0
15,2021-11-18,43.29,43.6,38.69,39.88,267455217.0,2813414717.0,70547008.0
16,2021-11-17,42.9,43.48,41.49,43.28,267881800.0,3053262406.0,70546728.0
17,2021-11-16,47.16,47.16,41.02,42.9,360809946.0,3026408813.0,70545659.0
18,2021-11-15,48.54,49.19,47.05,47.06,268388999.0,3319643431.0,70540659.0
19,2021-11-14,49.17,49.54,47.23,48.54,248078976.0,3423608081.0,70531686.0
20,2021-11-13,47.41,49.84,46.72,49.21,266093431.0,3470903770.0,70532488.0
21,2021-11-12,48.66,49.01,45.75,47.38,311371346.0,3342297426.0,70542368.0
22,2021-11-11,48.29,50.1,47.28,48.7,351489753.0,3435485948.0,70543859.0
23,2021-11-10,52.48,53.1,45.62,48.4,534194999.0,3414268229.0,70542732.0
24,2021-11-09,50.51,53.42,50.12,52.48,649873856.0,3702103394.0,70543128.0
25,2021-11-08,46.33,50.78,45.95,50.56,510959423.0,3566591990.0,70541771.0
26,2021-11-07,45.09,46.42,44.79,46.25,246596220.0,3262084570.0,70531558.0
27,2021-11-06,45.25,45.65,43.05,45.03,266860963.0,3176574473.0,70543514.0
28,2021-11-05,46.47,46.47,44.81,45.28,264508107.0,3193671125.0,70531606.0
29,2021-11-04,47.02,47.99,45.14,46.47,298510929.0,3277951419.0,70539087.0
30,2021-11-03,46.39,47.52,44.82,47.01,373437201.0,3315837863.0,70534734.0
31,2021-11-02,45.21,46.61,44.87,46.4,323531284.0,3273140401.0,70541818.0
32,2021-11-01,44.67,47.81,42.29,45.2,463357089.0,3188098002.0,70533141.0
33,2021-10-31,42.56,45.9,42.42,44.65,453580915.0,3149593532.0,70539608.0
34,2021-10-30,43.16,43.32,41.36,42.47,234980876.0,2995830242.0,70539916.0
35,2021-10-29,41.36,43.17,41.08,43.17,246758733.0,3045490380.0,70546453.0
36,2021-10-28,39.28,41.98,39.25,41.4,312346641.0,2920021829.0,70531928.0
37,2021-10-27,44.53,45.39,38.17,39.27,383605192.0,2769899716.0,70534752.0
38,2021-10-26,44.55,45.41,44.03,44.55,270625019.0,3142768466.0,70544746.0
39,2021-10-25,43.82,44.99,43.56,44.54,228053737.0,3142128680.0,70546220.0
40,2021-10-24,44.77,45.16,42.8,43.86,209685544.0,3094029720.0,70543313.0
41,2021-10-23,44.41,45.19,43.77,44.77,202773369.0,3158240848.0,70543686.0
42,2021-10-22,45.0,45.99,43.68,44.4,267366570.0,3131744096.0,70534776.0
43,2021-10-21,45.5,47.32,44.09,44.94,331993708.0,3170283701.0,70544808.0
44,2021-10-20,42.96,45.92,42.61,45.46,283913187.0,3206346757.0,70531164.0
45,2021-10-19,42.93,43.69,42.54,42.97,219298499.0,3030918212.0,70535680.0
46,2021-10-18,43.26,43.6,42.13,42.93,216405864.0,3027909967.0,70531329.0
47,2021-10-17,44.43,44.78,41.8,43.25,220591880.0,3050466112.0,70531008.0
48,2021-10-16,44.7,45.52,44.06,44.46,213194993.0,3135821782.0,70531304.0
49,2021-10-15,44.84,45.67,43.46,44.64,298695508.0,3148683645.0,70535027.0
50,2021-10-14,44.81,45.91,44.4,44.83,237635799.0,3162249607.0,70538692.0
51,2021-10-13,44.26,44.92,42.97,44.83,244259193.0,3162401626.0,70542084.0
52,2021-10-12,45.26,45.26,42.17,44.3,268662043.0,3125021144.0,70542238.0
53,2021-10-11,45.44,47.06,44.12,45.29,239659736.0,3194895469.0,70543066.0
54,2021-10-10,48.71,48.71,45.31,45.54,252280077.0,3212016377.0,70531760.0
55,2021-10-09,46.65,49.81,46.3,48.5,383068446.0,3420783487.0,70531618.0
56,2021-10-08,46.02,47.87,45.43,46.65,283655632.0,3290427282.0,70534346.0
57,2021-10-07,46.37,47.38,45.05,46.03,288211235.0,3246760432.0,70535746.0
58,2021-10-06,46.81,48.06,43.69,46.44,412645424.0,3276093829.0,70544656.0
59,2021-10-05,43.01,47.88,42.86,46.83,463234959.0,3303324860.0,70538647.0
60,2021-10-04,44.46,44.93,41.73,42.95,271898030.0,3029596824.0,70537760.0
61,2021-10-03,42.37,45.94,41.46,44.42,373194503.0,3133437651.0,70541144.0
62,2021-10-02,42.36,43.53,41.72,42.39,258543051.0,2990164572.0,70539385.0
63,2021-10-01,39.22,42.43,38.9,42.36,306214529.0,2987955201.0,70537186.0
64,2021-09-30,37.12,39.31,36.93,39.21,268594355.0,2765624870.0,70533661.0
65,2021-09-29,35.99,38.97,35.67,37.15,333199520.0,2620594861.0,70540911.0
66,2021-09-28,37.51,38.16,35.82,35.97,231626397.0,2537268975.0,70538475.0
67,2021-09-27,38.82,39.98,37.53,37.56,245924989.0,2649542392.0,70541597.0
68,2021-09-26,39.07,39.79,35.97,38.73,302377870.0,2732106621.0,70542386.0
69,2021-09-25,39.8,40.5,38.25,39.06,253479291.0,2755188490.0,70537339.0
70,2021-09-24,43.92,44.09,37.86,39.85,347820664.0,2811160792.0,70543558.0
71,2021-09-23,43.04,44.26,41.81,43.92,295066028.0,3098045231.0,70538370.0
72,2021-09-22,37.47,43.16,36.7,43.04,367945097.0,3035796832.0,70534313.0
73,2021-09-21,41.55,42.2,36.91,37.49,387678600.0,2644378451.0,70535568.0
74,2021-09-20,48.2,48.24,41.04,41.32,559958158.0,2914970355.0,70546233.0
75,2021-09-19,49.64,50.3,47.46,48.16,275335112.0,3397403795.0,70544098.0
76,2021-09-18,48.73,50.68,48.13,49.63,288517876.0,3500939622.0,70540794.0
77,2021-09-17,50.67,51.2,48.19,48.69,305339139.0,3434282749.0,70533636.0
78,2021-09-16,52.56,53.06,49.32,50.66,350782396.0,3573847629.0,70545748.0
79,2021-09-15,51.83,52.83,50.98,52.61,358920251.0,3710897798.0,70535977.0
80,2021-09-14,48.47,52.02,47.98,51.84,596713102.0,3656955763.0,70543128.0
81,2021-09-13,51.6,51.7,46.15,48.45,489598350.0,3417846039.0,70543777.0
82,2021-09-12,49.09,51.87,47.73,51.59,381264798.0,3638866770.0,70534343.0
83,2021-09-11,48.09,50.12,47.39,49.04,352301731.0,3459518929.0,70544839.0
84,2021-09-10,50.59,52.98,46.89,48.08,589070238.0,3391404841.0,70536706.0
85,2021-09-09,48.58,52.32,48.36,50.58,547568149.0,3567593158.0,70533672.0
86,2021-09-08,49.76,51.36,44.5,49.02,788381058.0,3458025400.0,70543153.0
87,2021-09-07,63.56,64.25,44.18,49.72,1144825643.0,3507002784.0,70535051.0
88,2021-09-06,65.78,66.72,61.46,63.53,956386145.0,4481110976.0,70535352.0
89,2021-09-05,57.98,66.05,57.57,65.71,1128210607.0,4635314027.0,70541987.0
90,2021-09-04,57.2,58.77,57.01,58.02,510589807.0,4092549897.0,70536882.0
91,2021-09-03,55.44,59.2,54.13,57.21,633757077.0,4035317185.0,70535171.0
92,2021-09-02,55.19,56.91,54.42,55.44,477122945.0,3910672749.0,70538830.0
93,2021-09-01,52.14,55.41,50.31,55.36,540285644.0,3905146238.0,70540936.0
94,2021-08-31,51.55,54.14,51.09,52.18,414822468.0,3680626230.0,70537106.0
95,2021-08-30,54.54,54.58,51.25,51.46,382153293.0,3630079069.0,70541761.0
96,2021-08-29,54.59,57.03,53.87,54.5,433884075.0,3844422086.0,70539854.0
97,2021-08-28,55.52,56.08,53.49,54.54,384531227.0,3846953471.0,70534533.0
98,2021-08-27,51.49,55.75,49.65,55.43,568050556.0,3909905387.0,70537712.0
99,2021-08-26,56.37,58.68,51.18,51.49,562152932.0,3632362405.0,70545006.0
100,2021-08-25,55.64,57.15,52.59,56.34,629635604.0,3974245078.0,70540381.0
101,2021-08-24,60.96,62.9,55.1,55.55,726528531.0,3918340953.0,70537190.0
102,2021-08-23,55.58,61.83,55.13,60.95,916009626.0,4299576887.0,70542688.0
103,2021-08-22,55.45,56.92,53.72,55.66,373715476.0,3925911192.0,70533797.0
104,2021-08-21,56.57,57.22,55.05,55.36,388693746.0,3905346647.0,70544556.0
105,2021-08-20,54.3,56.63,54.07,56.54,477654749.0,3988085973.0,70535655.0
106,2021-08-19,51.65,54.42,49.21,54.32,442878056.0,3831379728.0,70533500.0
107,2021-08-18,51.85,53.4,49.1,51.76,465856530.0,3651025276.0,70537582.0
108,2021-08-17,56.4,57.99,51.51,51.85,524138490.0,3657439131.0,70538845.0
109,2021-08-16,58.92,60.12,55.74,56.6,653851985.0,3992210680.0,70533757.0
110,2021-08-15,55.84,59.76,52.86,58.94,648762756.0,4157709351.0,70541387.0
111,2021-08-14,55.36,56.63,52.89,55.8,701042455.0,3935842823.0,70534817.0
112,2021-08-13,48.65,55.9,48.1,55.61,839957953.0,3922721626.0,70539860.0
113,2021-08-12,48.79,52.78,46.43,48.57,611398878.0,3425772482.0,70532684.0
114,2021-08-11,46.74,50.93,46.74,48.87,596281473.0,3446908956.0,70532206.0
115,2021-08-10,46.54,47.59,44.6,46.7,475208340.0,3294201723.0,70539651.0
116,2021-08-09,45.08,46.91,43.54,46.62,421333510.0,3288430826.0,70536911.0
117,2021-08-08,46.94,48.11,43.97,45.1,471742574.0,3181043957.0,70533125.0
118,2021-08-07,44.46,48.18,44.08,46.87,603509959.0,3305931594.0,70534064.0
