,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-04,2.58,2.59,2.19,2.33,23218725.0,1305660891.0,560369481.0
1,2021-12-03,2.68,2.86,2.54,2.58,14884343.0,1443010931.0,559306562.0
2,2021-12-02,2.76,2.79,2.65,2.69,9823764.0,1504958199.0,559464014.0
3,2021-12-01,2.77,2.87,2.73,2.76,12100677.0,1548291727.0,560975263.0
4,2021-11-30,2.61,2.88,2.55,2.77,19720461.0,1550900214.0,559891774.0
5,2021-11-29,2.53,2.62,2.52,2.61,9861183.0,1461674580.0,560028574.0
6,2021-11-28,2.48,2.53,2.37,2.53,8476052.0,1418270893.0,560581380.0
7,2021-11-27,2.45,2.54,2.39,2.48,11526572.0,1390733287.0,560779551.0
8,2021-11-26,2.76,2.8,2.3,2.45,21550778.0,1370813437.0,559515688.0
9,2021-11-25,2.73,2.8,2.63,2.72,9889905.0,1523407686.0,560076355.0
10,2021-11-24,2.73,2.77,2.67,2.72,10621768.0,1521150217.0,559246403.0
11,2021-11-23,2.67,2.8,2.63,2.73,12007541.0,1529068257.0,560098262.0
12,2021-11-22,2.97,2.97,2.67,2.67,12873239.0,1497938821.0,561025775.0
13,2021-11-21,3.1,3.11,2.97,2.97,10683499.0,1662700680.0,559831878.0
14,2021-11-20,3.14,3.18,2.97,3.1,13956439.0,1735871032.0,559958397.0
15,2021-11-19,2.96,3.14,2.93,3.14,13927473.0,1757199591.0,559617704.0
16,2021-11-18,3.33,3.38,2.93,2.96,18353238.0,1658740698.0,560385370.0
17,2021-11-17,3.33,3.47,3.2,3.32,16136225.0,1861458209.0,560680183.0
18,2021-11-16,3.45,6.84,3.2,3.33,20331359.0,1863599179.0,559639393.0
19,2021-11-15,3.27,3.67,3.22,3.44,30706505.0,1928347866.0,560566240.0
20,2021-11-14,3.2,3.28,3.15,3.27,9990003.0,1829086385.0,559353634.0
21,2021-11-13,3.33,3.35,3.19,3.2,10240549.0,1792292693.0,560091466.0
22,2021-11-12,3.42,3.42,3.25,3.33,13984728.0,1863577934.0,559633013.0
23,2021-11-11,3.25,3.47,3.18,3.42,16468684.0,1914947239.0,559926093.0
24,2021-11-10,3.38,3.49,3.15,3.25,18814874.0,1820364097.0,560112029.0
25,2021-11-09,3.32,3.41,3.27,3.38,14248066.0,1893099414.0,560088584.0
26,2021-11-08,3.16,3.4,3.15,3.32,17096127.0,1861388404.0,560659157.0
27,2021-11-07,3.06,3.24,2.99,3.16,17297733.0,1768029300.0,559502943.0
28,2021-11-06,2.96,3.05,2.81,3.05,14681031.0,1708229992.0,560075407.0
29,2021-11-05,3.11,3.17,2.9,2.96,18716174.0,1656414047.0,559599340.0
30,2021-11-04,3.05,3.24,2.95,3.11,28056496.0,1741533149.0,559978504.0
31,2021-11-03,3.19,3.27,3.02,3.05,20030788.0,1707318662.0,559776610.0
32,2021-11-02,2.88,3.31,2.82,3.19,27748916.0,1789003623.0,560816182.0
33,2021-11-01,2.77,2.88,2.65,2.88,12965903.0,1610166066.0,559085439.0
34,2021-10-31,2.77,2.8,2.71,2.77,10330328.0,1550325859.0,559684425.0
35,2021-10-30,2.81,2.82,2.7,2.77,12007250.0,1549984815.0,559561305.0
36,2021-10-29,2.88,3.05,2.8,2.81,18877558.0,1571181316.0,559139258.0
37,2021-10-28,2.81,3.1,2.8,2.88,23395619.0,1611079561.0,559402625.0
38,2021-10-27,2.87,2.95,2.64,2.82,18854039.0,1576633734.0,559089976.0
39,2021-10-26,2.72,2.91,2.71,2.87,15723581.0,1606735483.0,559838147.0
40,2021-10-25,2.69,2.74,2.64,2.72,11485661.0,1523825663.0,560230023.0
41,2021-10-24,2.73,2.73,2.58,2.69,13990606.0,1504576818.0,559322237.0
42,2021-10-23,2.34,2.82,2.31,2.73,16825261.0,1529599845.0,560292983.0
43,2021-10-22,2.25,2.36,2.25,2.34,13426189.0,1312753206.0,561005643.0
44,2021-10-21,2.06,2.39,2.06,2.25,27324307.0,1258353263.0,559268116.0
