,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-06,0.6163,0.6581,0.5524,0.6296,3107448.0,45462300.0,72208227.0
1,2021-12-05,0.5161,0.6322,0.5085,0.6216,4414215.0,44874898.0,72192564.0
2,2021-12-04,0.6294,0.6355,0.444,0.516,2641675.0,37247752.0,72185565.0
3,2021-12-03,0.5929,0.6667,0.5858,0.6297,3028104.0,45452167.0,72180668.0
4,2021-12-02,0.5797,0.6379,0.5628,0.5934,3497244.0,42828766.0,72175203.0
5,2021-12-01,0.5516,0.6168,0.542,0.5799,2185089.0,41850097.0,72167782.0
6,2021-11-30,0.5643,0.5675,0.5393,0.5525,1680158.0,39863607.0,72151324.0
7,2021-11-29,0.5633,0.5758,0.5536,0.564,1729834.0,40689415.0,72144352.0
8,2021-11-28,0.5503,0.5929,0.5183,0.5625,2768573.0,40580118.0,72142432.0
9,2021-11-27,0.5228,0.5974,0.5213,0.5488,2653998.0,39585926.0,72131789.0
10,2021-11-26,0.6504,0.7575,0.5203,0.5212,4584030.0,37590323.0,72122645.0
11,2021-11-25,0.5395,0.6818,0.5364,0.5441,1244080.0,39237134.0,72113828.0
12,2021-11-24,0.5361,0.5401,0.5053,0.522,1601859.0,37638775.0,72104932.0
13,2021-11-23,0.531,0.5576,0.524,0.5364,1593756.0,38675156.0,72101334.0
14,2021-11-22,0.5817,0.5829,0.5261,0.5316,1313012.0,38323136.0,72090173.0
15,2021-11-21,0.572,0.5937,0.5609,0.581,1578440.0,41879468.0,72081700.0
16,2021-11-20,0.5562,0.6116,0.5483,0.5735,1523903.0,41339811.0,72083367.0
17,2021-11-19,0.5409,0.5682,0.5324,0.5564,1235863.0,40096225.0,72063668.0
18,2021-11-18,0.5841,0.5937,0.5273,0.5408,2837511.0,38972869.0,72065216.0
19,2021-11-17,0.6141,0.6304,0.5769,0.5839,2911435.0,42070197.0,72050345.0
20,2021-11-16,0.5864,0.6414,0.5248,0.6147,5921554.0,44287370.0,72047128.0
21,2021-11-15,0.6283,0.6331,0.5854,0.5874,3041164.0,42315974.0,72039451.0
22,2021-11-14,0.6091,0.649,0.6018,0.6282,2057494.0,45252234.0,72034756.0
23,2021-11-13,0.5991,0.6224,0.5945,0.6092,3687110.0,43873894.0,72018867.0
24,2021-11-12,0.5741,0.6223,0.5671,0.6,2375704.0,43206514.0,72010856.0
25,2021-11-11,0.5723,0.593,0.5693,0.573,1887869.0,41263412.0,72012935.0
26,2021-11-10,0.6216,0.6459,0.535,0.5716,1819171.0,41152933.0,71996033.0
27,2021-11-09,0.647,0.657,0.6185,0.6219,1414197.0,44773979.0,71995463.0
28,2021-11-08,0.6498,0.6648,0.6399,0.6471,1528982.0,46579613.0,71982093.0
29,2021-11-07,0.6516,0.6721,0.6448,0.6494,1411828.0,46740662.0,71975149.0
30,2021-11-06,0.6269,0.6669,0.6253,0.6511,1237137.0,46860524.0,71971316.0
31,2021-11-05,0.6323,0.6427,0.6192,0.6269,1423475.0,45108841.0,71955401.0
32,2021-11-04,0.6548,0.6599,0.6167,0.6326,1016652.0,45514026.0,71947559.0
33,2021-11-03,0.6394,0.663,0.6286,0.6547,1180367.0,47100726.0,71942456.0
34,2021-11-02,0.6434,0.6511,0.6321,0.6394,1910575.0,45995522.0,71935442.0
35,2021-11-01,0.651,0.6595,0.6329,0.6434,1289164.0,46279639.0,71929808.0
36,2021-10-31,0.678,0.7253,0.6496,0.6509,1924688.0,46814191.0,71922247.0
37,2021-10-30,0.65,0.7003,0.6444,0.6765,1144423.0,48644603.0,71906286.0
38,2021-10-29,0.6075,0.6572,0.6042,0.6515,1065211.0,46847787.0,71907577.0
39,2021-10-28,0.5961,0.625,0.5824,0.6074,1124034.0,43669720.0,71896147.0
40,2021-10-27,0.6605,0.6737,0.5965,0.5965,942192.0,42881512.0,71888536.0
41,2021-10-26,0.6685,0.6888,0.6443,0.6603,1396011.0,47459148.0,71875129.0
42,2021-10-25,0.6756,0.6863,0.654,0.6687,1151777.0,48062117.0,71873959.0
43,2021-10-24,0.7035,0.718,0.6513,0.6758,2074894.0,48567122.0,71866117.0
44,2021-10-23,0.6666,0.7069,0.655,0.7043,945634.0,50605054.0,71851560.0
45,2021-10-22,0.6728,0.7007,0.6557,0.6667,1059798.0,47899830.0,71846152.0
46,2021-10-21,0.6863,0.6954,0.6627,0.6729,1079111.0,48342396.0,71841872.0
47,2021-10-20,0.6627,0.7959,0.6511,0.687,2563659.0,49349379.0,71833157.0
48,2021-10-19,0.6206,0.6728,0.617,0.6626,1655987.0,47591952.0,71826067.0
49,2021-10-18,0.6368,0.642,0.6071,0.6206,1118901.0,44567426.0,71813448.0
50,2021-10-17,0.6569,0.6717,0.6157,0.6369,1474341.0,45735463.0,71809488.0
51,2021-10-16,0.6686,0.6765,0.6501,0.6569,1188011.0,47161104.0,71793429.0
52,2021-10-15,0.6552,0.6954,0.6459,0.6689,1617062.0,48022122.0,71792677.0
53,2021-10-14,0.6536,0.6751,0.6514,0.6553,1025160.0,47042482.0,71787703.0
54,2021-10-13,0.6259,0.6561,0.6131,0.6537,1465910.0,46921086.0,71777705.0
55,2021-10-12,0.6564,0.6814,0.6074,0.6261,1376615.0,44935436.0,71770381.0
56,2021-10-11,0.6441,0.667,0.6381,0.6562,1676778.0,47086461.0,71756264.0
57,2021-10-10,0.6688,0.7698,0.6416,0.6445,2063319.0,46244689.0,71752814.0
58,2021-10-09,0.6444,0.689,0.6417,0.6687,1551339.0,47972371.0,71739750.0
59,2021-10-08,0.6688,0.6946,0.6423,0.6442,1386945.0,46214305.0,71739063.0
60,2021-10-07,0.6722,0.6856,0.6579,0.6688,1638210.0,47966658.0,71720481.0
61,2021-10-06,0.6944,0.7389,0.6681,0.6726,1986851.0,48235257.0,71714625.0
62,2021-10-05,0.6637,0.7112,0.6564,0.6941,1498060.0,49772164.0,71707483.0
63,2021-10-04,0.6417,0.6678,0.6246,0.6637,1573129.0,47586443.0,71698723.0
64,2021-10-03,0.6398,0.7672,0.6275,0.6416,4879170.0,45998109.0,71692813.0
65,2021-10-02,0.6462,0.6594,0.6384,0.64,2205153.0,45879620.0,71686906.0
66,2021-10-01,0.6095,0.6547,0.6013,0.6465,1455978.0,46338171.0,71675438.0
67,2021-09-30,0.566,0.6126,0.5632,0.6101,1644834.0,43721922.0,71663533.0
68,2021-09-29,0.5989,0.6235,0.5554,0.5655,1497177.0,40526435.0,71664783.0
69,2021-09-28,0.6515,0.6595,0.598,0.598,1308422.0,42848749.0,71653426.0
70,2021-09-27,0.6812,0.7232,0.6508,0.6515,1008304.0,46674146.0,71641052.0
71,2021-09-26,0.6444,0.6913,0.613,0.6816,1755538.0,48827788.0,71637012.0
72,2021-09-25,0.6653,0.6918,0.6402,0.6443,2412502.0,46151817.0,71630943.0
73,2021-09-24,0.6541,0.7286,0.603,0.6654,3468409.0,47652202.0,71614370.0
74,2021-09-23,0.6284,0.6593,0.5978,0.6529,3191696.0,46754870.0,71611073.0
75,2021-09-22,0.5104,0.7911,0.5091,0.6286,1468584.0,45007025.0,71598830.0
76,2021-09-21,0.5527,0.5839,0.4974,0.5087,1370237.0,36421044.0,71596312.0
77,2021-09-20,0.6765,0.6767,0.5486,0.5532,1688655.0,39577393.0,71542648.0
78,2021-09-19,0.7094,0.7486,0.6706,0.6766,1541404.0,48410608.0,71549819.0
79,2021-09-18,0.6899,0.7226,0.6832,0.7089,1078885.0,50720936.0,71548788.0
80,2021-09-17,0.7172,0.7233,0.6764,0.6894,812808.0,49324347.0,71546775.0
81,2021-09-16,0.7235,0.7332,0.7015,0.7171,751392.0,51303496.0,71543014.0
82,2021-09-15,0.6904,0.7375,0.6887,0.7235,1635422.0,51760957.0,71542442.0
83,2021-09-14,0.6579,0.6956,0.6579,0.6902,1802327.0,49371495.0,71532157.0
84,2021-09-13,0.683,0.688,0.6281,0.6576,2083731.0,47035351.0,71525777.0
85,2021-09-12,0.6694,0.6988,0.6635,0.6831,1280231.0,48861597.0,71529200.0
86,2021-09-11,0.6608,0.6851,0.6521,0.6697,1413358.0,47895422.0,71517727.0
87,2021-09-10,0.6556,0.7402,0.6542,0.661,3883249.0,47272641.0,71516854.0
88,2021-09-09,0.6749,0.6917,0.6261,0.6561,3861821.0,46913074.0,71502932.0
89,2021-09-08,0.7026,0.71,0.6287,0.6889,1699105.0,49253652.0,71496083.0
90,2021-09-07,0.8903,0.9142,0.649,0.7028,3185218.0,50241528.0,71487660.0
91,2021-09-06,0.8378,0.9304,0.8304,0.8898,1695388.0,63606031.0,71483514.0
92,2021-09-05,0.8171,0.8414,0.8064,0.8377,1868830.0,59877357.0,71478282.0
93,2021-09-04,0.7883,0.8214,0.7815,0.8171,1379146.0,58394846.0,71465972.0
94,2021-09-03,0.7772,0.8081,0.7626,0.7892,1447085.0,56396822.0,71460747.0
95,2021-09-02,0.7859,0.8239,0.7764,0.7774,2123803.0,55544474.0,71449027.0
