,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-03,27.41,30.04,25.21,26.3,776738405.0,1578255598.0,60009718.0
1,2021-12-02,25.21,28.02,25.08,27.35,650113580.0,1640862341.0,59994966.0
2,2021-12-01,24.22,26.05,24.22,25.24,460190447.0,1514277988.0,59995165.0
3,2021-11-30,24.13,25.31,22.88,24.26,521813732.0,1455331054.0,59988914.0
4,2021-11-29,23.57,24.77,23.55,24.14,365628197.0,1448110685.0,59988015.0
5,2021-11-28,23.52,23.64,20.7,23.6,470805755.0,1415799430.0,59991501.0
6,2021-11-27,23.83,24.14,22.95,23.6,373143119.0,1415809309.0,59991919.0
7,2021-11-26,27.19,27.45,23.38,23.84,588911403.0,1430264536.0,59994317.0
8,2021-11-25,23.46,28.03,23.38,23.62,302894315.0,1417273139.0,60003096.0
9,2021-11-24,24.36,24.47,23.28,23.95,298513181.0,1437113996.0,60004759.0
10,2021-11-23,23.53,24.51,23.44,24.32,295106690.0,1459315240.0,60004738.0
11,2021-11-22,24.4,24.54,23.45,23.54,334764679.0,1412311757.0,59996251.0
12,2021-11-21,25.62,25.63,24.4,24.44,333381766.0,1466506314.0,60004350.0
13,2021-11-20,24.91,25.62,23.64,25.62,362532066.0,1536953841.0,59990391.0
14,2021-11-19,24.12,25.09,23.51,24.89,406717486.0,1493212400.0,59992462.0
15,2021-11-18,25.79,26.26,23.46,24.08,487027393.0,1444759893.0,59998334.0
16,2021-11-17,25.05,26.38,24.14,25.79,588296889.0,1547499293.0,60003850.0
17,2021-11-16,26.55,26.55,23.68,25.05,583699793.0,1503114383.0,60004566.0
18,2021-11-15,27.31,27.49,26.47,26.49,316120233.0,1589524075.0,60004683.0
19,2021-11-14,27.23,27.58,26.52,27.31,432370881.0,1638431347.0,59993824.0
20,2021-11-13,27.05,27.86,26.26,27.23,498257767.0,1633979486.0,60006591.0
21,2021-11-12,28.51,29.0,25.32,27.11,713800342.0,1626696628.0,60003564.0
22,2021-11-11,28.18,29.8,27.74,28.54,554580924.0,1712427829.0,60000975.0
23,2021-11-10,30.32,30.94,27.36,28.19,824919138.0,1691140115.0,59990780.0
24,2021-11-09,31.18,32.33,29.17,30.31,863359920.0,1818631124.0,60001026.0
25,2021-11-08,27.99,32.12,27.2,31.27,820415172.0,1876303946.0,60003324.0
26,2021-11-07,25.88,30.27,25.04,28.13,668698062.0,1687807080.0,60000251.0
27,2021-11-06,24.49,26.11,23.49,25.88,521307128.0,1552928440.0,60004962.0
28,2021-11-05,22.18,25.02,21.72,24.5,443088426.0,1469937909.0,59997465.0
29,2021-11-04,22.53,23.38,21.4,22.17,251771194.0,1330272860.0,60003286.0
30,2021-11-03,22.36,22.82,21.44,22.52,274809323.0,1351368133.0,60007465.0
31,2021-11-02,22.77,22.97,21.61,22.36,301859357.0,1341614959.0,60000669.0
32,2021-11-01,21.57,22.87,20.58,22.77,484411092.0,1366133434.0,59997076.0
33,2021-10-31,21.03,21.59,20.23,21.58,422010881.0,1294859233.0,60002744.0
34,2021-10-30,21.7,21.82,20.59,21.03,345093162.0,1261661609.0,59993419.0
35,2021-10-29,22.03,23.39,21.5,21.7,530034610.0,1302042471.0,60001957.0
36,2021-10-28,21.67,23.37,21.4,22.04,577210807.0,1322212396.0,59991488.0
37,2021-10-27,24.18,24.38,21.24,21.67,861871078.0,1300260053.0,60002771.0
38,2021-10-26,26.09,26.27,24.03,24.2,646759729.0,1451870018.0,59994628.0
39,2021-10-25,25.82,27.38,25.31,26.1,630724415.0,1566296383.0,60011355.0
40,2021-10-24,27.5,27.5,25.11,25.84,717748366.0,1550141238.0,59989985.0
41,2021-10-23,28.68,29.08,26.48,27.4,1021950776.0,1643719232.0,59989752.0
42,2021-10-22,24.12,28.88,23.35,28.7,1439820772.0,1721788623.0,59992634.0
43,2021-10-21,25.78,26.01,22.46,24.11,937608791.0,1446317920.0,59988300.0
44,2021-10-20,19.64,26.42,19.6,25.81,1191317502.0,1548537253.0,59997568.0
45,2021-10-19,16.28,19.74,16.18,19.62,610893942.0,1177238550.0,60001964.0
46,2021-10-18,16.03,16.47,15.96,16.29,165830144.0,977192923.0,59987288.0
47,2021-10-17,16.03,16.32,15.89,16.02,135075659.0,961275832.0,60004733.0
48,2021-10-16,16.71,16.8,15.96,16.04,185670064.0,962247391.0,59990485.0
49,2021-10-15,16.24,16.8,15.99,16.7,271471252.0,1002098328.0,60005887.0
50,2021-10-14,16.2,16.5,15.91,16.24,212233140.0,974238011.0,59990025.0
51,2021-10-13,15.99,16.97,14.53,16.19,487482716.0,971255229.0,59991057.0
52,2021-10-12,16.23,16.23,15.63,15.98,227356234.0,958961272.0,60010092.0
53,2021-10-11,16.48,17.47,15.37,16.22,384343392.0,973445881.0,60015159.0
54,2021-10-10,17.49,17.67,16.48,16.51,274119196.0,990512256.0,59994685.0
55,2021-10-09,17.91,18.05,17.42,17.49,279373025.0,1049375768.0,59998614.0
56,2021-10-08,17.65,18.23,17.34,17.9,288467261.0,1074204095.0,60011401.0
57,2021-10-07,17.06,18.45,16.67,17.61,445376794.0,1056384237.0,59987747.0
58,2021-10-06,17.85,17.93,16.38,17.04,366201418.0,1022247134.0,59991028.0
59,2021-10-05,18.01,18.26,17.34,17.85,360723092.0,1070975844.0,59998646.0
60,2021-10-04,18.26,18.26,17.21,18.06,397782448.0,1083659057.0,60003270.0
61,2021-10-03,18.12,18.35,17.79,18.24,302569291.0,1094695918.0,60016223.0
62,2021-10-02,17.44,18.68,17.05,18.14,485321247.0,1088138313.0,59985574.0
63,2021-10-01,15.87,17.55,15.59,17.45,465961999.0,1046736718.0,59984912.0
64,2021-09-30,16.35,16.7,15.31,15.86,420323311.0,951739826.0,60008816.0
65,2021-09-29,15.67,16.85,15.32,16.34,519347736.0,980328538.0,59995626.0
66,2021-09-28,14.6,17.48,14.0,15.67,770771578.0,940230814.0,60001966.0
67,2021-09-27,12.73,15.32,12.6,14.61,761834005.0,876790377.0,60013030.0
68,2021-09-26,13.05,14.77,9.56,12.74,917906090.0,764326371.0,59994220.0
69,2021-09-25,14.05,14.14,12.24,13.06,406742793.0,783545103.0,59995796.0
70,2021-09-24,17.23,17.25,13.42,14.05,447866259.0,842931133.0,59995098.0
71,2021-09-23,16.9,17.42,16.73,17.23,251504788.0,1033564111.0,59986309.0
72,2021-09-22,16.31,17.1,16.07,16.92,313855527.0,1015266202.0,60003912.0
73,2021-09-21,16.79,17.32,16.15,16.32,326016568.0,979074202.0,59992291.0
74,2021-09-20,18.41,18.43,16.54,16.78,329042461.0,1006991881.0,60011435.0
75,2021-09-19,18.87,18.88,18.24,18.41,164500646.0,1104863646.0,60014320.0
76,2021-09-18,18.52,19.22,18.46,18.85,182396136.0,1130965216.0,59998154.0
77,2021-09-17,18.73,18.96,18.33,18.52,205354711.0,1110922885.0,59985036.0
78,2021-09-16,19.25,19.41,18.49,18.73,223204123.0,1123857498.0,60003069.0
79,2021-09-15,18.66,19.27,18.41,19.23,199583250.0,1153845915.0,60002387.0
80,2021-09-14,18.1,18.67,17.87,18.66,210632508.0,1119636879.0,60001976.0
81,2021-09-13,18.75,19.01,17.5,18.1,379827292.0,1085974097.0,59998568.0
82,2021-09-12,18.16,18.86,17.92,18.75,223646390.0,1124949733.0,59997319.0
83,2021-09-11,17.99,18.52,17.94,18.15,211256692.0,1088964379.0,59998037.0
84,2021-09-10,18.59,18.93,17.82,17.98,257344753.0,1078904412.0,60005807.0
85,2021-09-09,18.76,19.23,18.56,18.58,277214391.0,1114584531.0,59988403.0
86,2021-09-08,19.29,19.62,17.58,18.89,436008483.0,1133479014.0,60004182.0
87,2021-09-07,23.16,23.2,18.2,19.27,566502880.0,1156451956.0,60013075.0
88,2021-09-06,23.03,23.91,22.69,23.14,336876126.0,1388193692.0,59991084.0
89,2021-09-05,22.57,23.49,22.49,23.02,341244540.0,1381248342.0,60002100.0
90,2021-09-04,22.28,23.31,21.85,22.56,370329582.0,1353616391.0,60000726.0
91,2021-09-03,21.77,22.54,21.28,22.29,328555580.0,1337614331.0,60009615.0
92,2021-09-02,22.58,22.85,21.19,21.77,350628360.0,1306373938.0,60007989.0
93,2021-09-01,20.41,23.42,19.96,22.61,243883466.0,1356459113.0,59993768.0
94,2021-08-31,20.33,20.63,19.47,20.42,148963931.0,1225388752.0,60009243.0
95,2021-08-30,20.29,20.54,20.06,20.31,109281311.0,1218497577.0,59994957.0
96,2021-08-29,20.5,20.8,20.13,20.29,116768247.0,1217444996.0,60002217.0
97,2021-08-28,20.88,20.96,20.37,20.5,114072304.0,1229869140.0,59993616.0
98,2021-08-27,20.24,20.99,20.03,20.87,144854025.0,1252096181.0,59995025.0
99,2021-08-26,21.43,21.78,20.08,20.27,304556875.0,1215956495.0,59987986.0
100,2021-08-25,20.98,21.61,20.51,21.41,350849772.0,1284487964.0,59994767.0
101,2021-08-24,21.95,21.97,20.91,20.96,384701950.0,1257380228.0,59989514.0
102,2021-08-23,21.32,22.21,21.29,21.93,381421065.0,1315520232.0,59987242.0
103,2021-08-22,21.35,21.81,21.02,21.35,354855758.0,1281101568.0,60004757.0
104,2021-08-21,22.42,22.45,21.35,21.35,367160285.0,1281009507.0,60000445.0
105,2021-08-20,21.71,22.49,21.55,22.42,428392496.0,1345483146.0,60012629.0
106,2021-08-19,20.67,22.21,20.08,21.71,505175268.0,1302749075.0,60006866.0
107,2021-08-18,20.71,21.1,20.12,20.69,460226499.0,1241618610.0,60010565.0
108,2021-08-17,22.2,22.51,20.64,20.73,474567120.0,1243832547.0,60001570.0
109,2021-08-16,22.44,22.98,22.05,22.22,438537925.0,1333342630.0,60006418.0
110,2021-08-15,22.55,23.16,21.72,22.43,522239439.0,1345846101.0,60002055.0
111,2021-08-14,23.33,23.53,22.28,22.55,430762890.0,1353079744.0,60003536.0
112,2021-08-13,22.9,23.58,22.77,23.32,439434991.0,1399405333.0,60008805.0
113,2021-08-12,23.54,23.99,22.19,22.9,671474455.0,1373948639.0,59997757.0
114,2021-08-11,23.85,24.33,23.49,23.55,643189160.0,1413200315.0,60008505.0
115,2021-08-10,24.37,24.45,23.36,23.83,735538113.0,1429899630.0,60004180.0
116,2021-08-09,22.35,24.5,21.61,24.4,971841407.0,1463776500.0,59990840.0
117,2021-08-08,24.96,25.05,22.23,22.34,1026665325.0,1340512870.0,60005052.0
118,2021-08-07,21.42,25.07,21.39,24.97,788508349.0,1498408988.0,60008369.0
119,2021-08-06,20.45,21.57,20.07,21.5,577732987.0,1289718175.0,59986891.0
120,2021-08-05,18.7,20.95,18.25,20.45,640805767.0,1226746116.0,59987585.0
121,2021-08-04,17.44,19.04,17.17,18.71,493888415.0,1122322426.0,59985164.0
122,2021-08-03,19.03,19.21,17.12,17.43,521825442.0,1045998256.0,60011374.0
123,2021-08-02,19.38,19.41,18.33,19.05,491674037.0,1143106684.0,60005600.0
124,2021-08-01,19.42,20.64,19.21,19.4,587966414.0,1164060552.0,60003121.0
125,2021-07-31,18.67,19.88,18.13,19.44,378848761.0,1166498489.0,60005066.0
126,2021-07-30,18.22,19.04,17.86,18.68,466455819.0,1120879027.0,60004230.0
