,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-06,0.3034,0.4422,0.2703,0.3918,2395221.0,31525488.0,80463215.0
1,2021-12-05,0.3381,0.3466,0.3001,0.3034,434912.0,24407096.0,80445273.0
2,2021-12-04,0.3696,0.3754,0.3171,0.3387,1417230.0,27251708.0,80459722.0
3,2021-12-03,0.4052,0.4077,0.3638,0.3697,819562.0,29745477.0,80458417.0
4,2021-12-02,0.381,0.4175,0.3803,0.405,909994.0,32580864.0,80446577.0
5,2021-12-01,0.408,0.4274,0.3757,0.3811,1213862.0,30659017.0,80448745.0
6,2021-11-30,0.4693,0.4767,0.3903,0.4084,1485998.0,32858027.0,80455501.0
7,2021-11-29,0.4003,0.4744,0.3994,0.4734,1210832.0,38083902.0,80447617.0
8,2021-11-28,0.4082,0.4124,0.3764,0.4003,877158.0,32209898.0,80464396.0
9,2021-11-27,0.4003,0.4383,0.3849,0.4079,1237759.0,32817096.0,80453777.0
10,2021-11-26,0.4555,0.4728,0.38,0.4011,1531517.0,32269703.0,80453011.0
11,2021-11-25,0.4684,0.4935,0.4311,0.437,1320759.0,35155471.0,80447302.0
12,2021-11-24,0.5291,0.5369,0.4533,0.5136,1868457.0,41320876.0,80453419.0
13,2021-11-23,0.524,0.5596,0.5081,0.5292,2572714.0,42576093.0,80453690.0
14,2021-11-22,0.4012,0.5935,0.3903,0.5213,5353660.0,41945332.0,80462942.0
15,2021-11-21,0.3825,0.4045,0.3798,0.4014,945995.0,32292257.0,80449070.0
16,2021-11-20,0.4096,0.4185,0.3802,0.3823,1302387.0,30759447.0,80458924.0
17,2021-11-19,0.4141,0.4175,0.3803,0.4096,1582332.0,32953816.0,80453652.0
18,2021-11-18,0.4066,0.4435,0.4015,0.4156,2383848.0,33439545.0,80460887.0
19,2021-11-17,0.4437,0.4734,0.4035,0.4074,3042591.0,32775117.0,80449477.0
20,2021-11-16,0.4659,0.9677,0.3905,0.4464,6038584.0,35914510.0,80453651.0
21,2021-11-15,0.4038,0.5017,0.3472,0.4711,3810773.0,37905363.0,80461394.0
22,2021-11-14,0.4444,0.447,0.3736,0.4048,2351329.0,32571103.0,80462210.0
23,2021-11-13,0.3209,0.4961,0.3209,0.4448,7941355.0,35789090.0,80461083.0
24,2021-11-12,0.271,0.3551,0.2702,0.322,4854818.0,25908547.0,80461326.0
25,2021-11-11,0.2402,0.2767,0.2214,0.2708,1766230.0,21785760.0,80449630.0
26,2021-11-10,0.2098,0.2619,0.1706,0.2376,1433383.0,19115459.0,80452268.0
