,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-06,0.6335,0.6335,0.5735,0.5973,139897.0,33571390.0,56205240.0
1,2021-12-05,0.6424,0.6483,0.6164,0.6338,97094.0,35612892.0,56189479.0
2,2021-12-04,0.71,0.7128,0.5601,0.6437,82325.0,36164924.0,56182886.0
3,2021-12-03,0.6752,0.7284,0.6583,0.71,48185.0,39875531.0,56162719.0
4,2021-12-02,0.6621,0.6835,0.6594,0.6749,69809.0,37895691.0,56150082.0
5,2021-12-01,0.6544,0.6755,0.6322,0.6622,68154.0,37173625.0,56136552.0
6,2021-11-30,0.6605,0.6733,0.6293,0.6546,50591.0,36737772.0,56122474.0
7,2021-11-29,0.6664,0.6702,0.6483,0.6606,43432.0,37070725.0,56116749.0
8,2021-11-28,0.6538,0.6702,0.6338,0.6644,118688.0,37276380.0,56105328.0
9,2021-11-27,0.6703,0.7193,0.6514,0.6539,53926.0,36678320.0,56091634.0
10,2021-11-26,0.7132,0.7191,0.6358,0.6698,63868.0,37553470.0,56066691.0
11,2021-11-25,0.6828,0.7197,0.6768,0.6917,66514.0,38768716.0,56048454.0
12,2021-11-24,0.7398,0.7453,0.674,0.7173,68783.0,40194753.0,56036181.0
13,2021-11-23,0.7111,0.7544,0.6988,0.74,70584.0,41466906.0,56036359.0
14,2021-11-22,0.8155,0.8156,0.7064,0.7111,87822.0,39836815.0,56021396.0
15,2021-11-21,0.8412,0.8522,0.7985,0.7989,58156.0,44748261.0,56012343.0
16,2021-11-20,0.8556,0.8779,0.8046,0.8408,73304.0,47080575.0,55994975.0
17,2021-11-19,0.8139,0.864,0.8054,0.8557,49433.0,47899970.0,55977527.0
18,2021-11-18,0.9055,0.9186,0.8039,0.8136,71522.0,45534021.0,55966102.0
19,2021-11-17,0.8377,0.9411,0.7782,0.9055,94465.0,50662795.0,55950077.0
20,2021-11-16,0.8973,0.8976,0.8039,0.8383,81736.0,46893652.0,55938986.0
21,2021-11-15,1.0,1.04,0.888,0.8963,93064.0,50131220.0,55931295.0
22,2021-11-14,1.09,1.15,0.9941,1.0,80812.0,56156173.0,56156173.0
23,2021-11-13,1.06,1.1,1.03,1.09,83671.0,60825174.0,55802911.0
24,2021-11-12,1.18,1.19,1.05,1.06,156836.0,59406735.0,56044089.0
25,2021-11-11,0.9086,1.25,0.8967,1.18,292793.0,65982614.0,55917469.0
26,2021-11-10,0.8795,0.9921,0.8629,0.9084,82369.0,50744072.0,55860933.0
27,2021-11-09,0.9167,0.9553,0.8574,0.8779,96366.0,49027384.0,55846205.0
28,2021-11-08,0.9203,0.9553,0.8309,0.9169,146509.0,51197368.0,55837461.0
29,2021-11-07,0.8993,0.9407,0.8719,0.9199,132209.0,51351835.0,55823279.0
30,2021-11-06,0.7853,0.9374,0.7818,0.8992,185733.0,50186274.0,55812137.0
31,2021-11-05,0.707,0.828,0.6991,0.7831,177777.0,43689716.0,55790724.0
32,2021-11-04,0.6678,0.7322,0.6428,0.7072,92279.0,39447870.0,55780359.0
33,2021-11-03,0.6682,0.6844,0.6443,0.6677,69704.0,37234768.0,55765715.0
34,2021-11-02,0.6202,0.6829,0.6202,0.6713,60239.0,37429691.0,55757025.0
35,2021-11-01,0.6282,0.6366,0.6126,0.6199,25226.0,34554062.0,55741348.0
36,2021-10-31,0.64,0.6451,0.6189,0.6279,30348.0,34992575.0,55729534.0
