,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-06,1.59,1.59,1.47,1.54,1409151.0,98699427.0,64090537.0
1,2021-12-05,1.58,1.61,1.55,1.59,894218.0,101915671.0,64097906.0
2,2021-12-04,1.69,1.69,1.52,1.58,1584899.0,101811073.0,64437387.0
3,2021-12-03,1.77,1.83,1.66,1.69,964267.0,108326025.0,64098239.0
4,2021-12-02,1.83,1.83,1.69,1.77,1757569.0,113870926.0,64333856.0
5,2021-12-01,1.88,1.88,1.48,1.83,5905954.0,117427509.0,64168037.0
6,2021-11-30,1.92,1.94,1.87,1.88,962615.0,118364145.0,62959651.0
7,2021-11-29,1.91,1.95,1.91,1.92,692595.0,121057109.0,63050577.0
8,2021-11-28,1.88,1.92,1.83,1.91,1100926.0,120485431.0,63081377.0
9,2021-11-27,1.88,1.9,1.88,1.88,502971.0,118364694.0,62959943.0
10,2021-11-26,2.01,2.01,1.86,1.88,1199112.0,118600200.0,63085212.0
11,2021-11-25,2.0,2.03,1.99,2.0,829382.0,125788169.0,62894084.0
12,2021-11-24,2.06,2.07,1.99,2.04,749423.0,128131605.0,62809610.0
13,2021-11-23,2.05,2.07,2.02,2.06,666521.0,129921208.0,63068547.0
14,2021-11-22,2.08,2.08,2.01,2.05,733053.0,128807684.0,62833016.0
15,2021-11-21,2.07,2.1,2.02,2.08,629257.0,130849657.0,62908488.0
16,2021-11-20,2.05,2.07,2.02,2.07,621914.0,130318630.0,62955859.0
17,2021-11-19,1.95,2.05,1.94,2.05,710206.0,128854258.0,62855735.0
18,2021-11-18,2.07,2.09,1.93,1.95,1086446.0,123036346.0,63095562.0
19,2021-11-17,2.07,2.09,2.03,2.07,753854.0,130638377.0,63110327.0
20,2021-11-16,2.18,2.3,2.05,2.07,1077147.0,130646884.0,63114436.0
21,2021-11-15,2.19,2.23,2.17,2.18,490072.0,137235061.0,62951862.0
22,2021-11-14,2.19,2.2,2.17,2.19,541060.0,138097078.0,63058026.0
23,2021-11-13,2.18,2.19,2.16,2.19,550030.0,138094963.0,63057060.0
24,2021-11-12,2.21,2.22,2.15,2.18,835278.0,137190440.0,62931394.0
25,2021-11-11,2.2,2.24,2.19,2.21,695416.0,139217003.0,62994119.0
26,2021-11-10,2.32,2.33,2.17,2.2,1306779.0,138720650.0,63054840.0
27,2021-11-09,2.38,2.39,2.32,2.32,1248043.0,146486985.0,63140941.0
28,2021-11-08,2.34,2.38,2.32,2.38,1682259.0,149993015.0,63022275.0
29,2021-11-07,2.37,2.37,2.32,2.34,1066072.0,147473841.0,63023008.0
30,2021-11-06,2.28,2.37,2.28,2.37,1036049.0,149180144.0,62945208.0
31,2021-11-05,2.37,2.37,2.27,2.28,1021144.0,143955639.0,63138438.0
32,2021-11-04,2.38,2.4,2.33,2.37,1372027.0,149116002.0,62918144.0
33,2021-11-03,2.24,2.38,2.23,2.38,1638910.0,149836581.0,62956546.0
34,2021-11-02,2.17,2.24,2.16,2.24,980442.0,141059230.0,62972870.0
35,2021-11-01,2.16,2.19,2.14,2.17,713989.0,136779315.0,63031942.0
36,2021-10-31,2.14,2.17,2.1,2.16,860180.0,136096510.0,63007643.0
37,2021-10-30,2.18,2.19,2.13,2.14,779652.0,134915281.0,63044523.0
38,2021-10-29,2.16,2.21,2.15,2.18,824278.0,137602318.0,63120329.0
39,2021-10-28,2.1,2.18,2.08,2.16,716595.0,135759377.0,62851563.0
40,2021-10-27,2.2,2.23,2.1,2.1,1079989.0,132348665.0,63023173.0
41,2021-10-26,2.25,2.26,2.2,2.2,880091.0,138893645.0,63133474.0
42,2021-10-25,2.21,2.28,2.2,2.25,1094133.0,142016475.0,63118433.0
43,2021-10-24,2.23,2.24,2.13,2.21,883951.0,139024969.0,62907225.0
44,2021-10-23,2.24,2.27,2.22,2.23,648668.0,140669603.0,63080539.0
45,2021-10-22,2.23,2.32,2.23,2.24,1060485.0,141260598.0,63062766.0
46,2021-10-21,2.21,2.28,2.19,2.23,1467057.0,140309083.0,62918871.0
47,2021-10-20,2.14,2.21,2.12,2.21,883552.0,139059366.0,62922790.0
48,2021-10-19,2.13,2.15,2.12,2.14,669785.0,134658272.0,62924426.0
49,2021-10-18,2.15,2.17,2.11,2.12,632065.0,133748951.0,63089127.0
50,2021-10-17,2.15,2.19,2.12,2.15,541026.0,135342123.0,62949824.0
51,2021-10-16,2.21,2.21,2.15,2.15,873375.0,135481579.0,63014687.0
