,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-06,1.06,1.19,0.9411,1.19,6937456.0,78951033.0,66345405.0
1,2021-12-05,1.18,1.19,1.03,1.06,5190142.0,70186217.0,66213412.0
2,2021-12-04,1.38,1.38,1.09,1.18,5076581.0,77745945.0,65886394.0
3,2021-12-03,1.39,1.45,1.32,1.38,4645240.0,90742417.0,65755374.0
4,2021-12-02,1.57,1.57,1.39,1.39,3489754.0,91303294.0,65685823.0
5,2021-12-01,1.66,1.73,1.55,1.57,3609831.0,102955259.0,65576598.0
6,2021-11-30,1.66,1.7,1.59,1.66,4250769.0,108567393.0,65402043.0
7,2021-11-29,1.59,1.66,1.55,1.66,3124318.0,108474862.0,65346302.0
8,2021-11-28,1.64,1.64,1.46,1.59,3663769.0,103155002.0,64877359.0
9,2021-11-27,1.57,1.72,1.56,1.64,3572762.0,106224495.0,64771033.0
10,2021-11-26,1.83,1.83,1.56,1.57,5848482.0,101684063.0,64766919.0
11,2021-11-25,1.79,1.98,1.78,1.89,9480098.0,121697167.0,64390035.0
12,2021-11-24,2.04,2.05,1.75,1.99,7456109.0,127735023.0,64188453.0
13,2021-11-23,2.35,2.36,2.03,2.04,8127779.0,131146977.0,64287733.0
14,2021-11-22,2.24,2.55,2.22,2.35,7874981.0,150637374.0,64101010.0
15,2021-11-21,2.25,2.42,2.21,2.24,9272550.0,138776758.0,61953909.0
16,2021-11-20,2.17,2.41,2.17,2.25,8951001.0,138606348.0,61602821.0
17,2021-11-19,2.0,2.2,1.92,2.17,4061802.0,133670191.0,61599166.0
18,2021-11-18,2.27,2.31,1.89,2.0,6596237.0,122580914.0,61290457.0
19,2021-11-17,2.18,2.39,2.06,2.27,6539609.0,138565819.0,61042211.0
20,2021-11-16,2.09,3.02,1.89,2.19,8178548.0,133388984.0,60908211.0
21,2021-11-15,1.97,2.22,1.97,2.1,9346815.0,127472799.0,60701332.0
22,2021-11-14,1.97,2.02,1.84,1.97,4821050.0,119606066.0,60713739.0
23,2021-11-13,1.74,1.99,1.74,1.97,3090132.0,118868178.0,60339176.0
24,2021-11-12,1.84,1.88,1.68,1.74,2831990.0,104768802.0,60211955.0
25,2021-11-11,1.77,1.87,1.76,1.84,2775842.0,110659540.0,60141054.0
26,2021-11-10,1.9,2.03,1.71,1.76,4496342.0,105679569.0,60045209.0
27,2021-11-09,1.96,1.97,1.86,1.9,3800071.0,113502153.0,59737975.0
28,2021-11-08,1.88,2.14,1.8,1.96,6089735.0,116684881.0,59533102.0
29,2021-11-07,1.63,2.01,1.63,1.87,5762660.0,111150795.0,59438927.0
30,2021-11-06,1.59,1.66,1.5,1.63,3233462.0,96562738.0,59240943.0
31,2021-11-05,1.68,1.7,1.55,1.59,3195680.0,94021708.0,59133149.0
32,2021-11-04,1.48,1.71,1.48,1.68,5358860.0,98626491.0,58706244.0
33,2021-11-03,1.32,1.58,1.31,1.48,4427598.0,86914439.0,58725972.0
34,2021-11-02,1.31,1.34,1.28,1.32,1865315.0,28304620.0,21442893.0
35,2021-11-01,1.3,1.39,1.26,1.31,1481033.0,27965008.0,21347334.0
36,2021-10-31,1.25,1.3,1.21,1.3,1678455.0,27757123.0,21351633.0
37,2021-10-30,1.34,1.34,1.24,1.25,1696493.0,26765932.0,21412745.0
38,2021-10-29,1.31,1.35,1.29,1.34,1978143.0,28635090.0,21369470.0
39,2021-10-28,1.31,1.33,1.27,1.31,2570006.0,28065140.0,21423770.0
