,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-03,2.13,2.4,2.08,2.27,4686886096.0,15925390809.0,7015590664.0
1,2021-12-02,2.01,2.2,1.95,2.13,3679081051.0,14937144388.0,7012743844.0
2,2021-12-01,1.78,2.1,1.78,2.01,2527343019.0,14101630437.0,7015736535.0
3,2021-11-30,1.82,1.87,1.7,1.79,1429741637.0,12536171349.0,7003447681.0
4,2021-11-29,1.65,1.83,1.63,1.82,1112618280.0,12764194320.0,7013293582.0
5,2021-11-28,1.62,1.67,1.51,1.65,934302637.0,11598699396.0,7029514785.0
6,2021-11-27,1.64,1.73,1.59,1.61,924455422.0,11333279218.0,7039303862.0
7,2021-11-26,1.93,1.97,1.6,1.63,1791674309.0,11458412814.0,7029701112.0
8,2021-11-25,1.69,1.93,1.67,1.79,1498060646.0,12450073104.0,6955348102.0
9,2021-11-24,1.75,1.83,1.66,1.68,1186647404.0,11705973418.0,6967841320.0
10,2021-11-23,1.56,1.76,1.55,1.75,1142625090.0,12214066773.0,6979466727.0
11,2021-11-22,1.6,1.62,1.53,1.56,729095002.0,10844494703.0,6951599168.0
12,2021-11-21,1.67,1.67,1.6,1.6,587625385.0,11150616191.0,6969135119.0
13,2021-11-20,1.62,1.68,1.56,1.66,755911362.0,11584058859.0,6978348710.0
14,2021-11-19,1.49,1.63,1.48,1.62,816043046.0,11233350337.0,6934166874.0
15,2021-11-18,1.64,1.68,1.45,1.5,1037256554.0,10402175519.0,6934783679.0
16,2021-11-17,1.56,1.67,1.5,1.63,1120693388.0,11349794393.0,6963064044.0
17,2021-11-16,1.7,1.7,1.47,1.56,1289977777.0,10851610256.0,6956160420.0
18,2021-11-15,1.73,1.77,1.69,1.69,671140082.0,11745453803.0,6949972664.0
19,2021-11-14,1.75,1.77,1.69,1.73,622632118.0,12008894893.0,6941557741.0
20,2021-11-13,1.72,1.77,1.7,1.75,650997876.0,12113726084.0,6922129190.0
21,2021-11-12,1.76,1.78,1.64,1.72,879043211.0,11843288426.0,6885632805.0
22,2021-11-11,1.7,1.79,1.67,1.76,975172367.0,12093133397.0,6871098521.0
23,2021-11-10,1.77,1.89,1.55,1.71,1617335024.0,11722788455.0,6855431845.0
24,2021-11-09,1.89,1.9,1.76,1.78,1280583757.0,12191703489.0,6849271623.0
25,2021-11-08,1.89,1.94,1.87,1.89,1041094531.0,12978615206.0,6866992172.0
26,2021-11-07,1.89,1.91,1.85,1.88,647295001.0,12853999197.0,6837233615.0
27,2021-11-06,1.9,1.93,1.81,1.88,732369721.0,12859280456.0,6840042795.0
28,2021-11-05,1.92,1.95,1.87,1.9,816606444.0,12938153938.0,6809554704.0
29,2021-11-04,2.04,2.04,1.87,1.92,1274036123.0,13044145345.0,6793825700.0
30,2021-11-03,1.94,2.15,1.94,2.03,2039111745.0,13844038950.0,6819723620.0
31,2021-11-02,1.91,1.97,1.87,1.94,1218148029.0,13143419747.0,6774958632.0
32,2021-11-01,1.94,1.97,1.84,1.9,1201666926.0,12915427641.0,6797593495.0
33,2021-10-31,1.87,1.98,1.8,1.94,1537180900.0,13126444169.0,6766208334.0
34,2021-10-30,2.02,2.03,1.83,1.87,1433364582.0,12672655949.0,6776821363.0
35,2021-10-29,2.14,2.22,1.92,2.02,2750490936.0,13706915331.0,6785601649.0
36,2021-10-28,1.76,2.18,1.76,2.13,3884078138.0,14439135355.0,6778936786.0
