,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-06,1.26,1.27,0.981,1.21,190679.0,85667088.0,70799246.0
1,2021-12-05,1.35,1.38,1.24,1.26,39392.0,89397480.0,70950380.0
2,2021-12-04,1.47,1.5,1.1,1.35,162911.0,95375359.0,70648414.0
3,2021-12-03,1.59,1.61,1.42,1.47,71284.0,103918171.0,70692633.0
4,2021-12-02,1.59,1.61,1.52,1.59,38960.0,112773895.0,70926977.0
5,2021-12-01,1.63,1.72,1.55,1.59,99238.0,112446989.0,70721376.0
6,2021-11-30,1.69,1.81,1.61,1.63,89489.0,115732771.0,71001700.0
7,2021-11-29,1.76,1.8,1.66,1.69,101371.0,119957868.0,70980986.0
8,2021-11-28,1.63,1.92,1.59,1.75,127602.0,124323257.0,71041861.0
9,2021-11-27,1.62,1.68,1.46,1.62,187074.0,114908338.0,70931072.0
10,2021-11-26,1.94,1.95,1.59,1.62,212879.0,115038767.0,71011584.0
11,2021-11-25,2.08,2.15,1.91,2.01,297778.0,142061747.0,70677486.0
12,2021-11-24,1.85,2.26,1.74,1.81,296135.0,128420900.0,70950773.0
13,2021-11-23,1.86,1.9,1.67,1.85,298450.0,131241402.0,70941298.0
14,2021-11-22,2.11,2.26,1.84,1.86,229237.0,131753105.0,70835002.0
15,2021-11-21,2.36,2.37,1.93,2.1,189673.0,149004949.0,70954737.0
16,2021-11-20,2.43,2.5,2.29,2.36,121858.0,167398616.0,70931616.0
17,2021-11-19,2.31,2.6,2.31,2.43,128946.0,172375122.0,70936264.0
18,2021-11-18,2.79,2.8,2.23,2.32,216000.0,164052013.0,70712074.0
19,2021-11-17,2.98,3.02,2.68,2.79,1977046.0,197868464.0,70920596.0
20,2021-11-16,2.79,3.07,2.52,2.98,2141910.0,211169996.0,70862414.0
21,2021-11-15,3.07,3.29,2.79,2.79,2486766.0,197562461.0,70810917.0
22,2021-11-14,3.06,3.43,3.02,3.07,2518205.0,217518480.0,70852925.0
23,2021-11-13,3.05,3.34,2.76,3.06,3026735.0,216692017.0,70814384.0
24,2021-11-12,2.94,3.2,2.72,3.05,2405068.0,215857063.0,70772807.0
25,2021-11-11,3.14,3.52,2.86,2.94,2509042.0,208366714.0,70873031.0
26,2021-11-10,3.13,3.79,2.98,3.14,3217381.0,222745471.0,70938048.0
27,2021-11-09,3.62,3.86,3.0,3.13,3193444.0,221593184.0,70796544.0
28,2021-11-08,3.88,3.88,3.5,3.62,3222534.0,256301228.0,70801444.0
29,2021-11-07,3.29,4.13,3.17,3.88,4862996.0,274657522.0,70788021.0
30,2021-11-06,2.89,3.31,2.81,3.31,3099693.0,234238444.0,70766901.0
31,2021-11-05,2.51,3.1,2.48,2.89,2262348.0,204639554.0,70809534.0
32,2021-11-04,2.87,3.21,2.49,2.51,2623841.0,177757044.0,70819539.0
