,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-06,0.1484,0.1525,0.1465,0.1514,209824063.0,69663977.0,460131948.0
1,2021-12-05,0.148,0.1497,0.1466,0.1485,171924161.0,68295041.0,459899265.0
2,2021-12-04,0.1481,0.1509,0.1412,0.148,415979861.0,68078391.0,459989128.0
3,2021-12-03,0.1514,0.1547,0.1477,0.1481,194195921.0,68141068.0,460101742.0
4,2021-12-02,0.1511,0.1519,0.1497,0.1515,147848370.0,69685817.0,459972389.0
5,2021-12-01,0.1509,0.1529,0.1507,0.1511,169292143.0,69493280.0,459915817.0
6,2021-11-30,0.1503,0.1525,0.1488,0.1511,255558324.0,69507753.0,460011601.0
7,2021-11-29,0.1492,0.1506,0.1483,0.1503,179218950.0,69150101.0,460080512.0
8,2021-11-28,0.1467,0.1494,0.145,0.1492,193206698.0,68627825.0,459972017.0
9,2021-11-27,0.1471,0.1483,0.1459,0.1463,131560919.0,67305391.0,460050519.0
10,2021-11-26,0.1503,0.1509,0.1461,0.1471,272456245.0,67659355.0,459954826.0
11,2021-11-25,0.1493,0.1509,0.1486,0.1488,174157981.0,68470536.0,460151451.0
12,2021-11-24,0.1498,0.1507,0.1479,0.1494,174838564.0,68726742.0,460018353.0
13,2021-11-23,0.1485,0.1504,0.147,0.1498,167261260.0,68905971.0,459986455.0
14,2021-11-22,0.1508,0.151,0.1479,0.1486,170617340.0,68364500.0,460057200.0
15,2021-11-21,0.1511,0.1516,0.1493,0.1503,135586173.0,69153268.0,460101583.0
16,2021-11-20,0.1501,0.1517,0.1493,0.1511,158861561.0,69522507.0,460109245.0
17,2021-11-19,0.1486,0.1511,0.1477,0.1502,223032980.0,69101099.0,460060579.0
18,2021-11-18,0.1499,0.1503,0.1465,0.1485,245669997.0,68320960.0,460073804.0
19,2021-11-17,0.1492,0.151,0.1428,0.1499,161426924.0,68934988.0,459873168.0
20,2021-11-16,0.1517,0.1523,0.1444,0.1494,40484038.0,68714847.0,459938734.0
21,2021-11-15,0.1534,0.1542,0.1518,0.1518,26134695.0,69836226.0,460054189.0
22,2021-11-14,0.1535,0.154,0.152,0.1534,156444789.0,70559596.0,459971290.0
23,2021-11-13,0.1529,0.1538,0.1523,0.1536,125739789.0,70635431.0,459866087.0
24,2021-11-12,0.1539,0.1546,0.1521,0.153,188606780.0,70386201.0,460040529.0
25,2021-11-11,0.1536,0.1548,0.1525,0.1537,192930841.0,70723023.0,460136779.0
26,2021-11-10,0.1545,0.1558,0.1435,0.1535,351307364.0,70594345.0,459898013.0
27,2021-11-09,0.1555,0.1564,0.1543,0.1545,298992279.0,71090275.0,460131229.0
28,2021-11-08,0.1546,0.1559,0.1541,0.1555,334298433.0,71539903.0,460063684.0
29,2021-11-07,0.1539,0.155,0.1531,0.1545,140698679.0,71086395.0,460106116.0
30,2021-11-06,0.1528,0.1541,0.1514,0.154,153982251.0,70836386.0,459976532.0
31,2021-11-05,0.1542,0.1547,0.1524,0.1528,180643861.0,70302861.0,460097257.0
32,2021-11-04,0.1559,0.1559,0.1532,0.1543,205821535.0,70959326.0,459878976.0
33,2021-11-03,0.1555,0.1565,0.1533,0.1559,295883198.0,71709890.0,459973636.0
34,2021-11-02,0.1536,0.1566,0.1528,0.1555,294930671.0,71538840.0,460056848.0
35,2021-11-01,0.1532,0.1543,0.1517,0.1536,249270244.0,70676487.0,460133378.0
36,2021-10-31,0.153,0.1542,0.1514,0.1532,244900040.0,70489711.0,460115607.0
37,2021-10-30,0.1545,0.1547,0.1523,0.1529,177948822.0,70317484.0,459891981.0
38,2021-10-29,0.1535,0.1553,0.1528,0.1546,228178847.0,71093766.0,459856183.0
39,2021-10-28,0.1506,0.155,0.1498,0.1535,447302869.0,70620177.0,460066299.0
40,2021-10-27,0.1536,0.154,0.1504,0.1509,379762789.0,69417880.0,460025712.0
41,2021-10-26,0.1544,0.1553,0.1531,0.1536,230547988.0,70641942.0,459908476.0
42,2021-10-25,0.1543,0.1548,0.1531,0.1544,202737709.0,71016850.0,459953691.0
43,2021-10-24,0.1537,0.1549,0.1525,0.1544,225493586.0,71023233.0,459995032.0
44,2021-10-23,0.1529,0.1543,0.1525,0.1537,171691116.0,70700083.0,459987527.0
45,2021-10-22,0.1546,0.1554,0.1524,0.1529,266642054.0,70327806.0,459959489.0
46,2021-10-21,0.1552,0.1558,0.1521,0.1546,325232706.0,71127423.0,460073887.0
47,2021-10-20,0.1534,0.1556,0.1528,0.1552,337439614.0,71400819.0,460056823.0
48,2021-10-19,0.1536,0.1543,0.1528,0.1534,282586339.0,70578551.0,460094856.0
49,2021-10-18,0.1537,0.1547,0.1529,0.1536,244806952.0,70659960.0,460025781.0
50,2021-10-17,0.1542,0.1549,0.1526,0.1537,206447330.0,70705827.0,460024899.0
51,2021-10-16,0.1547,0.1553,0.1538,0.1543,204729632.0,70958154.0,459871380.0
52,2021-10-15,0.1553,0.1559,0.1535,0.1548,385838346.0,71193360.0,459905426.0
53,2021-10-14,0.1549,0.1558,0.1544,0.1553,227865597.0,71441537.0,460022775.0
54,2021-10-13,0.1538,0.1553,0.1518,0.1549,280286472.0,71268668.0,460094693.0
55,2021-10-12,0.1535,0.1546,0.1519,0.1538,250134287.0,70769653.0,460140786.0
56,2021-10-11,0.1531,0.1549,0.1525,0.1535,288923679.0,70594047.0,459896071.0
