,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-03,14.8,14.9,13.45,13.72,309179175.0,1357416641.0,98937072.0
1,2021-12-02,15.21,15.21,14.36,14.81,346384000.0,1464828594.0,98908075.0
2,2021-12-01,16.08,16.63,14.98,15.22,484433990.0,1505156439.0,98893327.0
3,2021-11-30,15.65,17.08,14.77,16.05,711221510.0,1587808195.0,98928859.0
4,2021-11-29,15.17,16.02,14.81,15.69,368561340.0,1551542403.0,98887342.0
5,2021-11-28,14.56,15.2,13.67,15.17,326572408.0,1500497408.0,98912156.0
6,2021-11-27,14.33,14.88,14.21,14.57,301154752.0,1440855903.0,98891963.0
7,2021-11-26,16.39,16.62,13.94,14.24,589667740.0,1408017172.0,98877610.0
8,2021-11-25,14.47,17.15,14.28,15.4,493931465.0,1522577924.0,98868696.0
9,2021-11-24,14.76,14.83,13.87,14.36,284460298.0,1419765039.0,98869431.0
10,2021-11-23,14.57,14.97,14.23,14.75,297411458.0,1458887741.0,98907643.0
11,2021-11-22,15.29,15.35,14.52,14.56,311968364.0,1439838642.0,98890016.0
12,2021-11-21,15.25,16.05,15.03,15.3,348348179.0,1512406911.0,98850124.0
13,2021-11-20,14.86,15.5,14.51,15.24,303727228.0,1507250019.0,98900919.0
14,2021-11-19,13.72,15.12,13.34,14.86,439304477.0,1468900529.0,98849295.0
15,2021-11-18,15.17,15.54,13.52,13.71,390589042.0,1355857804.0,98895536.0
16,2021-11-17,15.19,15.51,14.54,15.16,440480879.0,1498576144.0,98850669.0
17,2021-11-16,16.61,16.61,14.38,15.2,473662284.0,1503027610.0,98883395.0
18,2021-11-15,17.32,17.74,16.56,16.56,411845670.0,1637021158.0,98853934.0
19,2021-11-14,16.63,17.82,16.39,17.31,535440003.0,1711776302.0,98889445.0
20,2021-11-13,16.2,16.86,16.11,16.64,307884517.0,1644873578.0,98850575.0
21,2021-11-12,16.34,16.49,15.42,16.21,358417866.0,1602528412.0,98860481.0
22,2021-11-11,16.29,16.58,15.94,16.37,315188612.0,1617876765.0,98831812.0
23,2021-11-10,17.87,18.01,15.41,16.3,506527745.0,1611391833.0,98858394.0
24,2021-11-09,17.06,18.35,16.72,17.84,603391550.0,1762984107.0,98821979.0
25,2021-11-08,16.51,17.39,16.04,17.03,401151722.0,1682766582.0,98811895.0
26,2021-11-07,16.9,16.9,16.3,16.49,292242413.0,1630201492.0,98860005.0
27,2021-11-06,15.89,17.88,15.77,16.89,767212683.0,1669125980.0,98823326.0
28,2021-11-05,15.88,16.29,15.49,15.94,345935544.0,1575079333.0,98813007.0
29,2021-11-04,16.29,16.65,15.4,15.88,376656504.0,1569577362.0,98839884.0
30,2021-11-03,17.01,17.02,15.33,16.23,566877105.0,1604224804.0,98843179.0
31,2021-11-02,16.84,18.03,16.69,17.0,773354651.0,1680361020.0,98844765.0
32,2021-11-01,15.84,19.15,14.42,16.86,2220397166.0,1666352312.0,98834656.0
33,2021-10-31,13.1,16.35,12.96,15.78,1247052550.0,1559719498.0,98841539.0
34,2021-10-30,13.3,13.4,12.71,13.07,242480119.0,1291614679.0,98822852.0
35,2021-10-29,13.04,13.45,12.79,13.34,273117430.0,1318451441.0,98834440.0
