,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-06,16.83,17.46,14.59,17.46,8154093.0,94026370.0,5385244.0
1,2021-12-05,18.35,18.41,16.68,16.81,6497176.0,90507793.0,5384163.0
2,2021-12-04,19.67,19.83,17.09,18.31,11419349.0,98467874.0,5377819.0
3,2021-12-03,22.78,23.68,19.46,19.69,12310458.0,105718923.0,5369168.0
4,2021-12-02,19.79,23.91,19.48,22.79,15882288.0,122332087.0,5367796.0
5,2021-12-01,21.01,21.07,19.79,19.88,8299402.0,106689691.0,5366684.0
6,2021-11-30,23.81,23.89,20.32,21.01,10594318.0,112707463.0,5364467.0
7,2021-11-29,21.79,24.73,19.89,23.76,26262899.0,127380434.0,5361129.0
8,2021-11-28,18.27,27.68,17.73,21.86,48719282.0,116240317.0,5317489.0
9,2021-11-27,17.83,18.82,17.39,18.26,7626031.0,97074794.0,5316253.0
10,2021-11-26,20.64,20.65,17.78,17.87,8117508.0,95004571.0,5316428.0
11,2021-11-25,19.44,20.74,19.35,19.81,8116925.0,105330090.0,5317016.0
12,2021-11-24,19.55,20.75,19.21,19.85,7771323.0,105515793.0,5315657.0
13,2021-11-23,18.08,19.58,18.0,19.54,8072547.0,103913050.0,5317965.0
14,2021-11-22,18.93,18.93,17.97,18.08,7474120.0,96136371.0,5317277.0
15,2021-11-21,19.49,20.37,18.93,18.93,7024901.0,100654441.0,5317191.0
16,2021-11-20,18.84,20.73,18.81,19.49,7662510.0,103614247.0,5316277.0
17,2021-11-19,17.35,20.16,17.29,18.84,9861860.0,97282819.0,5163631.0
18,2021-11-18,19.27,19.52,17.3,17.35,7393857.0,89568480.0,5162448.0
19,2021-11-17,19.08,22.44,18.4,19.27,7094052.0,99508527.0,5163909.0
20,2021-11-16,20.38,63.53,18.74,19.08,8680354.0,98510353.0,5163016.0
21,2021-11-15,20.37,24.28,20.33,20.38,14557660.0,105226502.0,5163223.0
22,2021-11-14,20.52,20.79,20.08,20.37,5036929.0,105187779.0,5163857.0
23,2021-11-13,20.68,21.72,20.23,20.51,5722244.0,105885774.0,5162641.0
24,2021-11-12,21.52,21.68,20.33,20.67,5435924.0,106749840.0,5164481.0
25,2021-11-11,21.21,21.98,20.8,21.52,6624379.0,111108610.0,5163039.0
26,2021-11-10,22.9,23.91,19.95,21.2,8492607.0,109488125.0,5164534.0
27,2021-11-09,23.53,24.61,22.62,22.9,10758923.0,118247147.0,5163630.0
28,2021-11-08,20.78,26.45,20.18,23.52,19942072.0,121451662.0,5163761.0
29,2021-11-07,21.52,21.61,20.57,20.79,6277218.0,107361943.0,5164114.0
30,2021-11-06,21.36,21.61,20.53,21.52,6337230.0,111107616.0,5162993.0
31,2021-11-05,21.54,23.16,21.06,21.36,9520205.0,110273111.0,5162598.0
32,2021-11-04,22.74,24.94,20.49,21.55,12658943.0,111252128.0,5162511.0
33,2021-11-03,20.42,23.61,19.79,22.74,14217209.0,117413173.0,5163288.0
34,2021-11-02,19.41,21.32,18.92,20.42,9911016.0,105427964.0,5162975.0
35,2021-11-01,19.59,19.8,19.0,19.41,6226011.0,100199978.0,5162286.0
36,2021-10-31,19.18,19.87,18.97,19.59,7673339.0,101131842.0,5162421.0
37,2021-10-30,20.52,20.66,18.65,19.18,8473524.0,99036596.0,5163534.0
38,2021-10-29,18.47,21.06,18.31,20.54,9674388.0,106042177.0,5162715.0
39,2021-10-28,17.93,19.04,17.36,18.47,9566934.0,95361451.0,5163045.0
40,2021-10-27,19.98,20.19,17.53,17.93,9641432.0,92584435.0,5163660.0
41,2021-10-26,20.31,20.69,19.98,19.98,8609839.0,103183836.0,5164356.0
42,2021-10-25,19.98,21.24,19.93,20.42,7457592.0,105415967.0,5162388.0
43,2021-10-24,20.28,21.24,19.1,19.98,7590792.0,103174027.0,5163865.0
44,2021-10-23,20.55,20.55,19.88,20.28,5593133.0,104705619.0,5162998.0
45,2021-10-22,21.16,21.67,20.45,20.55,6896081.0,106097547.0,5162897.0
46,2021-10-21,21.32,23.7,20.6,21.19,13141606.0,109399386.0,5162783.0
47,2021-10-20,20.62,21.63,20.35,21.32,10807454.0,110080856.0,5163267.0
48,2021-10-19,21.31,23.89,20.33,20.6,11094761.0,106344594.0,5162358.0
49,2021-10-18,22.41,23.53,21.18,21.31,11332092.0,110050912.0,5164284.0
50,2021-10-17,24.15,24.25,22.22,22.41,9164921.0,115713469.0,5163474.0
51,2021-10-16,24.36,25.21,23.75,24.15,13534980.0,124682872.0,5162851.0
52,2021-10-15,24.17,29.02,22.98,24.35,38857104.0,125743430.0,5164001.0
53,2021-10-14,25.04,28.91,24.17,24.17,48060176.0,124807657.0,5163742.0
54,2021-10-13,17.89,27.82,17.53,25.04,33525692.0,129273194.0,5162667.0
55,2021-10-12,21.06,21.08,17.84,17.88,13804199.0,92340406.0,5164452.0
56,2021-10-11,20.11,23.07,19.97,21.06,16785880.0,108762614.0,5164416.0
57,2021-10-10,17.21,20.11,16.56,20.11,14893697.0,103854139.0,5164303.0
58,2021-10-09,17.12,17.78,16.88,17.22,7932927.0,88906264.0,5162965.0
59,2021-10-08,16.42,17.48,16.35,17.12,8506462.0,88361205.0,5161285.0
60,2021-10-07,16.93,17.11,15.95,16.42,7578203.0,84748734.0,5161311.0
61,2021-10-06,17.28,17.73,16.02,16.93,7250138.0,87387876.0,5161717.0
62,2021-10-05,17.72,17.81,16.45,17.28,10844969.0,89192394.0,5161596.0
63,2021-10-04,18.91,18.91,17.62,17.72,9053082.0,84598990.0,4774209.0
64,2021-10-03,18.32,19.38,17.78,18.91,7755697.0,90280960.0,4774244.0
65,2021-10-02,17.71,19.52,17.64,18.33,8365018.0,87481376.0,4772579.0
66,2021-10-01,14.44,19.13,14.26,17.71,12823793.0,84541622.0,4773665.0
67,2021-09-30,12.3,14.56,12.27,14.44,8056525.0,68919512.0,4772819.0
68,2021-09-29,13.22,13.61,12.19,12.31,7149906.0,58744084.0,4772062.0
69,2021-09-28,14.61,14.76,13.17,13.22,9164321.0,63125803.0,4775022.0
70,2021-09-27,14.1,15.7,14.01,14.61,8262317.0,69732960.0,4772960.0
71,2021-09-26,14.0,14.1,11.94,14.1,10037837.0,67321658.0,4774585.0
72,2021-09-25,14.18,14.4,13.7,14.0,5163373.0,66816774.0,4772626.0
73,2021-09-24,15.53,15.67,13.47,14.18,9323408.0,67708879.0,4774956.0
74,2021-09-23,16.15,16.25,14.54,15.54,7675412.0,74160425.0,4772228.0
75,2021-09-22,14.3,16.15,13.58,16.14,12019592.0,77065467.0,4774812.0
76,2021-09-21,15.56,16.91,13.98,14.3,8456305.0,68262075.0,4773571.0
77,2021-09-20,19.79,19.79,15.32,15.57,9604402.0,74323493.0,4773506.0
78,2021-09-19,20.45,21.14,19.21,19.79,7428886.0,94474483.0,4773849.0
79,2021-09-18,20.97,21.47,20.29,20.45,8241568.0,97611587.0,4773182.0
80,2021-09-17,23.06,23.06,20.88,20.97,8504097.0,100085250.0,4772782.0
81,2021-09-16,21.77,24.62,21.45,23.06,11723990.0,110094735.0,4774272.0
82,2021-09-15,20.65,21.77,20.34,21.76,9570075.0,103726916.0,4766861.0
83,2021-09-14,20.05,21.29,19.48,20.65,10068429.0,98457474.0,4767916.0
84,2021-09-13,22.1,22.25,19.52,20.06,11425191.0,95617572.0,4766578.0
85,2021-09-12,22.01,23.35,21.24,22.1,8708774.0,105353700.0,4767135.0
86,2021-09-11,20.98,22.45,20.57,22.01,7630357.0,104951679.0,4768363.0
87,2021-09-10,23.23,24.68,20.42,20.98,11037316.0,99712009.0,4752717.0
88,2021-09-09,22.56,25.34,21.74,23.23,15807370.0,110408906.0,4752858.0
89,2021-09-08,24.95,26.31,21.36,23.73,18612664.0,112785959.0,4752884.0
90,2021-09-07,27.07,28.78,23.63,24.95,17935579.0,118565686.0,4752131.0
91,2021-09-06,29.21,30.56,26.04,27.07,16801823.0,128353320.0,4741533.0
92,2021-09-05,30.52,30.87,29.15,29.23,13876103.0,138619130.0,4742358.0
93,2021-09-04,25.82,34.36,24.38,30.52,21974625.0,144748248.0,4742734.0
94,2021-09-03,25.16,27.78,24.13,25.82,12634937.0,122441078.0,4742102.0
95,2021-09-02,27.2,27.4,25.16,25.16,10160721.0,119315909.0,4742285.0
96,2021-09-01,27.07,27.75,25.79,27.2,10756473.0,128836980.0,4736653.0
