,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-03,4.22e-05,4.479e-05,3.959e-05,4.041e-05,2740977676.0,22185182616.0,549002291907943.56
1,2021-12-02,4.417e-05,4.421e-05,4.129e-05,4.215e-05,2042872233.0,23143586067.0,549076775017793.56
2,2021-12-01,4.733e-05,4.869e-05,4.364e-05,4.422e-05,3482541861.0,24277197069.0,549009431682496.6
3,2021-11-30,4.53e-05,5.398e-05,4.349e-05,4.745e-05,9568498541.0,26054609352.0,549096087502634.3
4,2021-11-29,3.915e-05,4.555e-05,3.852e-05,4.551e-05,3667758287.0,24986763954.0,549038979433091.56
5,2021-11-28,3.927e-05,3.955e-05,3.657e-05,3.91e-05,1902056544.0,21466193295.0,549007501150895.1
6,2021-11-27,3.862e-05,4.152e-05,3.825e-05,3.934e-05,2068580738.0,21601931100.0,549108568886629.4
7,2021-11-26,4.268e-05,4.273e-05,3.599e-05,3.849e-05,3770758761.0,21134490577.0,549090428085216.94
8,2021-11-25,3.785e-05,4.754e-05,3.776e-05,3.977e-05,4151282645.0,21833797599.0,549001699748554.2
9,2021-11-24,4.19e-05,4.281e-05,3.611e-05,4.032e-05,2027746049.0,22138559013.0,549071404092261.9
10,2021-11-23,4.326e-05,4.452e-05,4.122e-05,4.186e-05,1893597811.0,22981176651.0,549000875561395.1
11,2021-11-22,4.415e-05,4.62e-05,4.279e-05,4.322e-05,1806619697.0,23728860931.0,549025009972235.06
12,2021-11-21,4.77e-05,4.77e-05,4.362e-05,4.419e-05,1636858723.0,24262477308.0,549049045213849.25
13,2021-11-20,4.858e-05,4.996e-05,4.575e-05,4.763e-05,2406332845.0,26150836115.0,549041278920848.2
14,2021-11-19,4.251e-05,5.196e-05,4.192e-05,4.856e-05,4244014798.0,26662780699.0,549068795284184.5
15,2021-11-18,4.815e-05,4.89e-05,4.078e-05,4.242e-05,3495863723.0,23290865062.0,549053867562470.56
16,2021-11-17,4.842e-05,4.982e-05,4.735e-05,4.811e-05,2389403757.0,26415442381.0,549063445874038.7
17,2021-11-16,5.351e-05,5.381e-05,4.563e-05,4.849e-05,3935874227.0,26625049378.0,549083303320272.25
18,2021-11-15,5.317e-05,5.592e-05,5.235e-05,5.331e-05,2588941477.0,29273338572.0,549115336184580.75
19,2021-11-14,5.172e-05,5.604e-05,5.156e-05,5.322e-05,2504828825.0,29224920449.0,549134168526869.56
20,2021-11-13,5.239e-05,5.278e-05,5.087e-05,5.168e-05,1678572265.0,28379901647.0,549146703695820.44
21,2021-11-12,5.663e-05,5.682e-05,5.135e-05,5.232e-05,2888701214.0,28727647336.0,549075828287461.75
22,2021-11-11,5.034e-05,5.792e-05,4.865e-05,5.664e-05,5753844727.0,31099397161.0,549071277560028.25
23,2021-11-10,5.484e-05,5.518e-05,4.604e-05,5.048e-05,4318757158.0,27718901545.0,549106607468304.3
24,2021-11-09,5.518e-05,5.834e-05,5.364e-05,5.487e-05,3142625649.0,30129935015.0,549114908237652.6
25,2021-11-08,5.698e-05,5.903e-05,5.306e-05,5.527e-05,4496482335.0,30350374972.0,549129273964175.9
26,2021-11-07,5.872e-05,5.958e-05,5.611e-05,5.689e-05,3123242451.0,31236713864.0,549072136825452.6
27,2021-11-06,6.266e-05,6.313e-05,5.514e-05,5.856e-05,6445477874.0,32154139228.0,549080246379781.4
28,2021-11-05,4.944e-05,6.541e-05,4.551e-05,6.245e-05,12401211699.0,34292144667.0,549113605556445.1
29,2021-11-04,5.51e-05,6.092e-05,4.34e-05,4.937e-05,11486664527.0,27110472216.0,549128462953210.44
