,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-06,0.2128,0.2146,0.1925,0.2061,5225658.0,56430288.0,273800524.0
1,2021-12-05,0.1999,0.2316,0.1878,0.2125,13183435.0,58172572.0,273753280.0
2,2021-12-04,0.2122,0.2125,0.1768,0.1997,10897847.0,54683541.0,273828447.0
3,2021-12-03,0.2242,0.2285,0.2113,0.2122,5997367.0,58108741.0,273839495.0
4,2021-12-02,0.2572,0.2608,0.2137,0.2242,16281939.0,61372668.0,273740713.0
5,2021-12-01,0.2404,0.285,0.1958,0.2572,41245308.0,70412718.0,273766399.0
6,2021-11-30,0.4214,0.4214,0.2019,0.2403,75083674.0,65779539.0,273739238.0
7,2021-11-29,0.3363,0.5521,0.3201,0.4213,196723160.0,115355461.0,273808357.0
8,2021-11-28,0.144,0.3368,0.144,0.3368,121445048.0,92207737.0,273775941.0
9,2021-11-27,0.07027,0.1591,0.06996,0.1441,43279140.0,39444444.0,273729659.0
10,2021-11-26,0.06841,0.07624,0.06623,0.07025,2460451.0,19232863.0,273777409.0
11,2021-11-25,0.06788,0.06957,0.06679,0.06728,591540.0,18420085.0,273782476.0
12,2021-11-24,0.07113,0.07113,0.06591,0.06976,707378.0,19097582.0,273761209.0
13,2021-11-23,0.07368,0.07368,0.06906,0.07117,747709.0,19484965.0,273780595.0
14,2021-11-22,0.0751,0.07656,0.07295,0.07365,623719.0,20162326.0,273758669.0
15,2021-11-21,0.07422,0.07625,0.07276,0.07523,670703.0,20597321.0,273791319.0
16,2021-11-20,0.07611,0.07725,0.07247,0.07419,1009139.0,20311919.0,273782436.0
17,2021-11-19,0.07463,0.07842,0.0729,0.07608,2054444.0,20828870.0,273775893.0
18,2021-11-18,0.07015,0.08353,0.06908,0.07462,4913628.0,20428999.0,273773773.0
19,2021-11-17,0.06641,0.07412,0.06508,0.07012,1284723.0,19196096.0,273760638.0
20,2021-11-16,0.07078,0.071,0.06111,0.06638,765294.0,18173552.0,273780536.0
21,2021-11-15,0.07075,0.07193,0.06941,0.07084,342917.0,19393555.0,273765598.0
22,2021-11-14,0.07161,0.07268,0.06978,0.07059,364993.0,19325936.0,273777248.0
23,2021-11-13,0.07109,0.07275,0.06932,0.07158,466978.0,19597073.0,273778611.0
24,2021-11-12,0.07293,0.07293,0.06934,0.07111,683197.0,19467424.0,273764927.0
25,2021-11-11,0.07215,0.07424,0.07165,0.07288,548633.0,19954198.0,273795252.0
26,2021-11-10,0.07357,0.07493,0.07145,0.0721,858124.0,19739901.0,273785034.0
27,2021-11-09,0.0729,0.07787,0.07217,0.07357,1296386.0,20140464.0,273759195.0
28,2021-11-08,0.07423,0.07763,0.06912,0.07289,1867885.0,19954931.0,273767745.0
29,2021-11-07,0.06774,0.08123,0.06589,0.07432,5208989.0,20346865.0,273773748.0
30,2021-11-06,0.06903,0.06903,0.06465,0.06774,614997.0,18546621.0,273791275.0
31,2021-11-05,0.07105,0.07108,0.06791,0.06903,630914.0,18898950.0,273778791.0
32,2021-11-04,0.0717,0.0735,0.06836,0.07105,857823.0,19452615.0,273787684.0
33,2021-11-03,0.07724,0.08096,0.06729,0.07168,4459397.0,19623777.0,273769210.0
34,2021-11-02,0.05869,0.0812,0.058,0.07724,4435175.0,21146078.0,273771077.0
35,2021-11-01,0.05908,0.05968,0.05786,0.0587,264140.0,16071377.0,273788364.0
36,2021-10-31,0.05813,0.0598,0.05783,0.05912,342740.0,16184864.0,273762922.0
37,2021-10-30,0.05888,0.05963,0.05798,0.05813,306091.0,15913792.0,273762119.0
38,2021-10-29,0.05875,0.06022,0.05818,0.05888,231391.0,16119371.0,273766491.0
39,2021-10-28,0.05796,0.06067,0.05707,0.05878,260568.0,16093615.0,273794062.0
40,2021-10-27,0.06048,0.06054,0.03614,0.05796,253209.0,15867223.0,273761611.0
41,2021-10-26,0.06104,0.06119,0.06018,0.06048,172193.0,16557475.0,273767774.0
42,2021-10-25,0.06007,0.06124,0.05998,0.06104,140658.0,16711832.0,273784927.0
43,2021-10-24,0.06082,0.06108,0.05987,0.06016,153095.0,16469400.0,273759973.0
44,2021-10-23,0.06065,0.06112,0.06031,0.06082,115109.0,16651427.0,273782094.0
45,2021-10-22,0.06079,0.06185,0.06013,0.06065,125783.0,16605147.0,273786430.0
46,2021-10-21,0.06106,0.06209,0.06042,0.06079,220059.0,16641922.0,273760848.0
47,2021-10-20,0.06078,0.06112,0.0599,0.06106,112033.0,16715678.0,273758237.0
48,2021-10-19,0.06038,0.06139,0.06006,0.06078,68285.0,16640529.0,273782971.0
49,2021-10-18,0.05988,0.06125,0.05975,0.06039,105060.0,16532823.0,273767560.0
50,2021-10-17,0.06018,0.06091,0.05962,0.05982,72191.0,16376649.0,273765446.0
51,2021-10-16,0.06024,0.06121,0.05947,0.06033,155936.0,16517649.0,273788314.0
52,2021-10-15,0.06027,0.06128,0.05946,0.06024,106499.0,16492234.0,273775464.0
53,2021-10-14,0.06065,0.06148,0.06026,0.06028,119218.0,16502671.0,273766937.0
54,2021-10-13,0.06035,0.06175,0.05984,0.06066,90592.0,16605996.0,273755291.0
55,2021-10-12,0.06147,0.06148,0.05881,0.06033,214421.0,16517942.0,273793170.0
56,2021-10-11,0.06197,0.06277,0.06011,0.06148,154723.0,16831263.0,273768103.0
57,2021-10-10,0.06352,0.06352,0.06193,0.06207,118300.0,16993911.0,273786225.0
58,2021-10-09,0.06322,0.0644,0.0623,0.06352,233126.0,17389061.0,273757257.0
59,2021-10-08,0.06242,0.0641,0.06219,0.06322,140465.0,17307057.0,273759205.0
60,2021-10-07,0.0627,0.06334,0.061,0.06243,152165.0,17092464.0,273786064.0
61,2021-10-06,0.06355,0.06386,0.06077,0.06273,310134.0,17174707.0,273787772.0
62,2021-10-05,0.06278,0.06507,0.06208,0.06356,410724.0,17400404.0,273763436.0
63,2021-10-04,0.0606,0.06482,0.05937,0.06278,564486.0,17188695.0,273792529.0
64,2021-10-03,0.0605,0.06098,0.05955,0.06068,151599.0,16614076.0,273798220.0
65,2021-10-02,0.06026,0.06151,0.05965,0.0605,161312.0,16563295.0,273773471.0
66,2021-10-01,0.05768,0.06173,0.05715,0.06026,192430.0,16498144.0,273782675.0
67,2021-09-30,0.05701,0.05838,0.05667,0.05765,99485.0,15782989.0,273772575.0
