,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-06,0.1384,0.1449,0.1073,0.1163,20063781.0,50411358.0,433459656.0
1,2021-12-05,0.1006,0.1845,0.0988,0.1383,105966211.0,59938124.0,433392075.0
2,2021-12-04,0.1123,0.1125,0.08733,0.1007,3875277.0,43632993.0,433296852.0
3,2021-12-03,0.1171,0.1253,0.1101,0.1124,3890929.0,48692348.0,433205943.0
4,2021-12-02,0.1105,0.119,0.1057,0.117,3195985.0,50717047.0,433479034.0
5,2021-12-01,0.1134,0.1147,0.1086,0.1106,971674.0,47912083.0,433201473.0
6,2021-11-30,0.113,0.1169,0.1101,0.1136,1368864.0,49213131.0,433214181.0
7,2021-11-29,0.1092,0.1155,0.1085,0.1129,2185776.0,48940206.0,433482781.0
8,2021-11-28,0.109,0.1095,0.1037,0.1091,1246966.0,47258071.0,433162887.0
9,2021-11-27,0.1081,0.1112,0.107,0.1087,1026599.0,47111353.0,433407111.0
10,2021-11-26,0.1204,0.1204,0.1061,0.1081,1911248.0,46846203.0,433359879.0
11,2021-11-25,0.1158,0.1222,0.1139,0.1163,1784603.0,50398448.0,433348650.0
12,2021-11-24,0.1198,0.121,0.1146,0.1181,1658997.0,51185666.0,433409534.0
13,2021-11-23,0.1174,0.121,0.1149,0.1198,1636714.0,51894066.0,433172504.0
14,2021-11-22,0.1228,0.1233,0.1159,0.1167,2024552.0,50558123.0,433231559.0
15,2021-11-21,0.1244,0.1256,0.1199,0.1226,1637735.0,53145944.0,433490570.0
16,2021-11-20,0.1264,0.127,0.1203,0.1244,2581934.0,53921335.0,433451245.0
17,2021-11-19,0.1218,0.1297,0.1194,0.1264,4897323.0,54783220.0,433411550.0
18,2021-11-18,0.1198,0.1347,0.1174,0.1217,13024461.0,52753376.0,433470632.0
19,2021-11-17,0.1195,0.1209,0.1135,0.1198,2756026.0,51907313.0,433283080.0
20,2021-11-16,0.1286,0.1291,0.1158,0.1196,2980035.0,51808141.0,433178436.0
21,2021-11-15,0.1249,0.1334,0.123,0.1289,5305045.0,55845469.0,433246462.0
22,2021-11-14,0.1279,0.1283,0.123,0.1253,1250843.0,54283167.0,433225594.0
23,2021-11-13,0.1267,0.1283,0.124,0.1279,1306147.0,55435859.0,433431266.0
24,2021-11-12,0.1273,0.1319,0.1231,0.1269,4294057.0,54982151.0,433271481.0
25,2021-11-11,0.1243,0.1328,0.1221,0.1272,3208045.0,55101894.0,433190990.0
26,2021-11-10,0.132,0.133,0.1227,0.1242,3533955.0,53838113.0,433479170.0
27,2021-11-09,0.1302,0.1352,0.1287,0.1312,4432254.0,56855809.0,433352202.0
28,2021-11-08,0.1363,0.1367,0.1266,0.1303,3376384.0,56478574.0,433450299.0
29,2021-11-07,0.1338,0.1365,0.1309,0.1365,2397224.0,59140729.0,433265413.0
30,2021-11-06,0.139,0.139,0.1289,0.1341,2743155.0,58107269.0,433312967.0
31,2021-11-05,0.1469,0.1469,0.1349,0.139,5016420.0,60218031.0,433223244.0
32,2021-11-04,0.1536,0.1747,0.1404,0.1469,13786970.0,63662402.0,433372375.0
33,2021-11-03,0.1323,0.1793,0.1292,0.1543,41574688.0,66874456.0,433405418.0
34,2021-11-02,0.1199,0.147,0.1177,0.1323,14428593.0,57346610.0,433458881.0
35,2021-11-01,0.1225,0.1254,0.1165,0.1199,5715129.0,51959987.0,433361025.0
36,2021-10-31,0.1301,0.1328,0.1166,0.1225,9174974.0,53079157.0,433299240.0
37,2021-10-30,0.1471,0.1481,0.1288,0.1306,9205680.0,56583398.0,433257258.0
