,Date,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
0,2021-12-06,150.84,166.41,138.95,144.39,1596190.0,58744228.0,406844.0
1,2021-12-05,154.02,155.46,148.58,150.83,1252051.0,61330806.0,406622.0
2,2021-12-04,156.95,158.18,136.98,153.9,2370463.0,62026442.0,403030.0
3,2021-12-03,171.57,172.23,152.86,157.04,952232.0,63322529.0,403225.0
4,2021-12-02,170.58,172.34,163.19,172.27,13715947.0,69472934.0,403279.0
5,2021-12-01,176.88,181.04,166.98,170.51,2257549.0,68751580.0,403211.0
6,2021-11-30,172.68,2303.05,172.01,176.97,2366600.0,71473083.0,403871.0
7,2021-11-29,163.05,173.06,157.52,172.58,1244807.0,69695162.0,403842.0
8,2021-11-28,163.33,171.82,157.8,162.92,8457041.0,65782701.0,403773.0
9,2021-11-27,161.6,165.37,159.73,163.67,9895820.0,66083332.0,403759.0
10,2021-11-26,183.75,184.41,159.82,161.6,11970949.0,65228302.0,403640.0
11,2021-11-25,194.97,197.69,182.96,192.38,9921675.0,77672220.0,403743.0
12,2021-11-24,208.45,209.08,194.3,204.98,11255674.0,82781419.0,403851.0
13,2021-11-23,184.84,208.55,182.91,207.64,11227207.0,83857706.0,403861.0
14,2021-11-22,191.6,192.4,184.79,184.79,5165038.0,74736424.0,404439.0
15,2021-11-21,187.0,200.48,184.4,191.39,1632425.0,77395865.0,404388.0
16,2021-11-20,183.91,187.61,179.7,187.02,966710.0,75721632.0,404885.0
17,2021-11-19,175.48,187.54,175.0,183.93,8187605.0,74581479.0,405488.0
18,2021-11-18,182.9,185.57,172.5,175.38,954623.0,71116065.0,405497.0
19,2021-11-17,179.29,188.63,171.66,182.82,10325861.0,74132186.0,405492.0
20,2021-11-16,211.05,244.07,176.77,179.41,12278606.0,72748649.0,405488.0
21,2021-11-15,202.83,231.42,198.31,211.09,11387287.0,85596560.0,405497.0
22,2021-11-14,201.53,210.69,177.09,202.83,10782871.0,82247970.0,405501.0
23,2021-11-13,214.75,216.24,201.52,201.52,11183307.0,81718736.0,405511.0
24,2021-11-12,221.48,226.41,208.46,214.87,2513502.0,87131062.0,405505.0
25,2021-11-11,224.03,226.21,216.24,221.28,1454887.0,89729750.0,405503.0
26,2021-11-10,232.18,233.8,216.96,224.14,1418052.0,90891163.0,405510.0
27,2021-11-09,251.87,255.63,218.89,232.19,1858483.0,94156307.0,405514.0
28,2021-11-08,245.09,256.6,239.95,251.75,1438351.0,102088836.0,405516.0
29,2021-11-07,247.12,251.6,239.56,245.27,898464.0,99463772.0,405527.0
30,2021-11-06,257.97,258.7,242.06,247.05,1021440.0,100187030.0,405533.0
31,2021-11-05,253.74,263.44,250.4,257.84,2369423.0,104560449.0,405524.0
32,2021-11-04,253.17,261.06,228.49,254.0,3294054.0,103005540.0,405533.0
33,2021-11-03,266.34,274.92,248.48,253.23,2585784.0,102693471.0,405534.0
34,2021-11-02,259.91,278.77,229.88,266.25,5507779.0,107973316.0,405533.0
35,2021-11-01,278.07,284.72,243.69,259.79,4574798.0,105358201.0,405551.0
36,2021-10-31,276.62,292.32,259.98,278.07,3324181.0,112772214.0,405553.0
37,2021-10-30,290.0,300.66,268.5,276.53,2171517.0,112145778.0,405546.0
38,2021-10-29,277.46,300.38,272.7,289.98,3444319.0,117602824.0,405554.0
39,2021-10-28,268.17,295.66,258.25,277.34,4757712.0,112477368.0,405557.0
40,2021-10-27,271.42,294.1,260.7,268.17,2211703.0,108759139.0,405560.0
41,2021-10-26,290.8,302.78,271.43,271.45,1931105.0,110087781.0,405554.0
42,2021-10-25,274.06,295.89,264.47,290.73,2239929.0,117909624.0,405564.0
43,2021-10-24,276.54,286.79,255.81,274.27,1489650.0,111233129.0,405560.0
44,2021-10-23,266.88,288.98,257.73,276.51,1697419.0,112148986.0,405587.0
45,2021-10-22,281.88,293.99,258.89,266.94,5429120.0,108268867.0,405592.0
46,2021-10-21,298.51,305.13,280.83,282.01,3046013.0,114381408.0,405593.0
47,2021-10-20,269.31,298.53,259.3,298.53,2848036.0,121080048.0,405587.0
48,2021-10-19,268.84,281.53,262.58,269.35,1374147.0,109246465.0,405592.0
49,2021-10-18,287.08,292.03,264.52,268.84,2348924.0,109041297.0,405599.0
50,2021-10-17,281.91,295.76,276.29,287.07,1502286.0,116433874.0,405594.0
51,2021-10-16,296.27,299.8,278.64,281.92,1840731.0,114349971.0,405611.0
52,2021-10-15,313.42,317.76,295.25,296.24,2843671.0,120159064.0,405613.0
53,2021-10-14,278.74,335.0,270.34,313.54,5253733.0,127175364.0,405611.0
54,2021-10-13,243.93,281.02,232.57,278.72,3456586.0,113053597.0,405617.0
55,2021-10-12,253.71,254.8,239.54,243.9,1933478.0,98930217.0,405617.0
56,2021-10-11,237.58,257.19,234.34,253.71,2249373.0,102910587.0,405622.0
57,2021-10-10,252.39,254.21,237.29,237.63,1283109.0,96387360.0,405619.0
58,2021-10-09,251.97,257.29,245.99,252.44,1706499.0,102399755.0,405639.0
59,2021-10-08,251.8,262.87,247.24,251.96,1722622.0,102203405.0,405633.0
60,2021-10-07,260.09,260.94,246.67,251.86,1769248.0,102163444.0,405635.0
